,https://roic.ai/company/SRAX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
45,Total Non-Current Assets,- -,18555,1699325,22267072,20033636,17100349,17470861,17650780,18376000,34325
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1157410,280197,3907547,28214969,28526646,26899121,23605699,23118493,20234000,46198
48,Accounts Payable,- -,- -,- -,2882120,3003642,11745026,2858871,2517749,1708000,3561
49,Short-Term Debt,- -,- -,- -,3850000,2455000,3418788,- -,- -,- -,6016
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,25295,1295,- -,- -,- -,- -,- -
52,Other Current Liabilities,435216,302057,812809,3586722,11156882,2911057,2151944,6499372,5668000,9458
53,Total Current Liabilities,435216,302057,812809,10344137,16616819,18074871,5010815,9017121,7376000,19035
54,Long-Term Debt,- -,- -,- -,7713014,8033898,- -,1711146,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,4405411,- -,- -,- -,- -,352000,- -
58,Total Non-Current Liabilities,- -,- -,- -,12118425,8033898,- -,1711146,- -,352000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,753
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,352000,352000
61,Total Liabilities,435216,302057,812809,22462562,24650717,18074871,6721961,9017121,7728000,19788
62,Preferred Stock,- -,- -,121,86,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12912,19902,27030,28110,6951,9911,10109,14000,16
64,Retained Earnings,- -,-1258859,-3006299,-7417862,-10141771,-14390004,-21148706,-18778348,-35637000,- -
65,Other Comprehensive Income/Loss,- -,-3000,-10184,-25013,-42295,-63599,-96869,-140867,-215000,- -
66,Other Total Stockholders Equity,722194,1227087,6091198,13168166,14031885,23270902,38119402,33010478,48344000,19224984
67,Total Stockholders Equity,722194,-21860,3094738,5752407,3875929,8824250,16883738,14101372,12506000,19225000
68,Total Liabilities And Stockholders Equity,1157410,280197,3907547,28214969,28526646,26899121,23605699,23118493,20234000,19244788
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19198590
70,Total Liabilities & Equity,1157410,280197,3907547,28214969,28526646,26899121,23605699,23118493,20234000,46198
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1538217/000114420413019050/0001144204-13-019050-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335014000286/scri_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000155335015000308/scri_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000155335016001712/0001553350-16-001712-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335017000349/0001553350-17-000349-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335018000287/0001553350-18-000287-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335019000396/srax_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000149315220007556/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000149315221007542/0001493152-21-007542-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,6717,-1258859,-1747440,-4411563,-2723909,-4248233,-6658882,8743593,-16859000,-14705000
74,Depreciation and Amortization,- -,3000,7184,14829,411538,387032,528620,767822,1163000,9128000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,41846,631829,1203534,840512,1200121,2085988,1878611,1167000,- -
77,Change in Working Capital,-54266,-762609,1435828,-5791653,-3727569,-152290,9400122,-4673431,-1968592,5510838
78,Accounts Receivable,58163,758998,-388010,-1196572,-3287624,-6817597,4261574,959848,1638000,-1837000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1149000
81,Other Working Capital,722194,-40415,1395413,-4396240,-8123809,-8276099,1124023,-3549408,-5518000,-7162
82,Other Non-Cash Items,67951,1405986,-806334,6503302,5938494,1542708,-9722926,-20379190,1147592,-13422838
83,Cash Provided by Operating Activities,20402,-570636,-478933,-2481551,739066,-1270662,-4367078,-13662595,-15350000,-13489000
84,CAPEX,- -,-18000,-19982,-6856,-33616,-152087,-756876,-1042506,-1365000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-697000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-63000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1967962,- -,- -,- -,22980824,570000,6743000
89,Cash Used for Investing Activites,- -,-18000,-19982,-1974818,-33616,-152087,-756876,21875318,-795000,6046000
90,Debt Repayment,- -,- -,-550000,- -,-4364578,-3763474,-3996928,-6545157,- -,- -
91,Common Stock Issued,300000,472959,2436493,3950747,- -,4643799,4020401,- -,12197000,- -
92,Common Stock Repurchased,- -,- -,-175000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,396699,633751,2906921,500000,5069018,100000,1196000,- -
95,Cash Used/Provided by Financing Activities,190000,472959,2108192,4584498,-1457657,1380325,5092491,-6445157,13393000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,210402,-115677,1609277,128129,-752207,-42424,-31463,1767566,-2752000,419000
98,Cash at the End of Period,221664,105987,1715264,1843393,1091186,1048762,1017299,2784865,32000,- -
99,Cash at the Beginning of Period,11262,221664,105987,1715264,1843393,1091186,1048762,1017299,2784000,- -
100,Free Cash Flow,20402,-588636,-498915,-2488407,705450,-1422749,-5123954,-14705101,-16715000,-13489000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1538217/000114420413019050/0001144204-13-019050-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335014000286/scri_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000155335015000308/scri_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000155335016001712/0001553350-16-001712-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335017000349/0001553350-17-000349-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335018000287/0001553350-18-000287-index.html,https://www.sec.gov/Archives/edgar/data/1538217/000155335019000396/srax_10k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000149315220007556/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1538217/000149315221007542/0001493152-21-007542-index.htm
102,false,,,,,,,,,,
