,https://roic.ai/company/SNEX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,0.0623,0.0642,0.0584,-0.0232,0.0401,0.0227,-0.7075,-0.0504,0.1176,0.1146,0.1000,0.0337,-0.0010,0.0015,0.0006,0.0001,0.0005,0.0002,0.0004,0.0006,0.0016,0.0037,0.0002,0.0020,0.0026,0.0031,0.0027
25,EPS,0.31,0.27,0.30,0.32,-0.12,0.22,0.13,-1.47,-0.11,0.34,0.50,0.36,0.45,-0.56,3.30,3.11,0.31,2.07,0.79,1.01,1.01,2.94,2.94,0.32,2.93,4.46,8.78,5.90
26,EPS Diluted,0.31,0.27,0.30,0.32,-0.12,0.18,0.12,-1.47,-0.11,0.33,0.41,0.33,0.41,-0.56,2.95,2.80,0.30,1.96,0.75,0.97,0.98,2.87,2.90,0.31,2.87,4.39,8.61,5.74
27,Weighted Average Shares Outstanding,1617809,2676979,2892062,2443105,1855576,1835695,2123064,2242845,2359040,3688892,5090304,7303065,7637000,8087000,8434976,8895697,17306019,17618085,18282939,18443233,18528302,18525374,18410561,18395987,18549011,18738905,18824328,19130643
28,Weighted Average Shares Outstanding Diluted,1617809,2676979,2892062,2443105,1855576,2226692,2370974,2242845,2359040,3862761,6111223,8023891,8388000,8087000,9901766,10182586,17883233,18567454,19156899,19068497,19132302,18932235,18625372,18687354,18934830,19014395,19180479,19678168
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913760/000119312506257293/0001193125-06-257293-index.htm,- -,https://www.sec.gov/Archives/edgar/data/913760/000119312508249705/0001193125-08-249705-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/913760/000091376011000012/0000913760-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376012000116/0000913760-12-000116-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376014000006/0000913760-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376014000155/0000913760-14-000155-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376015000180/0000913760-15-000180-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376016000359/0000913760-16-000359-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376017000119/0000913760-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376018000157/0000913760-18-000157-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376019000141/0000913760-19-000141-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376020000206/0000913760-20-000206-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376021000189/0000913760-21-000189-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,379105,446936,551257,617628,380070,529681,136688,56158,1755072,3523604,6614476,26470000,36017000,48200000,60500000,81900000,220600000,236300000,156100000,231300000,268100000,316200000,314900000,342300000,471300000,952600000,1109600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342000000,- -,- -,- -,- -,325300000,609600000,493200000,1096300000,2847700000,- -,- -
33,Cash and Short-Term Investments,- -,379105,446936,551257,617628,380070,529681,136688,56158,1755072,3523604,6614476,26470000,36017000,48200000,60500000,423900000,220600000,236300000,156100000,231300000,593400000,925800000,808100000,1438600000,3319000000,952600000,1109600000
34,Net Receivables,- -,316408,371763,467307,922674,157775,747818,1084734,221468,2783941,20148394,19263524,35008000,71838000,69400000,1092000000,1193900000,1786700000,1932000000,1891100000,1986000000,2117400000,1975900000,243700000,292100000,430400000,2125900000,2733700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15306000,39433000,57400000,106900000,125000000,160600000,131600000,59000000,40000000,32800000,123800000,124800000,222500000,229300000,281100000,447500000
36,Other Current Assets,- -,1186851,2382119,2415582,2424486,3798679,4993965,940183,4547070,5971010,17689853,13845290,14811000,18785000,14600000,14900000,-326700000,119400000,357500000,449400000,448000000,431600000,526700000,2650700000,2546900000,742700000,5550100000,7567300000
37,Total Current Assets,- -,1882364,3200818,3434146,3964788,4336524,6271464,2161605,4824696,10510023,41361851,39723290,91595000,166073000,189600000,1274300000,1416100000,2287300000,2657400000,2555600000,2705300000,3175200000,3552200000,3827300000,4500100000,4721400000,8909700000,11858100000
38,PP&E,- -,352191,311154,440126,350613,404025,384856,362959,151327,295680,465023,563995,711000,2441000,2500000,4700000,7300000,15000000,18900000,17500000,15900000,19700000,29400000,38700000,42400000,43900000,163600000,218600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2774945,6053423,6328000,7339000,8800000,13300000,40300000,42500000,43600000,47500000,47500000,47500000,47500000,47100000,48400000,51200000,54700000,58100000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,416810,553802,282718,55544,- -,233333,279000,817000,600000,400000,13100000,13600000,11100000,11600000,10500000,10600000,9100000,12300000,11400000,16700000,54800000,42700000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,416810,553802,282718,55544,2774945,6286756,6607000,8156000,9400000,13700000,53400000,56100000,54700000,59100000,58000000,58100000,56600000,59400000,59800000,67900000,109500000,100800000
42,Investments,- -,- -,- -,- -,- -,15639,20353,- -,- -,6144899,22285505,99862826,98630000,235223000,229900000,209800000,159800000,223100000,171700000,158500000,197900000,1421900000,1606100000,1818400000,2280300000,3598400000,4167700000,6517700000
43,Tax Assets,- -,32549,27599,48851,127065,84033,44442,1397489,540766,329457,332429,82285,- -,5603000,- -,29600000,21000000,20700000,21900000,25500000,32000000,28200000,34500000,42600000,19800000,18000000,36900000,35100000
44,Other Non-Current Assets,- -,3834221,3988721,4005091,2117615,3937317,3324829,6257843,5772672,- -,500000,500000,2370000,4506000,6600000,23600000,364100000,33500000,34300000,31800000,30600000,366900000,672500000,457000000,922300000,1486500000,87500000,109300000
45,Total Non-Current Assets,- -,4218961,4327474,4494068,2595293,4441014,4191290,8572093,6747483,6825580,26357902,107295862,108318000,255929000,248400000,281400000,605600000,348400000,301500000,292400000,334400000,1894800000,2399100000,2416100000,3324600000,5214700000,4565200000,6981500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6101325,7528292,7928214,6560081,8777538,10462754,10733698,11572179,17335603,67719753,147019152,199913000,422002000,438000000,1555700000,2021700000,2635700000,2958900000,2848000000,3039700000,5070000000,5951300000,6243400000,7824700000,9936100000,13474900000,18839600000
48,Accounts Payable,- -,96807,111033,116067,72600,154950,260718,312673,81535,130156,343657,189609,1464000,5173000,4300000,63700000,99400000,122000000,127000000,114000000,114100000,144800000,161300000,135600000,145400000,157500000,272600000,305100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,335114,277639,268314,352544,500392,218082,141126,1134611,182452,14899600,8283957,13573000,96616000,52300000,942100000,1357700000,1747800000,2117200000,2112200000,2248200000,2865400000,3121400000,3205900000,3737700000,3866100000,6249100000,8462600000
53,Total Current Liabilities,- -,431921,388672,384381,425144,655342,478800,453799,1216146,312608,15243257,8473566,15037000,101789000,56600000,1005800000,1457100000,1869800000,2244200000,2226200000,2362300000,3010200000,3282700000,3341500000,3883100000,4023600000,6521700000,8767700000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10447417,12847382,33393000,110005000,136600000,181900000,132100000,77400000,218200000,106500000,68000000,87100000,228300000,230200000,355200000,369900000,5381000000,7396700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,17861,16651,20059,16797,91807,177649,- -,- -,- -,- -,- -,1535000,- -,2000000,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1094055,1880588,1696380,706990,1891383,2338167,5837012,6102351,7724667,17279714,97626300,115574000,171562000,159900000,127500000,189600000,390900000,175400000,179900000,264000000,1575600000,2006500000,2221800000,3081100000,4948400000,804700000,1771200000
58,Total Non-Current Liabilities,- -,1111916,1897239,1716439,723787,1983190,2515816,5837012,6102351,7724667,27727131,110473682,150502000,281567000,298500000,309400000,321700000,468300000,395600000,286400000,332000000,1662700000,2234800000,2452000000,3436300000,5318300000,6185700000,9167900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118700000,146600000
61,Total Liabilities,- -,1543837,2285911,2100820,1148931,2638532,2994616,6290811,7318497,8037275,42970388,118947248,165539000,383356000,355100000,1315200000,1778800000,2338100000,2639800000,2512600000,2694300000,4672900000,5517500000,5793500000,7319400000,9341900000,12707400000,17935600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,14609,14508,14113,14816,17254,22095,22944,23756,47024,70691,74259,78000,83000,100000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
64,Retained Earnings,- -,1250305,1990748,2688238,1831686,1532824,-220290,-3525218,-3796205,-2531820,-6465,-52432,3408000,-1084000,26700000,54300000,59700000,97000000,112000000,125400000,144700000,200400000,255100000,261500000,317000000,402100000,572400000,682500000
65,Other Comprehensive Income/Loss,- -,-241683,-335698,-456822,-605059,-731057,-765065,-944502,-445399,-333274,- -,- -,- -,-1533000,-2400000,-3100000,-2900000,-6000000,-2000000,-6000000,-12000000,-18000000,-25000000,-25000000,-33000000,-35000000,-40000000,-25100000
66,Other Total Stockholders Equity,- -,3534257,3572823,3581865,4169707,5319985,8431398,8889663,8471530,12116398,24685139,28050077,30457000,38115000,50400000,187400000,184300000,205100000,208900000,215800000,212500000,214500000,203500000,213200000,221100000,226900000,234900000,246400000
67,Total Stockholders Equity,- -,4557488,5242381,5827394,5411150,6139006,7468138,4442887,4253682,9298328,24749365,28071904,33943000,35581000,74800000,238800000,241300000,296300000,319100000,335400000,345400000,397100000,433800000,449900000,505300000,594200000,767500000,904000000
68,Total Liabilities And Stockholders Equity,- -,6101325,7528292,7928214,6560081,8777538,10462754,10733698,11572179,17335603,67719753,147019152,199482000,418937000,429900000,1554000000,2020100000,2634400000,2958900000,2848000000,3039700000,5070000000,5951300000,6243400000,7824700000,9936100000,13474900000,18839600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,431000,3065000,8100000,1700000,1600000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6101325,7528292,7928214,6560081,8777538,10462754,10733698,11572179,17335603,67719753,147019152,199913000,422002000,438000000,1555700000,2021700000,2635700000,2958900000,2848000000,3039700000,5070000000,5951300000,6243400000,7824700000,9936100000,13474900000,18839600000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913760/000119312506257293/0001193125-06-257293-index.htm,- -,https://www.sec.gov/Archives/edgar/data/913760/000119312508249705/0001193125-08-249705-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/913760/000091376011000012/0000913760-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376012000116/0000913760-12-000116-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376014000006/0000913760-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376014000155/0000913760-14-000155-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376015000180/0000913760-15-000180-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376016000359/0000913760-16-000359-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376017000119/0000913760-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376018000157/0000913760-18-000157-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376019000141/0000913760-19-000141-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376020000206/0000913760-20-000206-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376021000189/0000913760-21-000189-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,577268,726361,717869,-217338,397181,279143,-3304928,-270987,1264385,2525355,2613635,3460000,-4492000,27800000,27600000,5400000,37300000,15000000,19300000,19300000,55700000,54700000,6400000,55500000,85100000,169600000,116300000
74,Depreciation and Amortization,- -,89248,126017,162122,177991,152001,367118,528834,376975,362341,185769,320617,420000,838000,1200000,700000,1700000,4700000,7200000,8000000,7300000,7200000,7800000,9800000,11600000,14000000,29600000,48700000
75,Deferred Income Tax,- -,-10605,3740,-17843,-81476,118043,125433,-1530696,856723,211309,-2972,280553,1617000,-6341000,7800000,-3700000,3700000,1800000,-300000,-7800000,-6800000,4800000,-800000,-9800000,22300000,3700000,4100000,3200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,750000,1500000,1900000,1900000,2300000,5900000,9300000,4300000,3600000,5100000,6300000,6600000,8100000,10300000,13900000
77,Change in Working Capital,- -,-907739,1361703,237619,489879,141538,2111482,-4084858,1900744,6588865,15921179,5131130,45308276,-12274000,68716000,135500000,-309500000,458500000,-4300000,-83800000,13600000,-178000000,104500000,216300000,131200000,80800000,1690200000,1930600000
78,Accounts Receivable,- -,-152734,-84402,-167914,-386703,791753,- -,-934764,- -,- -,1672851,818914,-4340000,-36640000,-8300000,13100000,-22400000,-578000000,-8600000,-34800000,-126100000,-124100000,244400000,-1005500000,384500000,-376000000,900000,-68300000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15306000,-24127000,-17800000,-49600000,-18100000,-35600000,29000000,72700000,17800000,7100000,-91000000,-1700000,-98700000,3000000,-51800000,-166400000
80,Accounts Payable,- -,8946,14226,5034,-43467,82350,105768,51955,-231138,48621,-3219004,-1613242,361000,74874000,6000000,20100000,417200000,397000000,258600000,23800000,193400000,355300000,179700000,271300000,538600000,-40100000,2136400000,2182400000
81,Other Working Capital,- -,1450443,2812146,3049765,3539644,3681182,5792664,1707806,3608550,10197415,26118594,31249724,76558000,64284000,133000000,268500000,-41000000,417500000,413200000,329400000,343000000,165000000,269500000,485800000,617000000,697800000,2388000000,-1000000
82,Other Non-Cash Items,- -,-88215,-1283923,-786550,-35404,500899,-1736960,4619381,-361178,-9310801,-10835361,-10416256,-54814276,-28254000,-135616000,-179400000,409800000,-295600000,-115600000,99900000,94900000,144600000,-199100000,-215100000,-301200000,3900000,46800000,10000000
83,Cash Provided by Operating Activities,- -,-340043,933898,313217,333652,1309662,1146216,-3772267,2502277,-883901,7793970,-2070321,-3980000,-49773000,-28600000,-17400000,113000000,209000000,-92100000,44900000,132600000,37900000,-27800000,13900000,-74000000,195600000,1950600000,2122700000
84,CAPEX,- -,-99517,-202980,-250096,-58724,-373308,-545157,-567421,-44070,-298859,-254057,-302922,-586000,-1242000,-1100000,-2800000,-4700000,-10100000,-8700000,-4900000,-4300000,-9100000,-15400000,-16100000,-12500000,-11900000,-16600000,-62100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,-9000000,-12000000,- -,- -,-8000000,-20000000,-6000000,-4000000,-29000000,- -,-2400000
86,Purchases of Investments,- -,-5385435,-10493838,-7815146,- -,- -,- -,- -,- -,- -,-3000000,- -,-1005000,-13500000,-10000000,- -,- -,-3400000,- -,-300000,- -,-700000,-100000,-200000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,5387000,11029000,7921075,- -,- -,- -,- -,- -,- -,- -,- -,3368000,- -,- -,17900000,- -,1300000,- -,10100000,- -,2100000,- -,- -,800000,- -,- -,1600000
88,Other Investing Activites,- -,54035,- -,- -,- -,-50000,-810828,-488291,888243,-272641,-5348497,-1562158,881000,-113000,12200000,12700000,-37700000,-300000,700000,200000,- -,200000,- -,- -,300000,100000,-225000000,3100000
89,Cash Used for Investing Activites,- -,-43917,332182,-144167,-58724,-423308,-810828,-488291,888243,-272641,-8348497,-1865080,658000,-14855000,1100000,27800000,-42400000,-21500000,-20000000,5100000,-4300000,-15500000,-35500000,-22300000,-15400000,-40800000,-241600000,-59800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6313000,- -,- -,-13800000,-56000000,-38000000,- -,-157200000,-38500000,-400000,-800000,-46300000,-800000,-354100000,-744300000,-197800000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,42990,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-21435,-41468,-132856,-198906,-12896,- -,- -,- -,-8200,- -,- -,- -,- -,- -,-100000,- -,- -,-4000000,-3900000,-9700000,-4700000,-19500000,- -,- -,-3800000,-7500000,-11700000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,289471,684477,- -,1782,3747711,14572422,3092820,27422000,80315000,37400000,700000,6800000,-10400000,133000000,31400000,-600000,20100000,141300000,52000000,121700000,367500000,1064100000,173900000
95,Cash Used/Provided by Financing Activities,- -,-21435,-41468,-132856,-198906,276575,727467,- -,81782,3739511,14572422,3092820,21109000,80315000,37400000,-13200000,-49200000,-48400000,129000000,-129700000,-48800000,15000000,121000000,5700000,120900000,9600000,312300000,-35600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000,-800000,500000,- -,-400000,-1200000,-500000,-4300000,-600000,-9600000,1400000,-4100000,-700000,-4200000,13800000
97,Net Change In Cash,- -,-405395,1224612,36194,76022,1162929,1062855,-4260558,3472302,2582969,14017895,-842581,17787000,15650000,9100000,-2300000,21400000,138700000,15700000,-80200000,75200000,36800000,48100000,-1300000,27400000,163700000,2017100000,2041100000
98,Cash at the End of Period,- -,1604871,2829483,2962847,3038869,4209004,5271859,1011301,4483603,7066572,21084467,20241886,38029000,53679000,62800000,60500000,81900000,220600000,236300000,156100000,231300000,268100000,316200000,314900000,342300000,2451300000,4468400000,6509500000
99,Cash at the Beginning of Period,- -,2010266,1604871,2926653,2962847,3046075,4209004,5271859,1011301,4483603,7066572,21084467,20242000,38029000,53700000,62800000,60500000,81900000,220600000,236300000,156100000,231300000,268100000,316200000,314900000,2287600000,2451300000,4468400000
100,Free Cash Flow,- -,-439560,730918,63121,274928,936354,601059,-4339688,2458207,-1182760,7539913,-2373243,-4566000,-51015000,-29700000,-20200000,108300000,198900000,-100800000,40000000,128300000,28800000,-43200000,-2200000,-86500000,183700000,1934000000,2060600000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913760/000119312506257293/0001193125-06-257293-index.htm,- -,https://www.sec.gov/Archives/edgar/data/913760/000119312508249705/0001193125-08-249705-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/913760/000091376011000012/0000913760-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376012000116/0000913760-12-000116-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376014000006/0000913760-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376014000155/0000913760-14-000155-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376015000180/0000913760-15-000180-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376016000359/0000913760-16-000359-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376017000119/0000913760-17-000119-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376018000157/0000913760-18-000157-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376019000141/0000913760-19-000141-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376020000206/0000913760-20-000206-index.htm,https://www.sec.gov/Archives/edgar/data/913760/000091376021000189/0000913760-21-000189-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
