,https://roic.ai/company/ABNB,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,3736010000,5233764000,5139779000,6359282000
54,Long-Term Debt,- -,- -,- -,2246467000,2355020000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,3394387000,3884040000,203470000,218459000
58,Total Non-Current Liabilities,- -,3394387000,3884040000,2449937000,2573479000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,419396000,487491000,435962000
61,Total Liabilities,- -,7130397000,9117804000,7589716000,8932761000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,26000,26000,60000,63000
64,Retained Earnings,- -,-768888000,-1420991000,-6005707000,-6357741000
65,Other Comprehensive Income/Loss,- -,-7912000,-4410000,2639000,-6893000
66,Other Total Stockholders Equity,- -,259466000,617690000,8904791000,- -
67,Total Stockholders Equity,- -,-517308000,-807685000,2901783000,4775713000
68,Total Liabilities And Stockholders Equity,- -,6613089000,8310119000,10491499000,13708474000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6613089000,8310119000,10491499000,13708474000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/0001559720-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/0001559720-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-70046000,-16860000,-674339000,-4584716000,-352034000
74,Depreciation and Amortization,79342000,82401000,114162000,125876000,138319000
75,Deferred Income Tax,-4180000,-5017000,-5627000,-19601000,10935000
76,Stock Based Compensation,38357000,53893000,97547000,3001948000,898830000
77,Change in Working Capital,183202000,-810843000,2448928000,- -,637923000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,11758000,29837000,75716000,-73111000,39946000
81,Other Working Capital,2138522000,1327679000,3776607000,3776607000,495816000
82,Other Non-Cash Items,24550000,1291983000,-1757944000,846761000,855721000
83,Cash Provided by Operating Activities,251225000,595557000,222727000,-629732000,2189694000
84,CAPEX,-100204000,-90624000,-125452000,-37371000,-25322000
85,Acquisitions Net,-176649000,-60150000,-400298000,- -,- -
86,Purchases of Investments,-1040246000,-1270578000,-1016155000,-3032664000,-4938188000
87,Sales/Maturities of Investments,528155000,756471000,1161085000,3158225000,3611055000
88,Other Investing Activites,- -,-3290000,33665000,-8600000,500000
89,Cash Used for Investing Activites,-788944000,-668171000,-347155000,79590000,-1351955000
90,Debt Repayment,- -,- -,- -,-5000000,-2207883000
91,Common Stock Issued,- -,- -,- -,3650870000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,672954000,140516000,854579000,-705056000,3639042000
95,Cash Used/Provided by Financing Activities,672954000,140516000,854579000,2940814000,1431159000
96,Effect of Forex Changes on Cash,227172000,-158919000,-25284000,134137000,-209861000
97,Net Change In Cash,362407000,-91017000,704867000,2524809000,2059037000
98,Cash at the End of Period,4529593000,4438576000,5143443000,7668252000,9727289000
99,Cash at the Beginning of Period,4167186000,4529593000,4438576000,5143443000,7668252000
100,Free Cash Flow,151021000,504933000,97275000,-667103000,2164372000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/0001559720-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/0001559720-22-000006-index.htm
102,false,,,,,
