,https://roic.ai/company/GTBIF,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-203784,-327775,-220657,-6126712,-3889837,-6576162,-21911444,-9978786,-23271927,-2963137,-686797,-3949691,-979715,-3742714,-7863528,-59116407,14992967,80363000
74,Depreciation and Amortization,- -,- -,776,1749,10027,48090,52782,42959,37558,22116,9091,4019,2785,2102,689988,5183980,38773494,78792828,68458000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-5818794,-2680871,-2573494,- -,- -,- -,- -,- -,- -,- -,5454000,-13680913,2094504,-4763000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1122422,398379,544462,262103,7674,27861,- -,- -,- -,14714216,18285377,19336718,19600000
77,Change in Working Capital,- -,-9651,-356418,2030722,8596233,13568111,-19869527,-1610009,-2189785,-1643314,-958000,-341336,-304174,-74609,-915045,126755679,-2431420528,2369299570,223075430
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32086,24183,-703,-3901,-592026,-3682031,-791709,-14252134,-646000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1165818,-7627694,-19928761,-23377268,-16439000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290843,341576,343646,209315,3098293,4725096,-153713,11674295,-9525000
81,Other Working Capital,- -,567746,211329,2242051,10838284,24406394,4536867,2926859,737074,-906240,-1864240,-2205577,-2509751,-2584360,-901768,126776528,-2304644000,64655570,287731000
82,Other Non-Cash Items,- -,71633,505022,-2050584,-3927536,-6481124,26898454,24656947,10852949,23437181,3591001,793496,4026190,845671,-320937,-151359304,2429145367,-2388599622,-254685430
83,Cash Provided by Operating Activities,- -,-141802,-178395,-238770,-1447988,-2573554,-1052903,-996663,-733602,-1193840,-313371,-202756,-224891,-206551,-4288708,-7114957,-18013610,95916965,132048000
84,CAPEX,- -,-74778,-516301,-350115,-8093340,-20018524,-15416139,-1817486,-1741935,-897530,-23168,- -,- -,- -,-14464340,-27482846,-88557016,-59796992,-187850000
85,Acquisitions Net,- -,- -,- -,- -,79124,2106293,- -,-726347,- -,- -,- -,- -,- -,- -,-10372385,-55722108,-109439921,-8921162,- -
86,Purchases of Investments,- -,- -,- -,- -,-6567132,-18791453,- -,- -,-1259420,- -,- -,- -,- -,- -,- -,-56618046,- -,-525000,-79050000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2566662,14885423,3175048,3011768,301125,109310,3352,- -,- -,- -,20000000,3000000,169818,18417000
88,Other Investing Activites,- -,- -,-6078,- -,-209822,983391,1108476,390381,944674,1069823,17613,211023,- -,286783,-1408686,-2216313,20325557,11799025,-32247000
89,Cash Used for Investing Activites,- -,-74778,-522379,-350115,-14791170,-33153630,577761,1021595,955087,473419,103755,214375,- -,286783,-26025411,-121989314,-174671380,-57274311,-280730000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-228379,-1353592,-18743500,-303850,- -
91,Common Stock Issued,- -,669468,325258,2791549,21926208,30490022,620670,24974,350309,- -,37216,62755,189423,- -,- -,66805295,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-89211,-11463,-249832,-399039,-917195,- -,- -,- -,- -,-2233,4381,-4364,- -,47152477,180073143,112109752,-1248353,295344000
95,Cash Used/Provided by Financing Activities,- -,580257,313794,2541717,21527169,29572827,620670,24974,350309,- -,34983,67136,185059,- -,46924098,245524846,93366252,-1552203,295344000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,363677,-386980,1952833,21527169,-6154357,145528,49907,571793,-720422,-174633,78755,-39832,80232,16609979,116420575,-99318738,37090451,146662000
98,Cash at the End of Period,- -,580322,244280,2228569,5288011,160664,269562,375491,975351,239007,57482,131644,77238,151546,29565497,145986072,46667334,83757785,230420000
99,Cash at the Beginning of Period,- -,216645,631260,275736,- -,6315021,124034,325585,403557,959429,232115,52889,117070,71314,12955518,29565497,145986072,46667334,83758000
100,Free Cash Flow,- -,-216580,-694696,-588884,-9541329,-22592077,-16469042,-2814149,-2475537,-2091370,-336539,-202756,-224891,-206551,-18753048,-34597803,-106570626,36119973,-55802000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1795139/000119312521084882/0001193125-21-084882-index.htm,https://www.sec.gov/Archives/edgar/data/1795139/000095017022002469/0000950170-22-002469-index.htm
102,false,,,,,,,,,,,,,,,,,,,
