,https://roic.ai/company/AEYE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,90688,41388,19560,67406,225907,518286,440000,554000
37,Total Current Assets,70188,246928,2498551,3274065,1804986,1474823,2134403,6140350,5608765,14631000,24831000
38,PP&E,7998,7043,3847,651,- -,- -,34994,108007,156171,708000,1030000
39,Goodwill,- -,- -,700528,700528,700528,700528,700528,700528,700528,701000,701000
40,Intangible Assets,- -,- -,3073945,3097293,2840856,2313249,2164463,2061404,1715217,2137000,2622000
41,Intangible Assets,- -,- -,3774473,3797821,3541384,3013777,2864991,2761932,2415745,2838000,3323000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,93790,971562,77000,129000
45,Total Non-Current Assets,7998,7043,3778320,3798472,3541384,3013777,2899985,2963729,3543478,3623000,4482000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,78186,253971,6276871,7072537,5346370,4488600,5034388,9104079,9152243,18254000,29313000
48,Accounts Payable,368790,386279,416531,779891,213620,245677,82628,93544,972691,2190000,- -
49,Short-Term Debt,24000,449000,172845,24000,24000,23800,- -,30172,261458,497000,472000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,13195,54823,- -,123908,60790,386485,1233754,2626712,5372767,6328000,7068000
52,Other Current Liabilities,398270,829418,243424,228983,592835,3510951,3016947,18939,120416,- -,3676000
53,Total Current Liabilities,804255,1719520,832800,1156782,891245,4166913,4333329,2769367,6727332,9015000,11216000
54,Long-Term Debt,1367640,107800,114800,51800,1923499,- -,- -,- -,- -,1083000,450000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,402075,153235,83000,5000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,14450,5048,57735,706995,439000,45000
58,Total Non-Current Liabilities,1367640,107800,114800,51800,1923499,14450,5048,459810,860230,1605000,500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,81322,968453,717000,- -
61,Total Liabilities,2171895,1827320,947600,1208582,2814744,4181363,4338377,3229177,7587562,10620000,11716000
62,Preferred Stock,- -,- -,- -,- -,2,2,1,1,1,1000,- -
63,Common Stock,300,352,532,778,817,1115,1617,76,89,1000,1000
64,Retained Earnings,-3197991,-4091030,-7279473,-17030286,-24239431,-33818061,-39425900,-42143101,-49926372,-57084000,-71293000
65,Other Comprehensive Income/Loss,-14552,-18435,-21631,-24827,-25478,-25478,-31651,-54637,-123764,- -,- -
66,Other Total Stockholders Equity,1133235,2535764,12629843,22918290,26795716,34149659,40151944,48072563,51614727,64716000,88889000
67,Total Stockholders Equity,-2079008,-1573349,5329271,5863955,2531626,307237,696011,5874902,1564681,7634000,17597000
68,Total Liabilities And Stockholders Equity,92887,253971,6276871,7072537,5346370,4488600,5034388,9104079,9152243,18254000,29313000
69,Minority Interest,-14701,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,78186,253971,6276871,7072537,5346370,4488600,5034388,9104079,9152243,18254000,29313000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1362190/000110465914024488/0001104659-14-024488-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000110465915050689/0001104659-15-050689-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000114420416091312/0001144204-16-091312-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420417017567/0001144204-17-017567-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420418018523/0001144204-18-018523-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420419016348/0001144204-19-016348-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000110465920040172/0001104659-20-040172-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000110465921035092/0001104659-21-035092-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000141057822000353/0001410578-22-000353-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-1744402,-893039,-2882626,-9750813,-7209145,-9578630,-5607839,-5019874,-7783271,-7158000,-14209000
74,Depreciation and Amortization,13111,3883,359414,416009,534220,570247,538761,551335,722521,1173000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,12103,1241128,2762324,1075749,- -,- -,- -,- -,4138000,- -
77,Change in Working Capital,620948,-738525,3138343,451532,-1203542,-3605831,493164,5569909,-4489550,6734567,-3336000
78,Accounts Receivable,1553,-4619,-603041,139301,238935,-21904,-64374,-66567,-2945935,128000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-58995,172945,53256,384875,-566272,151858,-160213,11628,879147,1215000,- -
81,Other Working Capital,-734067,-1472592,1665751,2117283,913741,-2692090,-2198926,3370983,-1118567,5616000,13615000
82,Other Non-Cash Items,153061,1364627,-3254643,319348,1328264,10273933,2953195,-2745224,5934459,-6793567,12565000
83,Cash Provided by Operating Activities,-957282,-250951,-1398384,-5801600,-5474454,-2340281,-1622719,-1643854,-5615841,-1906000,-4980000
84,CAPEX,-102627,-2928,-11542,-436162,-277131,-42640,-424969,-425783,-363146,-1298000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-102627,- -,-11542,-48037,-277131,-42640,-383802,-414890,-307207,-1298000,-1624000
89,Cash Used for Investing Activites,-102627,-2928,-11542,-486162,-277131,-42640,-424969,-425783,-363146,-1298000,-1624000
90,Debt Repayment,-4000,-26500,-218000,-213000,-28000,-24000,-23800,-14184,-47044,-63000,- -
91,Common Stock Issued,- -,- -,3231992,2682689,325000,2129082,1550000,5609215,- -,7824000,- -
92,Common Stock Repurchased,- -,- -,-573022,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1087724,264100,804250,3643970,5468941,- -,1072500,255725,2256642,2566000,16475000
95,Cash Used/Provided by Financing Activities,1083724,237600,3245220,6113659,5765941,2105082,2598700,5850756,2209598,10327000,16475000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,23815,-16279,1835294,-174103,14356,-277839,551012,3781119,-3769389,7123000,9871000
98,Cash at the End of Period,27426,11147,1847004,1672901,1687257,1409418,1960430,5741549,1972160,9095000,- -
99,Cash at the Beginning of Period,3611,27426,11710,1847004,1672901,1687257,1409418,1960430,5741549,1972000,- -
100,Free Cash Flow,-1059909,-253879,-1409926,-6237762,-5751585,-2382921,-2047688,-2069637,-5978987,-3204000,-4980000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1362190/000110465914024488/0001104659-14-024488-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000110465915050689/0001104659-15-050689-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000114420416091312/0001144204-16-091312-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420417017567/0001144204-17-017567-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420418018523/0001144204-18-018523-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000114420419016348/0001144204-19-016348-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000110465920040172/0001104659-20-040172-index.html,https://www.sec.gov/Archives/edgar/data/1362190/000110465921035092/0001104659-21-035092-index.htm,https://www.sec.gov/Archives/edgar/data/1362190/000141057822000353/0001410578-22-000353-index.htm
102,false,,,,,,,,,,,
