,https://roic.ai/company/DYNR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-10000,- -,- -,- -,- -,- -,- -,1354808,- -,4333053,- -,- -,- -,768684,- -,587882
58,Total Non-Current Liabilities,30000,- -,- -,- -,- -,- -,- -,1354808,1759855,4333053,- -,237910,1097915,2169485,4591444,587882
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,837830,768684,- -
61,Total Liabilities,180000,40165,103103,83903,96997,125295,356462,1836028,3264902,12112551,7802070,7593434,9449186,9141077,17188848,23056652
62,Preferred Stock,- -,1000,1000,1000,- -,1000,1000,47,1,1,4333054,4333054,4333054,4333054,4337481,- -
63,Common Stock,80000,82768,90739,93743,97632,106029,108020,110520,141461,167228,167228,177228,177228,177228,177228,- -
64,Retained Earnings,-6000000,-9315558,-16377780,-6002516,-6002516,-6002516,-6002516,-6002516,-40383731,-54800910,-53013185,-50898357,-50723786,-53952594,-59256828,-50722465
65,Other Comprehensive Income/Loss,- -,41711,1574793,-11445904,-16817967,-20917434,-23443853,-26440223,2495629,4822094,3771532,1265853,1247198,325841,438092,-247665
66,Other Total Stockholders Equity,11880000,15907181,22641281,25513040,31052472,38461114,40418750,42624996,45929832,51948268,51948268,54438268,54438268,54438268,48972847,50818541
67,Total Stockholders Equity,5960000,6717102,7930033,8159363,8329621,11648193,11081401,10292824,8183192,2136681,7206897,9316046,9471962,5321797,-5331180,-151589
68,Total Liabilities And Stockholders Equity,6140000,6757267,8033136,8243266,8426618,11773488,11437863,12128852,11448094,14249232,15008967,16909480,18921148,14462874,11857668,22905063
69,Minority Interest,- -,344980,-589754,-1044744,-1923300,-3588806,-5122891,-5729826,-6181229,-6461950,-5842478,-5416168,-5605129,-5723663,- -,5857380
70,Total Liabilities & Equity,6140000,7102247,7443382,7198522,6503318,8184682,6314972,6399026,5266865,7787282,9166489,11493312,13316019,8739211,11857668,28762443
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1111741/000112178109000137/0001121781-09-000137-index.html,https://www.sec.gov/Archives/edgar/data/1111741/000112178110000128/0001121781-10-000128-index.html,- -,https://www.sec.gov/Archives/edgar/data/1111741/000112178113000018/0001121781-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178113000092/0001121781-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178114000183/0001121781-14-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000135448815002119/0001354488-15-002119-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178116000438/0001121781-16-000438-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495417003670/0001654954-17-003670-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495418003966/0001654954-18-003966-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178119000077/0001121781-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495420006436/dyna_10k.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495421003661/0001654954-21-003661-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495422003737/0001654954-22-003737-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-2650000,-3175395,-5236992,-2817757,-4372473,-4269119,-2221613,-2978187,-5991701,-9780000,1947725,2653210,174571,-798335,-5304234,8534363
74,Depreciation and Amortization,150000,146391,161006,141571,142951,132022,193767,67475,56468,125164,77638,153862,278815,3255,3249,3249
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,290000,1257494,331251,-644034,-239741,920395,-1326024,-341179,-1883693,-4084586,1577665,1607598,41161,-1572677,-2422622,7126703
78,Accounts Receivable,- -,186064,-37146,-535,50760,- -,- -,- -,-21652,-141109,-366861,130825,-751409,-28481,262462,263625
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-111058,-14642,-529405,-346744,-680796,1065689,-80878,-1506236
80,Accounts Payable,- -,-41404,96970,-56384,-8361,41041,122986,-81754,119015,183914,63587,-47906,1480512,990056,214582,-998332
81,Other Working Capital,1000000,2257494,2588745,1944711,1704970,2625365,1299341,958162,-925531,-5010117,-3432452,-1824854,-1783693,-3356370,-5778992,1347711
82,Other Non-Cash Items,740000,-3263694,-866021,279398,213845,-1051430,706844,-673900,2864348,6630344,-3067892,-2356084,13702,1046397,5302499,1851890
83,Cash Provided by Operating Activities,-1470000,-5035204,-5610756,-3040822,-4255418,-4268132,-2647026,-3925791,-4954578,-7109078,535136,2058586,508249,-1321360,-2421108,17516205
84,CAPEX,-100000,-82132,-130170,-69192,-115299,-692303,-3313,-120533,-79545,-669428,-145030,-1273189,-1043322,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-489876,510024,- -,603504,25391,1102,- -,- -,- -,23715,- -,- -,- -
89,Cash Used for Investing Activites,-100000,-82132,-130170,-559068,324725,-692303,600191,-95142,-78443,-669428,-145030,-1273189,-1019607,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-228570,-150000,-171894,-512136,-111977,-425677,-61406
91,Common Stock Issued,- -,1145314,1687260,2786513,4782573,2225657,1262450,- -,757500,2917750,- -,2500000,- -,- -,- -,- -
92,Common Stock Repurchased,800000,-7500,-40290,-183000,-141689,- -,-50750,-94500,-7500,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-160000,- -,- -,- -,- -,- -
94,Other Financing Activites,1030000,3165575,6198082,-44256,-1073634,4128646,-313146,3736125,1923849,4280000,- -,- -,- -,- -,4020000,-2496315
95,Cash Used/Provided by Financing Activities,1830000,4303389,7845052,2559257,3567250,6354303,898554,3641625,2673849,6969180,-310000,2328106,-512136,-111977,3594323,-2557721
96,Effect of Forex Changes on Cash,- -,-7825,-1825230,341580,- -,- -,- -,- -,1466787,2480966,194300,-1781773,180335,-897667,-23771,-743262
97,Net Change In Cash,250000,1239825,278896,-699053,-363443,1393868,-1148281,-379308,-892385,1671640,274406,1331730,-843159,-2331004,1149444,14215222
98,Cash at the End of Period,250000,2060665,2339561,1640508,1277065,2670933,1522652,1143344,250959,1922599,2197005,3528735,2685576,354572,1504016,15719238
99,Cash at the Beginning of Period,- -,820840,2060665,2339561,1640508,1277065,2670933,1522652,1143344,250959,1922599,2197005,3528735,2685576,354572,1504016
100,Free Cash Flow,-1570000,-5117336,-5740926,-3110014,-4370717,-4960435,-2650339,-4046324,-5034123,-7778506,390106,785397,-535073,-1321360,-2421108,17516205
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1111741/000112178109000137/0001121781-09-000137-index.html,https://www.sec.gov/Archives/edgar/data/1111741/000112178110000128/0001121781-10-000128-index.html,- -,https://www.sec.gov/Archives/edgar/data/1111741/000112178113000018/0001121781-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178113000092/0001121781-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178114000183/0001121781-14-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000135448815002119/0001354488-15-002119-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178116000438/0001121781-16-000438-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495417003670/0001654954-17-003670-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495418003966/0001654954-18-003966-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000112178119000077/0001121781-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495420006436/dyna_10k.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495421003661/0001654954-21-003661-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000165495422003737/0001654954-22-003737-index.htm
102,false,,,,,,,,,,,,,,,,
