,https://roic.ai/company/ICFI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362004/000119312507070784/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312508058961/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312509053605/0001193125-09-053605-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312510053965/0001193125-10-053965-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312511056232/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312512094488/0001193125-12-094488-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312513085861/0001193125-13-085861-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000143774914003105/ifci20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000143774915003683/ifci20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000143774916027070/0001437749-16-027070-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000143774917003385/0001437749-17-003385-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459018003648/0001564590-18-003648-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459019004641/0001564590-19-004641-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459020007616/0001564590-20-007616-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459021009169/0001564590-21-009169-index.htm,https://www.sec.gov/Archives/edgar/data/1362004/000156459022006889/0001564590-22-006889-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1011000,- -,- -,797000,499000,2997000,2733000,1536000,2353000,3301000,4097000,14725000,8953000,12122000,7747000,6042000,11809000,11694000,6482000,13841000,8254000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1011000,- -,- -,797000,499000,2997000,2733000,1536000,2353000,3301000,4097000,14725000,8953000,12122000,7747000,6042000,11809000,11694000,6482000,13841000,8254000
34,Net Receivables,- -,- -,- -,30070000,52871000,110548000,192092000,154308000,178295000,178591000,210581000,216169000,209544000,265969000,259834000,281365000,297111000,364159000,410833000,368196000,386376000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1911000,3891000,5153000,7857000,10873000,8003000,11968000,15911000,7608000,7847000,10338000,10032000,11724000,22518000,16253000,17402000,93638000,54533000
37,Total Current Assets,- -,- -,- -,32778000,57261000,118698000,202682000,166717000,188651000,193860000,230589000,238502000,226344000,288429000,277613000,299131000,331438000,392106000,434717000,475675000,449163000
38,PP&E,- -,- -,- -,4065000,3984000,5388000,7541000,13373000,22600000,18887000,21067000,28860000,30214000,43241000,45425000,40484000,38052000,48105000,192202000,189566000,229470000
39,Goodwill,- -,- -,- -,- -,81182000,83833000,159491000,198724000,323467000,323467000,401134000,410583000,418839000,687778000,687404000,683683000,686108000,715644000,719934000,909913000,1046760000
40,Intangible Assets,- -,- -,- -,2205000,4127000,2720000,17710000,16844000,38474000,26148000,33740000,21016000,12239000,76707000,58899000,46129000,35304000,35494000,25829000,59887000,79645000
41,Intangible Assets,- -,- -,- -,2205000,85309000,86553000,177201000,215568000,361941000,349615000,434874000,431599000,431078000,764485000,746303000,729812000,721412000,751138000,745763000,969800000,1126405000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,55009000,4570000,5188000,5601000,5359000,9035000,10457000,8085000,10760000,13278000,14185000,13818000,16144000,19353000,22513000,24535000,32249000,44496000
45,Total Non-Current Assets,- -,- -,- -,61279000,93863000,97129000,190343000,234300000,393576000,378959000,464026000,471219000,474570000,821911000,805546000,786440000,778817000,821756000,962500000,1191615000,1400371000
46,Other Assets,88311000,105945000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,88311000,105945000,- -,94057000,151124000,215827000,393025000,401017000,582227000,572819000,694615000,709721000,700914000,1110340000,1083159000,1085571000,1110255000,1213862000,1397217000,1667290000,1849534000
48,Accounts Payable,- -,- -,- -,4187000,7062000,19455000,74260000,27740000,27075000,29866000,38685000,44665000,45544000,65755000,63738000,70586000,75074000,102599000,134578000,91365000,105652000
49,Short-Term Debt,- -,3750000,- -,4235000,6767000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32500000,33350000,44901000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8758000,128000,4520000,4160000,4428000,5360000,6289000
51,Deferred Revenue,- -,- -,- -,4081000,6396000,18281000,16067000,12352000,19370000,20034000,20180000,22333000,20282000,31554000,33392000,29394000,38571000,33494000,37413000,42050000,39665000
52,Other Current Liabilities,- -,- -,- -,14773000,18895000,58611000,74885000,62700000,53842000,66272000,75467000,79833000,84394000,105934000,96727000,96740000,110725000,141966000,133491000,260262000,186413000
53,Total Current Liabilities,- -,3750000,- -,27276000,39120000,96347000,165212000,102792000,100287000,116172000,134332000,146831000,150220000,203243000,193857000,196720000,224370000,278059000,337982000,427027000,376631000
54,Long-Term Debt,33183000,27904000,- -,16844000,54205000,- -,47079000,80000000,145000000,85000000,145000000,105000000,40000000,350052000,311532000,259389000,206250000,200424000,165444000,418828000,603410000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2914000,5142000,7223000,10599000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,591000,2730000,1324000,9109000,10849000,11656000,10068000,9247000,9081000,10780000,27886000,25322000,39114000,33351000,40165000,37621000,34330000,41913000
57,Other Non-Current Liabilities,- -,- -,- -,1485000,2166000,4209000,6834000,4459000,4810000,3704000,5785000,9460000,25823000,28470000,29172000,24344000,30254000,34797000,141619000,40144000,24110000
58,Total Non-Current Liabilities,33183000,27904000,- -,18920000,59101000,5533000,63022000,95308000,164380000,103914000,167255000,134140000,76603000,406408000,366026000,322847000,269855000,275386000,344684000,493302000,669433000
59,Other Liabilities,90679000,87020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151750000,138964000,226706000
61,Total Liabilities,57496000,62866000,- -,46196000,98221000,101880000,228234000,198100000,264667000,220086000,301587000,280971000,226823000,609651000,559883000,519567000,494225000,553445000,682666000,920329000,1046064000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,92000,93000,14000,15000,15000,19000,20000,20000,20000,21000,21000,21000,22000,22000,22000,23000,23000,23000
64,Retained Earnings,- -,- -,- -,1812000,3834000,15701000,55387000,84110000,106466000,133637000,168502000,206577000,245907000,285937000,325306000,371890000,434766000,486442000,544840000,588731000,649298000
65,Other Comprehensive Income/Loss,- -,- -,- -,-759000,-931000,-335000,340000,-284000,-337000,-524000,-805000,-1241000,-990000,-2481000,-7491000,-9640000,-5039000,-12551000,-12144000,-14106000,-11035000
66,Other Total Stockholders Equity,30815000,43079000,- -,46716000,49907000,98567000,109049000,119076000,211412000,219600000,225311000,223394000,229153000,217212000,205440000,203732000,186281000,186504000,181832000,172313000,165184000
67,Total Stockholders Equity,30815000,43079000,- -,47861000,52903000,113947000,164791000,202917000,317560000,352733000,393028000,428750000,474091000,500689000,523276000,566004000,616030000,660417000,714551000,746961000,803470000
68,Total Liabilities And Stockholders Equity,88311000,105945000,- -,94057000,151124000,215827000,393025000,401017000,582227000,572819000,694615000,709721000,700914000,1110340000,1083159000,1085571000,1110255000,1213862000,1397217000,1667290000,1849534000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,88311000,105945000,- -,94057000,151124000,215827000,393025000,401017000,582227000,572819000,694615000,709721000,700914000,1110340000,1083159000,1085571000,1110255000,1213862000,1397217000,1667290000,1849534000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1362004/000119312507070784/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312508058961/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312509053605/0001193125-09-053605-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312510053965/0001193125-10-053965-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312511056232/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312512094488/0001193125-12-094488-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312513085861/0001193125-13-085861-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000143774914003105/ifci20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000143774915003683/ifci20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000143774916027070/0001437749-16-027070-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000143774917003385/0001437749-17-003385-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459018003648/0001564590-18-003648-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459019004641/0001564590-19-004641-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459020007616/0001564590-20-007616-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459021009169/0001564590-21-009169-index.htm,https://www.sec.gov/Archives/edgar/data/1362004/000156459022006889/0001564590-22-006889-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,3017000,2022000,11867000,40556000,28723000,22356000,27171000,34865000,38075000,39330000,40030000,39369000,46584000,62876000,61400000,68938000,54959000,71132000
74,Depreciation and Amortization,- -,- -,- -,3155000,5541000,3536000,6316000,14090000,20553000,23101000,20307000,24440000,20715000,23806000,33406000,29119000,28579000,27206000,28182000,33748000,31970000
75,Deferred Income Tax,- -,- -,- -,-280000,-1916000,-1558000,-1815000,-3380000,2203000,-5224000,-4623000,13637000,2434000,4071000,2106000,6535000,-7390000,5100000,-123000,-1865000,8816000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,7192000,7533000,6658000,8770000,8891000,11008000,10850000,9082000,10291000,11506000,15818000,17555000,13230000
77,Change in Working Capital,- -,- -,- -,-2005000,12639000,4210000,15119000,26455000,24439000,-10676000,18569000,-4586000,-15547000,9062000,-1430000,18655000,4657000,6979000,-17312000,-48087000,-35170000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18147000,12457000,829000,-2464000,-2713000,-29020000,-7234000,-60096000,-31300000,54384000,-19021000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-3763000,2396000,7996000,2604000,730000,9424000,-2374000,8941000,3631000,28309000,31949000,-51177000,13479000
81,Other Working Capital,- -,- -,- -,5502000,18141000,22351000,37470000,63925000,88364000,77688000,96257000,91671000,76124000,85186000,83756000,102411000,107068000,114047000,96735000,48648000,-15214000
82,Other Non-Cash Items,- -,- -,- -,-618000,-16050000,-526000,-14713000,-37839000,-28189000,26273000,-16255000,6905000,25209000,-8817000,-7982000,-30412000,18178000,-37521000,-4063000,116835000,20227000
83,Cash Provided by Operating Activities,- -,- -,- -,3269000,2236000,17529000,45463000,28049000,48554000,68178000,59521000,87241000,81032000,79160000,76319000,79563000,117191000,74670000,91440000,173145000,110205000
84,CAPEX,- -,- -,- -,-1155000,-1370000,-1875000,-3806000,-10270000,-8505000,-7677000,-10234000,-13561000,-14161000,-12974000,-12682000,-13791000,-14513000,-21812000,-26901000,-17683000,-19932000
85,Acquisitions Net,- -,- -,- -,659000,-38604000,102000,-96392000,-51422000,-188672000,- -,-108009000,-9974000,-4763000,-347871000,-1818000,-100000,-91000,-34575000,-3569000,-253265000,-174549000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,311000,1130000,- -,- -,- -,-8068000,-7677000,-10234000,-13561000,-14161000,-12974000,-12682000,-13791000,-14513000,-21812000,-26901000,-17683000,-19932000
89,Cash Used for Investing Activites,- -,- -,- -,-185000,-38844000,-1773000,-100198000,-61692000,-197177000,-7677000,-118243000,-23535000,-18924000,-360845000,-14500000,-13891000,-14604000,-56387000,-30470000,-270948000,-194481000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-251439000,-103338000,-153138000,-212270000,-204215000,-422980000,-420265000,-530728000,-643363000,-579817000,-721809000,-870114000,-773264000
91,Common Stock Issued,- -,- -,- -,- -,312000,481000,3925000,2612000,83382000,66000,77000,33000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-324000,- -,- -,- -,-2329000,-4179000,-1291000,-975000,-11602000,-7447000,-28323000,-24861000,-13823000,-32464000,-17125000,-23414000,-29726000,-20040000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7915000,-10540000,-10551000,-10565000
94,Other Financing Activites,- -,- -,- -,-3496000,35975000,-13758000,50412000,32796000,321741000,45197000,213835000,171197000,143531000,737161000,380678000,477577000,588527000,576086000,688123000,1080346000,827102000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-3820000,36287000,-13277000,54337000,33079000,149505000,-59366000,59799000,-52642000,-68131000,285858000,-64448000,-66974000,-87300000,-28771000,-67640000,169955000,23233000
96,Effect of Forex Changes on Cash,- -,- -,- -,-110000,23000,19000,134000,-633000,-65000,-187000,-281000,-436000,251000,-1004000,-1746000,-403000,1094000,-792000,166000,3353000,-511000
97,Net Change In Cash,- -,- -,- -,-846000,-298000,2498000,-264000,-1197000,817000,948000,796000,10628000,-5772000,3169000,-4375000,-1705000,16381000,-11280000,-6504000,75505000,-61554000
98,Cash at the End of Period,- -,- -,- -,797000,499000,2997000,2733000,1536000,2353000,3301000,4097000,14725000,8953000,12122000,7747000,6042000,24266000,12986000,6482000,81987000,20433000
99,Cash at the Beginning of Period,- -,- -,- -,1643000,797000,499000,2997000,2733000,1536000,2353000,3301000,4097000,14725000,8953000,12122000,7747000,7885000,24266000,12986000,6482000,81987000
100,Free Cash Flow,- -,- -,- -,2114000,866000,15654000,41657000,17779000,40049000,60501000,49287000,73680000,66871000,66186000,63637000,65772000,102678000,52858000,64539000,155462000,90273000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1362004/000119312507070784/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312508058961/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312509053605/0001193125-09-053605-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312510053965/0001193125-10-053965-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312511056232/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000119312512094488/0001193125-12-094488-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000119312513085861/0001193125-13-085861-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000143774914003105/ifci20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000143774915003683/ifci20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1362004/000143774916027070/0001437749-16-027070-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000143774917003385/0001437749-17-003385-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459018003648/0001564590-18-003648-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459019004641/0001564590-19-004641-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459020007616/0001564590-20-007616-index.html,https://www.sec.gov/Archives/edgar/data/1362004/000156459021009169/0001564590-21-009169-index.htm,https://www.sec.gov/Archives/edgar/data/1362004/000156459022006889/0001564590-22-006889-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
