,https://roic.ai/company/IMO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1261009367,1225107029,1801949318,2460868528,3900057904,3064609674,1874971112,2016020343,1819962934,2158507505,1865966730,1853912567,1842030021,1836996904,1854890046,1918116377,1895893028,1934214668,3327321912,3389728822,3750436097,3388863001,3421392392,7306945119,3155000000,3133000000,3252000000,1164000000,1205000000,1142000000,1190000000,1223000000,1076000000,927000000,947000000,754000000,816000000
11,COGS and Expenses,6586047812,5524098881,5954905783,6311858745,8966068327,11510265630,8707996303,8415003178,8036007414,9830551270,8312926097,9340962039,9433023588,8217027864,9118923611,15572885423,15202164916,15229776519,16932886771,19425245981,24288870799,20659366263,21026914291,26304031083,19193000000,22131000000,26305000000,24858000000,27758000000,30379000000,23358000000,23195000000,27091000000,30144000000,30011000000,22875000000,32283000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,-4000000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),125961135,103991161,- -,102004295,456977417,400185593,229951468,158041958,176992322,208304110,207935642,235028094,- -,180959752,- -,158968206,146450175,31476235,42509339,7199424,8140481,27958993,35753302,- -,5000000,7000000,3000000,-1000000,11000000,- -,39000000,65000000,78000000,108000000,93000000,64000000,54000000
14,Depreciation and Amortization,321962813,343046541,391942820,461942257,815055009,1025403085,833025191,893960585,833995234,924253051,745977638,710977114,685060758,647058824,666956019,724355129,716332378,703493862,749710164,908327334,895452960,830615098,779620618,728508985,781000000,747000000,764000000,761000000,1110000000,1096000000,1450000000,1628000000,2172000000,1509000000,1598000000,3273000000,1977000000
15,EBITDA,2269956662,1614970308,1506952567,1354927225,1975101331,2376754436,1336029583,1505022250,1579030977,1923551691,1877011180,1878991367,2212008577,1575077400,1698929399,3204859028,2758675581,2516525023,3154708232,3942884569,4821490871,4958061510,5194160294,6004128217,2986000000,3708000000,5173000000,5753000000,4858000000,6117000000,3412000000,4137000000,2832000000,4690000000,3737000000,929000000,5314000000
16,EBITDA ratio,0.2703,0.2412,0.2141,0.1907,0.1974,0.1825,0.1455,0.1681,0.1774,0.1762,0.2022,0.1810,0.2073,0.1750,0.1656,0.1798,0.1600,0.1477,0.1642,0.1756,0.1709,0.2000,0.2041,0.1901,0.1395,0.1486,0.1684,0.1936,0.1552,0.1764,0.1355,0.1768,0.1032,0.1409,0.1161,0.0452,0.1494
17,Operating Income,1810988396,1171937578,1085120208,793128132,1040880139,1511425589,472036053,536935791,866957903,1084023005,972047996,1042072084,1236025733,784984520,1140046296,2255548890,2042343203,1811457350,2274893727,3034557235,3924874985,4128611370,4416525971,5274405051,2205000000,2961000000,4409000000,4857000000,3541000000,4290000000,1830000000,204000000,361000000,3153000000,2183000000,-2327000000,3379000000
18,Operating Income ratio,0.2157,0.1750,0.1541,0.1116,0.1040,0.1161,0.0514,0.0600,0.0974,0.0993,0.1047,0.1004,0.1159,0.0872,0.1111,0.1265,0.1184,0.1063,0.1184,0.1351,0.1391,0.1666,0.1736,0.1670,0.1030,0.1187,0.1436,0.1635,0.1131,0.1237,0.0727,0.0087,0.0132,0.0947,0.0678,-0.1132,0.0950
19,Total Other Income Expenses (Gains),11044318,-4004972,29889539,-2147459,-337811234,-560259831,-198983129,-83916084,-298914482,-293028475,-48950096,-109085925,290922086,-37925696,-108072916,65986803,-144858326,-29902424,87595002,-7199424,-6977555,-29123952,-37739597,1214182,-5000000,-7000000,-3000000,136000000,196000000,731000000,93000000,2240000000,221000000,-80000000,-137000000,-81000000,-96000000
20,Income Before Tax,1822032714,1167932606,1115009747,790980673,703068905,951165758,273052924,453019707,568043421,790994530,923097900,932986159,1526947819,747058824,1031973380,2321535693,1897484877,1781554926,2362488729,3027357811,3917897430,4099487418,4378786374,5275619233,2200000000,2954000000,4406000000,4993000000,3737000000,5021000000,1923000000,2444000000,582000000,3073000000,2046000000,-2408000000,3283000000
21,Income Before Tax Ratio,0.2170,0.1744,0.1584,0.1113,0.0703,0.0730,0.0297,0.0506,0.0638,0.0725,0.0994,0.0899,0.1431,0.0830,0.1006,0.1302,0.1100,0.1045,0.1230,0.1348,0.1389,0.1654,0.1721,0.1671,0.1028,0.1184,0.1435,0.1680,0.1194,0.1448,0.0763,0.1044,0.0212,0.0923,0.0636,-0.1172,0.0923
22,Income Tax expense (Gain),1137984063,727938130,398960364,290026247,247017950,379306345,111046915,257978385,288985968,356150933,409053722,147046732,679914224,193034056,449942130,901319736,652658389,571293673,680149427,975521958,1317595069,1055452004,1190783593,1397523069,621000000,744000000,1035000000,1227000000,909000000,1236000000,801000000,279000000,92000000,759000000,-154000000,-551000000,804000000
23,Net Income,684048651,439994476,716049383,500954426,456050955,571859413,162006009,195041322,279057453,434843597,514044178,785939427,847033595,554024768,582031250,1420215957,1243234639,1210261253,1682339302,2051835853,2600302361,3044035415,3188002781,3878096163,1579000000,2210000000,3371000000,3766000000,2828000000,3785000000,1122000000,2165000000,490000000,2314000000,2200000000,-1857000000,2479000000
24,Net Income ratio,0.0815,0.0657,0.1017,0.0705,0.0456,0.0439,0.0176,0.0218,0.0313,0.0398,0.0554,0.0757,0.0794,0.0615,0.0567,0.0797,0.0721,0.0710,0.0876,0.0914,0.0922,0.1228,0.1253,0.1228,0.0738,0.0886,0.1098,0.1267,0.0904,0.1092,0.0445,0.0925,0.0178,0.0695,0.0683,-0.0904,0.0697
25,EPS,0.47,0.30,0.49,0.34,0.33,0.29,0.09,0.11,0.16,0.29,0.30,0.50,0.61,0.41,0.45,-0.75,-0.66,1.06,1.51,1.92,2.54,3.12,3.43,4.39,1.86,2.61,3.98,4.44,3.34,4.47,1.32,2.55,0.58,2.87,2.88,-2.53,3.37
26,EPS Diluted,0.47,0.30,0.49,0.34,0.33,0.29,0.09,0.11,0.16,0.29,0.30,0.50,0.61,0.41,0.45,-0.75,-0.66,1.06,1.51,1.91,2.53,3.11,3.41,4.36,1.84,2.59,3.95,4.42,3.32,4.45,1.32,2.55,0.58,2.86,2.88,-2.53,3.37
27,Weighted Average Shares Outstanding,1454710782,1471504217,1475386609,1486379331,1391205134,1999508437,1753881228,1763962395,1758174477,1501635462,1741342066,1579777743,1388670724,1337287330,1294956726,1228180180,1190360360,1138176727,1116596882,1070523054,1023741087,975652377,929446875,883393203,849760000,847600000,847700000,847700000,847600000,847600000,847600000,847600000,842900000,807500000,762700000,735300000,688983051
28,Weighted Average Shares Outstanding Diluted,1454710782,1471504217,1475386609,1486379331,1391205134,1999508437,1753881228,1763962395,1758174477,1501635462,1741342066,1579777743,1388670724,1337287330,1294956726,1228180180,1190360360,1138176727,1116596882,1072388076,1027787494,978789523,934898176,889471597,856640000,854200000,853600000,851100000,850600000,850600000,850600000,850500000,845700000,810100000,765000000,735300000,688983051
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49938/000090956705000533/t15805e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956706000296/o30346e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956707000270/o34815e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956708000227/o39487e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312509041099/0001193125-09-041099-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312510043119/0001193125-10-043119-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312511047428/d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312512081083/0001193125-12-081083-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312513078520/0001193125-13-078520-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312514068340/d640283d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312515062525/d834284d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312516475769/0001193125-16-475769-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312517052422/0001193125-17-052422-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312518064765/0001193125-18-064765-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312519054202/0001193125-19-054202-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312520050268/0001193125-20-050268-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312521054626/0001193125-21-054626-index.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312522049999/0001193125-22-049999-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,766446333,448280304,1279097672,1660658216,2157502330,1207667097,1974259349,513000000,267000000,1202000000,482000000,272000000,215000000,203000000,391000000,1195000000,988000000,1718000000,771000000,2153000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,766446333,448280304,1279097672,1660658216,2157502330,1207667097,1974259349,513000000,267000000,1202000000,482000000,272000000,215000000,203000000,391000000,1195000000,988000000,1718000000,771000000,2153000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1348756689,1315213191,1625869930,2039772067,1870922647,2132287218,1454589607,1714000000,2000000000,2290000000,1976000000,2084000000,1539000000,1581000000,2023000000,2712000000,2529000000,2699000000,1919000000,3869000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,542965061,511400232,543556515,610536109,707129543,694209951,853569694,811000000,773000000,1001000000,1107000000,1372000000,1501000000,1614000000,1417000000,1500000000,1838000000,1912000000,1834000000,1791000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321057602,352956331,448764100,654727293,573159366,659449797,360611947,467000000,498000000,590000000,527000000,559000000,314000000,272000000,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2979225685,2627850058,3897288217,4965693685,5308713886,4693614063,4643030597,3505000000,3538000000,5083000000,4092000000,4287000000,3569000000,3670000000,3831000000,5407000000,5355000000,6329000000,4524000000,7813000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8525338370,9218085792,9647228222,10132573555,10456663560,10561128215,11248178728,12852000000,15905000000,19162000000,23922000000,31320000000,35574000000,37799000000,36333000000,34473000000,34225000000,34203000000,32034000000,31240000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203867661,203595193,203982516,204000000,204000000,204000000,204000000,224000000,224000000,224000000,186000000,186000000,186000000,186000000,166000000,166000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228202707,256344197,352771778,357018258,67567567,61575132,59494900,58000000,63000000,60000000,56000000,55000000,57000000,63000000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228202707,256344197,352771778,357018258,271435228,265170325,263477416,262000000,267000000,264000000,260000000,279000000,281000000,287000000,186000000,186000000,186000000,186000000,166000000,166000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1030000000,865000000,- -,- -,- -,757000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135347812,258920520,129589633,126758925,103681268,766709703,880281690,854000000,870000000,920000000,1090000000,1332000000,1406000000,1414000000,274000000,670000000,1690000000,1469000000,1307000000,806000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8888888889,9733350509,10129589633,10616350738,10831780056,11593008243,12391937834,13968000000,17042000000,20346000000,25272000000,32931000000,37261000000,39500000000,37823000000,36194000000,36101000000,35858000000,33507000000,32969000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11868114573,12361200567,14026877850,15582044423,16140493942,16286622306,17034968431,17473000000,20580000000,25429000000,29364000000,37218000000,40830000000,43170000000,41654000000,41601000000,41456000000,42187000000,38031000000,40782000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2113629210,2222079093,2524598032,3170136062,3080149115,3334988579,2542496357,2811000000,3470000000,4317000000,4249000000,4518000000,3969000000,2989000000,3193000000,3877000000,3688000000,4260000000,3153000000,5184000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72395342,573231998,1076313895,575648331,1077586207,108253054,109276348,109000000,229000000,364000000,472000000,1843000000,1978000000,1952000000,202000000,202000000,202000000,229000000,227000000,122000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000000,878000000,1268000000,1184000000,727000000,34000000,452000000,488000000,57000000,65000000,106000000,- -,248000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,557129367,595130748,1057115431,1398999884,1190587138,1497666104,1497085964,848000000,878000000,1268000000,1184000000,727000000,34000000,452000000,488000000,57000000,65000000,106000000,- -,248000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2743153919,3390441839,4658027358,5144784277,5348322460,4940907737,4148858669,3768000000,4577000000,5949000000,5905000000,7088000000,5981000000,5393000000,3883000000,4136000000,3955000000,4595000000,3380000000,5554000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2653446648,859203916,367170626,862891034,358807083,37739597,33997086,2870000000,527000000,843000000,1175000000,4444000000,4913000000,6564000000,5032000000,5005000000,4978000000,5104000000,5052000000,5201000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260623229,1361587015,1155507559,1212931736,1345526561,1470851127,1488586693,1396000000,1546000000,1440000000,1924000000,3071000000,3841000000,4191000000,4062000000,4245000000,5091000000,4718000000,4176000000,4542000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1573812,972562154,1523878090,1728107920,1682199441,1913794816,2298445847,- -,2753000000,3876000000,3983000000,3091000000,3565000000,3597000000,3656000000,3780000000,2943000000,3494000000,4005000000,3750000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3912496065,3193353085,3046556275,3803930690,3386533085,3422385540,3821029626,4266000000,4826000000,6159000000,7082000000,10606000000,12319000000,14352000000,12750000000,13030000000,13012000000,13316000000,13233000000,13493000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6386706171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33997086,31000000,- -,- -,135000000,128000000,167000000,612000000,585000000,558000000,531000000,657000000,605000000,754000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6655649984,6583794925,7704583633,8948714967,8734855545,8363293276,7969888295,8034000000,9403000000,12108000000,12987000000,17694000000,18300000000,19745000000,16633000000,17166000000,16967000000,17911000000,16613000000,19047000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1508000000,1511000000,1528000000,1566000000,1566000000,1566000000,1566000000,1566000000,1536000000,1446000000,1375000000,1357000000,1252000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3602455146,3918588175,4888408927,5465751832,6462022367,7071208660,8483487130,9252000000,11090000000,14031000000,17266000000,19679000000,23023000000,23687000000,25352000000,24714000000,24560000000,24812000000,22050000000,21660000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-317909978,- -,-368370530,-580300035,-732758621,-747839905,-947061680,-1321000000,-1424000000,-2238000000,-2455000000,-1721000000,-2059000000,-1828000000,-1897000000,-1815000000,-1517000000,-1911000000,-1989000000,-1177000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5212464589,5777405642,6322294216,6633329457,7405638397,7923329030,9065080136,9439000000,11177000000,13321000000,16377000000,19524000000,22530000000,23425000000,25021000000,24435000000,24489000000,24276000000,21418000000,21735000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11868114573,12361200567,14026877849,15582044424,16140493942,16286622306,17034968431,17473000000,20580000000,25429000000,29364000000,37218000000,40830000000,43170000000,41654000000,41601000000,41456000000,42187000000,38031000000,40782000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11868114573,12361200567,14026877850,15582044423,16140493942,16286622306,17034968431,17473000000,20580000000,25429000000,29364000000,37218000000,40830000000,43170000000,41654000000,41601000000,41456000000,42187000000,38031000000,40782000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/49938/000090956705000533/t15805e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956706000296/o30346e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956707000270/o34815e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000090956708000227/o39487e10vk.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312509041099/0001193125-09-041099-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312510043119/0001193125-10-043119-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312511047428/d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312512081083/0001193125-12-081083-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312513078520/0001193125-13-078520-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312514068340/d640283d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312515062525/d834284d10k.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312516475769/0001193125-16-475769-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312517052422/0001193125-17-052422-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312518064765/0001193125-18-064765-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312519054202/0001193125-19-054202-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312520050268/0001193125-20-050268-index.html,https://www.sec.gov/Archives/edgar/data/49938/000119312521054626/0001193125-21-054626-index.htm,https://www.sec.gov/Archives/edgar/data/49938/000119312522049999/0001193125-22-049999-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,684048651,439994476,- -,500954426,456050955,571859413,162006009,195041322,279057453,434843597,514044178,785939427,847033595,554024768,582031250,1420215957,1243234639,1210261253,1682339302,2051835853,2600302361,3044035415,3188002781,3878096163,1579000000,2210000000,3371000000,3766000000,2828000000,3785000000,1122000000,2165000000,490000000,2314000000,2200000000,-1857000000,2479000000
74,Depreciation and Amortization,321962813,343046541,- -,461942257,815055009,1025403085,833025191,893960585,833995234,924253051,745977638,710977114,685060758,647058824,666956019,724355129,716332378,703493862,749710164,908327334,895452960,830615098,779620618,728508985,781000000,747000000,764000000,761000000,1110000000,1096000000,1450000000,1628000000,2172000000,1509000000,1598000000,3273000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-112015257,- -,-150231449,-38996455,-101959709,34024303,76006192,-96932870,-203959208,38204394,-151085930,-68272575,-89992801,-116292592,253960857,15890357,387323944,-61000000,152000000,71000000,619000000,482000000,1123000000,367000000,114000000,321000000,806000000,-237000000,-521000000,91000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-1,1,- -,- -,- -,1,-2,1,-1,1,1,-1,1,236071765,-998663547,1852640,581648549,139482018,-207685100,741465602,-757171928,-776000000,173000000,-947000000,-988000000,389000000,689000000,1671000000,1323000000,129000000,334000000,-590000000,363000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261000000,-289000000,-302000000,300000000,-74000000,545000000,-42000000,-442000000,-689000000,224000000,-170000000,780000000,-1950000000
79,Inventory,- -,- -,- -,- -,-75969890,- -,- -,174062301,- -,-54565858,11044451,-16033987,-77055039,8049536,-16059028,-5998800,-11142948,50361977,30915883,-32397408,-67449703,-96691519,12910915,-159057795,42000000,38000000,-228000000,-106000000,-260000000,-129000000,-172000000,197000000,-83000000,-338000000,-74000000,78000000,45000000
