,https://roic.ai/company/HBIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,8971944,9052686,9056976,9068250,9090156,9131372,9152350,9163206,9038150,8966374,8871028,8836516,8917044,9442554,9427706,9392928,9349527,9293534,9334635,9370341,9359780,9372905,9302444
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/732417/000116923204001662/0001169232-04-001662-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/732417/000116923209001413/0001169232-09-001413-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036110010989/0001140361-10-010989-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241711000005/0000732417-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241712000013/0000732417-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036113012176/0001140361-13-012176-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036114012100/0001140361-14-012100-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241715000016/0000732417-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241716000056/0000732417-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241717000024/0000732417-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241718000014/0000732417-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241719000009/0000732417-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241720000008/0000732417-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241721000007/0000732417-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241722000007/0000732417-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,32647000,1000,23008000,29956000,23397000,32383000,21308000,36138000,50282000,29291000,63582000,43702000,29174000,35427000,38197000,154353000,43305000,241965000,574310000,781918000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211367000,226182000,238510000,258992000,264235000,267537000,285155000,318926000,355303000,408372000,551354000
33,Cash and Short-Term Investments,- -,- -,- -,32647000,1000,23008000,29956000,23397000,32383000,21308000,36138000,50282000,240658000,289764000,282212000,288166000,299662000,305734000,439508000,362231000,597268000,982682000,1333272000
34,Net Receivables,- -,- -,- -,7278000,- -,7349000,8619000,10292000,11391000,- -,- -,- -,8689000,7851000,7676000,8276000,8672000,9121000,10772000,11784000,12442000,12177000,11437000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,1026655000,1173308000,1314756000,1394005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-420549000,- -
37,Total Current Assets,- -,- -,- -,- -,1000,1057012000,1211883000,1348445000,1437779000,21308000,36138000,50282000,249347000,297615000,289888000,296442000,308334000,314855000,450280000,374015000,609710000,574310000,1344709000
38,PP&E,- -,- -,- -,21500000,22210000,21814000,22265000,22061000,21220000,22208000,24258000,26588000,30321000,30624000,29836000,29071000,33522000,37859000,37857000,37051000,37146000,35878000,34290000
39,Goodwill,- -,- -,- -,- -,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
42,Investments,- -,- -,- -,205829000,227383000,209123000,197001000,178227000,199599000,200312000,201645000,205498000,211367000,226182000,238510000,258992000,264235000,267537000,285155000,318926000,355303000,408372000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8531000,7144000,8605000,9938000,11695000,12611000,8806000,10869000,8018000,- -,9125000
44,Other Non-Current Assets,- -,- -,- -,- -,-227383000,- -,- -,- -,- -,-200312000,-201645000,-205498000,1516231000,1535655000,1598456000,1737375000,1873321000,2020408000,2178762000,2299103000,2288210000,-408372000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,24710000,233437000,221766000,202788000,223319000,24708000,26758000,29088000,1768950000,1802105000,1877907000,2037876000,2185273000,2340915000,2513080000,2668449000,2691177000,38378000,45915000
46,Other Assets,- -,- -,- -,1098547000,- -,1523886000,1655415000,1754021000,1884417000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2745768000
47,Total Assets,- -,- -,- -,1098547000,24711000,1290449000,1433649000,1551233000,1661098000,46016000,62896000,79370000,2018297000,2099720000,2167795000,2334318000,2493607000,2655770000,2963360000,3042464000,3300887000,612688000,4044562000
48,Accounts Payable,- -,- -,- -,2134000,- -,1632000,2313000,3500000,3227000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1733000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,99937000,68534000,46928000,52785000,38783000,42016000,- -,- -,- -,- -,- -,- -,42016000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,2411000,- -,- -,- -,- -,8959000,8892000,9870000,8531000,7144000,8605000,9938000,11695000,12611000,8806000,10869000,8018000,6088000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15818000,-27724000,-258000,- -,-7144000,-8605000,37561000,32356000,20878000,- -,- -,- -,-43749000,- -
53,Total Current Liabilities,- -,- -,- -,- -,2411000,- -,- -,- -,- -,93078000,49702000,56540000,61316000,38783000,42016000,47499000,44051000,33489000,8806000,10869000,8018000,6088000,- -
54,Long-Term Debt,- -,- -,- -,167606000,- -,167542000,223161000,235379000,265348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7144000,8605000,9938000,11695000,12611000,8806000,10869000,8018000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,167606000,- -,167542000,223161000,235379000,265348000,- -,- -,- -,- -,7144000,8605000,9938000,11695000,12611000,8806000,10869000,8018000,105000000,- -
59,Other Liabilities,- -,- -,- -,1178069000,- -,1354188000,1547331000,1667973000,1795756000,- -,- -,- -,1915514000,1842885000,1890595000,2041229000,2189076000,2345622000,2651644000,2707582000,2925676000,3416118000,3556099000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,1010463000,- -,1186646000,1324170000,1432594000,1530408000,- -,- -,- -,1976830000,1874524000,1924006000,2078790000,2221432000,2366500000,2651644000,2707582000,2925676000,3317206000,3556099000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,14864000,- -,- -,- -,- -,23010000,22900000,24945000,27826000,30715000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,85773000,97189000,108199000,119989000,131852000,144122000,154176000,166120000,185412000,207790000,229625000,250370000,271924000,294487000,319982000,341558000,371848000,409509000,439831000,474392000
65,Other Comprehensive Income/Loss,- -,- -,- -,-17712000,2000,-22421000,-24839000,-27242000,-29491000,3649000,4200000,2781000,4974000,3955000,1591000,-448000,-1195000,-3359000,-2446000,-3250000,1415000,8782000,1477000
66,Other Total Stockholders Equity,- -,- -,- -,20023000,-15290000,18025000,14329000,14029000,16059000,-41473000,-41445000,-46869000,-32161000,-8384000,21402000,18623000,16445000,13428000,15912000,15154000,16113000,14792000,- -
67,Total Stockholders Equity,- -,- -,- -,88084000,96765000,103803000,109479000,118639000,130690000,139362000,151775000,166269000,208429000,255911000,273363000,290099000,309737000,330051000,355024000,383752000,427037000,463405000,438450000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1098547000,8000,1290449000,1433649000,1551233000,1661098000,46016000,62896000,79370000,2185259000,2130435000,2197369000,2368889000,2531169000,2696551000,3006668000,3091334000,3352713000,3780611000,3994549000
69,Minority Interest,- -,- -,- -,- -,24703000,- -,- -,- -,- -,- -,- -,- -,-166962000,-30715000,-29574000,-34571000,-37562000,-40781000,-43308000,-48870000,-51826000,-3167923000,50013000
70,Total Liabilities & Equity,- -,- -,- -,1098547000,24711000,1290449000,1433649000,1551233000,1661098000,46016000,62896000,79370000,2018297000,2099720000,2167795000,2334318000,2493607000,2655770000,2963360000,3042464000,3300887000,612688000,4044562000
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/732417/000116923204001662/0001169232-04-001662-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/732417/000116923209001413/0001169232-09-001413-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036110010989/0001140361-10-010989-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241711000005/0000732417-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241712000013/0000732417-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036113012176/0001140361-13-012176-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036114012100/0001140361-14-012100-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241715000016/0000732417-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241716000056/0000732417-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241717000024/0000732417-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241718000014/0000732417-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241719000009/0000732417-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241720000008/0000732417-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241721000007/0000732417-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241722000007/0000732417-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8466000,9366000,10144000,11464000,14269000,14195000,15202000,15559000,16143000,14140000,15985000,23316000,26777000,26833000,25931000,26974000,28418000,31555000,28061000,36767000,45318000,38647000,48085000
74,Depreciation and Amortization,1745000,1909000,2513000,2316000,2242000,2467000,2418000,2403000,2249000,2237000,2414000,2568000,2425000,2788000,2790000,2559000,2748000,2745000,2856000,3012000,3426000,3514000,- -
75,Deferred Income Tax,-847000,-315000,47000,-1096000,520000,-621000,- -,- -,- -,- -,- -,- -,-20000,2018000,3000,-71000,-1292000,424000,3238000,-1971000,1301000,-520000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,44000,42000,21000,62000,15000,16000,1052000,1025000,1578000,1686000,1361000,1457000,1466000,1147000,1297000,25000
77,Change in Working Capital,-168000,2738000,-1768000,359000,-2410000,2410000,- -,- -,- -,-71770000,58206000,7306000,194289000,70801000,-10960000,1071000,15340000,17083000,160108000,-78328000,238546000,-33470000,776487000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,838000,175000,-600000,-396000,-449000,-1651000,-1012000,-658000,265000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1652000,492000,-49000,1095000,-1460000,1807000,1878000,379000,2049000,2940000,197000,- -,- -,-1298000,-743000,852000,701000,-1279000,4263000,-1423000,650000,-5615000,- -
81,Other Working Capital,-1329000,1409000,-359000,- -,-2410000,- -,- -,- -,- -,-71770000,-13564000,-6258000,188031000,258832000,247872000,248943000,264283000,281366000,441474000,363146000,601692000,568222000,1344709000
82,Other Non-Cash Items,1648000,-996000,2842000,2929000,7524000,111000,5310000,-1552000,910000,79583000,-51548000,5521000,-200884000,-77686000,41009000,1034000,-14449000,-24034000,-149822000,86792000,-250418000,-1322000,-811606000
83,Cash Provided by Operating Activities,10844000,12702000,13778000,15972000,22145000,18562000,22930000,16454000,19344000,24211000,25119000,38726000,22603000,25806000,59798000,33145000,32451000,29134000,45898000,47738000,39320000,8146000,12991000
84,CAPEX,-1937000,-6501000,-6710000,-2819000,-2952000,-2071000,-2869000,-2199000,-1408000,-4968000,-5225000,-2957000,-5940000,-3091000,-2002000,-1794000,-7199000,-7082000,-2854000,-2206000,-3167000,-1860000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-60090000,-60017000,-77690000,-88029000,-114519000,-71400000,-67475000,-21964000,-56758000,-43826000,-47844000,-54188000,-49022000,-64167000,-58503000,-79846000,-60137000,-62546000,-85772000,-90295000,-104539000,-129359000,- -
87,Sales/Maturities of Investments,85758000,29913000,50950000,62959000,108107000,97528000,71644000,40315000,36762000,47473000,48428000,48550000,46975000,49336000,40989000,58094000,50833000,54323000,65339000,57284000,75768000,85843000,- -
88,Other Investing Activites,-105370000,-62440000,-56743000,-100614000,-94645000,-137235000,-145171000,-140038000,-78593000,-132107000,-51926000,-67569000,-106605000,-29489000,-104423000,-160529000,-137579000,-146191000,-180624000,-167516000,-11293000,-71011000,- -
89,Cash Used for Investing Activites,-81639000,-99045000,-90193000,-128503000,-104009000,-113178000,-143871000,-123886000,-99997000,-133428000,-56567000,-76164000,-114592000,-47411000,-123939000,-184075000,-154082000,-161496000,-203911000,-202733000,-43231000,-116387000,- -
90,Debt Repayment,-17032000,-28032000,-31000,-31000,-32000,-32000,-7829000,-32782000,-30040000,-21998000,-71403000,-61706000,-10100000,-60001000,-1000,-1000,-103004000,-203001000,-252820000,-80001000,-30001000,-80001000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25825000,- -,- -,- -,- -,- -,3762000,4713000,5026000,5844000,1618000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-63000,-3309000,-1325000,-3398000,-2132000,-1627000,-4105000,-2438000,-1387000,-4014000,-3454000,-3926000,-2435000,-6784000,-5534000,-8550000,- -
93,Dividends Paid,-1910000,-2171000,-2392000,-2622000,-2853000,-3185000,-3412000,-3696000,-3873000,-4086000,-4041000,-4024000,-4399000,-4998000,-5186000,-5420000,-5855000,-6060000,-6485000,-7003000,-7657000,-8325000,-8773000
94,Other Financing Activites,95075000,120450000,90239000,110761000,76296000,96647000,139193000,140660000,124877000,128891000,110544000,143678000,51081000,123333000,50835000,145837000,240197000,348119000,532147000,133022000,240737000,531618000,-4760000
95,Cash Used/Provided by Financing Activities,76133000,90247000,87816000,108108000,73411000,93430000,127889000,100873000,89639000,99409000,32968000,76321000,58302000,55896000,44261000,136402000,127884000,135132000,274169000,43947000,202571000,440586000,-11915000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5338000,3904000,11401000,-4423000,-8453000,-1186000,6948000,-6559000,8986000,-9808000,1520000,38883000,-33687000,34291000,-19880000,-14528000,6253000,2770000,116156000,-111048000,198660000,332345000,1076000
98,Cash at the End of Period,21765000,25669000,37070000,32647000,24194000,23008000,29956000,23397000,32383000,22575000,24095000,62978000,29291000,63582000,43702000,29174000,35427000,38197000,154353000,43305000,241965000,574310000,- -
99,Cash at the Beginning of Period,16427000,21765000,25669000,37070000,32647000,24194000,23008000,29956000,23397000,32383000,22575000,24095000,62978000,29291000,63582000,43702000,29174000,35427000,38197000,154353000,43305000,241965000,- -
100,Free Cash Flow,8907000,6201000,7068000,13153000,19193000,16491000,20061000,14255000,17936000,19243000,19894000,35769000,16663000,22715000,57796000,31351000,25252000,22052000,43044000,45532000,36153000,6286000,12991000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/732417/000116923204001662/0001169232-04-001662-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/732417/000116923209001413/0001169232-09-001413-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036110010989/0001140361-10-010989-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241711000005/0000732417-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241712000013/0000732417-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036113012176/0001140361-13-012176-index.html,https://www.sec.gov/Archives/edgar/data/732417/000114036114012100/0001140361-14-012100-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241715000016/0000732417-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241716000056/0000732417-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241717000024/0000732417-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241718000014/0000732417-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241719000009/0000732417-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241720000008/0000732417-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/732417/000073241721000007/0000732417-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/732417/000073241722000007/0000732417-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
