,https://roic.ai/company/WHSI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,-10,- -,425670
45,Total Non-Current Assets,2320000,2110000,1690000,1350000,1270000,1180000,1100000,- -,50000,31480,13600,6120,425670
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2490000,2370000,1930000,1380000,1400000,1260000,1170000,270000,570000,415720,230010,118500,644309
48,Accounts Payable,40000,100000,110000,190000,120000,70000,70000,90000,30000,59980,93760,222920,272086
49,Short-Term Debt,- -,- -,14977,817,- -,- -,30908,474294,460096,1056110,1135636,1241824,1344047
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,68148,275191,380397,368864,320978,- -,- -,196058,172107
52,Other Current Liabilities,- -,40000,1545023,499183,1821852,2854809,218695,146842,478926,539720,519954,662968,751997
53,Total Current Liabilities,40000,140000,1670000,690000,2010000,3200000,700000,1080000,1290000,1655810,1749350,2323770,2540237
54,Long-Term Debt,- -,290000,240000,210000,200000,900000,- -,- -,400000,- -,- -,- -,397500
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2500000,2490000,2500000,2500000,2490000,2500000,2500000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,2500000,2780000,2740000,2710000,2690000,3400000,2500000,- -,400000,- -,- -,- -,397500
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2540000,2920000,4410000,3400000,4700000,6600000,3200000,1080000,1690000,1655810,1749350,2323770,2937737
62,Preferred Stock,- -,3000,3525,850,850,1,1,1,58,58,58,458,829
63,Common Stock,10000,10000,20000,40000,60000,- -,- -,- -,- -,4990,4990,9470,50880
64,Retained Earnings,-850000,-1810000,-6610000,-7020000,-9360000,-14470000,-14240000,-13410000,-14190000,-17930450,-18209690,-18925160,-19378977
65,Other Comprehensive Income/Loss,- -,-10000,-10000,-20000,-20000,- -,- -,- -,- -,- -,- -,- -,-85589
66,Other Total Stockholders Equity,790000,1256042,4124964,4974109,6015680,9131934,12203560,12601307,13070712,16685309,16685309,17313630,17119429
67,Total Stockholders Equity,-50000,-550958,-2471511,-2025041,-3303470,-5338066,-2036440,-808693,-1119288,-1240093,-1519333,-1601602,-2293428
68,Total Liabilities And Stockholders Equity,2490000,2369042,1938489,1374959,1396530,1261934,1163560,271307,570712,415717,230017,722168,644309
69,Minority Interest,- -,958,-8489,5041,3470,-1934,6440,-1307,-712,3,-7,-603668,- -
70,Total Liabilities & Equity,2490000,2370000,1930000,1380000,1400000,1260000,1170000,270000,570000,415720,230010,118500,644309
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1443089/000114420414017032/0001144204-14-017032-index.htm,https://www.sec.gov/Archives/edgar/data/1443089/000114420413046315/0001144204-13-046315-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000139843214000261/0001398432-14-000261-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000152013815000542/0001520138-15-000542-index.htm,https://www.sec.gov/Archives/edgar/data/1443089/000152013816001212/0001520138-16-001212-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1443089/000168316818002505/0001683168-18-002505-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000168316820001835/0001683168-20-001835-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-800000,-1760000,-4660000,-410000,-2340000,3190000,230000,826700,-780360,-3735800,-278740,-715460,-453820
74,Depreciation and Amortization,210000,430000,430000,340000,90000,90000,90000,75690,4270,17880,17880,7490,6118
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,98333,28267,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,20000,-10000,-1550000,770000,-1220000,-1240000,2490000,-180000,40000,-501570,-261370,-678450,-110208
78,Accounts Receivable,- -,- -,70000,10000,4425,-10792,33249,62924,-20822,25370,-22660,65000,-266004
79,Inventory,- -,- -,-70000,50000,-29580,25906,-3297,48012,-50220,-136890,55600,86033,5254
80,Accounts Payable,- -,89758,-7381,99646,-64261,-16912,-4318,25446,-62643,- -,33777,3750,-49162
81,Other Working Capital,130000,120000,-1430000,-660000,-1880000,-3120000,-630000,-810000,-770000,-1271570,-1532940,-2211390,-2321598
82,Other Non-Cash Items,- -,160000,4570000,-980000,2681667,-2568267,-2840000,-1188760,-37910,4088840,417590,1254020,40149
83,Cash Provided by Operating Activities,-570000,-1180000,-1210000,-280000,-690000,-500000,-30000,-466370,-774000,-130650,-104640,-132400,-517761
84,CAPEX,-30000,-30000,- -,- -,- -,- -,- -,- -,-53630,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-25684,-30000,-53625,- -,- -,- -,- -
89,Cash Used for Investing Activites,-30000,-31964,- -,- -,- -,- -,- -,-30000,-53625,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,346150,22500,- -,- -,- -,- -,25000,- -
92,Common Stock Repurchased,20000,20000,970000,220000,- -,350000,20000,- -,411000,- -,- -,25400,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,512400,185350,58478,711802,-213750,-15000,490034,521703,54873,72126,7994,513244
95,Cash Used/Provided by Financing Activities,20000,532400,1155350,278478,711802,482400,27500,490034,932703,54873,72126,58394,513244
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-580000,-680000,-50000,- -,20000,-10000,- -,-6340,105080,-75780,-26120,-690,- -
98,Cash at the End of Period,-580000,-530000,- -,- -,20000,10000,10000,3660,105080,34220,4510,3830,- -
99,Cash at the Beginning of Period,- -,150000,50000,- -,- -,20000,10000,10000,- -,110000,30630,4520,4517
100,Free Cash Flow,-600000,-1210000,-1210000,-280000,-690000,-500000,-30000,-466370,-827630,-130650,-104640,-132400,-517761
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1443089/000114420414017032/0001144204-14-017032-index.htm,https://www.sec.gov/Archives/edgar/data/1443089/000114420413046315/0001144204-13-046315-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000139843214000261/0001398432-14-000261-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000152013815000542/0001520138-15-000542-index.htm,https://www.sec.gov/Archives/edgar/data/1443089/000152013816001212/0001520138-16-001212-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1443089/000168316818002505/0001683168-18-002505-index.html,https://www.sec.gov/Archives/edgar/data/1443089/000168316820001835/0001683168-20-001835-index.htm,- -
102,false,,,,,,,,,,,,,
