,https://roic.ai/company/JRSH,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,18379160,28926865,47765011,48127857,50129034,54323113,57696655
82,Other Non-Cash Items,-60907,-18318443,-23176219,-6942918,-2187889,-6028248,-11642438
83,Cash Provided by Operating Activities,2948823,2314276,7677262,5163596,9775265,6912652,-1500440
84,CAPEX,-1242099,-2362944,-491633,-877944,-791001,-4678249,-890462
85,Acquisitions Net,- -,- -,- -,- -,-380000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-9686091
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,9810980
88,Other Investing Activites,- -,- -,-336937,336746,-430113,-253414,-128690
89,Cash Used for Investing Activites,-1242099,-2362944,-828570,-541198,-1601114,-4931663,-894263
90,Debt Repayment,- -,- -,- -,- -,-331876,-648665,-235
91,Common Stock Issued,- -,- -,- -,1772845,8930300,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-5307500,- -,-1132500,-2265000,-2265000
94,Other Financing Activites,- -,- -,-692500,-1447891,30,235,612703
95,Cash Used/Provided by Financing Activities,- -,- -,-6000000,324954,7465954,-2913430,-1652532
96,Effect of Forex Changes on Cash,-1023,5380,-18293,-3895,-1747,14682,-7763
97,Net Change In Cash,1705701,-43288,830399,4943457,14986048,-1704057,-5790619
98,Cash at the End of Period,2867262,2823974,3654373,8597830,27182158,26130411,21126090
99,Cash at the Beginning of Period,1161561,2867262,2823974,3654373,12196110,27834468,26916709
100,Free Cash Flow,1706724,-48668,7185629,4285652,8984264,2234403,-2390902
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1696558/000114420418036362/0001144204-18-036362-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000114420419033096/0001144204-19-033096-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000121390020016032/0001213900-20-016032-index.htm,https://www.sec.gov/Archives/edgar/data/1696558/000121390021033774/0001213900-21-033774-index.htm
102,false,,,,,,,
