,https://roic.ai/company/PSTL,2017,2018,2019,2020,2021
82,Other Non-Cash Items,27145,454944,-15147642,11877019,-19075938
83,Cash Provided by Operating Activities,2291744,2728867,2858623,9395734,- -
84,CAPEX,- -,-104062,-72166456,- -,- -
85,Acquisitions Net,- -,- -,-73000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-2074861,-2889642,72512419,-37517,- -
89,Cash Used for Investing Activites,-2074861,-2889642,-72654037,-37517,- -
90,Debt Repayment,-1018402,-1078415,-32218087,1771,34352000
91,Common Stock Issued,- -,- -,76500000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,-5298285,-5284248,-3456258,13448,- -
94,Other Financing Activites,5798477,6690895,41291487,541781,- -
95,Cash Used/Provided by Financing Activities,-518210,328232,82117142,557000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-301327,167457,12321728,-9913269,- -
98,Cash at the End of Period,694418,861875,13183603,3270334,- -
99,Cash at the Beginning of Period,995745,694418,861875,13183603,3270334
100,Free Cash Flow,2291744,2624805,2707041,9395734,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1759774/000121390020007580/0001213900-20-007580-index.htm,https://www.sec.gov/Archives/edgar/data/1759774/000121390021018605/0001213900-21-018605-index.htm,https://www.sec.gov/Archives/edgar/data/1759774/000175977422000012/0001759774-22-000012-index.htm
102,false,,,,,
