,https://roic.ai/company/NMM,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1415921/000095012309003561/0000950123-09-003561-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000095012310015820/0000950123-10-015820-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000095012311020777/y04615e20vf.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312512101446/0001193125-12-101446-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312513110353/0001193125-13-110353-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312514110362/d696148d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312515091409/d888548d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312516515161/0001193125-16-515161-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312517080484/0001193125-17-080484-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312518106840/d508884d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312519101694/d724464d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312520094726/0001193125-20-094726-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10095000,28374000,77878000,51278000,48078000,32132000,35346000,99495000,26750000,17360000,24047000,58590000,23354000,19303000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,10095000,28374000,77878000,51278000,48078000,32132000,35346000,99495000,26750000,17360000,24047000,58590000,23354000,19303000
34,Net Receivables,5431000,5931000,381000,313000,602000,936000,4835000,7778000,16298000,13278000,3999000,29661000,29468000,47762000,35125000,21969000
35,Inventory,1773000,- -,- -,- -,- -,- -,- -,- -,1166000,826000,1160000,220000,220000,1004000,6281000,6267000
36,Other Current Assets,345000,1025000,836000,371000,14099000,3398000,10645000,30123000,1674000,1598000,7926000,9108000,6571000,3756000,11230000,13241000
37,Total Current Assets,7549000,6956000,11312000,29058000,92579000,55612000,63558000,70033000,54484000,115197000,39835000,56349000,60306000,111112000,75990000,60780000
38,PP&E,96296000,143834000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1054423000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,40372000,170091000,176581000,160479000,119405000,74055000,55339000,18952000,8080000,4332000,3166000,2000000
41,Intangible Assets,- -,- -,- -,- -,40372000,170091000,176581000,160479000,119405000,74055000,55339000,18952000,8080000,4332000,3166000,2000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,500000,521000,1315000,1257000,52122000,66296000,25725000,26158000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,15141000,1453000,193742000,293849000,303805000,615182000,669785000,724440000,1075690000,1156241000,1253802000,1192022000,1184794000,1132393000,1148636000,63908000
45,Total Non-Current Assets,111437000,145287000,193742000,293849000,344177000,785273000,846366000,884919000,1195595000,1230817000,1310456000,1212231000,1244996000,1203021000,1177527000,1146489000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,118986000,152243000,205054000,322907000,436756000,840885000,909924000,954952000,1250079000,1346014000,1350291000,1268580000,1305302000,1314133000,1253517000,1207269000
48,Accounts Payable,86000,724000,570000,2133000,2482000,3709000,277000,2090000,3171000,3824000,2706000,3276000,3718000,4839000,6906000,5470000
49,Short-Term Debt,- -,- -,- -,40000000,- -,29200000,36700000,23727000,5358000,18638000,23336000,74031000,26586000,25105000,53966000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2606000,9025000,10575000,10920000,9112000,2997000,4310000,4290000,17198000,15143000,15256000,4497000,3185000
52,Other Current Liabilities,9358000,10752000,6042000,1662000,1844000,1941000,8808000,25347000,4080000,5503000,11196000,4445000,8800000,7133000,14415000,244597000
53,Total Current Liabilities,9444000,11476000,6612000,46401000,13351000,45425000,56705000,60276000,15606000,32275000,41528000,98950000,54247000,52333000,79784000,253252000
54,Long-Term Debt,60464000,69865000,165000000,195000000,195000000,292300000,289350000,275982000,527966000,564641000,574742000,449745000,466877000,458560000,346454000,228541000
55,Deferred Revenue,- -,- -,- -,- -,17753000,10992000,4230000,- -,- -,- -,1806000,28571000,16468000,4366000,3312000,2185000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,6656000,4659000,2662000,665000,- -,- -,- -,- -,- -,11105000,- -,22121000,95948000,68461000
58,Total Non-Current Liabilities,60464000,69865000,171656000,199659000,215415000,303957000,293580000,275982000,527966000,564641000,576548000,489421000,483345000,485047000,445714000,299187000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,2662000,665000,- -,- -,- -,- -,- -,- -,- -,- -,14201000,13153000
61,Total Liabilities,69908000,81341000,178268000,246060000,228766000,349382000,350285000,336258000,543572000,596916000,618076000,588371000,537592000,537380000,525498000,552439000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-15456000,-27555000,-42883000,-66367000,-97692000,-132019000,-168450000,-218922000,-276139000,-317092000,-321063000,-316981000,-308498000,-273602000
66,Other Total Stockholders Equity,49078000,70902000,- -,104355000,- -,- -,- -,- -,- -,- -,- -,- -,303385000,- -,- -,928432000
67,Total Stockholders Equity,49078000,70902000,- -,76800000,- -,- -,- -,- -,- -,- -,- -,- -,-17678000,- -,- -,- -
68,Total Liabilities And Stockholders Equity,118986000,152243000,178268000,322860000,228766000,349382000,350285000,336258000,543572000,596916000,618076000,588371000,519914000,537380000,525498000,1207269000
69,Minority Interest,- -,- -,26786000,47000,207990000,491503000,559639000,618694000,706507000,749098000,732215000,680209000,785388000,776753000,728019000,- -
70,Total Liabilities & Equity,118986000,152243000,205054000,322907000,436756000,840885000,909924000,954952000,1250079000,1346014000,1350291000,1268580000,1305302000,1314133000,1253517000,1207269000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1415921/000095012309003561/0000950123-09-003561-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000095012310015820/0000950123-10-015820-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000095012311020777/y04615e20vf.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312512101446/0001193125-12-101446-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312513110353/0001193125-13-110353-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312514110362/d696148d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312515091409/d888548d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312516515161/0001193125-16-515161-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312517080484/0001193125-17-080484-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312518106840/d508884d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312519101694/d724464d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312520094726/0001193125-20-094726-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,4110000,6624000,19508000,28758000,34322000,60511000,65335000,95898000,59006000,74853000,41805000,-52549000,-15090000,-13081000,-62134000,-68541000
74,Depreciation and Amortization,948000,8036000,9375000,11865000,16975000,41174000,63971000,71622000,77505000,95822000,75933000,92370000,72760000,58334000,53633000,57006000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,6082000,- -,- -,- -,- -,- -,- -,93000,1904000,2450000,2018000,946000
77,Change in Working Capital,-4749000,-1149000,-19305000,322000,23137000,-6174000,-6412000,10749000,-35704000,6563000,15407000,-27116000,-36840000,-16141000,18140000,38967000
78,Accounts Receivable,- -,- -,-249000,68000,-338000,-334000,-3899000,-2943000,-8520000,3020000,9279000,-6023000,-6071000,-315000,4649000,-6495000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-155000,24000,-76000,558000,946000,68000,1081000,653000,-1118000,570000,1630000,1121000,2505000,-2320000
81,Other Working Capital,-4400000,-1115000,-20830000,- -,24172000,-5365000,-6344000,-6243000,-5929000,1527000,1380000,-6225000,-1765000,113000,213000,-1310000
82,Other Non-Cash Items,211000,985000,938000,799000,49000,507000,4570000,812000,4035000,-5577000,-9775000,43729000,31200000,36757000,58738000,65708000
83,Cash Provided by Operating Activities,520000,14496000,10516000,41744000,80565000,96018000,127464000,179081000,104842000,171661000,123370000,56527000,53934000,68319000,70395000,94086000
84,CAPEX,-73558000,-36985000,- -,-69505000,-69100000,-447757000,-120000000,-109698000,-348464000,-156231000,-147830000,-15341000,-161020000,-118755000,-23699000,-83102000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,-794000,- -,-10000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20842000,- -,- -,- -,- -
88,Other Investing Activites,-2500000,- -,- -,- -,-42917000,-156166000,-43780000,-21193000,-33709000,32959000,-771000,-450000,99809000,50867000,6665000,-752000
89,Cash Used for Investing Activites,-76058000,-36985000,- -,-69505000,-69100000,-447757000,-120000000,-109698000,-382673000,-123272000,-149395000,5051000,-187211000,-67888000,-17034000,-83854000
90,Debt Repayment,-382000,-24537000,-4805000,-326000,-40200000,-14066000,-30450000,-70340000,-201412000,-7060000,-60696000,-104624000,-546465000,-74881000,-448215000,-82672000
91,Common Stock Issued,10820000,10066000,192684000,918000,129755000,260021000,88340000,68563000,148022000,104499000,72090000,440000,98774000,33373000,- -,2231000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4499000,- -
93,Dividends Paid,- -,- -,- -,-24552000,-39016000,-72316000,-95499000,-106878000,-122382000,-138994000,-132306000,- -,- -,-10261000,-13550000,-7872000
94,Other Financing Activites,65100000,36960000,-188300000,70000000,-12500000,151500000,26945000,23326000,456817000,57315000,74192000,33216000,587655000,82860000,381850000,78407000
95,Cash Used/Provided by Financing Activities,75538000,22489000,-421000,46040000,38039000,325139000,-10664000,-85329000,281045000,15760000,-46720000,-70968000,139964000,31091000,-84414000,-9906000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,18279000,49504000,-26600000,-3200000,-15946000,3214000,64149000,-72745000,-9390000,6687000,31522000,-31053000,326000
98,Cash at the End of Period,- -,- -,10095000,28374000,77878000,51278000,48078000,32132000,35346000,99495000,26750000,17360000,24047000,61455000,30402000,30728000
99,Cash at the Beginning of Period,- -,- -,- -,10095000,28374000,77878000,51278000,48078000,32132000,35346000,99495000,26750000,17360000,29933000,61455000,30402000
100,Free Cash Flow,-73038000,-22489000,10516000,-27761000,11465000,-351739000,7464000,69383000,-243622000,15430000,-24460000,41186000,-107086000,-50436000,46696000,10984000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1415921/000095012309003561/0000950123-09-003561-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000095012310015820/0000950123-10-015820-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000095012311020777/y04615e20vf.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312512101446/0001193125-12-101446-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312513110353/0001193125-13-110353-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312514110362/d696148d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312515091409/d888548d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312516515161/0001193125-16-515161-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312517080484/0001193125-17-080484-index.html,https://www.sec.gov/Archives/edgar/data/1415921/000119312518106840/d508884d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312519101694/d724464d20f.htm,https://www.sec.gov/Archives/edgar/data/1415921/000119312520094726/0001193125-20-094726-index.html,- -
102,false,,,,,,,,,,,,,,,,
