,https://roic.ai/company/BBU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,179000000,168000000,245000000,239000000,341000000,1637000000,1415000000,1539000000,- -
52,Other Current Liabilities,- -,220000000,239000000,471000000,581000000,3073000000,3741000000,5323000000,5684000000,- -
53,Total Current Liabilities,- -,1406000000,1616000000,2495000000,2556000000,5690000000,9016000000,11024000000,12133000000,1619000000
54,Long-Term Debt,- -,346000000,333000000,1563000000,1140000000,2440000000,9047000000,22365000000,22059000000,29076000000
55,Deferred Revenue,- -,- -,- -,- -,- -,86000000,71000000,60000000,23000000,- -
56,Deferred Tax Liabilities,- -,13000000,33000000,102000000,81000000,837000000,867000000,1803000000,1701000000,2507000000
57,Other Non-Current Liabilities,- -,209000000,288000000,391000000,378000000,687000000,1823000000,5446000000,7493000000,19636000000
58,Total Non-Current Liabilities,- -,568000000,654000000,2056000000,1599000000,4050000000,11808000000,29674000000,31276000000,51219000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1333000000,1364000000,- -
61,Total Liabilities,- -,1974000000,2270000000,4551000000,4155000000,9740000000,20824000000,40698000000,43409000000,51219000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-427000000,-497000000,-595000000,-753000000,-895000000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,2658000000,2632000000,3679000000,4791000000,6959000000,- -,- -,11337000000,- -
67,Total Stockholders Equity,- -,1651000000,1500000000,1787000000,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,3625000000,3770000000,6338000000,8193000000,15804000000,27318000000,51751000000,54746000000,51219000000
69,Minority Interest,- -,580000000,635000000,1297000000,- -,- -,- -,- -,- -,13000000000
70,Total Liabilities & Equity,- -,4205000000,4405000000,7635000000,8193000000,15804000000,27318000000,51751000000,54746000000,64219000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,128000000,184000000,1000000,44000000,3000000,-58000000,74000000,43000000,-91000000,- -
74,Depreciation and Amortization,117000000,125000000,147000000,257000000,286000000,371000000,748000000,1804000000,2165000000,- -
75,Deferred Income Tax,-5000000,-45000000,-9000000,5000000,-41000000,-22000000,-88000000,-132000000,-130000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-5000000,-7000000,32000000,60000000,9000000,-91000000,-269000000,116000000,1336000000,- -
78,Accounts Receivable,76000000,-71000000,-101000000,-516000000,-55000000,-520000000,- -,-70000000,546000000,- -
79,Inventory,-9000000,23000000,-16000000,52000000,60000000,-259000000,- -,78000000,453000000,- -
80,Accounts Payable,-63000000,57000000,159000000,646000000,127000000,503000000,- -,119000000,284000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-44000000,-68000000,156000000,-34000000,-28000000,90000000,876000000,332000000,925000000,- -
83,Cash Provided by Operating Activities,191000000,189000000,327000000,332000000,229000000,290000000,1341000000,2163000000,4205000000,- -
84,CAPEX,-127000000,-284000000,-198000000,-139000000,-144000000,-240000000,-545000000,-1205000000,-1405000000,- -
85,Acquisitions Net,122000000,-8000000,9000000,-1794000000,86000000,-1433000000,-3060000000,-17087000000,192000000,- -
86,Purchases of Investments,- -,-239000000,-210000000,-202000000,-447000000,-290000000,-465000000,-73000000,-2372000000,- -
87,Sales/Maturities of Investments,1000000,- -,16000000,- -,327000000,259000000,8000000,294000000,1895000000,- -
88,Other Investing Activites,50000000,-32000000,20000000,32000000,82000000,109000000,63000000,132000000,-2049000000,- -
89,Cash Used for Investing Activites,51000000,-558000000,-354000000,-2094000000,-96000000,-1595000000,-3999000000,-17939000000,-2334000000,- -
90,Debt Repayment,-114000000,-127000000,-155000000,-549000000,-1008000000,-1345000000,-2340000000,-3968000000,-6430000000,- -
91,Common Stock Issued,- -,- -,- -,- -,634000000,621000000,- -,815000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-56000000,- -
93,Dividends Paid,- -,- -,- -,- -,-23000000,-126000000,-359000000,-35000000,-37000000,- -
94,Other Financing Activites,-121000000,475000000,157000000,2520000000,983000000,2203000000,6260000000,19113000000,5446000000,- -
95,Cash Used/Provided by Financing Activities,-235000000,348000000,2000000,1971000000,586000000,1353000000,3561000000,15925000000,-1077000000,- -
96,Effect of Forex Changes on Cash,1000000,-5000000,-7000000,-18000000,-15000000,8000000,-60000000,-10000000,-37000000,- -
97,Net Change In Cash,8000000,-26000000,-32000000,191000000,696000000,56000000,843000000,37000000,757000000,- -
98,Cash at the End of Period,221000000,195000000,163000000,354000000,1050000000,1106000000,1949000000,1986000000,2743000000,- -
99,Cash at the Beginning of Period,213000000,221000000,195000000,163000000,354000000,1050000000,1106000000,1949000000,1986000000,- -
100,Free Cash Flow,64000000,-95000000,129000000,193000000,85000000,50000000,796000000,958000000,2800000000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined
102,false,,,,,,,,,,
