,https://roic.ai/company/ACRHF,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,50281000,18101000,- -
61,Total Liabilities,- -,- -,408477,64098000,196883000,302344000,287281000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1997089,529903000,- -,- -,-21054000
64,Retained Earnings,- -,- -,-3089643,-235261000,-188617000,-475205000,-538215000
65,Other Comprehensive Income/Loss,- -,- -,- -,89262000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,763539000
67,Total Stockholders Equity,- -,- -,-408002,383904000,406007000,241031000,204270000
68,Total Liabilities And Stockholders Equity,- -,- -,475,448002000,602890000,543375000,491551000
69,Minority Interest,- -,- -,-0,123819000,88787000,18678000,- -
70,Total Liabilities & Equity,- -,- -,475,571821000,691677000,562053000,491551000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1762359/000176235920000043/0001762359-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1762359/000176235921000018/0001762359-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1762359/000176235922000007/0001762359-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,- -,-8543000,-205664000,-150268000,-286588000,-73157000
74,Depreciation and Amortization,- -,- -,20000,3749000,7593000,6170000,- -
75,Deferred Income Tax,- -,- -,- -,1153000,-3844000,-32405000,- -
76,Stock Based Compensation,- -,- -,1837000,64149000,102898000,92818000,- -
77,Change in Working Capital,- -,- -,-408002,254275738,-255921000,52096000,-4092000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-155000,2464000,-6941000,-2531000,- -
80,Accounts Payable,- -,- -,1503000,95000,17217000,-11572000,- -
81,Other Working Capital,- -,- -,-408002,254103000,-1818000,50278000,46186000
82,Other Non-Cash Items,- -,- -,1537002,-153198738,228663000,100231000,77249000
83,Cash Provided by Operating Activities,- -,- -,-5557000,-35536000,-70879000,-67678000,- -
84,CAPEX,- -,- -,-4904000,-28796000,-105573000,-15477000,- -
85,Acquisitions Net,- -,- -,- -,-32147000,-21205000,-8986000,- -
86,Purchases of Investments,- -,- -,-10985000,-150885000,-4158000,-35067000,- -
87,Sales/Maturities of Investments,- -,- -,- -,9634000,149828000,- -,- -
88,Other Investing Activites,- -,- -,-3693000,-39769000,-91989000,-9772000,- -
89,Cash Used for Investing Activites,- -,- -,-19382000,-235518000,-14609000,-69302000,- -
90,Debt Repayment,- -,- -,-19000,-17838000,-12333000,-47921000,- -
91,Common Stock Issued,- -,- -,- -,415534000,- -,31117000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,36162000,-37930000,19383000,181823000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,36143000,359766000,7050000,165019000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,11204000,88712000,-78438000,28039000,- -
98,Cash at the End of Period,- -,- -,16500000,104943000,26600000,54639000,- -
99,Cash at the Beginning of Period,- -,- -,5296000,16231000,105038000,26600000,54639000
100,Free Cash Flow,- -,- -,-10461000,-64332000,-176452000,-83155000,- -
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1762359/000176235920000043/0001762359-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1762359/000176235921000018/0001762359-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1762359/000176235922000007/0001762359-22-000007-index.htm
102,false,,,,,,,
