,https://roic.ai/company/SYTE,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-3252914,-2765192,-38827,-1417243,459825,784853,1419317,2295425,2629162,4338166,2903713,1535475,1289835,640905,417983,480268,-869142,-68868,2253785,-2940175,-4904762,3323581,2487197
16,EBITDA ratio,-14.5382,-1.4293,-0.0097,-0.3548,0.1279,0.2504,0.3857,0.4101,0.4003,0.4242,0.3775,0.3039,0.2827,0.1801,0.1637,0.2015,-0.5009,-0.0138,0.2478,-0.6666,-1.3663,0.6333,0.4214
17,Operating Income,-3118357,-4793210,-1151478,-1838512,219764,316974,827392,1179677,956170,1357912,437714,-366473,947778,597088,262308,460210,87511,-254923,2010409,-2131247,701319,2981220,624758
18,Operating Income ratio,-13.9369,-2.4776,-0.2881,-0.4602,0.0611,0.1011,0.2248,0.2108,0.1456,0.1328,0.0569,-0.0725,0.2077,0.1678,0.1027,0.1931,0.0504,-0.0512,0.2211,-0.4832,0.1954,0.5681,0.1059
19,Total Other Income Expenses (Gains),-239653,-448277,-120314,-226930,-220000,-30843,-187278,-187292,-166198,-128090,-87127,-36141,-10767,-7386,-2793,-1752,-1006832,147285,131506,-2089875,-4569481,132998,2564123
20,Income Before Tax,- -,-5241487,-1271792,-2065442,- -,- -,640114,992385,789972,1229822,350587,-402614,937011,589702,259515,458458,-919321,-107638,2141915,-4221122,-3868162,3114218,3188881
21,Income Before Tax Ratio,- -,-2.7093,-0.3182,-0.5171,- -,- -,0.1739,0.1773,0.1203,0.1202,0.0456,-0.0797,0.2054,0.1657,0.1016,0.1923,-0.5298,-0.0216,0.2355,-0.9571,-1.0775,0.5934,0.5403
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,333746,270590,354795,125634,223851,163272,74275,- -,- -,- -,- -,- -,- -,-366532
23,Net Income,-3371689,-5241487,-1271792,-2065442,-284414,82920,640114,992385,789972,896076,79997,-757409,811377,365851,96243,384183,-919321,-107638,2141915,-3840685,-5378637,3279404,2822349
24,Net Income ratio,-15.0691,-2.7093,-0.3182,-0.5171,-0.0791,0.0265,0.1739,0.1773,0.1203,0.0876,0.0104,-0.1499,0.1778,0.1028,0.0377,0.1612,-0.5298,-0.0216,0.2355,-0.8708,-1.4983,0.6249,0.4782
25,EPS,-22.50,-25.00,-2.50,-2.50,-0.37,0.14,1.25,1.25,1.25,1.25,0.13,-1.25,1.25,0.62,0.16,1.25,-1.25,-0.12,1.25,-1.56,-2.11,1.26,1.09
26,EPS Diluted,-22.50,-25.00,-2.50,-2.50,-0.37,0.14,1.25,1.25,1.25,1.25,0.13,-1.25,1.25,0.62,0.16,1.25,-1.25,-0.12,1.25,-1.56,-2.11,1.26,1.09
27,Weighted Average Shares Outstanding,151458,212212,605506,775564,775564,604955,667854,704406,702552,730611,609597,601606,594250,592685,592685,592685,735457,911095,2199724,2461428,2544896,2597974,2597974
28,Weighted Average Shares Outstanding Diluted,151458,212212,605506,775564,775564,604955,667854,704406,702552,730611,609597,601606,594250,592685,592685,592685,735457,911095,2199724,2461428,2614896,2598587,2598587
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096934/000114420408030356/0001144204-08-030356-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096934/000114420412018973/0001144204-12-018973-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000072174813000076/0000721748-13-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000072174814001190/0000721748-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000072174815000203/0000721748-15-000203-index.html,- -,https://www.sec.gov/Archives/edgar/data/1096934/000072174817000183/0000721748-17-000183-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000156459018007238/0001564590-18-007238-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000143774919006241/0001437749-19-006241-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000143774920006531/0001437749-20-006531-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000143774921007466/0001437749-21-007466-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000143774922007399/0001437749-22-007399-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,32082,47864,48533,36047,129453,232249,527553,1090807,939328,17268,148590,118469,369694,184731,2607370,3297059,459680,666810,341007,13487482
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599500,- -,- -,- -,- -,3734465
33,Cash and Short-Term Investments,- -,- -,- -,32082,47864,48533,36047,129453,232249,527553,1090807,939328,17268,148590,118469,369694,184731,3206870,3297059,459680,666810,341007,17221947
34,Net Receivables,- -,- -,- -,139229,100611,192350,143917,170626,299863,738824,455773,74669,53090,30488,35129,21811,14428,212751,622880,195048,52889,144791,351405
35,Inventory,- -,- -,- -,127890,118792,106388,- -,- -,- -,- -,- -,- -,- -,- -,3243606,3400463,- -,- -,- -,156391,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,23676,16529,1227,1430,1500,2477731,2968674,1394,1340,1081,2554861,150390,131268,29983,44761,6417
37,Total Current Assets,- -,- -,- -,299201,267267,347271,179964,323755,548641,1267604,1548010,1015497,2548089,3147752,3398598,3793308,200240,5974482,4070329,942387,749682,530559,17579769
38,PP&E,- -,- -,- -,411224,341699,359284,311781,274269,236782,225212,193715,177844,164159,148957,146314,146314,- -,143464,331299,1290345,62809,13707,9661
39,Goodwill,- -,- -,- -,- -,- -,- -,1288559,1288559,1288559,1288559,1288559,1288559,1288559,1288559,1166494,1166494,212445,1553745,1991994,1237036,212445,212445,212445
40,Intangible Assets,- -,- -,- -,2074289,1122719,1710218,1421170,1721233,5480635,4224414,2018375,279075,33961,5455,- -,- -,- -,264250,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,2074289,1122719,1710218,2709729,3009792,6769194,5512973,3306934,1567634,1322520,1294014,1166494,1166494,212445,1817995,1991994,1237036,212445,212445,212445
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515202,- -,- -,- -,- -,911162,506011,10008902,8915238,10126204,13574462,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,421031,760861,763033,762607,209699,74276,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,16369,541069,36790,289586,437197,677267,583637,496314,305250,266180,218097,217563,200056,2871366,1399280,914279,12134446,748504,526007,-17440886
45,Total Non-Current Assets,- -,- -,- -,2501882,2005487,2106292,3311096,3721258,7683243,6742853,4757824,3328963,2515466,1870767,1604647,1512864,3994973,3866750,13246474,23577065,11149962,14326621,-17218780
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2801083,2272754,2453563,3491060,4045013,8231884,8010457,6305834,4344460,5063555,5018519,5003245,5306172,4195213,9841232,17316803,24519452,11899644,14857180,360989
48,Accounts Payable,- -,- -,- -,308033,230466,260499,193748,105814,78713,80892,131598,15565,71136,32879,12121,14963,58094,77918,262065,240703,157934,65524,11474
49,Short-Term Debt,- -,- -,- -,1065318,575910,707184,1202068,332975,1268866,569372,900615,900615,900615,900615,960441,900615,90000,240000,- -,1161663,57888,5609,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,754777,414815,147717,81353,- -,- -,- -,- -,- -,- -,- -,- -,- -,6532
51,Deferred Revenue,- -,- -,- -,364174,316785,366311,321555,588766,1361606,1157597,861235,594038,461640,387258,312898,273440,246262,214898,269134,213647,204960,192088,171194
52,Other Current Liabilities,- -,- -,- -,- -,333402,141975,178390,426216,138021,849659,443867,170245,112786,45074,19129,34315,49812,123387,700875,418196,345332,306063,652330
53,Total Current Liabilities,- -,- -,- -,1737525,1456563,1475969,1895761,1453771,2847206,2657520,2337315,1680463,1546177,1365826,1304589,1223333,444168,656203,1232074,2034209,766114,569284,834998
54,Long-Term Debt,- -,- -,- -,983477,800524,867776,725367,878059,2381523,1454896,547245,49460,95958,50280,- -,- -,- -,25000,194074,6569592,499572,244485,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,983477,1020524,867776,725367,878059,2381523,1454896,547245,49460,95958,50280,- -,- -,- -,25000,194074,6569592,499572,244485,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46435,- -,- -
61,Total Liabilities,- -,- -,- -,2721002,2477087,2343745,2621128,2331830,5228729,4112416,2884560,1729923,1642135,1416106,1304589,1223333,444168,681203,1426148,8603801,1265686,813769,834998
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,101594,101594,82013,86012,88063,91326,91326,91326,91326,91326,91326,91326,91326,91327,204152,294527,328160,320831,325280,330922
64,Retained Earnings,- -,- -,- -,-12974931,-13259345,-13176425,-12536311,-11696060,-10906088,-10010012,-9815303,-10572712,-9761335,-9580342,-9484099,-9099916,-9435125,-9542763,-7400848,-11621970,-17000607,-13721203,-10898854
65,Other Comprehensive Income/Loss,- -,- -,- -,-320000,-410000,-490000,-600000,-1130000,-1190000,-1230000,-1260000,-1280000,-1290000,-1310000,-1310000,- -,3415,39343,3054,3054,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,13273418,13363418,13694230,13920231,14451180,15007917,15046727,14405251,14375923,14381429,14401429,14401429,13091429,13091428,18459297,22993922,27206407,27313734,27439334,27673692
67,Total Stockholders Equity,- -,- -,- -,80081,-204333,109818,869932,1713183,3003155,3898041,3421274,2614537,3421420,3602413,3698656,4082839,3751045,9160029,15890655,15915651,10633958,14043411,17105760
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2801083,2272754,2453563,3491060,4045013,8231884,8010457,6305834,4344460,5063555,5018519,5003245,5306172,4195213,9841232,17316803,24519452,11899644,14857180,17940758
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17579769
70,Total Liabilities & Equity,- -,- -,- -,2801083,2272754,2453563,3491060,4045013,8231884,8010457,6305834,4344460,5063555,5018519,5003245,5306172,4195213,9841232,17316803,24519452,11899644,14857180,360989
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096934/000114420408030356/0001144204-08-030356-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096934/000114420412018973/0001144204-12-018973-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000072174813000076/0000721748-13-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000072174814001190/0000721748-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000072174815000203/0000721748-15-000203-index.html,- -,https://www.sec.gov/Archives/edgar/data/1096934/000072174817000183/0000721748-17-000183-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000156459018007238/0001564590-18-007238-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000143774919006241/0001437749-19-006241-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000143774920006531/0001437749-20-006531-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000143774921007466/0001437749-21-007466-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000143774922007399/0001437749-22-007399-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3371689,-5241487,-1271792,-2065442,-284414,82920,640114,992385,789972,896076,79997,-757409,811377,365851,96243,384183,-919321,-107638,2141915,-3840685,-5378637,3279404,2822349
74,Depreciation and Amortization,118775,1618376,909540,414295,460061,468335,570147,1096186,1680456,2943190,2473517,1910080,340744,44403,153620,19405,50179,38770,111870,348304,161130,20526,24053
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240000,250000
77,Change in Working Capital,298569,- -,- -,-1438324,249028,60598,-587099,585781,-1168549,908649,600611,124339,1666878,780014,312083,475966,-2813903,5562207,-2480024,-3930077,1075390,-22293,16783496
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-465725,-161369,389987,24426,23574,-6774,15942,-19780,-201221,-213115,126257,-32614,-92112,-206657
79,Inventory,- -,11793,24863,-50590,9098,12404,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128242,4160,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2179,50706,-116033,55571,-38257,-20758,2842,36450,19824,184147,-21362,1976,-92410,-61332
81,Other Working Capital,- -,- -,- -,-1438324,-1189296,-1128698,-1715797,-1130016,-2298565,-1389916,-789305,-664966,1001912,1781926,2094009,2569975,-243928,5318279,2838255,-1091822,-16432,-38725,16744771
82,Other Non-Cash Items,2788895,2928741,990875,3183329,87724,-25419,717354,-209063,1504004,-1243531,-1296068,-402329,-3740188,-1060656,-602150,-568503,3994235,-5669890,477926,6740380,2805748,-4192388,-21606221
83,Cash Provided by Operating Activities,-165450,-694370,628623,93858,512399,586434,1340516,2465289,2805883,3504384,1858057,874681,-921189,129612,-40204,311051,311190,-176551,251687,-682078,-1336369,-674751,-1726323
84,CAPEX,-8982,-61666,-15623,-76110,-22018,-35456,-274513,-1282348,-5301275,-1482065,-70398,-21520,-67000,- -,- -,- -,- -,-104185,-23827,-1013722,- -,- -,- -
85,Acquisitions Net,27026,- -,-131607,- -,- -,- -,- -,-152134,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3715000,-5740935,-552644,100000,- -,- -
86,Purchases of Investments,- -,-50000,-45000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41588,-515601,- -,-21600,-53942,-23991,-74512
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24479,58675,- -,- -,- -,- -,- -,311353,624561,281250,716896,- -,14037904
88,Other Investing Activites,90721,288088,245000,- -,- -,- -,- -,-221000,-341167,-1549769,-68398,-537722,-40875,47388,539,- -,-424565,1167679,891438,-2144766,1659131,508031,1159500
89,Cash Used for Investing Activites,108765,176422,52770,-126110,-22018,-35456,-274513,-1655482,-5642442,-1581769,-46919,-479047,-42875,47388,539,- -,-466153,-2791504,-4243388,-3440891,2422085,484040,15122892
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2196924,-639356,-514805,-253302,-45678,- -,-59826,- -,- -,-370847,-770439,-1121987,-260931,- -
91,Common Stock Issued,50000,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,5480694,4625000,180283,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-400000,- -,- -,- -,- -,- -,- -,-1190,-671476,-49328,-4494,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,52013,761914,-191980,-314373,-474599,-550309,-1078489,-716401,2439355,570803,62947,17020,299800,- -,9544,- -,- -,-90000,427237,1875746,267355,125839,-250094
95,Cash Used/Provided by Financing Activities,102013,761914,-591980,-314373,-474599,-550309,-1078489,-716401,2939355,-1627311,-1247885,-547113,42004,-45678,9544,-59826,- -,5390694,4681390,1285590,-854632,-135092,-250094
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,102013,243966,89413,-346625,15782,669,-12486,93406,102796,295304,563254,-151479,-922060,131322,-30121,251225,-154963,2422639,689689,-2837379,231084,-325803,13146475
98,Cash at the End of Period,45328,289294,378707,32082,47864,48533,36047,129453,232249,527553,1090807,939328,17268,148590,118469,369694,184731,2607370,3297059,459680,666810,341007,13487482
99,Cash at the Beginning of Period,- -,45328,289294,378707,32082,47864,48533,36047,129453,232249,527553,1090807,939328,17268,148590,118469,339694,184731,2607370,3297059,435726,666810,341007
100,Free Cash Flow,-174432,-756036,613000,17748,490381,550978,1066003,1182941,-2495392,2022319,1787659,853161,-988189,129612,-40204,311051,311190,-280736,227860,-1695800,-1336369,-674751,-1726323
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096934/000114420408030356/0001144204-08-030356-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096934/000114420412018973/0001144204-12-018973-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000072174813000076/0000721748-13-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000072174814001190/0000721748-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000072174815000203/0000721748-15-000203-index.html,- -,https://www.sec.gov/Archives/edgar/data/1096934/000072174817000183/0000721748-17-000183-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000156459018007238/0001564590-18-007238-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000143774919006241/0001437749-19-006241-index.html,https://www.sec.gov/Archives/edgar/data/1096934/000143774920006531/0001437749-20-006531-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000143774921007466/0001437749-21-007466-index.htm,https://www.sec.gov/Archives/edgar/data/1096934/000143774922007399/0001437749-22-007399-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
