,https://roic.ai/company/VTDRF,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,120306000,- -,- -,31320000,32482000,1318000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,311607,2370497,1624000,- -,245000,- -,- -,- -,2635000,- -,296000,720000,744000,- -,- -
44,Other Non-Current Assets,756771,8496964,27817000,54193000,57928000,92536000,100027000,79897000,20415000,15694000,21639000,15306000,16324000,-262439000,31843000
45,Total Non-Current Assets,1180029,641763591,1037959000,1772325000,1863248000,2841362000,3323157000,3199107000,2971437000,850222000,785126000,803329000,744900000,532505000,413897000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,275638780,665283522,1119179000,2003194000,2122500000,3530207000,3628143000,3529857000,3332180000,1160428000,1083122000,1129562000,1090737000,784347000,699394000
48,Accounts Payable,61518,3826815,15931000,32332000,46362000,50909000,66860000,59139000,49437000,35283000,39666000,44372000,49599000,23638000,31420000
49,Short-Term Debt,- -,17239613,33827000,8574000,- -,31250000,63500000,95378000,61477000,1430000,4430000,- -,3963000,2038000,- -
50,Tax Payable,- -,- -,- -,- -,2570000,3826000,9187000,18358000,- -,5008000,3740000,3175000,3493000,2951000,- -
51,Deferred Revenue,- -,- -,- -,- -,6700000,8047000,9543000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9168789,14766472,14285000,75159000,97109000,115437000,87938000,101537000,21702000,18448000,25117000,17983000,22973000,22696000,38253000
53,Total Current Liabilities,9230307,35832900,64043000,116065000,150171000,205643000,227841000,256054000,132616000,55161000,69213000,62355000,76535000,48372000,69673000
54,Long-Term Debt,- -,133000000,378078000,1103480000,1246428000,2710559000,2852050000,2632802000,- -,867372000,919939000,1109011000,343579000,345219000,346858000
55,Deferred Revenue,- -,- -,- -,- -,- -,38368000,34385000,72158000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2131000,2801000,2517000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,79286965,- -,- -,13498000,29755000,5021000,5610000,10652000,2742808000,11335000,17195000,22889000,18776000,15011000,17012000
58,Total Non-Current Liabilities,79286965,133000000,378078000,1116978000,1276183000,2756079000,2894846000,2718129000,2742808000,878707000,937134000,1131900000,362355000,360230000,363870000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7102000,4409000,- -
61,Total Liabilities,88517272,168832900,442121000,1233043000,1426354000,2961722000,3122687000,2974183000,2875424000,933868000,1006347000,1194255000,438890000,311858000,433543000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,42375,75708,187000,290000,291000,299000,304000,308000,- -,5000,5000,5000,13000,- -,- -
64,Retained Earnings,1919815,-45955667,-37117000,-84696000,-164647000,-309951000,-391776000,-349770000,-138363000,-147417000,-297202000,-438670000,17064000,- -,-369792000
65,Other Comprehensive Income/Loss,-10421,-111684,-498000,- -,-108521000,-176331000,-281759000,-406674000,-532619000,-67713000,-141393000,-208836000,-281842000,- -,- -
66,Other Total Stockholders Equity,185169739,542442265,714486000,854557000,969023000,1054468000,1178687000,1311810000,1127738000,441685000,515365000,582808000,916612000,375745000,635643000
67,Total Stockholders Equity,187121508,496450622,677058000,770151000,696146000,568485000,505456000,555674000,456756000,226560000,76775000,-64693000,651847000,374539000,265851000
68,Total Liabilities And Stockholders Equity,275638780,665283522,1119179000,2003194000,2122500000,3530207000,3628143000,3529857000,3332180000,1160428000,1083122000,1129562000,1090737000,686397000,699394000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97950000,- -
70,Total Liabilities & Equity,275638780,665283522,1119179000,2003194000,2122500000,3530207000,3628143000,3529857000,3332180000,1160428000,1083122000,1129562000,1090737000,784347000,699394000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465872/000156459016015692/0001564590-16-015692-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459017003993/0001564590-17-003993-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459018007050/0001564590-18-007050-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459019007843/0001564590-19-007843-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459020009483/0001564590-20-009483-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459021014207/0001564590-21-014207-index.htm,https://www.sec.gov/Archives/edgar/data/1465872/000095017022005073/0000950170-22-005073-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,4453507,-47378192,8839000,-47579000,-79951000,-145304000,-81825000,42006000,17218000,-618459000,-149785000,-141468000,455734000,-276757000,-110251000
74,Depreciation and Amortization,10421,101263,11218000,33384000,64477000,68747000,106609000,126610000,127359000,78616000,73925000,70447000,73820000,69216000,56242000
75,Deferred Income Tax,-311607,-2058890,746000,1492000,-3984000,3785000,997000,-305000,2122000,-3368000,-1964000,1742000,-51000,221000,369000
76,Stock Based Compensation,- -,- -,5030000,6141000,5946000,7073000,7064000,8212000,- -,402000,3997000,7165000,957000,1615000,395000
77,Change in Working Capital,1043508,-277541413,29489969,97627000,-5723000,374121000,-406057000,-2449000,153431000,26918000,-26262000,35095000,5424000,-65832000,12354000
78,Accounts Receivable,- -,- -,-14350000,-40791000,-50719000,-52207000,-49202000,15226000,80903000,53447000,-24529000,16948000,-18073000,21787000,-20116000
79,Inventory,- -,- -,-10789000,-8971000,-4616000,-13568000,-17860000,-10088000,1397000,-964000,1251000,1911000,-3174000,-1852000,- -
80,Accounts Payable,- -,- -,12104000,16402000,14030000,4546000,15951000,-5976000,-154922000,736000,4383000,4706000,5227000,-23683000,10094000
81,Other Working Capital,265228444,-12312969,17177000,114804000,109081000,483202000,77145000,74696000,228127000,255045000,228783000,263878000,269302000,203470000,215824000
82,Other Non-Cash Items,- -,321048237,-58940969,-75328000,35108000,-458987000,324781000,73550000,-207543000,490652000,80216000,39813000,-245000,186235000,-29500000
83,Cash Provided by Operating Activities,5195829,-5828995,-3618000,15737000,15873000,-150565000,-48431000,247624000,92587000,-25239000,-19873000,12794000,535639000,-85302000,-70391000
84,CAPEX,-122072,-170775303,-337444000,-565759000,-144800000,-874117000,-564319000,-51746000,-46490000,-11848000,-2224000,-14316000,-7798000,-3155000,-7045000
85,Acquisitions Net,- -,-213396605,- -,- -,- -,- -,- -,- -,- -,- -,-12745000,-80297000,- -,- -,- -
86,Purchases of Investments,- -,- -,-157404000,- -,- -,-31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,23250000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-273865822,273109051,- -,-79777000,464000,- -,22000,- -,-46490000,- -,13000000,-14316000,-7798000,- -,13557000
89,Cash Used for Investing Activites,-273987894,-111062857,-494848000,-645536000,-144336000,-905117000,-564297000,-28496000,-46490000,-11848000,-14969000,-94613000,-7798000,-3155000,6512000
90,Debt Repayment,- -,- -,-34114000,-331249000,-109716000,-1006251000,-1033874000,-181002000,-67980000,-1430000,-1430000,-216265000,- -,- -,- -
91,Common Stock Issued,261930100,- -,105244000,101889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-498000,- -,- -,- -,-524994000,- -,- -
94,Other Financing Activites,8090800,132186594,426771000,963610000,227767000,2454628000,1198562000,-10000000,150000000,66824000,- -,342016000,710000,- -,- -
95,Cash Used/Provided by Financing Activities,270020900,132186578,497901000,734250000,118051000,1448377000,164688000,-191002000,81522000,65394000,-1430000,125751000,-524284000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1228835,15294726,-565000,104451000,-10412000,392695000,-448040000,28126000,127619000,28307000,-36272000,43932000,3557000,-88457000,-63879000
98,Cash at the End of Period,1262625,16557351,15992000,120443000,110031000,502726000,54686000,82812000,203420000,231727000,195455000,239387000,242944000,154487000,90608000
99,Cash at the Beginning of Period,33790,1262625,16557000,15992000,120443000,110031000,502726000,54686000,75801000,203420000,231727000,195455000,239387000,242944000,154487000
100,Free Cash Flow,5073757,-176604298,-341062000,-550022000,-128927000,-1024682000,-612750000,195878000,46097000,-37087000,-22097000,-1522000,527841000,-88457000,-77436000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465872/000156459016015692/0001564590-16-015692-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459017003993/0001564590-17-003993-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459018007050/0001564590-18-007050-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459019007843/0001564590-19-007843-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459020009483/0001564590-20-009483-index.html,https://www.sec.gov/Archives/edgar/data/1465872/000156459021014207/0001564590-21-014207-index.htm,https://www.sec.gov/Archives/edgar/data/1465872/000095017022005073/0000950170-22-005073-index.htm
102,false,,,,,,,,,,,,,,,
