,https://roic.ai/company/EPSN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,22347364,117654854,134069564,84381176,85782753,128993532,169943821,172071270,166538078,122467263,127260740,116345242,87897709,97669203,86676184,99462594
69,Minority Interest,- -,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,22347364,117654854,134069564,84381176,85782753,128993532,169943821,172071270,166538078,122467263,127260740,116345242,87897709,97669203,86676184,99462594
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1726126/000155837019002613/0001558370-19-002613-index.html,https://www.sec.gov/Archives/edgar/data/1726126/000155837020002895/0001558370-20-002895-index.htm,https://www.sec.gov/Archives/edgar/data/1726126/000155837021003486/0001558370-21-003486-index.htm,https://www.sec.gov/Archives/edgar/data/1726126/000155837022004185/0001558370-22-004185-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-590392,-2229874,-33687916,-20228619,4027323,19202371,-4129664,-13522281,6615952,-25523657,-2954331,12134964,6662060,8697999,875171,11627517
74,Depreciation and Amortization,150269,1357539,- -,3458197,4920170,- -,- -,- -,- -,- -,- -,- -,- -,- -,9557891,6627016
75,Deferred Income Tax,- -,- -,2600000,- -,- -,-14286627,8988046,4811364,5810626,-14269838,874906,-4404143,-572405,2412186,-2298612,-197412
76,Stock Based Compensation,- -,- -,1846518,706428,262983,1515235,682252,-121392,-1016581,120426,221296,313325,330232,510460,849631,956084
77,Change in Working Capital,2143286,33554876,-56433833,31319865,5950475,-14950583,2547045,-18189402,19341906,533913,-18355662,13099252,10098583,1371311,-1657767,10851045
78,Accounts Receivable,- -,- -,-6564201,5650678,- -,- -,- -,- -,- -,- -,- -,- -,-1707239,745217,379629,-679643
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,646410
81,Other Working Capital,5037710,38592586,-17841247,13478618,19429093,4478510,7025555,-11163847,8178059,8711972,-9643690,3455562,13554145,14925456,13267689,24118734
82,Other Non-Cash Items,382451,-31562984,79078772,-15809683,-6013718,14161981,20529375,59258208,516490,49665312,31391790,-3589378,-6401614,-6942,7490052,-29864250
83,Cash Provided by Operating Activities,2085613,1119558,-6596459,-553812,9147233,5642377,28617054,32236497,31268393,10526156,11177999,17554020,10116856,12985014,14816366,- -
84,CAPEX,-12641255,-42498385,-47610971,-35293288,-8914416,-14165972,-77004176,-45319394,-7945864,-4072604,-314790,-19274485,-2200466,-11915145,-6525698,-4590552
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-857585,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-14,-1643272,-25334013,58893147,5018880,7285528,171490,1146200,485720,-1067740,-999702,-82276,165264,1373876,745,152538
89,Cash Used for Investing Activites,-13498854,-44141657,-72944984,23599859,-3895536,-6880444,-76832686,-44173194,-7460144,-5140344,-1314492,-19356761,-2035202,-10541269,-6524953,-4438014
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-752442,-357842,-39080436,-2900000,- -,1485320,3444025
91,Common Stock Issued,12867091,82740932,31256168,12991,- -,- -,- -,- -,- -,- -,- -,17907187,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-691405,- -,-2796654,-274341,- -,-1642889,-10111721,-2238378,-780340,- -,-663944,-2856350,-9078522,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,19203133,-19184134,488119,174400,38499602,9628809,548963,123192,5460000,50243,- -,54250,-1485320,-5781694
95,Cash Used/Provided by Financing Activities,12867091,82740932,49767896,-19171143,-2308535,-99941,38499602,7985920,-11562758,-2867628,4321818,-21123006,-3563944,-2802100,-9078522,-2337669
96,Effect of Forex Changes on Cash,- -,172208,-9068611,3180201,438865,-148885,111521,-3997,191842,-1625251,346604,1438007,-115306,12548,10169,- -
97,Net Change In Cash,1453851,39891041,-38842158,7055105,3382027,-1486893,-9604509,-3954774,12437333,892933,14531929,-21487740,4402404,-345807,-776940,13228652
98,Cash at the End of Period,7292648,47208702,8233442,15288547,18670574,17183681,7579172,3624398,16061731,16954664,31486593,9998853,14401257,14613711,13836771,27065423
99,Cash at the Beginning of Period,5838796,7317661,47075600,8233442,15288547,18670574,17183681,7579172,3624398,16061731,16954664,31486593,9998853,14959518,14613711,13836771
100,Free Cash Flow,-10555642,-41378828,-54207430,-35847100,232817,-8523595,-48387122,-13082897,23322529,6453552,10863209,-1720465,7916390,1069869,8290668,-4590552
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1726126/000155837019002613/0001558370-19-002613-index.html,https://www.sec.gov/Archives/edgar/data/1726126/000155837020002895/0001558370-20-002895-index.htm,https://www.sec.gov/Archives/edgar/data/1726126/000155837021003486/0001558370-21-003486-index.htm,https://www.sec.gov/Archives/edgar/data/1726126/000155837022004185/0001558370-22-004185-index.htm
102,false,,,,,,,,,,,,,,,,
