,https://roic.ai/company/ZS,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,162960000,286162000,1228722000,1226654000
33,Cash and Short-Term Investments,- -,92842000,87978000,298539000,364646000,1370573000,1502552000
34,Net Receivables,- -,24489000,39052000,61611000,93341000,147584000,257109000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,9723000,15879000,27014000,38099000,63636000,88642000
37,Total Current Assets,- -,127054000,142909000,387164000,496086000,1581793000,1848303000
38,PP&E,- -,11108000,13139000,19765000,41046000,111853000,152915000
39,Goodwill,- -,- -,- -,- -,7479000,30059000,58977000
40,Intangible Assets,- -,- -,- -,- -,8708000,24024000,32129000
41,Intangible Assets,- -,- -,- -,- -,16187000,54083000,91106000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15356000,26854000,40852000,50843000,85729000,165307000
45,Total Non-Current Assets,- -,26464000,39993000,60617000,108076000,251665000,409328000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,153518000,182902000,447781000,604162000,1833458000,2257631000
48,Accounts Payable,- -,1406000,3763000,4895000,6208000,5233000,12547000
49,Short-Term Debt,- -,- -,- -,- -,- -,15600000,19842000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,58490000,85468000,140670000,221387000,337263000,571286000
52,Other Current Liabilities,- -,18001000,31228000,37267000,34354000,65805000,116530000
53,Total Current Liabilities,- -,77897000,120459000,182832000,261949000,423901000,720205000
54,Long-Term Debt,- -,- -,- -,- -,- -,889638000,944763000
55,Deferred Revenue,- -,7423000,11151000,23353000,29815000,32504000,59315000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1531000,1457000,1360000,3840000,2586000,4453000
58,Total Non-Current Liabilities,- -,8954000,12608000,24713000,33655000,924728000,1008531000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,43623000,51067000
61,Total Liabilities,- -,86851000,133067000,207545000,295604000,1348629000,1728736000
62,Preferred Stock,- -,191407000,200977000,- -,- -,- -,- -
63,Common Stock,- -,16000,18000,119000,127000,133000,139000
64,Retained Earnings,- -,-126556000,-162016000,-196100000,-224455000,-339571000,-601600000
65,Other Comprehensive Income/Loss,- -,-10627000,-17304000,-124000,268000,463000,-650000
66,Other Total Stockholders Equity,- -,12427000,28160000,436341000,532618000,823804000,1131006000
67,Total Stockholders Equity,- -,66667000,49835000,240236000,308558000,484829000,528895000
68,Total Liabilities And Stockholders Equity,- -,153518000,182902000,447781000,604162000,1833458000,2257631000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,153518000,182902000,447781000,604162000,1833458000,2257631000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1713683/000162828018011833/0001628280-18-011833-index.html,https://www.sec.gov/Archives/edgar/data/1713683/000171368319000030/zs-20190731.htm,https://www.sec.gov/Archives/edgar/data/1713683/000171368320000163/0001713683-20-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1713683/000171368321000175/0001713683-21-000175-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-12832000,-27438000,-35460000,-33646000,-28655000,-115116000,-262029000
74,Depreciation and Amortization,2854000,4872000,6840000,7988000,11306000,21118000,36458000
75,Deferred Income Tax,- -,- -,- -,- -,-1392000,-1172000,-2406000
76,Stock Based Compensation,1561000,3617000,9919000,11224000,46423000,121395000,258535000
77,Change in Working Capital,1218000,41765000,-26707000,181882000,29805000,923755000,-29794000
78,Accounts Receivable,-4723000,-6188000,-14563000,-22559000,-31730000,-54222000,-111605000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-389000,563000,2249000,-779000,495000,862000,7451000
81,Other Working Capital,7392000,49157000,22450000,204332000,234137000,1157892000,1128098000
82,Other Non-Cash Items,3920000,-34732000,39389000,-150141000,540000,-870663000,201276000
83,Cash Provided by Operating Activities,-3279000,-11916000,-6019000,17307000,58027000,79317000,202040000
84,CAPEX,-6705000,-6247000,-8174000,-15170000,-30162000,-51809000,-58297000
85,Acquisitions Net,- -,- -,- -,- -,-11432000,-41601000,-40530000
86,Purchases of Investments,-38000,- -,- -,-163366000,-335186000,-1255629000,-818557000
87,Sales/Maturities of Investments,6148000,- -,- -,- -,214706000,310877000,807716000
88,Other Investing Activites,-1534000,-1245000,-559000,-1340000,-4642000,-8737000,-10132000
89,Cash Used for Investing Activites,-595000,-6647000,-8342000,-178103000,-162074000,-1038162000,-109668000
90,Debt Repayment,-5500000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,205344000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3811000,-22000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,91115000,27563000,9497000,6864000,46406000,1022212000,41675000
95,Cash Used/Provided by Financing Activities,85615000,27563000,9497000,208397000,46384000,1022212000,41675000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,81741000,9000000,-4864000,47601000,-57663000,63367000,134047000
98,Cash at the End of Period,83842000,92842000,87978000,135579000,78484000,141851000,275898000
99,Cash at the Beginning of Period,2101000,83842000,92842000,87978000,136147000,78484000,141851000
100,Free Cash Flow,-9984000,-18163000,-14193000,2137000,27865000,27508000,143743000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1713683/000162828018011833/0001628280-18-011833-index.html,https://www.sec.gov/Archives/edgar/data/1713683/000171368319000030/zs-20190731.htm,https://www.sec.gov/Archives/edgar/data/1713683/000171368320000163/0001713683-20-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1713683/000171368321000175/0001713683-21-000175-index.htm
102,false,,,,,,,
