,https://roic.ai/company/DCLT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81500,-12750,-7036,-7036,-7036,-7036,-7036,-7720,-7200
91,Common Stock Issued,539850,1403400,905000,- -,165000,25000,40000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,50000,575000,- -,50000,- -,10000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,539850,1403400,955000,575000,165000,75000,40000,20000,- -,-71500,-12750,-7036,-7036,-7036,-7036,-7036,-7720,-7200
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12055,656106,-389529,-251286,-21442,28560,-14479,21799,-30283,- -,- -,27069,-32311,-8909,-21584,4523,578,-14290
98,Cash at the End of Period,15122,671228,281699,30413,8971,37531,23052,44851,14568,- -,58741,85810,53499,44590,23006,27529,28107,13817
99,Cash at the Beginning of Period,3067,15122,671228,281699,30413,8971,37531,23052,44851,14568,- -,58741,85810,53499,44590,23006,27529,28107
100,Free Cash Flow,-527795,-747294,-1344529,-826286,-186442,-46440,-54479,1799,-30283,56932,71491,34105,-25275,-1873,-14548,11559,14185,-7090
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321828/000129534508000104/0001295345-08-000104-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321828/000129534513000029/0001295345-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534514000061/0001295345-14-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534515000071/0001295345-15-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534516000449/0001295345-16-000449-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000129534517000192/0001295345-17-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000129534518000009/0001295345-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315219003012/0001493152-19-003012-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315220004875/0001493152-20-004875-index.html,https://www.sec.gov/Archives/edgar/data/1321828/000149315221006430/0001493152-21-006430-index.htm,https://www.sec.gov/Archives/edgar/data/1321828/000149315222007820/0001493152-22-007820-index.htm
102,false,,,,,,,,,,,,,,,,,,
