,https://roic.ai/company/NRIX,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,218147000,150157000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,529000,126000,120877000,3725000
95,Cash Used/Provided by Financing Activities,529000,126000,339024000,153882000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,8848000,9225000,84540000,-38734000
98,Cash at the End of Period,25761000,34986000,119526000,80792000
99,Cash at the Beginning of Period,16913000,25761000,34986000,119526000
100,Free Cash Flow,-33270000,-1050000,-4633000,-90026000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1549595/000156459021006071/0001564590-21-006071-index.htm,https://www.sec.gov/Archives/edgar/data/1549595/000156459022003007/0001564590-22-003007-index.htm
102,false,,,,
