,https://roic.ai/company/AGI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,744938,- -,300139,883696,1438307,3449489,8879625,47102756,66437418,92957503,98987000,106944000,121126000,165556000,187540000,160191000,418600000,460900000,488100000,674400000,557100000,514000000,584400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1117000,1510000,1717000,3133000,3131000,2839000,1000000,2100000,2500000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,598000,536000,912000,1393000,24200000,24000000,9100000,3000000,2500000,4300000,4500000
14,Depreciation and Amortization,66852,- -,9172,22069,60308,90268,1032744,8121727,10999899,20723110,22783000,20753000,23423000,50678000,56488000,42970000,117500000,119000000,125600000,166600000,165000000,153800000,170900000
15,EBITDA,-608305,- -,-282882,-861627,-1377999,-3359221,-8413812,5233925,17373879,59743865,101028000,114278000,129956000,218139000,136904000,46702000,-417000000,135400000,156900000,131200000,296400000,376300000,177700000
16,EBITDA ratio,-8.7173,- -,-212133.3923,-Infinity,-Infinity,-Infinity,-3.0861,0.0958,0.2347,0.4493,0.5893,0.6038,0.5716,0.6623,0.4852,0.2748,-1.1743,0.2808,0.2891,0.2013,0.4339,0.5030,0.2158
17,Operating Income,-675157,- -,-300138,-883696,-1438307,-3449489,-6153234,7552580,7590374,40016472,72443000,82328000,106238000,163816000,94647000,9747000,-492600000,21300000,56000000,-22600000,126000000,227600000,14900000
18,Operating Income ratio,-9.6754,- -,-225073.6777,-Infinity,-Infinity,-Infinity,-2.2569,0.1382,0.1025,0.3009,0.4226,0.4350,0.4673,0.4974,0.3354,0.0574,-1.3872,0.0442,0.1032,-0.0347,0.1845,0.3042,0.0181
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-4451885,-1216394,-995718,5802000,11197000,-303000,3109000,-15143000,-7408000,-66100000,-28900000,-33800000,-15800000,2900000,-9400000,-12600000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,3100695,6373980,39020754,78245000,93525000,105935000,166925000,79504000,2339000,-558700000,-7600000,22200000,-38400000,128900000,218200000,2300000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.0567,0.0861,0.2934,0.4564,0.4941,0.4659,0.5068,0.2817,0.0138,-1.5734,-0.0158,0.0409,-0.0589,0.1887,0.2917,0.0028
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,1125418,3439734,9640916,22283000,27840000,45854000,48969000,40712000,4465000,-49800000,10300000,-4400000,34200000,32800000,74000000,69000000
23,Net Income,-675157,- -,-292054,-952637,-1933873,-3772224,-9446556,-4013220,2934246,29379839,55962000,65685000,60081000,117956000,38792000,-2126000,-508900000,-17900000,26600000,-72600000,96100000,144200000,-66700000
24,Net Income ratio,-9.6754,- -,-219011.4810,-Infinity,-Infinity,-Infinity,-3.4649,-0.0734,0.0396,0.2209,0.3264,0.3470,0.2643,0.3581,0.1375,-0.0125,-1.4331,-0.0371,0.0490,-0.1114,0.1407,0.1928,-0.0810
25,EPS,-0.10,- -,0.93,-0.04,-0.05,0.07,0.14,-0.05,0.03,0.31,0.52,0.57,0.51,0.98,0.30,-0.02,-2.62,-0.07,0.09,-0.19,0.25,0.37,-0.17
26,EPS Diluted,-0.10,- -,0.93,-0.04,-0.05,0.07,0.14,-0.05,0.03,0.30,0.51,0.56,0.51,0.98,0.30,-0.02,-2.62,-0.07,0.09,-0.19,0.24,0.37,-0.17
27,Weighted Average Shares Outstanding,6751570,- -,4174993,7439015,39838848,58417200,77147504,87607000,94065000,95428000,106765000,115183000,117375000,119861000,127340000,127388000,194121000,265234000,305521000,389816000,390160000,391675000,391675000
28,Weighted Average Shares Outstanding Diluted,6751570,- -,4174993,7439015,39838848,58417200,77147504,87607000,96427000,97111000,108749000,116907000,118669000,120904000,127480000,127389000,194121000,265234000,309021000,389816000,393427000,394862000,394862000
29,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,8981575,13127463,4518590,2900000,3600000,3300000,128900000,113200000,179500000,603400000,141100000,89000000,282900000,252200000,200800000,206000000,182800000,220500000,172500000
32,Short-Term Investments,- -,- -,- -,- -,- -,15000000,- -,- -,- -,- -,- -,- -,149900000,- -,1500000,- -,6700000,14100000,35800000,7800000,22800000,43700000,23900000
33,Cash and Short-Term Investments,- -,- -,- -,- -,8981575,28127463,4518590,2900000,3600000,3300000,128900000,113200000,329400000,603400000,142600000,89000000,289600000,266300000,236600000,213800000,205600000,264200000,196400000
34,Net Receivables,- -,- -,- -,- -,47620,112117,3861990,12000000,10200000,8800000,12600000,16900000,63500000,60000000,55500000,19300000,58700000,44900000,34500000,47500000,42000000,34700000,39800000
35,Inventory,- -,- -,- -,- -,- -,- -,9989355,46300000,51600000,60100000,60500000,75400000,137100000,70700000,84600000,73100000,126100000,131700000,161200000,110200000,126900000,148500000,199000000
36,Other Current Assets,- -,- -,- -,- -,37777,1733284,4120562,5000000,4100000,8700000,6900000,4500000,7100000,6200000,9200000,2600000,8800000,11600000,14400000,15500000,19800000,26000000,24200000
37,Total Current Assets,- -,- -,- -,- -,9066972,29972864,22490497,66200000,69500000,80900000,208900000,210000000,537100000,740300000,291900000,184000000,483200000,454500000,446700000,387000000,394300000,473400000,459400000
38,PP&E,- -,- -,- -,- -,18671433,45906171,102526615,539600000,572000000,597100000,628700000,562000000,2032800000,1567300000,1676000000,1638700000,1859200000,1918200000,2753400000,2813300000,2933400000,3101300000,3108500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,107200000,106800000,106800000,106800000,- -,475200000,348200000,241700000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,21800000,54800000,53700000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,107200000,106800000,106800000,106800000,3500000,497000000,403000000,295400000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,70500000,108900000,70200000,84800000,82000000,429500000,288100000,287200000,260900000,284100000,291000000,- -,491500000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,684516,-1,1183357,-66600000,-103300000,-58400000,-64800000,-47500000,-317300000,-101500000,-88100000,198200000,-164300000,-171500000,113700000,-419600000,68800000,61800000,53600000
45,Total Non-Current Assets,- -,- -,- -,- -,19355949,45906170,103709972,650700000,684400000,715700000,755500000,600000000,2642000000,2156900000,2170500000,2097800000,1979000000,2037700000,2867100000,2885200000,3002200000,3163100000,3162100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,28422921,75879034,126200469,716900000,753900000,796600000,964400000,810000000,3179100000,2897200000,2462400000,2281800000,2462200000,2492200000,3313800000,3272200000,3396500000,3636500000,3621500000
48,Accounts Payable,- -,- -,- -,- -,536069,943319,5323015,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87300000,- -,118300000,117700000,137600000
49,Short-Term Debt,- -,- -,- -,- -,2198612,- -,4190448,4699975,2072299,331906,- -,- -,- -,- -,- -,- -,5300000,3600000,4200000,2600000,800000,500000,400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1988000,3373000,6125000,15497000,1783000,- -,- -,1500000,5700000,6200000,- -,15500000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38365000,38715000,39815000,284000000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,93200025,48327701,61868094,42200000,44300000,224500000,57035000,75485000,12185000,-189400000,96000000,15200000,129300000,8200000,28700000,19400000
53,Total Current Liabilities,- -,- -,- -,- -,2734681,943319,9513463,97900000,50400000,62200000,42200000,44300000,224500000,95400000,114200000,52000000,99900000,99600000,106700000,131900000,127300000,146900000,157400000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,36941795,63600000,1300000,8000000,32400000,27200000,237300000,183500000,244200000,308100000,315000000,301300000,3300000,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,477000000,- -,513700000,559900000,623200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,50001,2100000,73700000,115600000,80100000,97400000,94900000,476100000,320500000,316100000,290400000,323100000,331900000,45600000,538000000,60200000,78200000,105300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,50001,39041795,137300000,116900000,88100000,129800000,122100000,713400000,504000000,560300000,598500000,638100000,633200000,525900000,538000000,573900000,638100000,728500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,4806304,7976651,8575169,331906,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,800000,500000,400000
61,Total Liabilities,- -,- -,- -,- -,2734681,993319,48555258,235200000,167300000,150300000,172000000,166400000,937900000,599400000,674500000,650500000,738000000,732800000,632600000,669900000,701200000,785000000,885900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,473000000,699500000,719400000,866700000,882000000,2301400000,2308000000,2021800000,2030000000,2773700000,2822200000,3691700000,3705200000,3693300000,3702900000,3692900000
64,Retained Earnings,- -,- -,- -,- -,-9389125,-13161349,-23602496,-62900000,-161700000,-112900000,-104700000,-271000000,-94200000,-61000000,-284600000,-460800000,-1114300000,-1134100000,-1117000000,-1181000000,-1088500000,-958100000,-1048700000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,707683,1877036,10248025,297021,293022,-692637,- -,-960000,-1080000,-1064000,-1093000,-841000,-4400000,400000,13000000,-9200000,-200000,18200000,1900000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-275006000,-396956178,-426100560,-441800000,-151043000,-1672570000,-1585464000,-924160000,-785025000,69200000,70900000,93500000,87300000,90700000,88500000,89500000
67,Total Stockholders Equity,- -,- -,- -,- -,25688240,74885715,77645211,135391021,141136844,179706803,320200000,458997000,533550000,660472000,811947000,783334000,1724200000,1759400000,2681200000,2602300000,2695300000,2851500000,2735600000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,28422921,75879034,126200469,370591021,308436844,330006803,492200000,625397000,1471450000,1259872000,1486447000,1433834000,2462200000,2492200000,3313800000,3272200000,3396500000,3636500000,3621500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,346308979,445463156,466593197,472200000,184603000,1707650000,1637328000,975953000,847966000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,28422921,75879034,126200469,716900000,753900000,796600000,964400000,810000000,3179100000,2897200000,2462400000,2281800000,2462200000,2492200000,3313800000,3272200000,3396500000,3636500000,3621500000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-675157,- -,-292054,-952637,-1933873,-3772224,-9446556,-4013220,2934246,29379839,55962000,65685000,60081000,117956000,38792000,-2126000,-508900000,-17900000,26600000,-72600000,96100000,144200000,-66700000
74,Depreciation and Amortization,66852,- -,9172,22069,60308,90268,1032744,8121727,10999899,20723110,22783000,20753000,23423000,50678000,56488000,42970000,117500000,119000000,125600000,166600000,165000000,153800000,170900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,1000086,2894975,2180036,7273000,4430000,11660000,3357000,350000,1100000,-49800000,10300000,-4400000,34200000,32800000,74000000,69000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5850000,13300000,13525000,7634000,3204000,1136000,8300000,10200000,7500000,6600000,9200000,6800000,5400000
77,Change in Working Capital,2024,- -,11738,6994773,296733,317310,-7570231,-18792171,192327,10833471,7066000,-5148000,23000,6062000,-26652000,-18119000,-5300000,-25500000,-18300000,6400000,-32400000,-9900000,-27500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18218000,-18865000,-21356000,-27508000,-15200000,-5700000,14000000,-7900000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-8796576,-16014250,-5064948,7391698,5124000,-4630000,-6572000,-5655000,-2797000,-17758000,-6600000,-16100000,-15900000,13900000,-11400000,-13300000,-49700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31672000,1812000,21554000,16000000,-7500000,-12100000,7600000,- -,- -,- -
81,Other Working Capital,- -,- -,1,1,- -,- -,1,-1,-1,406029,- -,715000,- -,- -,- -,225000,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,207108,- -,- -,- -,-156541,1789491,3308817,13020002,3837480,2222862,-3327000,-9372000,-2178000,-1091000,14445000,7796000,498200000,39600000,26500000,72700000,-10300000,-500000,205400000
83,Cash Provided by Operating Activities,-399173,- -,-271144,6064205,-1733373,-1575155,-12675226,-663576,20858927,65339318,95607000,89648000,106534000,184596000,86627000,32757000,60000000,135700000,163500000,213900000,260400000,368400000,356500000
84,CAPEX,-15000,- -,-271581,-375508,-4941955,-27049617,-57946591,-22075715,-14934045,-25038709,-36578000,-101110000,-77039000,-57376000,-59732000,-58086000,-163100000,-146500000,-169200000,-221500000,-263600000,-300900000,-364300000
85,Acquisitions Net,- -,- -,-28444,-7049811,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44663000,- -,249100000,700000,46200000,- -,- -,-19500000,- -
86,Purchases of Investments,- -,- -,-667,- -,- -,-15000000,- -,-73826,- -,- -,-30082000,-15770000,-13455000,-11450000,- -,-1754000,-4300000,-2900000,- -,- -,- -,-3400000,-8800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,15000000,- -,238647,59298,7058000,- -,- -,16699000,150978000,3000000,- -,- -,- -,24900000,- -,9700000,25800000
88,Other Investing Activites,-462231,- -,1,- -,- -,-1666895,27186,-858,1007,-823,- -,1412000,744000,-1172000,-4843000,-207000,16200000,-2800000,3600000,- -,-4000000,- -,-9800000
89,Cash Used for Investing Activites,-477231,- -,-300691,-7425319,-4941955,-43716512,-42919405,-22150399,-14694391,-24980234,-59602000,-115468000,-89750000,-53299000,41740000,-57047000,97900000,-151500000,-119400000,-196600000,-267600000,-314100000,-357100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,-9700000,-331600000,-4100000,-3300000,-100500000,-200000
91,Common Stock Issued,- -,- -,455627,1343746,14740567,51800346,1659618,18860846,1694693,4337836,77988000,17637000,22267000,28178000,4883000,- -,18900000,20400000,11700000,- -,7500000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2624000,-3234000,- -,- -,- -,- -,-11400000,-5500000,-11700000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7495000,-14114000,-24023000,-25519000,-25471000,-10600000,-5400000,-6000000,-7800000,-15600000,-23900000,-34500000
94,Other Financing Activites,- -,- -,-6727,-6619,429047,-2362792,46423131,4311959,-4979357,-8674848,- -,- -,- -,- -,- -,- -,39600000,-18100000,228300000,3100000,5800000,114300000,-900000
95,Cash Used/Provided by Financing Activities,- -,- -,448900,1337127,15169614,49437554,48082749,23172805,-3284664,-4337012,77988000,10142000,8153000,4155000,-23260000,-28705000,40400000,-12800000,-97600000,-8800000,-17000000,-15600000,-47300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-1096991,- -,- -,- -,2910000,1330000,-1800000,1133000,-1500000,-3375000,-4400000,-2100000,2100000,-3300000,1000000,-1000000,-100000
97,Net Change In Cash,-876404,- -,-122936,-23988,8494286,4145888,-8608873,358829,2878864,36021249,116903000,-14348000,23137000,136585000,103607000,-56370000,193900000,-30700000,-51400000,5200000,-23200000,37700000,-48000000
98,Cash at the End of Period,1081278,- -,75737,47372,8981575,13127463,4518590,4877672,7756520,43778620,160682000,146334000,169471000,306056000,409663000,353293000,282900000,252200000,200800000,206000000,182800000,220500000,172500000
99,Cash at the Beginning of Period,1957682,- -,198673,71360,487289,8981575,13127463,4518843,4877656,7757371,43779000,160682000,146334000,169471000,306056000,409663000,89000000,282900000,252200000,200800000,206000000,182800000,220500000
100,Free Cash Flow,-414173,- -,-542725,5688697,-6675328,-28624772,-70621817,-22739291,5924882,40300609,59029000,-11462000,29495000,127220000,26895000,-25329000,-103100000,-10800000,-5700000,-7600000,-3200000,67500000,-7800000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
