,https://roic.ai/company/PSTX,2017,2018,2019,2020,2021
75,Deferred Income Tax,-528000,-202000,- -,- -,- -
76,Stock Based Compensation,400000,975000,3050000,7220000,- -
77,Change in Working Capital,-1851000,11034000,85709000,178647000,-113433000
78,Accounts Receivable,865000,- -,- -,137000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-41000,1004000,1530000,-4171000,- -
81,Other Working Capital,8581000,19615000,105324000,283971000,170538000
82,Other Non-Cash Items,-1732000,-7166000,-67815000,-172006000,113557974
83,Cash Provided by Operating Activities,-22697000,-38014000,-64390000,-113328000,- -
84,CAPEX,-201000,-1284000,-5156000,-16908000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-71436000,-295023000,- -
87,Sales/Maturities of Investments,- -,- -,34000000,107500000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-201000,-1284000,-42592000,-204431000,- -
90,Debt Repayment,- -,- -,- -,-329000,- -
91,Common Stock Issued,- -,- -,- -,205743000,-42953085000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,20630000,54068000,164371000,108527000,- -
95,Cash Used/Provided by Financing Activities,20630000,54068000,164371000,313941000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-2267000,14770000,57389000,-3818000,- -
98,Cash at the End of Period,15625000,30395000,87784000,83966000,- -
99,Cash at the Beginning of Period,17892000,15625000,30395000,87784000,83966000
100,Free Cash Flow,-22898000,-39298000,-69546000,-130236000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1661460/000156459021012509/0001564590-21-012509-index.htm,https://www.sec.gov/Archives/edgar/data/1661460/000156459022009681/0001564590-22-009681-index.htm
102,false,,,,,
