,https://roic.ai/company/CAE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,- -,217032967,222857143,217037037,215357143,219375000,220857143,214130435,215600000,217600000,219400000,233200000,247900000,249800000,253000000,254600000,255000000,255800000,257300000,260000000,259395606,261919537,265526316,269196346,269597279,269454790,267974154,267595484,277647059
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173382/000104746904026141/a2141799zex-2.htm,https://www.sec.gov/Archives/edgar/data/1173382/000120621205000146/0001206212-05-000146-index.htm,https://www.sec.gov/Archives/edgar/data/1173382/000117338206000019/fs2006.htm,https://www.sec.gov/Archives/edgar/data/1173382/000117338207000013/0001173382-07-000013-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338208000011/0001173382-08-000011-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338209000012/0001173382-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338210000018/0001173382-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338211000015/0001173382-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338212000014/0001173382-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1173382/000117338213000012/0001173382-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338214000023/0001173382-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338215000014/0001173382-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338216000041/0001173382-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338217000011/0001173382-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338218000021/0001173382-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338219000015/0001173382-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338220000018/0001173382-20-000018-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10800000,43000000,14200000,23900000,202800000,25600000,163500000,156800000,88800191,17100044,61900577,57000000,81099953,150199493,255700031,195200000,312900000,276400000,287000000,293200000,312300000,330200000,485600000,504700000,611500000,446100000,946500000,926100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,71100000,122800000,21300191,2600264,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,10800000,43000000,14200000,23900000,202800000,25600000,234600000,279600000,110100382,19700308,61900577,57000000,81099953,150199493,255700031,195200000,312900000,276400000,287000000,293200000,312300000,330200000,485600000,504700000,611500000,446100000,946500000,926100000
34,Net Receivables,- -,- -,216300000,187200000,162900000,239800000,283400000,324600000,325300000,286100000,378199490,373099750,390899790,255000000,335999533,244499539,293999589,333900000,261800000,349100000,308000000,788700000,735100000,821700000,873600000,911500000,1010700000,1053100000,1165800000,1020300000
35,Inventory,- -,- -,66000000,73500000,84600000,92400000,84400000,143500000,108100000,136600000,130900255,136299398,154800630,101000000,93199440,203799585,229900216,334200000,126900000,125100000,153000000,186600000,219500000,237300000,278300000,416300000,375300000,537000000,616200000,647800000
36,Other Current Assets,- -,- -,11700000,9400000,3800000,20800000,11100000,42200000,43100000,14800000,54600064,43201117,74498951,- -,30901448,27201337,46799711,36600000,261400000,271600000,400000000,65300000,83900000,173300000,112100000,87200000,63300000,76700000,80100000,784400000
37,Total Current Assets,- -,- -,304800000,313100000,265500000,376900000,581700000,535900000,711100000,717100000,673800191,572300573,682099948,413000000,541200374,625699954,826399547,899900000,963000000,1022200000,1148000000,1333800000,1350800000,1562500000,1749600000,1919700000,2060800000,2112900000,2808600000,3378600000
38,PP&E,- -,- -,169200000,141700000,161700000,181200000,197700000,274400000,214800000,277900000,838500637,930399589,842999738,792000000,839300560,986600554,1046799712,1302400000,1147200000,1180100000,1293000000,1498600000,1341200000,1461200000,1473100000,1582600000,1803900000,2149300000,2549900000,2277900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000000,92000234,96900369,115500463,159100000,161900000,198500000,- -,452000000,502500000,487400000,556600000,560000000,625500000,1067700000,1085300000,1173200000
40,Intangible Assets,- -,- -,279100000,36900000,78500000,82800000,76700000,233600000,144100000,141000000,538900574,538500073,499000525,20000000,23299859,35999769,61999794,77100000,125400000,178800000,533000000,347200000,368200000,357300000,372600000,384000000,430100000,960200000,971200000,882600000
41,Intangible Assets,- -,- -,279100000,36900000,78500000,82800000,76700000,233600000,144100000,141000000,538900574,538500073,499000525,112000000,115300093,132900138,177500257,236200000,287300000,377300000,533000000,799200000,870700000,844700000,929200000,944000000,1055600000,2027900000,2056500000,2055800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,236100000,319600000,346700000,378400000,244500000,312100000,460600000,422200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71300191,85700015,93799843,- -,78199440,81500231,64299969,86000000,82900000,76700000,- -,39400000,31800000,33200000,46800000,42800000,60900000,71000000,84500000,104900000
44,Other Non-Current Assets,- -,- -,51600000,48500000,51800000,57900000,72100000,57300000,154200000,191500000,262297642,229600411,175400051,- -,142099487,129499538,138200803,151600000,141500000,201600000,- -,206400000,406100000,435700000,451300000,487300000,493500000,492300000,523500000,509000000
45,Total Non-Current Assets,- -,- -,499900000,227100000,292000000,321900000,346500000,565300000,513100000,610400000,1710999044,1784200088,1611200157,904000000,1174899580,1330500461,1426800741,1776200000,1658900000,1835700000,1826000000,2544900000,2885900000,3094400000,3247100000,3435100000,3658400000,5052600000,5675000000,5369800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,804700000,540200000,557500000,698800000,928200000,1101200000,1224200000,1327500000,2384799235,2356500661,2293300105,1317000000,1716099954,1956200415,2253200288,2676100000,2621900000,2857900000,2974000000,3878700000,4236700000,4656900000,4996700000,5354800000,5719200000,7165500000,8483600000,8748400000
48,Accounts Payable,- -,- -,284600000,195700000,197100000,219400000,246700000,231500000,306700000,375400000,420500319,413299545,350000000,312000000,373700374,403899908,482700339,- -,- -,- -,597000000,299800000,288100000,276000000,304500000,317100000,306000000,458900000,539700000,461900000
49,Short-Term Debt,- -,- -,1200000,1400000,900000,1200000,1100000,900000,900000,2400000,37500000,13399442,13499475,- -,10400514,27200185,27299661,125600000,250800000,30700000,- -,113000000,50600000,55500000,119300000,51900000,52200000,264100000,206200000,216300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,13700000,8300000,10600000,11300000,9600000,15300000,25700000,26400000,16200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203800000,- -,- -,- -,241300000,284700000,283400000,346700000,458500000,533300000,681800000,761400000,684400000
52,Other Current Liabilities,- -,- -,63900000,105100000,112100000,46900000,93000000,147900000,219200000,181500000,239499681,143600704,142200945,- -,160899112,189700184,226100195,561300000,490800000,732200000,286000000,348700000,341100000,424200000,422400000,446400000,429100000,484700000,555000000,1270700000
53,Total Current Liabilities,- -,- -,349700000,302200000,310100000,267500000,340800000,380300000,526800000,559300000,697500000,570299691,505700420,312000000,545000000,620800277,736100195,890700000,741600000,762900000,883000000,1002800000,964500000,1039100000,1192900000,1273900000,1320600000,1889500000,2062300000,2633300000
54,Long-Term Debt,- -,- -,201000000,56300000,28300000,158300000,269900000,298200000,270700000,264600000,888999363,798000588,623399790,35000000,260900280,255999769,352499743,354700000,441600000,443800000,136000000,1097000000,1117900000,1224300000,1153600000,1203500000,1208700000,2064200000,3106000000,2135200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146100000,128300000,103400000,112400000,140000000,119300000,143200000,104700000,108600000
56,Deferred Tax Liabilities,- -,- -,9900000,6800000,9000000,18900000,23800000,9200000,6800000,14900000,65600701,80499486,89800630,- -,28400280,16800046,31200494,40000000,82400000,119200000,- -,131600000,166100000,198600000,213100000,238600000,208100000,147000000,150600000,123500000
57,Other Non-Current Liabilities,- -,- -,69500000,36100000,29300000,25500000,17200000,75200000,40600000,24600000,114198534,157501101,155599423,179000000,206499300,232700646,184899701,185600000,200500000,262600000,186000000,366700000,377700000,427600000,384400000,417800000,495900000,511600000,481700000,535000000
58,Total Non-Current Liabilities,- -,- -,280400000,99200000,66600000,202700000,310900000,382600000,318100000,304100000,1068798598,1036001175,868799843,214000000,495799860,505500461,568599938,580300000,724500000,825600000,322000000,1741400000,1790000000,1953900000,1863500000,1999900000,2032000000,2866000000,3843000000,2902300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2072002351,- -,- -,- -,- -,1137199877,- -,- -,- -,1580000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26900000,26800000,21800000,20800000,20700000,17000000,62800000,487800000,347200000
61,Total Liabilities,- -,- -,630100000,401400000,376700000,470200000,651700000,762900000,844900000,863400000,1766298598,1606300867,1374500262,-98000000,1040799860,1126300738,1304700134,1471000000,1466100000,1588500000,2141000000,2744200000,2754500000,2993000000,3056400000,3273800000,3352600000,4755500000,5905300000,5535600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430200000,- -,445900000,- -,471700000,517500000,559000000,601700000,615400000,633200000,649600000,679500000,1516200000
64,Retained Earnings,- -,- -,-249300000,-1800000,39300000,82100000,134700000,194200000,272100000,321200000,446800510,531200235,562099948,340000000,395699440,510199493,644499537,813300000,918800000,1050100000,558000000,625700000,775100000,857300000,1048000000,1192300000,1381400000,1457900000,1590100000,1543700000
65,Other Comprehensive Income/Loss,- -,- -,-224600000,-128100000,-148400000,-170500000,-163900000,-189700000,-161800000,-171300000,-160000000,28500073,-10800105,- -,-115199673,-87699493,-123200288,-48500000,-215400000,-240100000,-9000000,-16600000,129500000,177300000,220700000,193700000,262300000,199000000,193200000,58100000
66,Other Total Stockholders Equity,- -,- -,648500000,268700000,289900000,317000000,305700000,333800000,269000000,314200000,331700127,- -,- -,- -,- -,- -,- -,10100000,- -,13500000,- -,21900000,19500000,19100000,18300000,19400000,21300000,24800000,26900000,22500000
67,Total Stockholders Equity,- -,- -,174600000,138800000,180800000,228600000,276500000,338300000,379300000,464100000,618500637,750199794,918799843,- -,675300093,829899677,948500154,1205100000,1155800000,1269400000,- -,1102700000,1441600000,1612700000,1888700000,2020800000,2298200000,2331300000,2489700000,3140500000
68,Total Liabilities And Stockholders Equity,- -,- -,804700000,540200000,557500000,698800000,928200000,1101200000,1224200000,1327500000,2384799235,2356500661,2293300105,1317000000,1716099953,1956200415,2253200288,2676100000,2621900000,2857900000,3183000000,3846900000,4196100000,4605700000,4945100000,5294600000,5650800000,7086800000,8395000000,8676100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,-209000000,31800000,40600000,51200000,51600000,60200000,68400000,78700000,88600000,72300000
70,Total Liabilities & Equity,- -,- -,804700000,540200000,557500000,698800000,928200000,1101200000,1224200000,1327500000,2384799235,2356500661,2293300105,1317000000,1716099954,1956200415,2253200288,2676100000,2621900000,2857900000,2974000000,3878700000,4236700000,4656900000,4996700000,5354800000,5719200000,7165500000,8483600000,8748400000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173382/000104746904026141/a2141799zex-2.htm,https://www.sec.gov/Archives/edgar/data/1173382/000120621205000146/0001206212-05-000146-index.htm,https://www.sec.gov/Archives/edgar/data/1173382/000117338206000019/fs2006.htm,https://www.sec.gov/Archives/edgar/data/1173382/000117338207000013/0001173382-07-000013-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338208000011/0001173382-08-000011-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338209000012/0001173382-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338210000018/0001173382-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338211000015/0001173382-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338212000014/0001173382-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1173382/000117338213000012/0001173382-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338214000023/0001173382-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338215000014/0001173382-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338216000041/0001173382-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338217000011/0001173382-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338218000021/0001173382-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338219000015/0001173382-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1173382/000117338220000018/0001173382-20-000018-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-395000000,15600000,58600000,60300000,70200000,77300000,98500000,108100000,150600701,117199941,64000525,- -,64900747,127400830,43700237,199400000,144500000,169800000,182000000,139400000,190000000,201800000,229700000,251500000,347000000,330000000,311400000,-47200000
74,Depreciation and Amortization,- -,- -,43200000,16600000,22700000,28300000,29900000,35000000,33700000,29700000,43100701,70599383,75400052,- -,77600420,71600554,78299558,91000000,93200000,96900000,92000000,157300000,167100000,189100000,217800000,211900000,199600000,217200000,305400000,319500000
75,Deferred Income Tax,- -,- -,5900000,- -,4000000,8400000,8500000,-1100000,-7600000,-11300000,7500000,18799765,2099948,- -,5999533,-14199723,26399547,8000000,27200000,49300000,36000000,5500000,12000000,15500000,-15500000,8200000,-42500000,-14900000,11900000,-70200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500000,13900000,17300000,- -,-4200000,9800000,7500000,8300000,29200000,23100000,9300000,14500000,9600000
77,Change in Working Capital,- -,- -,-28600000,2500000,27000000,-142800000,23700000,-93300000,133500000,69600000,-7601976,-41300132,-107199633,255000000,81199206,20199493,-15700031,-94600000,-3600000,-37400000,-38000000,-61700000,-28800000,-69200000,-3100000,29100000,-43100000,35200000,-52200000,-49500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,108100000,-25600000,- -,-68400000,-14300000,-15500000,-19000000,-35900000,300000,-1300000,-39900000,32600000
79,Inventory,- -,- -,-1500000,-23800000,-14400000,-6700000,-14300000,-39300000,9300000,-41900000,-23800191,- -,-19000525,- -,-5000000,-14800507,-20900113,-74600000,-11400000,13000000,- -,-27600000,-42300000,-15500000,-6000000,-55500000,2200000,-22200000,-87500000,43400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,-9400000,34000000,-6800000,16200000,-58200000,157000000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,-41300132,- -,255000000,- -,- -,- -,- -,- -,- -,170000000,33100000,18000000,-24300000,36900000,103400000,46800000,-27000000,52500000,-149300000
82,Other Non-Cash Items,- -,- -,431200000,-17800000,1500000,1300000,-21100000,-1500000,-29700000,-12100000,-45000000,-26499192,-28600472,-48000000,8599954,34298892,128200802,3200000,-8200000,-48900000,-39000000,-32200000,-74100000,-76100000,-91400000,-65600000,-80800000,-46400000,-45900000,204400000
83,Cash Provided by Operating Activities,- -,- -,56700000,16900000,113800000,-44500000,111200000,16400000,228400000,184000000,148599426,138799765,5700420,207000000,238299860,239300046,260900113,195500000,267000000,247000000,233000000,204100000,276000000,268600000,345800000,464300000,403300000,530400000,545100000,366600000
84,CAPEX,- -,- -,-24400000,-34100000,-87200000,-54500000,-78500000,-193900000,-30900000,-84000000,-249600064,-238899662,-94500263,- -,-130100420,-161100092,-189500051,-203700000,-130900000,-133400000,-165000000,-175200000,-171000000,-164100000,-133400000,-236000000,-188700000,-338400000,-384000000,-163600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-757600382,- -,- -,-11000000,2600420,-4400369,-41800226,-41500000,-34700000,-76000000,-127000000,-286000000,400000,-2300000,17300000,-16100000,-135900000,-865500000,-133500000,-204500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-71100000,-51700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101499363,18799765,2599685,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,- -,- -,117800000,- -,- -,- -
88,Other Investing Activites,- -,- -,11800000,215000000,-3100000,-6100000,53000000,15600000,76600000,-20000000,150500318,100499486,116400840,142000000,-29899580,-12599170,-25899600,-221000000,-149700000,-161300000,-48000000,-218900000,-198900000,-185000000,-122400000,-243100000,-150900000,-513700000,-362400000,-31300000
89,Cash Used for Investing Activites,- -,- -,-12600000,180900000,-90300000,-60600000,-25500000,-178300000,-25400000,-155700000,-755200765,-119600411,24500262,131000000,-157399580,-178099631,-257199877,-262500000,-184400000,-237300000,-340000000,-504900000,-198500000,-178800000,-105100000,-259200000,-169000000,-1379200000,-495900000,-343400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27800000,-120700000,-60200000,-36000000,-416500000,-721100000,-601100000,-586500000,-790600000,-164400000,-94700000,-312800000,-286900000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,6099426,3499339,176399528,- -,7999766,10000000,13899805,9300000,7500000,2800000,- -,3900000,22200000,12700000,15900000,12700000,15700000,18300000,26600000,820800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-36300000,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7700000,-41700000,-44800000,-94400000,-49600000,- -
93,Dividends Paid,- -,- -,-17100000,-17100000,-17200000,-17300000,-17300000,-17600000,-20400000,-21200000,-24799235,-26199501,-27400315,- -,-9699907,-9800507,-9800432,-29600000,-30300000,-37900000,-33000000,-37100000,-40100000,-46300000,-56700000,-80600000,-89900000,-99900000,-110900000,- -
94,Other Financing Activites,- -,- -,-48100000,-148500000,-35100000,132100000,110500000,2300000,-5300000,-25400000,557899936,-70399588,-131198846,-337000000,-51499299,3300276,97800637,36900000,210700000,53100000,184000000,756400000,690400000,561700000,544000000,719100000,140900000,961000000,890100000,-555200000
95,Cash Used/Provided by Financing Activities,- -,- -,-65200000,-165600000,-52300000,114800000,93200000,-15300000,-62000000,-41000000,539200127,-93099750,17800367,-337000000,-53199440,3499769,101900010,-11200000,67200000,-42200000,115000000,306700000,-48600000,-73000000,-91000000,-181100000,-142500000,690300000,443400000,-21300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-3100000,6000000,-600701,2200676,-3200420,- -,-8100187,4400369,-99784,17700000,-32100000,-4000000,- -,- -,23400000,8800000,5700000,-4900000,15000000,-6900000,7800000,-22300000
