,https://roic.ai/company/ARKO,2018,2019,2020,2021
64,Retained Earnings,- -,-43363000,-30176000,29545000
65,Other Comprehensive Income/Loss,- -,4444000,9119000,9119000
66,Other Total Stockholders Equity,- -,104686000,239081000,214776000
67,Total Stockholders Equity,- -,65773000,318036000,353452000
68,Total Liabilities And Stockholders Equity,- -,1718248000,2739970000,2942051000
69,Minority Interest,- -,129117000,-161000,224000
70,Total Liabilities & Equity,- -,1847365000,2739809000,2942275000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1823794/000156459021015259/0001564590-21-015259-index.htm,https://www.sec.gov/Archives/edgar/data/1823794/000095017022002099/0000950170-22-002099-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,10966000,-43539000,13187000,59198000
74,Depreciation and Amortization,53814000,62404000,74396000,97194000
75,Deferred Income Tax,-9783000,4299000,-4747000,4848000
76,Stock Based Compensation,490000,516000,1891000,5804000
77,Change in Working Capital,25377000,272725000,44589000,-20100000
78,Accounts Receivable,6446000,-1692000,-24010000,-16003000
79,Inventory,-7352000,-7302000,6618000,-21816000
80,Accounts Payable,6313000,8830000,26893000,16813000
81,Other Working Capital,-50370000,222355000,266944000,- -
82,Other Non-Cash Items,-22362000,-253108000,44526000,12247000
83,Cash Provided by Operating Activities,58502000,43297000,173842000,159191000
84,CAPEX,-51619000,-58261000,-44676000,-226451000
85,Acquisitions Net,-71373000,-33587000,-363988000,-203070000
86,Purchases of Investments,- -,- -,- -,-27110000
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,18338000,18808000,1083000,284608000
89,Cash Used for Investing Activites,-104654000,-73040000,-407551000,-171777000
90,Debt Repayment,-25428000,-27980000,-73420000,-539928000
91,Common Stock Issued,- -,- -,57997000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-5892000
94,Other Financing Activites,71265000,59673000,506471000,519436000
95,Cash Used/Provided by Financing Activities,45837000,31693000,491048000,-26384000
96,Effect of Forex Changes on Cash,-1397000,1263000,2875000,-1464000
97,Net Change In Cash,-1712000,3213000,260214000,-40434000
98,Cash at the End of Period,49550000,52763000,312977000,272543000
99,Cash at the Beginning of Period,51262000,49550000,52763000,312977000
100,Free Cash Flow,6883000,-14964000,129166000,-67260000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1823794/000156459021015259/0001564590-21-015259-index.htm,https://www.sec.gov/Archives/edgar/data/1823794/000095017022002099/0000950170-22-002099-index.htm
102,false,,,,
