,https://roic.ai/company/FGPRB,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,13746000,200900000,234800000,265300000,271600000,288500000,367576000,411862000,382444000,400870000,452003000,538028000,552621000,561280000,551352000,149037000,157026000,172602000,552868000,497383000,556218000,563681000,572241000,526241000,568280000,567628000,655176000,641540000
11,COGS and Expenses,26957000,540500000,591100000,735400000,614200000,561900000,891731000,1341979000,915881000,1091839000,1277848000,1678326000,1784248000,1865672000,2179748000,1909993000,1932212000,2317454000,2250077000,1817444000,2254960000,1886771000,1884658000,1820453000,1967702000,1560396000,1341232000,1536204000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1582000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74467000,- -,- -,- -,- -,89519000,101284000,101885000,93254000,89145000,86502000,100396000,137937000,152485000,168467000,177619000,192962000,173616000
14,Depreciation and Amortization,2383000,32000000,37000000,43800000,45000000,47300000,61633000,56523000,41937000,40779000,57115000,84249000,84953000,87383000,85521000,82494000,82491000,82486000,83841000,83344000,84202000,98579000,150513000,103351000,101795000,78846000,80481000,85382000
15,EBITDA,-62098000,55800000,60300000,67000000,49900000,49300000,62493000,102117000,101896000,97528000,159730000,174510000,113486000,128743000,110292000,226877000,218400000,141964000,167271000,230770000,206431000,228280000,-377001000,200486000,13003000,192541000,191795000,191328000
16,EBITDA ratio,-2.5278,0.0936,0.0923,0.0833,0.0748,0.0790,0.0656,0.0695,0.0985,0.0798,0.1158,0.0995,0.0599,0.0646,0.0481,0.1096,0.1040,0.0586,0.0715,0.1168,0.0858,0.1128,-0.1849,0.1039,0.0063,0.1143,0.1280,0.1091
17,Operating Income,-2391000,55900000,62500000,68900000,53200000,62200000,60468000,126691000,118915000,129800000,101533000,75788000,111222000,126768000,110941000,146487000,158363000,105761000,82980000,147602000,144414000,130520000,-534244000,95367000,-91964000,113028000,148670000,216275000
18,Operating Income ratio,-0.0973,0.0937,0.0956,0.0857,0.0797,0.0997,0.0635,0.0863,0.1149,0.1063,0.0736,0.0432,0.0587,0.0636,0.0484,0.0708,0.0754,0.0436,0.0355,0.0747,0.0600,0.0645,-0.2620,0.0494,-0.0444,0.0671,0.0993,0.1233
19,Total Other Income Expenses (Gains),- -,200000,100000,600000,1100000,-1800000,-3377000,-9021000,-3957000,71550000,-72885000,-89624000,-82189000,-84808000,-85673000,-90840000,-123108000,-148280000,-92748000,-88580000,-108183000,-100746000,-137827000,-151011000,-167539000,-177250000,-230821000,-284647000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28648000,-13836000,29033000,41960000,25268000,55647000,35255000,-42519000,-9768000,59022000,36231000,29774000,-672071000,-55644000,-259503000,-64222000,-82151000,-68372000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0208,-0.0079,0.0153,0.0211,0.0110,0.0269,0.0168,-0.0175,-0.0042,0.0299,0.0151,0.0147,-0.3295,-0.0288,-0.1252,-0.0381,-0.0548,-0.0390
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-402000,1447000,3524000,6560000,82000,2292000,1916000,1241000,1128000,1855000,2516000,-315000,-36000,-1143000,-2678000,323000,851000,741000
23,Net Income,-64481000,23800000,23300000,23200000,4900000,2000000,860000,45594000,59959000,56749000,28550000,88814000,25009000,34800000,24689000,52572000,32709000,-43648000,-10952000,56426000,33211000,29620000,-665415000,-54207000,-254581000,-64247000,-82499000,-68411000
24,Net Income ratio,-2.6248,0.0399,0.0356,0.0288,0.0073,0.0032,0.0009,0.0310,0.0579,0.0465,0.0207,0.0506,0.0132,0.0175,0.0108,0.0254,0.0156,-0.0180,-0.0047,0.0286,0.0138,0.0146,-0.3263,-0.0281,-0.1228,-0.0381,-0.0551,-0.0390
25,EPS,-42.02,15.20,14.80,14.80,3.20,1.20,-6.40,28.60,26.80,25.00,9.80,30.00,8.20,11.00,7.80,15.80,9.40,-12.00,-2.80,14.20,8.20,7.00,-133.60,-11.00,-51.80,-13.00,-16.80,-18.89
26,EPS Diluted,-42.02,15.20,14.80,14.80,3.20,1.20,-6.40,28.60,26.80,25.00,9.80,30.00,8.20,11.00,7.80,15.80,9.40,-12.00,-2.80,14.20,8.20,7.00,-133.60,-11.00,-51.80,-13.00,-16.80,-18.89
27,Weighted Average Shares Outstanding,1534686,1545405,1556440,1560315,1531250,1666667,1868190,1594196,2237276,2269960,2913265,2960467,3049878,3163636,3165256,3277035,3462085,3615680,3878620,3951930,3982555,4232310,4934140,4861475,4857635,4857635,4857635,4858000
28,Weighted Average Shares Outstanding Diluted,1534686,1574627,1593373,1573099,1531250,1666667,1868190,1594196,2237276,2269960,2913265,2960467,3049878,3163636,3165256,3280670,3468675,3615680,3878620,3951930,3983585,4232645,4934140,4861475,4857635,4857635,4857635,4858000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922358/000155837020011490/0001558370-20-011490-index.htm,https://www.sec.gov/Archives/edgar/data/922358/000155837021013178/0001558370-21-013178-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,11154000,15428000,20505000,16525000,20685000,16545000,7066000,11401000,7437000,8429000,6464000,8289000,7652000,4965000,5760000,119311000,11054000,238002000,270452000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,11154000,15428000,20505000,16525000,20685000,16545000,7066000,11401000,7437000,8429000,6464000,8289000,7652000,4965000,5760000,119311000,11054000,238002000,270452000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,56742000,114211000,107778000,116369000,118320000,145081000,106626000,89234000,159532000,124004000,131791000,178602000,196918000,149583000,165084000,126054000,107596000,101438000,131574000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,69077000,103578000,97743000,154613000,113807000,152301000,129808000,166911000,136139000,127598000,117116000,145969000,96754000,90594000,92552000,83694000,80454000,72664000,88379000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8306000,10022000,12861000,15334000,16772000,36337000,15315000,13842000,23885000,29315000,25608000,32071000,64285000,39973000,33388000,34862000,42275000,131703000,128593000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,145279000,243239000,238887000,302841000,269584000,350264000,258815000,281388000,326993000,289346000,280979000,364931000,365609000,285115000,296784000,363921000,241379000,543807000,618998000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,684917000,792436000,766765000,740101000,720190000,685328000,666535000,652768000,642205000,626551000,589727000,611787000,965217000,774680000,731923000,557723000,596723000,739817000,704587000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246050000,249481000,248939000,248939000,248939000,248944000,248944000,253362000,273210000,478747000,256103000,256103000,246098000,247195000,247195000,246946000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,222347000,526893000,489419000,248546000,246283000,225273000,212037000,221057000,204136000,189118000,189516000,276171000,580043000,280185000,251102000,120951000,108557000,104049000,100743000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,222347000,526893000,489419000,494596000,495764000,474212000,460976000,469996000,453080000,438062000,442878000,549381000,1058790000,536288000,507205000,367049000,355752000,351244000,347689000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8853000,15607000,13902000,11962000,17865000,16817000,18651000,38199000,38308000,43320000,42444000,46171000,74440000,87223000,74057000,74588000,69105000,33322000,58370000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,916117000,1334936000,1270086000,1246659000,1233819000,1176357000,1146162000,1160963000,1133593000,1107933000,1075049000,1207339000,2098447000,1398191000,1313185000,999360000,1021580000,1124383000,1110646000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1061396000,1578175000,1508973000,1549500000,1503403000,1526621000,1404977000,1442351000,1460586000,1397279000,1356028000,1572270000,2464056000,1683306000,1609969000,1363281000,1262959000,1668190000,1729644000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,59454000,104309000,108667000,128049000,62103000,71348000,49337000,48658000,67541000,47824000,49128000,69360000,83974000,67928000,85561000,46820000,33364000,33944000,47913000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19800000,67405000,60736000,125729000,66159000,67203000,125927000,169730000,132054000,160519000,145319000,165291000,128781000,90800000,736756000,888440000,27033000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19784000,28842000,20420000,25412000,28792000,27391000,25541000,22829000,24686000,32257000,35734000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,89687000,92793000,71535000,80143000,104242000,104790000,108763000,108054000,85029000,93825000,100682000,99749000,151895000,101567000,100683000,119196000,113551000,135209000,210266000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,149141000,197102000,200002000,275597000,227081000,301867000,224259000,223915000,298281000,340221000,302284000,355040000,409980000,362177000,340566000,279645000,908357000,1089850000,320946000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,888226000,1153652000,948977000,983545000,1011751000,765248000,1010073000,1111088000,1050920000,1059085000,1106940000,1292214000,1804392000,1941335000,1995795000,2078637000,1457004000,1735418000,1519239000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18747000,20531000,20165000,19178000,22795000,23237000,19300000,21446000,23068000,25499000,33431000,36662000,41975000,31574000,31118000,39476000,36536000,51190000,61189000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,906973000,1174183000,969142000,1002723000,1034546000,788485000,1029373000,1132534000,1073988000,1084584000,1140371000,1328876000,1846367000,1972909000,2026913000,2118113000,1493540000,1786608000,1580428000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118367000,99712000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1056114000,1371285000,1169144000,1278320000,1261627000,1090352000,1253632000,1356449000,1372269000,1424805000,1442655000,1683916000,2256347000,2335086000,2367479000,2397758000,2401897000,2876458000,1901374000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15602000,178994000,390422000,321194000,289075000,417727000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,18521000,23105000,-56744000,-56829000,-52418000,18542000,-1194000,-415000,4633000,-13159000,1697000,6181000,-38934000,-10468000,14601000,20510000,-14512000,-2303000,88866000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,672389000,632793000,661982000,569651000,530914000,515185000,845875000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2919000,202099000,333678000,265745000,236657000,436269000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1059033000,1573384000,1502822000,1544065000,1498284000,1526621000,1404977000,1442351000,1460586000,1397279000,1356028000,1572270000,2464056000,1683306000,1609969000,1363281000,1262959000,1668190000,1901374000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,2363000,4791000,6151000,5435000,5119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171730000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1061396000,1578175000,1508973000,1549500000,1503403000,1526621000,1404977000,1442351000,1460586000,1397279000,1356028000,1572270000,2464056000,1683306000,1609969000,1363281000,1262959000,1668190000,1729644000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922358/000155837020011490/0001558370-20-011490-index.htm,https://www.sec.gov/Archives/edgar/data/922358/000155837021013178/0001558370-21-013178-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-64481000,23800000,23300000,23200000,4900000,2000000,860000,45594000,59959000,56749000,28550000,88814000,25009000,34800000,24689000,52572000,32709000,-43648000,-10952000,56426000,33211000,29620000,-665415000,-54207000,-254581000,-64247000,-82499000,-68411000
74,Depreciation and Amortization,2383000,32000000,37000000,43800000,45000000,47300000,61633000,56523000,41937000,40779000,57115000,84249000,84953000,87383000,85521000,82494000,82491000,82486000,83841000,83344000,84202000,98579000,150513000,103351000,101795000,78846000,80481000,85382000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3099000,-1650000,388000,439000,751000,913000,133000,88000,270000,-504000,11000,-3818000,143000,554000,2000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9067000,17153000,23645000,18283000,29314000,46297000,50695000,36919000,18386000,13859000,5693000,2871000,3215000
77,Change in Working Capital,-9394000,35000,- -,- -,- -,- -,- -,- -,- -,-3862000,- -,49999000,-7252000,-11641000,15259000,5894000,-13841000,22917000,-28761000,-79587000,29570000,31196000,-54262000,-32691000,33280000,128058000,-751254000,120935000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5901000,- -,- -,- -,- -,18629000,- -,- -,- -
79,Inventory,-5631000,7400000,7600000,-900000,8100000,11400000,-25423000,11333000,17318000,-17097000,-5264000,-2421000,-57334000,40984000,-40920000,22493000,-37103000,30772000,8541000,15869000,-28738000,49050000,5788000,-1958000,-1231000,3211000,7790000,-15715000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21054000,-263000,18613000,-19143000,508000,16279000,-1547000,-14924000,17469000,-24189000,-13338000,1223000,13789000
81,Other Working Capital,-35000,- -,- -,- -,- -,- -,- -,- -,- -,-3862000,-3862000,46137000,38885000,27244000,42503000,48397000,34556000,57473000,28712000,-50875000,-21305000,9891000,-44371000,-77062000,-43782000,84276000,-666978000,-546043000
82,Other Non-Cash Items,59477000,10165000,4800000,8100000,24400000,43200000,-9141000,-2258000,51029000,36976000,-9086000,-129129000,-9682000,29973000,-29017000,51354000,15679000,31410000,61079000,120490000,-67699000,-7288000,727076000,92438000,183613000,-133418000,862689000,65305000
83,Cash Provided by Operating Activities,-12015000,66000000,65100000,75100000,74300000,92500000,53352000,99859000,152925000,130642000,76579000,93933000,93028000,143614000,94802000,201769000,134630000,117561000,124403000,210120000,125669000,203072000,194327000,127288000,74148000,15075000,112842000,206428000
84,CAPEX,-2768000,-19700000,-13000000,-16200000,-30400000,-69500000,-20755000,-15248000,-37516000,-195113000,-41380000,-52814000,-42451000,-46667000,-43823000,-54085000,-45185000,-49759000,-49303000,-40910000,-52572000,-72481000,-117518000,-50472000,-84919000,-118756000,-107497000,-61157000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-15893000,-4668000,-6294000,-39138000,-385850000,-23904000,-21231000,-31688000,-191000,-2701000,-40883000,-7298000,-10387000,-37186000,-162004000,-641427000,-15144000,-3539000,-18141000,-13551000,-10195000,-6567000
86,Purchases of Investments,- -,-19700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2737000,200000,-100000,-33000000,4500000,3200000,78399000,32652000,-26760000,2883000,1610000,151918000,12374000,3290000,7883000,-50529000,-40445000,-43765000,-43561000,-30930000,-48071000,-66590000,-100715000,-41999000,67668000,-100842000,-24059000,-52671000
89,Cash Used for Investing Activites,-2737000,-39200000,-13100000,-49200000,-25900000,-66300000,41751000,12736000,-70570000,-231368000,-425620000,75200000,-51308000,-75065000,-36131000,-53230000,-81328000,-51063000,-53948000,-68116000,-210075000,-708017000,-115859000,-45538000,49527000,-124327000,-71296000,-60953000
90,Debt Repayment,-477903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239555000,-867028000,-662447000,-52885000,-3912000,-569841000,-119457000,-14959000,-174292000,-212920000,-2428000,-287973000,-2184308000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,86583000,939000,32878000,240252000,137296000,3124000,45344000,- -,70149000,19949000,157212000,49938000,- -,50000000,181008000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-777000,-31522000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46432000,-15851000,- -,- -,- -,- -
93,Dividends Paid,- -,-51700000,-62900000,-63000000,-63200000,-63200000,-63247000,-69125000,-84075000,-84729000,-91882000,-116007000,-122197000,-127072000,-152354000,-132581000,-139763000,-143408000,-156520000,-159682000,-160925000,-167105000,-204160000,-79733000,-39254000,-9814000,- -,-8011000
94,Other Financing Activites,507190000,40200000,-5200000,38200000,17000000,55200000,-52152000,-119505000,-4047000,175472000,204929000,-185394000,73402000,17325000,89831000,143907000,937873000,578179000,90056000,19772000,767142000,609864000,184396000,188921000,242050000,13237000,569134000,1995035000
95,Cash Used/Provided by Financing Activities,29287000,-11500000,-68100000,-24800000,-46200000,-8000000,-115399000,-102047000,-87960000,92099000,353299000,-164105000,-45671000,-64403000,-62523000,-158080000,-48969000,-70464000,-69411000,-143822000,86376000,504310000,-81155000,-80955000,-10124000,995000,281161000,-197284000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,49000,-29000,14000,-10000,-7000,2000,2000,-52000,-147000,-145000,-2000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,29287000,-11500000,-68100000,-24800000,-46200000,18100000,-20296000,10548000,-5605000,-8627000,4274000,5077000,-3980000,4160000,-3862000,-9548000,4335000,-3964000,992000,-1965000,1825000,-637000,-2687000,795000,113551000,-108257000,322707000,-51809000
98,Cash at the End of Period,14535000,- -,- -,- -,- -,35100000,14838000,25386000,19781000,11154000,15428000,20505000,16525000,20685000,16545000,7066000,11401000,7437000,8429000,6464000,8289000,7652000,4965000,5760000,119311000,11054000,333761000,281952000
99,Cash at the Beginning of Period,- -,14500000,29900000,13800000,14800000,17000000,35134000,14838000,25386000,19781000,11154000,15428000,20505000,16525000,20407000,16614000,7066000,11401000,7437000,8429000,6464000,8289000,7652000,4965000,5760000,119311000,11054000,333761000
100,Free Cash Flow,-14783000,46300000,52100000,58900000,43900000,23000000,32597000,84611000,115409000,-64471000,35199000,41119000,50577000,96947000,50979000,147684000,89445000,67802000,75100000,169210000,73097000,130591000,76809000,76816000,-10771000,-103681000,5345000,145271000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922358/000155837020011490/0001558370-20-011490-index.htm,https://www.sec.gov/Archives/edgar/data/922358/000155837021013178/0001558370-21-013178-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
