,https://roic.ai/company/TMGI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,12,12,12,45,45,52,77,1505,1848,121315,147265325,2772636119
28,Weighted Average Shares Outstanding Diluted,12,12,12,45,45,52,77,1505,1848,121315,147265325,2772636119
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434601/000072174813000705/0000721748-13-000705-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160914000177/0001391609-14-000177-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160915000220/0001391609-15-000220-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160916000559/0001391609-16-000559-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160917000268/0001391609-17-000268-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160918000234/0001391609-18-000234-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160919000152/0001391609-19-000152-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1434601/000132241021000115/0001322410-21-000115-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,1431,17,40,26511,- -,14949,24213,10113,5,6297,4742,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1431,17,40,26511,- -,14949,24213,10113,5,6297,4742,- -
34,Net Receivables,28300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,794,1917,4145,8019,13862,9681,9397,- -,- -
36,Other Current Assets,- -,- -,- -,174156,114033,11805,7931,2088,6269,6553,- -,- -
37,Total Current Assets,29731,17,40,201461,115950,30899,40163,26063,15955,22247,4742,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10365,14674
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10365,14674
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,120000,- -,- -,3644,31482,192360,13309,21202,17346,19412,7222,- -
45,Total Non-Current Assets,120000,- -,- -,3644,31482,192360,13309,21202,17346,19412,17587,14674
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,149731,17,40,205105,147432,223259,53472,47265,33301,41659,22329,14674
48,Accounts Payable,5800,101599,223637,29194,87314,11924,8970,12292,15607,21085,37455,25095
49,Short-Term Debt,- -,- -,822,150000,165987,284761,562661,805312,1251732,1530532,1691898,1916186
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,414,- -,63066,70139,90464,332098,833641,940453,2280772,2470002,2839782
53,Total Current Liabilities,5800,102013,224459,242260,323440,387149,903729,1651245,2207792,3832389,4199355,4781063
54,Long-Term Debt,- -,- -,- -,213066,220139,154761,8460,8460,8460,8460,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,213066,220139,154761,8460,8460,8460,8460,- -,- -
59,Other Liabilities,- -,- -,50,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5800,102013,224509,242260,323440,387149,903729,1651245,2207792,3832389,4199355,4781063
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,20000,58510,72602,83447,124212,240917,91,38,45831,462685
64,Retained Earnings,-547763,-795690,-12323558,-133774,-777537,-1145574,- -,-3672130,-4297794,-7948240,-8893053,-11717778
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,690694,692694,12079089,38109,528927,898237,-974469,1827233,2123212,4157472,- -,6488704
67,Total Stockholders Equity,143931,-101996,-224469,-37155,-176008,-163890,-850257,-1603980,-2174491,-3790730,-4177026,-4766389
68,Total Liabilities And Stockholders Equity,149731,17,40,205105,147432,223259,53472,47265,33301,41659,22329,14674
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,149731,17,40,205105,147432,223259,53472,47265,33301,41659,22329,14674
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434601/000072174813000705/0000721748-13-000705-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160914000177/0001391609-14-000177-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160915000220/0001391609-15-000220-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160916000559/0001391609-16-000559-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160917000268/0001391609-17-000268-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160918000234/0001391609-18-000234-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160919000152/0001391609-19-000152-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1434601/000132241021000115/0001322410-21-000115-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-1982,-247927,-247927,- -,-643763,-368037,-1230163,-1296393,-625664,-3650446,-944813,-2824725
74,Depreciation and Amortization,- -,- -,822,- -,- -,72712,222197,403610,7374,3305,3564,3096
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,- -,- -
77,Change in Working Capital,-15529,-125927,-122423,183620,-166691,-148760,-507316,-761616,-566655,-1618305,326230,-586450
78,Accounts Receivable,-16329,-29340,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1123,-2228,-3874,-5843,-3193,- -,- -,- -
80,Accounts Payable,800,95799,122038,- -,117120,1910,-2954,17280,3315,5478,16370,-12360
81,Other Working Capital,23931,-101996,-224419,-40799,-207490,-356250,-863566,-1625182,-2191837,-3810142,- -,-4781063
82,Other Non-Cash Items,2000,372026,363915,-183620,560973,231171,1106771,1208099,918787,4728714,58274,2805305
83,Cash Provided by Operating Activities,-15511,-1828,-5613,- -,-249481,-212914,-408511,-446300,-266158,-495732,-556745,-602774
84,CAPEX,- -,- -,- -,- -,- -,-650,-60075,-2050,-325,-2350,-350,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,26511,- -,-158650,-60075,-2050,-325,-5371,-350,-183
89,Cash Used for Investing Activites,- -,- -,- -,26511,- -,-158650,-60075,-2050,-325,-5371,-1739,-183
90,Debt Repayment,- -,- -,-4189,- -,- -,-33487,-82500,-27500,- -,-25110,-164721,-293045
91,Common Stock Issued,- -,- -,- -,- -,200000,267500,112600,40000,500,- -,320400,- -
92,Common Stock Repurchased,- -,- -,- -,-26511,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,414,9825,26511,22970,152500,447750,421750,255875,532505,401250,891260
95,Cash Used/Provided by Financing Activities,- -,414,5636,- -,222970,386513,477850,434250,256375,507395,556929,598215
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-15511,-1414,23,26511,222970,386513,9264,-14100,-10108,6292,-1555,598215
98,Cash at the End of Period,1431,17,40,26511,- -,14949,24213,10113,5,6297,4742,- -
99,Cash at the Beginning of Period,16942,1431,17,- -,26511,- -,14949,24213,10113,5,6297,4742
100,Free Cash Flow,-15511,-1828,-5613,- -,-249481,-213564,-468586,-448350,-266483,-498082,-557095,-602774
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434601/000072174813000705/0000721748-13-000705-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160914000177/0001391609-14-000177-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160915000220/0001391609-15-000220-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160916000559/0001391609-16-000559-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160917000268/0001391609-17-000268-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160918000234/0001391609-18-000234-index.htm,https://www.sec.gov/Archives/edgar/data/1434601/000139160919000152/0001391609-19-000152-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1434601/000132241021000115/0001322410-21-000115-index.htm
102,false,,,,,,,,,,,,
