,https://roic.ai/company/GVP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,2600000,2700000,3500000,3500000,3481000,3882000,3394000,2424000,731000,678000,1121000,697000,1114000,862000,987000,1659000,1310000,1579000,1318000,990000,1328000,1080000,1146000,2634000,3129000,2612000,1497000
15,EBITDA,9000000,7900000,-7900000,6300000,3815000,-1708000,4186000,-1853000,-2204000,1032000,-3109000,1264000,2759000,301000,1107000,-384000,3673000,3442000,-9047000,-5586000,-2906000,2852000,1550000,3411000,-2235000,-6947000,12426000
16,EBITDA ratio,0.1055,0.0823,-0.0991,0.0854,0.0572,-0.0307,0.0832,-0.0430,-0.0881,0.0350,-0.1416,0.0460,0.0865,0.0104,0.0276,-0.0081,0.0718,0.0659,-0.1902,-0.1473,-0.0512,0.0537,0.0219,0.0370,-0.0269,-0.1206,0.2252
17,Operating Income,6100000,6200000,-8300000,1900000,744000,-4655000,1718000,-1528000,-991000,2000,-4727000,2100000,2211000,-12000,563000,-1232000,2228000,1997000,-10668000,-6929000,-4136000,1575000,229000,1366000,-7419000,-9538000,-5974000
18,Operating Income ratio,0.0715,0.0646,-0.1041,0.0257,0.0112,-0.0836,0.0341,-0.0354,-0.0396,0.0001,-0.2154,0.0764,0.0693,-0.0004,0.0141,-0.0261,0.0436,0.0382,-0.2243,-0.1827,-0.0728,0.0297,0.0032,0.0148,-0.0894,-0.1655,-0.1083
19,Total Other Income Expenses (Gains),-700000,-1400000,-3100000,500000,-410000,-1622000,-1812000,-3026000,-777000,140000,81000,-2297000,-999000,-549000,-443000,-811000,135000,-134000,303000,353000,-98000,197000,175000,-589000,1067000,-644000,16744000
20,Income Before Tax,5400000,4800000,-11400000,2400000,334000,-6277000,-94000,-4554000,-1768000,142000,-4646000,-197000,1212000,-561000,120000,-2043000,2363000,1863000,-10365000,-6576000,-4234000,1772000,404000,777000,-6352000,-10182000,10770000
21,Income Before Tax Ratio,0.0633,0.0500,-0.1430,0.0325,0.0050,-0.1127,-0.0019,-0.1056,-0.0707,0.0048,-0.2117,-0.0072,0.0380,-0.0193,0.0030,-0.0433,0.0462,0.0357,-0.2179,-0.1734,-0.0745,0.0334,0.0057,0.0084,-0.0766,-0.1767,0.1952
22,Income Tax expense (Gain),1900000,700000,-2700000,1000000,233000,2537000,-353000,1389000,93000,60000,149000,149000,43000,129000,917000,206000,-438000,689000,146000,166000,471000,350000,-4980000,1131000,5733000,355000,163000
23,Net Income,3500000,4100000,-8700000,1400000,101000,-8814000,259000,-5943000,-3532000,118000,-4795000,-346000,1169000,-690000,-797000,-2249000,2801000,1174000,-10511000,-6742000,-4705000,1422000,5384000,-354000,-12085000,-10537000,10607000
24,Net Income ratio,0.0410,0.0427,-0.1092,0.0190,0.0015,-0.1582,0.0051,-0.1378,-0.1412,0.0040,-0.2185,-0.0126,0.0366,-0.0238,-0.0199,-0.0476,0.0548,0.0225,-0.2210,-0.1777,-0.0828,0.0268,0.0760,-0.0038,-0.1456,-0.1829,0.1922
25,EPS,0.91,0.82,-1.72,0.28,0.02,-1.70,0.05,-1.05,-0.87,0.01,-0.53,-0.07,0.09,-0.04,-0.05,-0.12,0.15,0.06,-0.58,-0.38,-0.26,0.08,0.28,-0.02,-0.25,-0.52,0.52
26,EPS Diluted,0.91,0.82,-1.72,0.27,0.02,-1.70,0.05,-1.05,-0.87,0.01,-0.53,-0.07,0.08,-0.04,-0.05,-0.12,0.15,0.06,-0.58,-0.38,-0.26,0.08,0.27,-0.02,-0.25,-0.52,0.52
27,Weighted Average Shares Outstanding,3846154,5073000,5058140,5000000,5050000,5184706,5180000,5882857,6519540,10150000,9047170,8928571,12444444,15746616,16938392,18975000,18952401,18383564,18150915,17887859,17892891,18218681,19259966,19697808,20062021,20439157,20439157
28,Weighted Average Shares Outstanding Diluted,3846154,5094340,5058140,5185185,5050000,5184706,5180000,5882857,6519540,10150000,9047170,8928571,14000000,15746616,16938392,18975000,19122903,18458457,18150915,17887859,17892891,18512266,19605427,19697808,20062021,20439157,20439157
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448099000003/0000944480-99-000003-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448007000011/0000944480-07-000011-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448015000016/form10k.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448016000097/0000944480-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448017000013/0000944480-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448018000007/0000944480-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448019000021/0000944480-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448020000043/form10k.htm,https://www.sec.gov/Archives/edgar/data/944480/000114036121012540/0001140361-21-012540-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000114036122012368/0001140361-22-012368-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2500000,300000,2200000,2695000,1465000,2040000,1617000,1388000,868000,1321000,1073000,8172000,8274000,25270000,26577000,20326000,22386000,15643000,13583000,11084000,21747000,19111000,12123000,11691000,6702000,3550000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2500000,300000,2200000,2695000,1465000,2040000,1617000,1388000,868000,1321000,1073000,8172000,8274000,25270000,26577000,20326000,22386000,15643000,13583000,11084000,21747000,19111000,12123000,11691000,6702000,3550000
34,Net Receivables,- -,27500000,24400000,25400000,16881000,14489000,11608000,10761000,9457000,8723000,6896000,10669000,10721000,10951000,15941000,17201000,20356000,23844000,26149000,16363000,13478000,19309000,14415000,21387000,17444000,10630000,11257000
35,Inventory,- -,3500000,2700000,2900000,3255000,1587000,1566000,1560000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,755000,139000,- -,- -,- -
36,Other Current Assets,- -,4100000,4300000,1900000,2608000,2827000,4408000,3264000,2108000,848000,376000,557000,3122000,4072000,2429000,2171000,7238000,3827000,2152000,1783000,3852000,2746000,2582000,1351000,1643000,1418000,- -
37,Total Current Assets,- -,37600000,31700000,32400000,25439000,20368000,19622000,17202000,12953000,10439000,8593000,12299000,22015000,23297000,43640000,45949000,47920000,50057000,43944000,31729000,28414000,43802000,36863000,35000000,30778000,18750000,14807000
38,PP&E,- -,5300000,3900000,2700000,3094000,2299000,1762000,1697000,643000,596000,329000,354000,880000,1133000,989000,1060000,1101000,2080000,1915000,1826000,1596000,1232000,1063000,1065000,3154000,2178000,1200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1739000,1739000,1739000,1739000,1739000,2609000,4462000,4502000,- -,5612000,5612000,5612000,8431000,13170000,13339000,13339000,13339000
40,Intangible Assets,- -,2100000,3000000,2800000,2949000,2996000,2386000,2901000,1739000,1739000,940000,820000,1170000,1487000,1865000,2427000,3022000,3337000,1729000,2693000,1920000,1436000,3294000,6695000,11120000,4864000,3020000
41,Intangible Assets,- -,2100000,3000000,2800000,2949000,2996000,2386000,2901000,1739000,1739000,2679000,2559000,2909000,3226000,3604000,5036000,7484000,7839000,1729000,8305000,7532000,7048000,11725000,19865000,24459000,18203000,16359000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1013000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7167000,5461000,57000,- -,- -
44,Other Non-Current Assets,- -,6000000,9800000,10800000,11545000,10286000,8891000,7094000,1201000,1454000,381000,3236000,2560000,3359000,1287000,1569000,2310000,2588000,1239000,4139000,1829000,1574000,37000,49000,61000,59000,- -
45,Total Non-Current Assets,- -,13400000,16700000,16300000,17588000,15581000,14052000,11692000,3583000,3789000,3389000,6149000,6349000,7718000,5880000,7665000,10895000,12507000,4883000,14270000,10957000,9854000,19992000,26440000,27731000,20440000,17559000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41803000
47,Total Assets,- -,51000000,48400000,48700000,43027000,35949000,33674000,28894000,16536000,14228000,11982000,18448000,28364000,31015000,49520000,53614000,58815000,62564000,48827000,45999000,39371000,53656000,56855000,61440000,58509000,39190000,39051000
48,Accounts Payable,- -,8600000,7900000,8400000,5024000,5669000,2163000,2521000,2946000,2998000,4196000,4322000,3803000,5675000,5009000,4945000,4077000,4980000,3554000,2330000,1238000,923000,1251000,1307000,1097000,570000,1179000
49,Short-Term Debt,- -,2800000,9200000,6800000,- -,2347000,2284000,1905000,33000,9000,1182000,2155000,- -,- -,- -,- -,- -,- -,- -,339000,- -,- -,- -,1902000,19634000,8040000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1176000,1341000,1621000,1654000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5993000,6545000,8684000,9229000,21444000,14543000,10609000,7613000,5285000,- -
52,Other Current Liabilities,- -,12300000,13000000,13100000,11750000,6830000,8157000,6740000,7437000,4774000,4140000,4359000,3501000,3734000,7162000,10964000,13603000,9302000,7854000,8920000,9241000,9019000,9458000,8512000,6090000,7586000,13860000
53,Total Current Liabilities,- -,23700000,30100000,28300000,16774000,14846000,12604000,11166000,10416000,7781000,9518000,10836000,7304000,9409000,12171000,15909000,17680000,20275000,17953000,20273000,19708000,31386000,25252000,22330000,34434000,21481000,15039000
54,Long-Term Debt,- -,600000,400000,200000,6364000,11840000,6690000,8033000,9000,- -,869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6610000,- -,5034000,2607000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2000000,2000000,3100000,2719000,550000,528000,1584000,432000,502000,698000,251000,695000,906000,206000,799000,2352000,1459000,487000,1986000,1295000,1149000,1931000,1371000,3956000,2170000,- -
58,Total Non-Current Liabilities,- -,2600000,2400000,3300000,9083000,12390000,7218000,9617000,441000,502000,1567000,251000,695000,906000,206000,799000,2352000,1459000,487000,1986000,1295000,1149000,1931000,7981000,3956000,7204000,2607000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4153000,1831000,- -
61,Total Liabilities,- -,26300000,32500000,31600000,25857000,27236000,19822000,20783000,10857000,8283000,11085000,11087000,7999000,10315000,12377000,16708000,20032000,21734000,18440000,22259000,21003000,32535000,27183000,30311000,38390000,28685000,16008000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,50000,52000,57000,59000,89000,89000,90000,110000,155000,160000,189000,192000,193000,194000,195000,195000,195000,204000,210000,214000,218000,222000,225000
64,Retained Earnings,- -,3400000,-5300000,-3900000,-3853000,-12667000,-12425000,-18602000,-24274000,-24156000,-28951000,-29297000,-28128000,-28818000,-29615000,-31864000,-29063000,-27889000,-38400000,-45142000,-50849000,-49427000,-42870000,-42569000,-54654000,-65191000,-54584000
65,Other Comprehensive Income/Loss,- -,-5100000,-7400000,-6900000,-8487000,-8719000,-5897000,-1187000,-951000,-803000,-1157000,-956000,-887000,-1214000,-990000,-720000,-865000,-647000,-614000,-1231000,-1460000,-1777000,-1471000,-1635000,-1846000,-1214000,-104000
66,Other Total Stockholders Equity,- -,26400000,28600000,27900000,29460000,30047000,32117000,27841000,30815000,30815000,30915000,37504000,49225000,- -,67559000,69298000,68518000,69172000,69206000,69918000,70482000,72121000,73803000,75119000,76401000,76688000,77506000
67,Total Stockholders Equity,- -,24700000,15900000,17100000,17170000,8713000,13852000,8111000,5679000,5945000,897000,7361000,20365000,20700000,37143000,36906000,38783000,40830000,30387000,23740000,18368000,21121000,29672000,31129000,20119000,10505000,23043000
68,Total Liabilities And Stockholders Equity,- -,51000000,48400000,48700000,43027000,35949000,33674000,28894000,16536000,14228000,11982000,18448000,28364000,31015000,49520000,53614000,58815000,62564000,48827000,45999000,39371000,53656000,56855000,61440000,58509000,39190000,39051000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,51000000,48400000,48700000,43027000,35949000,33674000,28894000,16536000,14228000,11982000,18448000,28364000,31015000,49520000,53614000,58815000,62564000,48827000,45999000,39371000,53656000,56855000,61440000,58509000,39190000,39051000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448099000003/0000944480-99-000003-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448007000011/0000944480-07-000011-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448015000016/form10k.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448016000097/0000944480-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448017000013/0000944480-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448018000007/0000944480-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448019000021/0000944480-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448020000043/form10k.htm,https://www.sec.gov/Archives/edgar/data/944480/000114036121012540/0001140361-21-012540-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000114036122012368/0001140361-22-012368-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3500000,4100000,-8700000,1400000,101000,-8814000,259000,-5943000,-3532000,118000,-4795000,-346000,1169000,-690000,-797000,-2249000,2801000,1174000,-10511000,-6742000,-4705000,1422000,5384000,-354000,-12085000,-10537000,10607000
74,Depreciation and Amortization,2600000,2700000,3500000,3500000,3481000,3882000,3394000,2424000,731000,678000,1121000,697000,1114000,862000,987000,1659000,1310000,1579000,1318000,990000,1328000,1080000,1146000,2634000,3129000,2612000,1497000
75,Deferred Income Tax,600000,100000,-2300000,300000,119000,2273000,-476000,1600000,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,-262000,-22000,171000,123000,-5505000,644000,5349000,- -,93000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019000,883000,727000,914000,810000,712000,541000,1550000,2472000,1526000,1420000,378000,1043000
77,Change in Working Capital,-7100000,- -,-12300000,2500000,4565000,-3143000,1496000,-982000,-3499000,121000,-3583000,2388000,13248000,-823000,17581000,-1429000,200000,-458000,-3791000,-14535000,-2750000,3710000,-805000,1059000,-16326000,925000,2499000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5100000,-903000,- -,-3331000,-26000,10285000,2530000,-6078000,10006000,-5656000,6754000,6901000,-1397000
79,Inventory,300000,-1200000,700000,-200000,-363000,1554000,21000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1403000,-1947000,-2136000,-947000,961000,-1904000,-838000,-3458000,-1498000,- -
81,Other Working Capital,13900000,13900000,1600000,4100000,8665000,5522000,7018000,6036000,2537000,2658000,-925000,1463000,14711000,13888000,31469000,30040000,30240000,29782000,25991000,11456000,8706000,12416000,11611000,12670000,-3656000,-2731000,-232000
82,Other Non-Cash Items,200000,-8800000,16000000,-7700000,-5705000,1315000,-2763000,1696000,7689000,-1310000,5356000,-3571000,-13660000,2907000,-18464000,3568000,-3470000,531000,9260000,26246000,6431000,2267000,5016000,-8992000,22517000,7740000,-15892000
83,Cash Provided by Operating Activities,-200000,-1900000,-3800000,- -,2561000,-4487000,1910000,-1205000,1389000,-393000,-1851000,-832000,1871000,2256000,326000,2432000,1568000,3740000,-3176000,6649000,1016000,10152000,7708000,-3483000,4004000,1118000,-153000
84,CAPEX,-1000000,-2800000,-1500000,-2100000,-1398000,-472000,-477000,-457000,-191000,-222000,-665000,-518000,-1451000,-1296000,-1222000,-1422000,-1358000,-2866000,-1708000,-1044000,-1887000,-324000,-289000,-945000,-523000,-341000,-506000
85,Acquisitions Net,- -,- -,- -,- -,-930000,-658000,-1090000,-45000,-515000,- -,- -,- -,- -,- -,-14000,-549000,-830000,-469000,-46000,-3098000,- -,- -,-9066000,-9609000,-13542000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261000,-486000,- -,-587000,-456000,-469000,-46000,-250000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1700000,-3900000,-2900000,6700000,-1729000,-2129000,-809000,-2478000,4442000,112000,-27000,-2298000,-1799000,-836000,1262000,-204000,-5387000,70000,-791000,-3932000,-1233000,2114000,-109000,-945000,-510000,-330000,-776000
89,Cash Used for Investing Activites,-2700000,-6700000,-4400000,4600000,-4057000,-3259000,-2376000,-2980000,3736000,-110000,-692000,-2816000,-3511000,-2618000,1248000,-1340000,-6673000,-868000,-883000,-7280000,-1233000,2114000,-9175000,-10554000,-14052000,-330000,-776000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,-410000,-339000,- -,- -,-1642000,-4294000,-20227000,- -
91,Common Stock Issued,21100000,- -,- -,- -,- -,542000,33000,1583000,- -,- -,100000,4995000,11357000,571000,15997000,176000,143000,272000,44000,- -,23000,833000,209000,136000,1000,- -,- -
92,Common Stock Repurchased,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1649000,-531000,-819000,- -,- -,- -,- -,-484000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-279000,-365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-11200000,2100000,6200000,-2600000,2024000,6049000,1019000,2170000,-5461000,-33000,2941000,-1351000,-2270000,-88000,-20000,-82000,409000,-845000,-1899000,-500000,-1700000,-2005000,-1769000,8453000,14035000,14161000,-2223000
95,Cash Used/Provided by Financing Activities,7500000,2100000,6200000,-2600000,2024000,6591000,1052000,3753000,-5461000,-33000,3041000,3365000,8722000,483000,15377000,94000,-1097000,-1104000,-2674000,-910000,-2016000,-1172000,-1560000,6463000,9742000,-6066000,-2223000
96,Effect of Forex Changes on Cash,100000,- -,- -,-100000,-73000,-75000,-11000,9000,107000,16000,-45000,35000,17000,-19000,45000,121000,-49000,292000,-10000,-519000,-266000,-431000,391000,-374000,-126000,289000,- -
97,Net Change In Cash,7500000,2100000,6200000,-2600000,455000,-1230000,575000,-423000,-229000,-520000,453000,-248000,7099000,102000,16996000,1307000,-6251000,2060000,-6743000,-2060000,-2499000,10663000,-2636000,-7948000,-432000,-4989000,-3152000
98,Cash at the End of Period,- -,- -,- -,- -,2695000,1465000,2040000,1617000,1388000,868000,1321000,1073000,8172000,8274000,25270000,26577000,20326000,22386000,15643000,13583000,11084000,21747000,19111000,12123000,11691000,6702000,3550000
99,Cash at the Beginning of Period,4400000,9000000,2500000,300000,2240000,2695000,1465000,2040000,1617000,1388000,868000,1321000,1073000,8172000,8274000,25270000,26577000,20326000,22386000,15643000,13583000,11084000,21747000,20071000,12123000,11691000,6702000
100,Free Cash Flow,-1200000,-4700000,-5300000,-2100000,1163000,-4959000,1433000,-1662000,1198000,-615000,-2516000,-1350000,420000,960000,-896000,1010000,210000,874000,-4884000,5605000,-871000,9828000,7419000,-4428000,3481000,777000,-659000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448099000003/0000944480-99-000003-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448007000011/0000944480-07-000011-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944480/000094448015000016/form10k.htm,https://www.sec.gov/Archives/edgar/data/944480/000094448016000097/0000944480-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448017000013/0000944480-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448018000007/0000944480-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448019000021/0000944480-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/944480/000094448020000043/form10k.htm,https://www.sec.gov/Archives/edgar/data/944480/000114036121012540/0001140361-21-012540-index.htm,https://www.sec.gov/Archives/edgar/data/944480/000114036122012368/0001140361-22-012368-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
