,https://roic.ai/company/TVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,1202000000,760000000,692000000,616000000,537000000,409000000,302000000,263000000,223000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-10383000000,-8750000000,-12877000000,-12337000000,-10920000000,-8603000000,-8705000000,-9347000000,-6059000000,34134000000,32006000000
58,Total Non-Current Liabilities,185000000,844000000,27000000,13843000000,13770000000,11851000000,11816000000,13757000000,14064000000,13045000000,12223000000,14347000000,35182000000,33012000000
59,Other Liabilities,29507000000,32366000000,34041000000,50098000000,48790000000,47328000000,46859000000,51444000000,50276000000,47528000000,45753000000,48877000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,33574000000,35799000000,37616000000,41164000000,42008000000,40459000000,39492000000,41622000000,42074000000,40884000000,38384000000,38842000000,39893000000,37991000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,2571000000,3291000000,4264000000,-138000000,-74000000,3000000,5000000,-2000000,-12000000,21000000,57000000,-12000000,12177000000,13689000000
65,Other Comprehensive Income/Loss,-37000000,-75000000,-95000000,-138000000,-74000000,3000000,5000000,-2000000,-12000000,21000000,57000000,-12000000,-51000000,-22000000
66,Other Total Stockholders Equity,- -,- -,- -,5505000000,5474000000,5641000000,6094000000,7207000000,8444000000,9091000000,10169000000,11649000000,806000000,- -
67,Total Stockholders Equity,- -,- -,- -,5229000000,5326000000,5647000000,6104000000,7203000000,8420000000,9133000000,10283000000,11625000000,12932000000,14465000000
68,Total Liabilities And Stockholders Equity,37137000000,40017000000,42753000000,46393000000,47334000000,46106000000,45596000000,48825000000,50494000000,50017000000,48667000000,50467000000,52825000000,52456000000
69,Minority Interest,-8855000000,-10791000000,-11075000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28282000000,29226000000,31678000000,46393000000,47334000000,46106000000,45596000000,48825000000,50494000000,50017000000,48667000000,50467000000,52825000000,52456000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1376986/000137698608000067/0001376986-08-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698609000113/0001376986-09-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698610000089/0001376986-10-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698611000074/0001376986-11-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698612000043/0001376986-12-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698613000056/0001376986-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698614000041/0001376986-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698615000047/0001376986-15-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698616000080/0001376986-16-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698617000031/0001376986-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698618000046/0001376986-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698619000037/0001376986-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698620000030/0001376986-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698621000028/0001376986-21-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,817000000,726000000,972000000,162000000,60000000,271000000,469000000,1111000000,1233000000,685000000,1119000000,1417000000,1352000000,1512000000
74,Depreciation and Amortization,1244000000,1618000000,1743000000,2059000000,2211000000,1991000000,2167000000,2354000000,2169000000,2104000000,2936000000,2633000000,1848000000,1555000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-757000000,-63000000,2058000000,-1112000000,-1616000000,2406000000,-585000000,232000000,-1789000000,-737000000,1531000000,390000000,-431000000,-16000000
78,Accounts Receivable,-59000000,90000000,-342000000,62000000,-89000000,114000000,-79000000,93000000,-83000000,230000000,-68000000,-40000000,259000000,-18000000
79,Inventory,-138000000,-182000000,-119000000,110000000,131000000,27000000,34000000,-12000000,50000000,1000000,65000000,-87000000,- -,- -
80,Accounts Payable,-88000000,72000000,237000000,60000000,60000000,-296000000,147000000,-121000000,-4000000,-119000000,134000000,-155000000,- -,178000000
81,Other Working Capital,-1749000000,-1812000000,246000000,-866000000,-2482000000,-76000000,-661000000,-429000000,-2218000000,-2955000000,-1424000000,-1034000000,-1465000000,-1481000000
82,Other Non-Cash Items,653000000,-140000000,-2872000000,1328000000,1919000000,-2071000000,929000000,-382000000,1429000000,684000000,-1631000000,-720000000,867000000,205000000
83,Cash Provided by Operating Activities,1957000000,2141000000,1901000000,2437000000,2574000000,2597000000,2980000000,3315000000,3042000000,2736000000,3955000000,3720000000,3636000000,3256000000
84,CAPEX,- -,- -,- -,-2417000000,- -,- -,-2384000000,-2850000000,-2710000000,-2153000000,-1759000000,-1700000000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-342000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-39000000,-42000000,-42000000,-56000000,-48000000,-48000000,-48000000,-52000000,-50000000,-49000000,-49000000,-48000000,-49000000,-50000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2260000000,-2223000000,-2416000000,-669000000,-2465000000,-2337000000,-324000000,-341000000,-353000000,-334000000,-461000000,-495000000,-1966000000,-2288000000
89,Cash Used for Investing Activites,-2299000000,-2265000000,-2458000000,-3142000000,-2513000000,-2385000000,-2756000000,-3585000000,-3113000000,-2536000000,-2269000000,-2243000000,-2015000000,-2338000000
90,Debt Repayment,-36000000,-79000000,-94000000,-1021000000,-2717000000,-2358000000,-4000000,-7000000,-33000000,-4000000,-3000000,-38000000,-39000000,-41000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-507000000,-868000000,-1602000000,-500000000,-300000000,-300000000,-300000000,-299000000,-299000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,426000000,191000000,778000000,2412000000,3885000000,4482000000,-822000000,377000000,404000000,104000000,-1385000000,-1140000000,-1383000000,-880000000
95,Cash Used/Provided by Financing Activities,390000000,112000000,684000000,884000000,300000000,522000000,-1326000000,70000000,71000000,-200000000,-1687000000,-1477000000,-1422000000,-921000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,48000000,-12000000,127000000,179000000,361000000,734000000,-1102000000,-200000000,- -,- -,-1000000,- -,199000000,-3000000
98,Cash at the End of Period,213000000,201000000,328000000,507000000,868000000,1602000000,500000000,300000000,300000000,300000000,299000000,299000000,521000000,518000000
99,Cash at the Beginning of Period,165000000,213000000,201000000,328000000,507000000,868000000,1602000000,500000000,300000000,300000000,300000000,299000000,322000000,521000000
100,Free Cash Flow,1957000000,2141000000,1901000000,20000000,2574000000,2597000000,596000000,465000000,332000000,583000000,2196000000,2020000000,3636000000,3256000000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1376986/000137698608000067/0001376986-08-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698609000113/0001376986-09-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698610000089/0001376986-10-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698611000074/0001376986-11-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698612000043/0001376986-12-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698613000056/0001376986-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698614000041/0001376986-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698615000047/0001376986-15-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698616000080/0001376986-16-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698617000031/0001376986-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698618000046/0001376986-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698619000037/0001376986-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698620000030/0001376986-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1376986/000137698621000028/0001376986-21-000028-index.htm
102,false,,,,,,,,,,,,,,
