,https://roic.ai/company/AWH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-6523000,-5738000,-9523000,-18149000,-24638000,-28161000,-9926000,-27062000,-14758000,-17326000,-15407000,-5000000,-18429000,-17317000,-6854000,-8747000,-19068000,-18824000,-14217000,-9669000,-10696000,-14904000,-17640000,-31312000
16,EBITDA ratio,-2.2240,-1.1453,-1.0658,-0.9528,-0.6269,-0.4824,-0.2470,-0.9932,-0.8102,-393.7727,-124.2500,-Infinity,-15.6843,-9.0052,-3.2732,-3.4088,-7.5637,-8.6468,-5.3812,-3.0980,-3.5034,-3.2843,-3.7927,-4.5966
17,Operating Income,-7909000,-7990000,-22661000,-29431000,-30370000,-35880000,-34674000,-34509000,-18897000,-19620000,-14517000,-5363000,-14602000,-17641000,-9414000,-8863000,-19211000,-19249000,-14954000,-10441000,-11333000,-15278000,-17981000,-32595000
18,Operating Income ratio,-2.6966,-1.5948,-2.5362,-1.5450,-0.7728,-0.6147,-0.8629,-1.2666,-1.0374,-445.9091,-117.0726,-Infinity,-12.4272,-9.1737,-4.4957,-3.4540,-7.6204,-8.8420,-5.6601,-3.3454,-3.7121,-3.3667,-3.8661,-4.7849
19,Total Other Income Expenses (Gains),170000,-122000,-117000,3762000,1359000,540000,-2145000,-1871000,-3017000,-1499000,-3853000,-16674000,-4432000,-149000,2268000,44000,2000,134000,-14000,-56000,-38000,41000,76000,933000
20,Income Before Tax,- -,- -,- -,-25669000,-29011000,-35340000,-36819000,-36380000,-21914000,-21119000,-18370000,-22037000,-19034000,-17790000,-7146000,-8819000,-19209000,-19115000,-14968000,-10497000,-11371000,-15237000,-17905000,-31662000
21,Income Before Tax Ratio,- -,- -,- -,-1.3475,-0.7382,-0.6054,-0.9163,-1.3352,-1.2031,-479.9773,-148.1452,-Infinity,-16.1991,-9.2512,-3.4126,-3.4369,-7.6196,-8.7804,-5.6654,-3.3633,-3.7245,-3.3576,-3.8497,-4.6480
22,Income Tax expense (Gain),- -,- -,- -,143000,61000,1407000,109000,7000,152000,163000,-40000,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8052000,-8046000,-20304000,-25812000,-29072000,-36747000,-19841000,-35433000,-22066000,-21282000,-18330000,-22048000,-19034000,-17790000,-7146000,-8819000,-19209000,-19115000,-14968000,-10497000,-11371000,-15237000,-17905000,-31662000
24,Net Income ratio,-2.7453,-1.6060,-2.2724,-1.3550,-0.7397,-0.6295,-0.4938,-1.3005,-1.2114,-483.6818,-147.8226,-Infinity,-16.1991,-9.2512,-3.4126,-3.4369,-7.6196,-8.7804,-5.6654,-3.3633,-3.7245,-3.3576,-3.8497,-4.6480
25,EPS,-16.20,-126.00,-40.90,-9.70,-10.80,-13.10,-6.80,-11.00,-6.10,-44.70,-2.87,-3.31,-1.83,-1.25,-0.48,-0.42,-0.53,-0.41,-0.29,-0.20,-0.16,-0.18,-0.18,-0.31
26,EPS Diluted,-16.20,-126.00,-40.90,-9.70,-10.80,-13.10,-6.80,-11.00,-6.10,-44.70,-2.87,-3.31,-1.83,-1.25,-0.48,-0.42,-0.53,-0.41,-0.29,-0.20,-0.16,-0.18,-0.18,-0.31
27,Weighted Average Shares Outstanding,497000,63970,1163500,2651200,2696500,2815400,2924400,3232100,3646500,476534,6381802,6662231,10404741,14249570,15010868,20926336,36082414,47124261,52197969,56943596,70085842,86595581,100723303,100723303
28,Weighted Average Shares Outstanding Diluted,497000,63970,1163500,2651200,2696500,2815400,2924400,3232100,3646500,476534,6381802,6662231,10404741,14249570,15010868,20926336,36082414,47124261,52197969,56943596,70085842,86595581,100723303,100723303
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926617/000119312512253418/0001193125-12-253418-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000119312513087647/0001193125-13-087647-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661714000016/0000926617-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661715000017/0000926617-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661716000083/0000926617-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661717000023/0000926617-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661718000034/0000926617-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661719000013/0000926617-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661720000015/0000926617-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661721000033/0000926617-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661722000014/0000926617-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7002000,2799000,107633000,48319000,25145000,32853000,35392000,25738000,17711000,7617000,2464000,3440000,22914000,22477000,8007000,29504000,22965000,18642000,5242000,5539000,9360000,11703000,16631000,37180000
32,Short-Term Investments,- -,- -,- -,21273000,14713000,14463000,2175000,2240000,- -,8875000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7002000,2799000,107633000,69592000,39858000,47316000,37567000,27978000,17711000,16492000,2464000,3440000,22914000,22477000,8007000,29504000,22965000,18642000,5242000,5539000,9360000,11703000,16631000,37180000
34,Net Receivables,- -,998000,3024000,5652000,13627000,14787000,10937000,5828000,29000,19000,31000,- -,136000,99000,137000,373000,167000,87000,275000,205000,786000,924000,865000,1027000
35,Inventory,- -,722000,1322000,3889000,6850000,8300000,6919000,5594000,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000,93000,102000,92000,25000,30000,174000
36,Other Current Assets,- -,322000,969000,2158000,2815000,2878000,1847000,1746000,2300000,1064000,326000,454000,779000,317000,348000,372000,534000,550000,498000,459000,550000,758000,1077000,1624000
37,Total Current Assets,- -,4841000,112948000,81291000,63150000,73281000,57270000,41146000,20040000,17575000,2821000,3894000,23829000,22893000,8492000,30249000,23666000,19366000,6108000,6305000,10788000,13410000,18603000,40005000
38,PP&E,- -,867000,4687000,10228000,13370000,15891000,9315000,7320000,2260000,1938000,611000,189000,194000,216000,142000,391000,508000,1504000,1911000,1181000,608000,353000,989000,810000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,697000,379000,6709000,7496000,9879000,5569000,2493000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,697000,379000,6709000,7496000,9879000,5569000,2493000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341000,526000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,439000,934000,8588000,3599000,2975000,2223000,1852000,716000,4540000,85000,- -,12000,2000,- -,- -,- -,90000,- -,11000,12000,65000,13000,264000
45,Total Non-Current Assets,- -,2003000,6000000,25525000,24465000,28745000,17107000,11665000,2976000,6478000,1037000,715000,206000,218000,142000,391000,508000,1594000,1911000,1192000,620000,418000,1002000,1074000
46,Other Assets,11144000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11144000,6844000,118948000,106816000,87615000,102026000,74377000,52811000,23016000,24053000,3858000,4609000,24035000,23111000,8634000,30640000,24174000,20960000,8019000,7497000,11408000,13828000,19605000,41079000
48,Accounts Payable,- -,770000,919000,3216000,5605000,5062000,3369000,3188000,2401000,2975000,1676000,2227000,998000,1331000,525000,541000,1123000,988000,881000,745000,950000,1158000,1149000,1501000
49,Short-Term Debt,- -,1312000,416000,527000,503000,986000,941000,398000,- -,2471000,2500000,- -,5000000,7000000,1106000,1106000,1106000,- -,182000,185000,189000,193000,1633000,261000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,42000,23000,40000,4000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2022000,3861000,5768000,5529000,4132000,45000,27000,- -,- -,1049000,553000,492000,628000,489000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1226000,3593000,4636000,5514000,9495000,7499000,6298000,4600000,3568000,2372000,2303000,3056000,2592000,1074000,1283000,2201000,2363000,1498000,1679000,1825000,2627000,3618000,6078000
53,Total Current Liabilities,- -,3308000,4928000,10401000,15483000,21311000,17338000,14016000,7046000,9041000,6548000,4530000,10103000,11476000,3197000,3558000,4919000,3351000,2561000,2609000,2964000,3978000,6400000,7840000
54,Long-Term Debt,- -,483000,424000,- -,- -,28605000,28428000,31736000,25511000,26196000,16378000,- -,- -,- -,- -,- -,- -,- -,1667000,1481000,1292000,1099000,3077000,2718000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1679000,1224000,770000,316000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,445000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,297000,444000,2741000,3746000,4053000,1896000,536000,360000,278000,10000000,27396000,7637000,52000,- -,- -,- -,63000,29000,- -,- -,13000,409000,349000
58,Total Non-Current Liabilities,- -,780000,868000,3186000,3746000,32658000,30324000,32272000,25871000,26474000,26378000,27396000,9316000,1276000,770000,316000,- -,63000,1696000,1481000,1292000,1112000,3486000,3067000
59,Other Liabilities,27419000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,2313000,2274000,28000,28000,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,- -,- -,- -,- -,432000,- -
61,Total Liabilities,27419000,4088000,5796000,13587000,19229000,53969000,47662000,46288000,32917000,35515000,32926000,31926000,19419000,12752000,3967000,3874000,4919000,3414000,4257000,4090000,4256000,5090000,9886000,10907000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6000,27000,27000,27000,29000,29000,36000,39000,6000,6000,8000,11000,15000,15000,36000,43000,52000,52000,60000,75000,97000,105000,112000
64,Retained Earnings,- -,-28585000,-48889000,-74701000,-103773000,-140520000,-160361000,-195794000,-217860000,-239142000,-257472000,-279475000,-298509000,-316299000,-323445000,-332264000,-351473000,-370588000,-385556000,-396053000,-406924000,-422161000,-440066000,-471728000
65,Other Comprehensive Income/Loss,- -,-1150000,-1933000,-5928000,-2638000,2340000,-86000,-204000,-71000,-221000,-162000,-46000,-156000,-153000,- -,-334000,-452000,-654000,-1369000,-2139000,-2750000,-2381000,- -,- -
66,Other Total Stockholders Equity,- -,32485000,163947000,173831000,174738000,186043000,187133000,202485000,207991000,227895000,228560000,252196000,303270000,326796000,328097000,359328000,371137000,388736000,390635000,401539000,416751000,433183000,449680000,501788000
67,Total Stockholders Equity,-16275000,2756000,113152000,93229000,68354000,47892000,26715000,6523000,-9901000,-11462000,-29068000,-27317000,4616000,10359000,4667000,26766000,19255000,17546000,3762000,3407000,7152000,8738000,9719000,30172000
68,Total Liabilities And Stockholders Equity,11144000,6844000,118948000,106816000,87583000,101861000,74377000,52811000,23016000,24053000,3858000,4609000,24035000,23111000,8634000,30640000,24174000,20960000,8019000,7497000,11408000,13828000,19605000,41079000
69,Minority Interest,- -,- -,- -,- -,32000,165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11144000,6844000,118948000,106816000,87615000,102026000,74377000,52811000,23016000,24053000,3858000,4609000,24035000,23111000,8634000,30640000,24174000,20960000,8019000,7497000,11408000,13828000,19605000,41079000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926617/000119312512253418/0001193125-12-253418-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000119312513087647/0001193125-13-087647-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661714000016/0000926617-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661715000017/0000926617-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661716000083/0000926617-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661717000023/0000926617-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661718000034/0000926617-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661719000013/0000926617-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661720000015/0000926617-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661721000033/0000926617-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661722000014/0000926617-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8052000,-8046000,-20304000,-25812000,-29072000,-36747000,-19841000,-35433000,-22066000,-21282000,-18330000,-22048000,-19034000,-17790000,-7146000,-8819000,-19209000,-19115000,-14968000,-10497000,-11371000,-15237000,-17905000,-31662000
74,Depreciation and Amortization,1041000,2308000,10611000,7370000,4221000,6322000,7805000,6371000,4902000,1491000,928000,335000,114000,77000,86000,72000,141000,291000,723000,786000,675000,333000,265000,302000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636000,571000,6869000,3286000,1281000,842000,1149000,1227000,1179000,1439000,1101000,1193000,1548000,3539000
77,Change in Working Capital,-951000,1533000,106487000,-37130000,-23223000,4303000,-12038000,-12802000,-14136000,-4460000,-12261000,3091000,14362000,-2309000,-6122000,21396000,-7944000,-2732000,-12468000,149000,4128000,1608000,2771000,19962000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,31000,-136000,37000,-38000,-236000,206000,80000,-188000,70000,-81000,-138000,59000,-162000
79,Inventory,-428000,3000,-407000,-168000,-1968000,-929000,-4949000,900000,136000,- -,- -,- -,- -,- -,- -,- -,- -,-87000,-6000,-9000,10000,67000,-5000,-144000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2292000,225000,1500000,-129000,-851000,50000,380000,971000,1594000,- -
81,Other Working Capital,- -,1533000,108020000,70890000,47667000,51970000,39932000,27130000,12994000,8534000,-3727000,-636000,13726000,11417000,5295000,26691000,18747000,16015000,3547000,3696000,7824000,9432000,12203000,32165000
82,Other Non-Cash Items,3045000,-872000,-106755000,41012000,20905000,4863000,-8384000,18967000,10861000,3983000,13587000,14937000,-23246000,1155000,1503000,-21715000,9055000,1964000,11571000,-6000,-3900000,-863000,-1413000,-19536000
83,Cash Provided by Operating Activities,-4917000,-5077000,-9961000,-14560000,-27169000,-21259000,-32458000,-22897000,-20439000,-20268000,-15440000,-3114000,-20935000,-15581000,-10398000,-8224000,-16808000,-18365000,-13963000,-8129000,-9367000,-12966000,-14734000,-27395000
84,CAPEX,-196000,-602000,-4604000,-4070000,-4364000,-6350000,-4568000,-2837000,-589000,-864000,-85000,- -,-180000,-99000,-14000,-321000,-258000,-1055000,-1261000,-60000,-113000,-133000,-490000,-184000
85,Acquisitions Net,- -,- -,- -,-12257000,- -,- -,-203000,- -,15218000,2000000,- -,- -,- -,- -,1830000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-36937000,-10068000,-10639000,- -,- -,- -,-19175000,-4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,8336000,21017000,13224000,12111000,- -,2245000,6300000,14458000,- -,465000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-226000,-334000,-43000,-80000,777000,230000,26618000,-677000,-346000,55000,50000,42000,65000,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -
89,Cash Used for Investing Activites,-422000,-936000,-4647000,-45008000,7362000,-3535000,33958000,-3514000,16528000,-11684000,10323000,42000,350000,-99000,1816000,-321000,-258000,-1055000,-1261000,-60000,-113000,-132000,-490000,-184000
90,Debt Repayment,-522000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2195000,-5000000,-5894000,- -,- -,-1082000,-148000,-217000,-214000,-189000,-191000,- -
91,Common Stock Issued,40000,1114000,120797000,787000,706000,1553000,1216000,15304000,3142000,18993000,- -,- -,42782000,20206000,- -,11751000,10288000,17495000,- -,5127000,8990000,13521000,10641000,718000
92,Common Stock Repurchased,- -,- -,-1000,-28000,-6000,- -,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1291000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12407000,696000,-1330000,-509000,-4519000,29399000,-421000,1900000,-7310000,2917000,3000,4051000,-537000,34000,6000,18291000,239000,-25000,1972000,3576000,4525000,2109000,9702000,47660000
95,Cash Used/Provided by Financing Activities,11925000,1810000,119466000,250000,-3819000,30952000,792000,17204000,-4168000,21910000,3000,4051000,40050000,15240000,-5888000,30042000,10527000,15097000,1824000,8486000,13301000,15441000,20152000,48378000
96,Effect of Forex Changes on Cash,- -,- -,-24000,4000,452000,1550000,247000,-447000,52000,-52000,-39000,-3000,9000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6586000,-4203000,104834000,-59314000,-23174000,7708000,2539000,-9654000,-8027000,-10094000,-5153000,976000,19474000,-437000,-14470000,21497000,-6539000,-4323000,-13400000,297000,3821000,2343000,4928000,20799000
98,Cash at the End of Period,7002000,2799000,107633000,48319000,25145000,32853000,35392000,25738000,17711000,7617000,2464000,3440000,22914000,22477000,8007000,29504000,22965000,18642000,5242000,5539000,9360000,11703000,16631000,37430000
99,Cash at the Beginning of Period,416000,7002000,2799000,107633000,48319000,25145000,32853000,35392000,25738000,17711000,7617000,2464000,3440000,22914000,22477000,8007000,29504000,22965000,18642000,5242000,5539000,9360000,11703000,16631000
100,Free Cash Flow,-5113000,-5679000,-14565000,-18630000,-31533000,-27609000,-37026000,-25734000,-21028000,-21132000,-15525000,-3114000,-21115000,-15680000,-10412000,-8545000,-17066000,-19420000,-15224000,-8189000,-9480000,-13099000,-15224000,-27579000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/926617/000119312512253418/0001193125-12-253418-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000119312513087647/0001193125-13-087647-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661714000016/0000926617-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661715000017/0000926617-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661716000083/0000926617-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661717000023/0000926617-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661718000034/0000926617-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661719000013/0000926617-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661720000015/0000926617-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661721000033/0000926617-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/926617/000092661722000014/0000926617-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
