,https://roic.ai/company/FCCN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690606000061/0001096906-06-000061-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690608001711/0001096906-08-001711-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690612000768/0001096906-12-000768-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690613000545/0001096906-13-000545-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690614000389/0001096906-14-000389-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690615000271/0001096906-15-000271-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690616001498/0001096906-16-001498-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690617000215/0001096906-17-000215-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690618000152/0001096906-18-000152-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690619000093/0001096906-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690620000065/0001096906-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690621000354/0001096906-21-000354-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690622000475/0001096906-22-000475-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,68,- -,340000,70000,10000,10000,10000,1990000,730000,80000,790000,50000,3680,1220,690,660,850,413,264
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,68,- -,340000,70000,10000,10000,10000,1990000,730000,80000,790000,50000,3680,1220,690,660,850,413,264
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000,320000,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100,- -,40000,30000,20000,20000,- -,70000,20000,10000,- -,10000,- -,9170,- -,- -,- -,- -,- -
37,Total Current Assets,168,- -,380000,100000,30000,30000,10000,2060000,750000,410000,1110000,60000,3680,10390,690,660,850,413,- -
38,PP&E,9067,- -,30000,30000,20000,10000,- -,1310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4690000,10000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4690000,10000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537000,232000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10000,- -,10000,- -,- -,10000,- -,- -,3000,-2000,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,9067,- -,40000,30000,30000,10000,- -,1320000,- -,- -,5230000,240000,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264
47,Total Assets,9235,- -,420000,130000,60000,40000,10000,3380000,750000,410000,6340000,300000,3680,10390,690,660,850,413,264
48,Accounts Payable,12500,- -,- -,- -,53942,- -,10000,130000,40000,100000,400000,370000,538950,724600,564510,742830,921930,1406,- -
49,Short-Term Debt,6000,84565,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48,- -,- -
52,Other Current Liabilities,21803,5435,1160000,50000,-3942,40000,10000,10000,10000,10000,- -,- -,940,2660,780,780,772,- -,- -
53,Total Current Liabilities,40303,90000,1160000,50000,50000,40000,70000,140000,50000,110000,400000,370000,539890,727260,565290,743610,922750,1406,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,-220000,-221560,-218720,-219130,-219950,-221080,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,-220000,-221560,-218720,-219130,-219950,-221080,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1089258,1262745
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,40303,90000,1160000,50000,50000,40000,70000,140000,50000,110000,2200000,150000,318330,508540,346160,523660,701670,1090664,1262745
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9149,- -,10000,10000,10000,10000,- -,10000,10000,10000,10000,10000,11790,11790,11790,11790,11790,11786,11786
64,Retained Earnings,-334461,-410000,-4090000,-4530000,-5250000,-5550000,-5620000,-7070000,-9120000,-11920000,-22340000,-26960000,-27771840,-27955330,-28144930,-28322470,-28500280,- -,-28840224
65,Other Comprehensive Income/Loss,-6931,- -,- -,-10000,-20000,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,301175,323886,3340978,4610428,5264369,5573187,5561008,10299936,9815505,12207090,26473716,27093084,27445397,27445393,27787673,27787678,27787675,-880374,27787681
67,Total Stockholders Equity,-31068,-86114,-739022,80428,4369,3187,-58992,3239936,705505,297090,4143716,143084,-314653,-498147,-345467,-523002,-700815,-868588,-1040757
68,Total Liabilities And Stockholders Equity,9235,3886,420978,130428,54369,43187,11008,3379936,755505,407090,6343716,293084,3677,10393,693,658,855,222076,221988
69,Minority Interest,- -,-3886,-978,-428,5631,-3187,-1008,64,-5505,2910,-3716,6916,3,-3,-3,2,-5,-221663,-221724
70,Total Liabilities & Equity,9235,- -,420000,130000,60000,40000,10000,3380000,750000,410000,6340000,300000,3680,10390,690,660,850,413,264
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690606000061/0001096906-06-000061-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690608001711/0001096906-08-001711-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690612000768/0001096906-12-000768-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690613000545/0001096906-13-000545-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690614000389/0001096906-14-000389-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690615000271/0001096906-15-000271-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690616001498/0001096906-16-001498-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690617000215/0001096906-17-000215-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690618000152/0001096906-18-000152-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690619000093/0001096906-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690620000065/0001096906-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690621000354/0001096906-21-000354-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690622000475/0001096906-22-000475-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-19623,-75631,-4091157,-435407,-726059,-301182,-79998,-1449474,-2057865,-2798402,-10558890,-4624524,-807731,-183494,-189601,-177535,-177813,- -,- -
74,Depreciation and Amortization,3206,807,2858,8900,9392,9152,- -,239,957,957,426969,1705008,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1170713,834942,2659673,2707016,623892,349994,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,2500,-49865,-690000,830000,-70000,10000,-50000,1980000,-1220000,-400000,410000,-1020000,-226210,-180660,152270,-178350,-178950,920907,993
78,Accounts Receivable,- -,- -,- -,- -,- -,-280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1884,- -,- -,627,-0
81,Other Working Capital,-40135,-90000,-780000,50000,-20000,-10000,-60000,1920000,700000,300000,710000,-310000,-536210,-716870,-564600,-742950,-921900,-993,- -
82,Other Non-Cash Items,- -,87943,3983884,-1620672,78246,-26109,60230,-1910955,1179137,-584352,6531557,2605337,619521,326020,5726,327459,326754,-944679,-993
83,Cash Provided by Operating Activities,-13917,-36746,-794415,-1217179,-708421,-308139,-69768,-209477,-1262829,-1122124,-483348,-710287,-64426,-38134,-31605,-28426,-30009,-23772,-0
84,CAPEX,- -,- -,-37593,-7992,-5741,- -,- -,-2870,- -,-219093,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1800,- -,- -,- -,494,- -,- -,- -,- -,-27810,-115022,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,1800,100,-37593,-7992,-5247,- -,- -,-2870,- -,-246903,-115022,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,310000,952000,650000,300000,- -,2200000,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12000,36762,892851,- -,- -,- -,50000,- -,- -,722196,300416,-26931,19182,35681,31075,28392,30204,23332,0
95,Cash Used/Provided by Financing Activities,12000,36762,1202851,952000,650000,300000,50000,2200000,- -,722196,1300416,-26931,19182,35681,31075,28392,30204,23332,0
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-117,116,1202851,-273171,-63668,-8139,-19768,1987653,-1262829,-646831,702046,-737218,-45244,-2453,-530,-34,195,-440,-0
98,Cash at the End of Period,68,184,370844,97673,34005,25866,6098,1993751,730922,84091,786137,48919,3675,1222,692,658,853,413,0
99,Cash at the Beginning of Period,185,68,- -,370844,97673,34005,25866,6098,1993751,730922,84091,786137,48919,3675,1222,692,658,853,0
100,Free Cash Flow,-13917,-36746,-832008,-1225171,-714162,-308139,-69768,-212347,-1262829,-1341217,-483348,-710287,-64426,-38134,-31605,-28426,-30009,-23772,-0
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690606000061/0001096906-06-000061-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690608001711/0001096906-08-001711-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131903/000109690612000768/0001096906-12-000768-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690613000545/0001096906-13-000545-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690614000389/0001096906-14-000389-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690615000271/0001096906-15-000271-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690616001498/0001096906-16-001498-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690617000215/0001096906-17-000215-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690618000152/0001096906-18-000152-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690619000093/0001096906-19-000093-index.html,https://www.sec.gov/Archives/edgar/data/1131903/000109690620000065/0001096906-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690621000354/0001096906-21-000354-index.htm,https://www.sec.gov/Archives/edgar/data/1131903/000109690622000475/0001096906-22-000475-index.htm
102,false,,,,,,,,,,,,,,,,,,,
