,https://roic.ai/company/TRGP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,153700000,99800000,85800000,242000000,196200000,249500000,491000000,-111800000,-259700000,-292900000,65900000,-46700000,-1573000000,436900000
21,Income Before Tax Ratio,0.0192,0.0220,0.0157,0.0346,0.0333,0.0381,0.0570,-0.0168,-0.0388,-0.0332,0.0063,-0.0054,-0.1904,0.0258
22,Income Tax expense (Gain),19300000,20700000,22500000,26600000,36900000,48200000,68000000,39600000,-100600000,-397100000,5500000,-87900000,248000000,14800000
23,Net Income,37300000,29300000,-15000000,30700000,38100000,65100000,102300000,58300000,-187300000,54000000,1600000,-209200000,-1325000000,71200000
24,Net Income ratio,0.0047,0.0065,-0.0027,0.0044,0.0065,0.0099,0.0119,0.0088,-0.0280,0.0061,0.0002,-0.0241,-0.1604,0.0042
25,EPS,8.67,0.75,-30.94,0.75,0.93,1.56,2.44,1.09,-1.51,-0.31,-0.53,-1.44,-7.26,0.31
26,EPS Diluted,8.67,0.74,-31.12,0.74,0.91,1.55,2.43,1.09,-1.51,-0.31,-0.53,-1.44,-7.26,0.31
27,Weighted Average Shares Outstanding,4300000,39200000,6500000,41000000,41000000,41600000,42000000,53500000,184720525,206900000,224200000,232500000,232200000,232200000
28,Weighted Average Shares Outstanding Diluted,4300000,39600000,6500000,41400000,41800000,42100000,42100000,53600000,184720525,206900000,224200000,232500000,232200000,232200000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389170/000114036113008128/0001140361-13-008128-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036114007923/0001140361-14-007923-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036115006704/0001140361-15-006704-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036116055579/0001140361-16-055579-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459017001810/0001564590-17-001810-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459018002330/0001564590-18-002330-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459019005727/0001564590-19-005727-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459020005592/0001564590-20-005592-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459021006640/0001564590-21-006640-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459022006563/0001564590-22-006563-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,362800000,252400000,188400000,145800000,76300000,66700000,81000000,140200000,73500000,137200000,232100000,331100000,242000000,158500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,714000000,- -
33,Cash and Short-Term Investments,362800000,252400000,188400000,145800000,76300000,66700000,81000000,140200000,73500000,137200000,232100000,331100000,956000000,158500000
34,Net Receivables,303900000,404300000,466600000,575700000,514900000,658800000,567300000,515800000,742400000,827600000,865500000,855000000,862000000,1331900000
35,Inventory,68500000,39400000,50400000,92200000,99400000,150700000,168900000,141000000,137700000,204500000,164700000,161500000,181000000,153400000
36,Other Current Assets,121900000,48900000,45100000,52800000,42700000,21000000,65400000,123000000,53200000,100600000,156600000,310700000,-539000000,126000000
37,Total Current Assets,857100000,745000000,750500000,866500000,733300000,897200000,882600000,920000000,1006800000,1269900000,1418900000,1658300000,1460000000,1769800000
38,PP&E,2617400000,2548100000,2509000000,2819500000,3538000000,4349900000,4824600000,9702700000,9691000000,10430000000,12928400000,14548500000,12173000000,11667700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,417000000,210000000,256600000,46600000,45200000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,680800000,653400000,591900000,1810100000,1654000000,2165800000,1983200000,1735000000,1382000000,- -
41,Intangible Assets,- -,- -,- -,- -,680800000,653400000,591900000,2227100000,1864000000,2422400000,2029800000,1780200000,1382000000,1094800000
42,Investments,- -,- -,- -,36800000,53100000,55900000,50200000,258900000,240800000,221600000,490500000,738700000,714000000,586500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,167300000,74400000,134300000,108200000,99800000,92200000,104200000,145000000,68600000,44700000,70600000,89400000,-714000000,89400000
45,Total Non-Current Assets,2784700000,2622500000,2643300000,2964500000,4371700000,5151400000,5570900000,12333700000,11864400000,13118700000,15519300000,17156800000,13555000000,13438400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3641800000,3367500000,3393800000,3831000000,5105000000,6048600000,6453500000,13253700000,12871200000,14388600000,16938200000,18815100000,15015000000,15208200000
48,Accounts Payable,153800000,206400000,254200000,345400000,571200000,667600000,527800000,528100000,691400000,1001200000,1200500000,997100000,833000000,1402300000
49,Short-Term Debt,12500000,12500000,- -,- -,- -,- -,182800000,219300000,275000000,350000000,1027900000,382200000,368600000,162800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,11700000,13400000,24200000,27100000,47700000,62400000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000,- -
52,Other Current Liabilities,300300000,334900000,370000000,395700000,115400000,102800000,116500000,134200000,201200000,265400000,570400000,493300000,425400000,733400000
53,Total Current Liabilities,466600000,553800000,624200000,741100000,686600000,770400000,827100000,881600000,1167600000,1616600000,2798800000,1872600000,1779000000,2298500000
54,Long-Term Debt,1976500000,1593500000,1534700000,1567000000,2475300000,2989300000,2885400000,5761500000,4606000000,4703000000,5632400000,7414400000,7387000000,6468900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,26900000,69800000,136200000,175500000,172000000,- -,171800000
56,Deferred Tax Liabilities,26800000,50000000,- -,120500000,131200000,135500000,138200000,177800000,941200000,479000000,525200000,434200000,- -,136000000
57,Other Non-Current Liabilities,- -,415300000,198800000,71700000,58500000,62100000,63300000,155700000,362200000,697800000,335500000,200200000,309000000,954300000
58,Total Non-Current Liabilities,2003300000,2058800000,1733500000,1759200000,2665000000,3186900000,3086900000,6121900000,5979200000,6016000000,6668600000,8220800000,7696000000,7731000000
59,Other Liabilities,4356500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19139000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85200000,77000000,61000000
61,Total Liabilities,2819800000,2612600000,2357700000,2500300000,3351600000,3957300000,3914000000,7003500000,7146800000,7632600000,9467400000,10093400000,13222000000,10029500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278800000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,200000,200000,- -,200000
64,Retained Earnings,-115100000,-85800000,-100800000,-70100000,-32000000,20500000,25500000,26900000,-187300000,-77200000,-130400000,-339600000,-1893000000,-1822300000
65,Other Comprehensive Income/Loss,36100000,-20300000,600000,-1300000,1200000,-500000,4800000,5700000,-38300000,-29900000,94300000,92500000,-141800000,-230900000
66,Other Total Stockholders Equity,1413000000,193200000,244100000,- -,175100000,129300000,139300000,1428700000,5474000000,6267200000,6115300000,5167700000,4688000000,4064800000
67,Total Stockholders Equity,134700000,87400000,144300000,158100000,144100000,148800000,169800000,1461400000,5248600000,6160300000,6079400000,5199600000,2653900000,2011800000
68,Total Liabilities And Stockholders Equity,2954500000,2700000000,2502000000,2658400000,3495700000,4106100000,4083800000,8464900000,12395400000,13792900000,15546800000,15293000000,15875900000,12041300000
69,Minority Interest,687300000,667500000,891800000,1172600000,1609300000,1942500000,2369700000,4788800000,475800000,595700000,1391400000,3522100000,-860900000,3166900000
70,Total Liabilities & Equity,3641800000,3367500000,3393800000,3831000000,5105000000,6048600000,6453500000,13253700000,12871200000,14388600000,16938200000,18815100000,15015000000,15208200000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389170/000114036113008128/0001140361-13-008128-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036114007923/0001140361-14-007923-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036115006704/0001140361-15-006704-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036116055579/0001140361-16-055579-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459017001810/0001564590-17-001810-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459018002330/0001564590-18-002330-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459019005727/0001564590-19-005727-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459020005592/0001564590-20-005592-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459021006640/0001564590-21-006640-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459022006563/0001564590-22-006563-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,37300000,29300000,-15000000,30700000,38100000,65100000,102300000,58300000,-187300000,54000000,1600000,-209200000,-1325000000,71200000
74,Depreciation and Amortization,160900000,168800000,174700000,181000000,197600000,271900000,351000000,677100000,757700000,809500000,815900000,971600000,11000,870600000
75,Deferred Income Tax,18000000,19100000,33100000,12300000,9000000,5400000,-4400000,24600000,-37800000,-392700000,5500000,-87900000,-232000,12100000
76,Stock Based Compensation,- -,- -,- -,- -,17500000,13200000,14300000,25000000,29700000,42300000,56300000,60300000,66000,59200000
77,Change in Working Capital,152900000,-199300000,-64900000,-900000,-78700000,80100000,-71300000,-17100000,-199200000,-185900000,-1033200000,1165600000,-104700000,205800000
78,Accounts Receivable,600700000,-140100000,-119200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,-392400000
79,Inventory,72800000,19300000,-11400000,-41100000,6000000,-84500000,-36200000,41400000,-15900000,-73200000,-13900000,-45000000,-27000,40600000
80,Accounts Payable,- -,- -,- -,102600000,-113400000,83600000,-104700000,-187400000,175700000,100200000,57200000,80800000,105700000,551700000
81,Other Working Capital,390500000,191200000,126300000,125400000,46700000,126800000,55500000,38400000,-160800000,-346700000,-1379900000,-214300000,-319000000,- -
82,Other Non-Cash Items,21600000,317900000,80600000,156200000,244700000,-53000000,369900000,266800000,474300000,612300000,1297900000,-510600000,1431599000,1084000000
83,Cash Provided by Operating Activities,390700000,335800000,208500000,379300000,428200000,382700000,761800000,1034700000,837400000,939500000,1144000000,1389800000,1744000,2302900000
84,CAPEX,-132300000,-99400000,-139300000,-331900000,-582700000,-1013600000,-762200000,-817200000,-562100000,-1297500000,-3114800000,-2877800000,-951000,-505100000
85,Acquisitions Net,-124900000,- -,- -,-156500000,-1012500000,- -,5700000,-1584900000,-300000,-580100000,-19600000,-178200000,209200000,31800000
86,Purchases of Investments,- -,- -,- -,-21200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,50500000,40100000,4700000,300000,4500000,-12700000,5100000,2500000,3800000,-15100000,-12500000,-15900000,-946349000,100000
89,Cash Used for Investing Activites,-206700000,-59300000,-134600000,-509300000,-1590700000,-1026300000,-751400000,-2399600000,-558600000,-1892700000,-3146900000,-3071900000,-738100000,-473200000
90,Debt Repayment,-363100000,-1152500000,- -,-2082000000,-1787500000,-2177800000,-2807600000,-3678200000,-4598200000,-3960700000,-2171600000,-5415100000,-12000,-3429500000
91,Common Stock Issued,800000,300000,900000,- -,493500000,524700000,412700000,443600000,577300000,1660400000,689000000,- -,- -,- -
92,Common Stock Repurchased,-500000,- -,-100000,- -,-9500000,-13300000,- -,- -,- -,- -,- -,- -,- -,-53200000
93,Dividends Paid,- -,- -,-448100000,-38200000,-273700000,-362200000,-113000000,-179000000,-716200000,-854500000,-919600000,-964800000,-384000,-187500000
94,Other Financing Activites,363700000,765300000,309400000,2207600000,2670200000,2662600000,2511800000,4837700000,4391600000,4171700000,4500000000,8161000000,-1094304000,1756200000
95,Cash Used/Provided by Financing Activities,900000,-386900000,-137900000,87400000,1093000000,634000000,3900000,1424100000,-345500000,1016900000,2097800000,1781100000,-1094700000,-1914000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,184900000,-110400000,-64000000,-42600000,-69500000,-9600000,14300000,59200000,-66700000,63700000,94900000,99000000,-89000,-84300000
98,Cash at the End of Period,362800000,252400000,188400000,145800000,76300000,66700000,81000000,140200000,73500000,137200000,232100000,331100000,242000,158500000
99,Cash at the Beginning of Period,177900000,362800000,252400000,188400000,145800000,76300000,66700000,81000000,140200000,73500000,137200000,232100000,331000,242800000
100,Free Cash Flow,258400000,236400000,69200000,47400000,-154500000,-630900000,-400000,217500000,275300000,-358000000,-1970800000,-1488000000,793000,1797800000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389170/000114036113008128/0001140361-13-008128-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036114007923/0001140361-14-007923-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036115006704/0001140361-15-006704-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000114036116055579/0001140361-16-055579-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459017001810/0001564590-17-001810-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459018002330/0001564590-18-002330-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459019005727/0001564590-19-005727-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459020005592/0001564590-20-005592-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459021006640/0001564590-21-006640-index.htm,https://www.sec.gov/Archives/edgar/data/1389170/000156459022006563/0001564590-22-006563-index.htm
102,false,,,,,,,,,,,,,,
