,https://roic.ai/company/USIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-5202040,-18926717,-8810001,-7943344,676999,-1345065,-798151,-1157161,-1508913,-874153,-755153,-426217,373939,1358087,-725128,2397015,1587741,-262374,-1476337,-1822397,-2991339,-1364860,2496216
16,EBITDA ratio,-93.8353,-30.9088,-2.9677,-1.8883,5.6749,-3.7617,-0.6760,-0.4587,-0.4969,-0.2912,-0.2346,-0.1627,0.0777,0.1849,-0.1400,0.1789,0.1104,-0.0217,-0.1013,-0.0728,-0.1061,-0.0423,0.0403
17,Operating Income,-5343852,-20502223,-10765506,-8281317,-1875411,-1439877,-1639982,-1251725,-1547467,-1690300,-941670,-609731,372999,1390988,-755432,2245007,946877,-1360573,-2837016,-3774509,-5062996,-3756868,-155381
18,Operating Income ratio,-96.3933,-33.4818,-3.6264,-1.9687,-15.7205,-4.0269,-1.3889,-0.4962,-0.5096,-0.5632,-0.2926,-0.2328,0.0775,0.1894,-0.1458,0.1676,0.0658,-0.1127,-0.1947,-0.1508,-0.1795,-0.1165,-0.0025
19,Total Other Income Expenses (Gains),-15391,- -,359800,-2673360,101112,-74654,444292,-144613,-174146,757508,150000,160000,-2782,-39761,-1350,111055,144495,196599,102547,76474,49137,873794,3608
20,Income Before Tax,- -,- -,-10405706,-10954677,-1774299,-1514531,-1195690,-1396338,-1721613,-932792,-791670,-449731,370217,1351227,-756782,2356062,1091372,-1163974,-2734469,-3698035,-5013859,-2883074,-151773
21,Income Before Tax Ratio,- -,- -,-3.5052,-2.6042,-14.8730,-4.2357,-1.0127,-0.5535,-0.5670,-0.3108,-0.2460,-0.1717,0.0769,0.1839,-0.1461,0.1759,0.0759,-0.0964,-0.1877,-0.1478,-0.1778,-0.0894,-0.0025
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,11825,11856,14437,18369,76009,32257,-1482226,75285,32668,274316,77780,101888,23109,169861
23,Net Income,-5472948,-20008323,-10405706,-10954677,484896,-1514531,-1195690,-1396338,-1721613,-944617,-803526,-464168,351848,1275218,-789039,3838288,1016088,-1196642,-3008785,-3775815,-5115747,-2906183,-321634
24,Net Income ratio,-98.7220,-32.6752,-3.5052,-2.6042,4.0646,-4.2357,-1.0127,-0.5535,-0.5670,-0.3147,-0.2496,-0.1772,0.0731,0.1736,-0.1523,0.2865,0.0707,-0.0991,-0.2065,-0.1509,-0.1814,-0.0901,-0.0052
25,EPS,-7.50,-20.25,-8.70,-7.95,0.30,-1.05,-0.60,-0.45,-0.30,-0.15,-0.15,-0.06,0.04,0.15,-0.15,0.60,0.14,-0.15,-0.33,-0.31,-0.39,-0.19,-0.02
26,EPS Diluted,-7.50,-20.25,-8.70,-7.95,0.30,-1.05,-0.60,-0.45,-0.30,-0.15,-0.15,-0.06,0.04,0.15,-0.15,0.45,0.08,-0.15,-0.33,-0.31,-0.39,-0.19,-0.02
27,Weighted Average Shares Outstanding,725076,986246,1201142,1372760,1392221,1454272,1950318,2770062,4603164,6404180,7436398,8100616,9143266,8870110,8407877,6472103,7389177,7838197,8995883,12128816,12958067,15428798,15428798
28,Weighted Average Shares Outstanding Diluted,725076,986246,1201142,1372760,1392221,1454272,1950318,2770062,4603164,6404180,7436398,8100616,9159490,9130861,8407877,9256439,11988180,7838197,8995883,12128816,12958067,15428798,15428798
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1088034/000091205701505862/0000912057-01-505862-index.html,https://www.sec.gov/Archives/edgar/data/1088034/000113388402000358/0001133884-02-000358-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088034/000118811204000443/0001188112-04-000443-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1088034/000135448807000411/0001354488-07-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000111650208000533/0001116502-08-000533-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448809000386/0001354488-09-000386-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000111650210000315/0001116502-10-000315-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448811001206/0001354488-11-001206-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1088034/000135448813001689/0001354488-13-001689-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448814001536/0001354488-14-001536-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448815001406/0001354488-15-001406-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000117184316008902/0001171843-16-008902-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000117184317002017/0001171843-17-002017-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803418000004/0001088034-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803419000010/0001088034-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803420000003/0001088034-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000143774921007524/0001437749-21-007524-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000143774922006589/0001437749-22-006589-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7069423,6171822,6192550,286105,528119,153966,378098,198759,115597,103428,565597,978699,3678688,3759791,26573771,54989851,4059606,4120738,4800554,2695177,2137580,5011132,7255321
32,Short-Term Investments,- -,1013900,236948,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7069423,7185722,6429498,286105,528119,153966,378098,198759,115597,103428,565597,978699,3678688,3759791,26573771,54989851,4059606,4120738,4800554,2695177,2137580,5011132,7255321
34,Net Receivables,40449,782537,437677,659074,43693,57788,59558,89021,85677,158736,92545,137957,376070,403303,585037,1037208,1135384,1107750,1119674,1323105,1274001,4168934,4979493
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176466,434532
36,Other Current Assets,380776,880284,387949,1569794,113650,47833,51962,129441,30895,20852,16269,22130,32164,114699,98966,902258,57918415,59796981,53182397,56887386,49635693,59735994,108587848
37,Total Current Assets,7490648,8848543,7255124,2514973,685462,259587,489618,417221,232169,283016,674411,1138786,4086922,4277793,27257774,56929317,63113405,65025469,59102625,60905668,53047274,69092526,121257194
38,PP&E,1513510,4518347,3701205,2171790,215156,132064,162600,157616,112072,62114,25597,3076,4234,91330,122061,2705517,3077421,2494510,2105186,1932660,4038423,5777192,6409270
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15539,- -,- -,9759,9759,9759,- -,- -
40,Intangible Assets,- -,52500,37500,22500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396824,341816,172899,4666668,3666668,2666668,6035761,- -
41,Intangible Assets,- -,52500,37500,22500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412363,341816,172899,4676427,3676427,2676427,6035761,4163894
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99716,74787,31467,27450,38408,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000,1621000,1621000,1394000,1394000,1394000,1394000,1504000
44,Other Non-Current Assets,394010,1871152,421307,- -,37782,23589,20833,26693,26693,262861,462861,742253,744030,755030,121144,165704,202849,200808,157565,306757,404055,368078,345357
45,Total Non-Current Assets,1907520,6441999,4160012,2194290,252938,155653,183433,184309,138765,324975,488458,845045,823051,877827,270655,4169992,5243086,4489217,8333178,7309844,8512905,13575031,12422521
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9398168,15290542,11415136,4709263,938400,415240,673051,601530,370934,607991,1162869,1983831,4909973,5155620,27528429,61099309,68356491,69514686,67435803,68215512,61560179,82667557,133679715
48,Accounts Payable,589480,726804,201513,797211,501488,482788,524520,131055,161031,108055,99738,70725,43375,203066,60818,37808,143180,145044,300736,308178,419849,851349,1400100
49,Short-Term Debt,309313,1681128,148228,1831315,- -,264165,- -,359280,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,356184,346913,558787
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40319,92849,51820,125194,54077,38469,45129,80888,99850,132363,298168
51,Deferred Revenue,- -,- -,490829,309492,- -,- -,44038,36434,31325,71537,17336,22981,3433483,3875,- -,- -,- -,- -,- -,20000,123529,1371868,1381840
52,Other Current Liabilities,303638,1149605,664200,1985879,224180,392515,776595,639925,553901,796244,1930301,2024434,521808,2810324,26828807,54037429,59098035,60358274,54011714,58173860,50812669,60898183,109122357
53,Total Current Liabilities,1202431,3557537,1504770,4923897,725668,1139468,1345153,1166694,746257,975836,2047375,2118140,4298666,3017265,26889625,54075237,59241215,60503318,54312450,58502038,51712231,63468313,112463084
54,Long-Term Debt,254394,148428,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2495883,2547725
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5300,578467,161800,130636,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79748,2279613,- -,- -
58,Total Non-Current Liabilities,259694,726895,161800,130636,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79748,2279613,2495883,2547725
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,39168,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2635797,2842796,2980318
61,Total Liabilities,1462125,4284432,1666570,5054533,725668,1139468,1345153,1166694,746257,975836,2047375,2118140,4298666,3017265,26889625,54075237,59241215,60503318,54312450,58581786,53991844,65964196,115010809
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13113,15528,20539,20604,20988,23569,32827,44879,80173,115774,115774,141074,142721,147721,147721,184177,185533,181818,186299,185561,186656,194692,195235
64,Retained Earnings,-5772654,-25780977,-36181383,-47136060,-46651164,-48165695,-49361385,-50757723,-52479336,-53423953,-54227479,-54691647,-54339799,-53064581,-53853620,-50071087,-49054999,-50251641,-53260426,-57036241,-62151988,-65058171,-65379805
65,Other Comprehensive Income/Loss,-258055,-1178813,-2718953,-3747539,-568775,-656465,-829687,-588775,-1558804,-956633,-993150,-1016664,- -,-1027246,-1044580,-1085533,-1511355,-2249816,-3011476,-3887115,-4901124,- -,- -
66,Other Total Stockholders Equity,13953639,37950372,48628363,50517725,47411683,48074363,49486143,50736455,53582644,53896967,54220349,55432928,- -,56082461,55389283,57996515,59496097,61331007,69208956,70371521,74434791,81566840,83853476
67,Total Stockholders Equity,7936043,11006110,9748566,-345270,212732,-724228,-672102,-565164,-375323,-367845,-884506,-134309,611307,2138355,638804,7024072,9115276,9011368,13123353,9633726,7568335,16703361,18668906
68,Total Liabilities And Stockholders Equity,9398168,15290542,11415136,4709263,938400,415240,673051,601530,370934,607991,1162869,1983831,4909973,5155620,27528429,61099309,68356491,69514686,67435803,68215512,61560179,82667557,133679715
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9398168,15290542,11415136,4709263,938400,415240,673051,601530,370934,607991,1162869,1983831,4909973,5155620,27528429,61099309,68356491,69514686,67435803,68215512,61560179,82667557,133679715
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1088034/000091205701505862/0000912057-01-505862-index.html,https://www.sec.gov/Archives/edgar/data/1088034/000113388402000358/0001133884-02-000358-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088034/000118811204000443/0001188112-04-000443-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1088034/000135448807000411/0001354488-07-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000111650208000533/0001116502-08-000533-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448809000386/0001354488-09-000386-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000111650210000315/0001116502-10-000315-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448811001206/0001354488-11-001206-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1088034/000135448813001689/0001354488-13-001689-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448814001536/0001354488-14-001536-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448815001406/0001354488-15-001406-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000117184316008902/0001171843-16-008902-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000117184317002017/0001171843-17-002017-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803418000004/0001088034-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803419000010/0001088034-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803420000003/0001088034-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000143774921007524/0001437749-21-007524-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000143774922006589/0001437749-22-006589-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5472948,-20008323,-10405706,-10954677,484896,-1514531,-1195690,-1396338,-1721613,-944617,-803526,-464168,351848,1275218,-789039,3838288,1016088,-1196642,-3008785,-3775815,-5115747,-2906183,-321634
74,Depreciation and Amortization,270908,940955,1555626,1896535,130671,123355,226209,147769,132919,58216,36517,23514,3722,6860,31654,40953,496368,901600,1258132,1875638,2022520,1518214,2643675
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1621000,- -,- -,227000,- -,- -,- -,-110000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251830,293080,291980,1275130,1314778,968141,1251779,1292419,1475328,1489976
77,Change in Working Capital,338349,-997211,459348,-8159278,2368718,-839675,24346,106062,235385,-178732,-680144,393610,767610,1472272,-892379,2485931,1018110,649961,268024,-2386545,-1068587,4289170,25895009
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73059,47756,-63401,-238113,-27233,-181734,-452171,-98174,227634,-133591,-244681,-59646,-905901,-2267806
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8328,-258066
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333085,251194,-5621,-416920,-623552,458632,- -,- -,534893,1410472
81,Other Working Capital,6288217,5291006,5750354,-2408924,-40206,-879881,-855535,-749473,-514088,-692820,-1372964,-979354,-211744,1260528,368149,2854080,3872190,4522151,4790175,2403630,1335043,5624213,-1874430
82,Other Non-Cash Items,491428,9020847,-590333,11588128,-5160404,1289992,53349,320779,547255,316525,1909322,493358,1281689,-2531121,24534304,23416700,-1715737,-821259,177211,278500,-863283,1917924,187891
83,Cash Provided by Operating Activities,-4372263,-11043732,-8981065,-5629292,-2176119,-940859,-891786,-821728,-806054,-748608,462169,446314,2404869,475059,23177620,28452852,2089959,848438,-110277,-2756443,-3732678,6294453,29784917
84,CAPEX,-1127459,-3652712,-722748,-401904,-66395,-4598,-106910,-75173,-29987,-19418,- -,-993,-4880,-93956,-62385,-36772,-785571,-155551,-372337,-703112,-647383,-855394,-1273039
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,- -,- -,-5907408,- -
86,Purchases of Investments,-275496,-7864759,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,2028680,- -,- -,6693,6896,- -,- -,- -,- -,284,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-56925,5098552,221218,259377,4193826,- -,950000,- -,- -,750000,- -,-32503,- -,- -,- -,- -,- -,-200000,-550000,5000,- -,- -,- -
89,Cash Used for Investing Activites,-1459880,-6418919,1527150,-142527,4127431,2095,849986,-75173,-29987,730582,- -,-33212,-4880,-93956,-62385,-36772,-785571,-355551,-1822337,-698112,-647383,-6762802,-1273039
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-779405,- -,- -,- -,- -,- -,- -,- -,-813500,-39802
91,Common Stock Issued,12707239,15577281,9155971,63235,56856,328611,689932,475894,1169547,5857,- -,- -,- -,- -,- -,- -,- -,- -,2725340,- -,1793905,10257925,1000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-301255,- -,-48237,-431755,-112910,-982487,-71906,-280269,-238737
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-135291,987769,-1681328,1821090,-1766154,236000,-424000,241668,-416668,- -,- -,- -,400000,479405,- -,- -,- -,- -,- -,- -,- -,813500,165996
95,Cash Used/Provided by Financing Activities,12571948,16565050,7474643,1884325,-1709298,564611,265932,717562,752879,5857,- -,- -,300000,-300000,-301255,- -,-48237,-431755,2612430,-982487,1721999,9977656,887457
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6739805,-897601,20728,-3887494,242014,-374153,224132,-179339,-83162,-12169,462169,413102,2699989,81103,22813980,28416080,1256151,61132,679816,-4437042,-2658062,9509307,29399335
98,Cash at the End of Period,7069423,6171822,6192550,286105,528119,153966,378098,198759,115597,103428,565597,978699,3678688,3759791,26573771,54989851,4059606,4120738,4800554,15340980,12682918,22192225,51591560
99,Cash at the Beginning of Period,329618,7069423,6171822,4173599,286105,528119,153966,378098,198759,115597,103428,565597,978699,3678688,3759791,26573771,2803455,4059606,4120738,19778022,15340980,12682918,22192225
100,Free Cash Flow,-5499722,-14696444,-9703813,-6031196,-2242514,-945457,-998696,-896901,-836041,-768026,462169,445321,2399989,381103,23115235,28416080,1304388,692887,-482614,-3459555,-4380061,5439059,28511878
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1088034/000091205701505862/0000912057-01-505862-index.html,https://www.sec.gov/Archives/edgar/data/1088034/000113388402000358/0001133884-02-000358-index.html,- -,https://www.sec.gov/Archives/edgar/data/1088034/000118811204000443/0001188112-04-000443-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1088034/000135448807000411/0001354488-07-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000111650208000533/0001116502-08-000533-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448809000386/0001354488-09-000386-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000111650210000315/0001116502-10-000315-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448811001206/0001354488-11-001206-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1088034/000135448813001689/0001354488-13-001689-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448814001536/0001354488-14-001536-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000135448815001406/0001354488-15-001406-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000117184316008902/0001171843-16-008902-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000117184317002017/0001171843-17-002017-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803418000004/0001088034-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803419000010/0001088034-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000108803420000003/0001088034-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000143774921007524/0001437749-21-007524-index.htm,https://www.sec.gov/Archives/edgar/data/1088034/000143774922006589/0001437749-22-006589-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
