,https://roic.ai/company/CCXI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1340652/000119312512143047/0001193125-12-143047-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312513107109/0001193125-13-107109-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312514099600/0001193125-14-099600-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312515090602/0001193125-15-090602-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312516503608/0001193125-16-503608-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312517082093/0001193125-17-082093-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312518079260/0001193125-18-079260-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312519070954/0001193125-19-070954-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000156459020009787/0001564590-20-009787-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000156459021009883/0001564590-21-009883-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000095017022002561/0000950170-22-002561-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-18470000,15623000,-3096000,-4617000,-39891000,-38673000,-46929000,-47305000,-39963000,17859000,-37966000,-55489000,-55356000,-131755000
74,Depreciation and Amortization,707000,713000,660000,754000,592000,576000,543000,477000,348000,418000,512000,1642000,797000,3139000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,684000,1778000,2346000,2642000,4953000,6242000,8214000,8985000,8535000,8748000,10833000,11638000,22912000,30692000
77,Change in Working Capital,-5728000,83663000,3587000,-750000,11218000,34250000,-61291000,402000,43815000,36537000,-29905000,-1706000,274730000,-183852000
78,Accounts Receivable,-701000,- -,22989000,- -,-649000,763000,393000,- -,-30205000,-20885000,49032000,1882000,7000,-274000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-851000
80,Accounts Payable,-1420000,-898000,-103000,-405000,214000,159000,-161000,-73000,-4000,729000,-434000,188000,2982000,2610000
81,Other Working Capital,-4538000,79125000,82712000,81962000,93180000,127430000,66139000,66541000,110356000,146893000,116988000,115282000,390012000,206160000
82,Other Non-Cash Items,49000,-124738000,14167000,4017000,-9099000,-35713000,65148000,-1886000,26410000,-58684000,72962000,-26208000,-324226000,206155000
83,Cash Provided by Operating Activities,-22758000,-22961000,17664000,2046000,-32227000,-33318000,-34315000,-39327000,39145000,4878000,16436000,-70123000,-81143000,-75621000
84,CAPEX,-389000,-221000,-1193000,-166000,-472000,-554000,-352000,-218000,-304000,-723000,-838000,-790000,-15409000,-19020000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-26625000,-78515000,-90258000,-113251000,-177566000,-136600000,-100837000,-24372000,-136234000,-133845000,-192480000,-211973000,-445671000,-307449000
87,Sales/Maturities of Investments,50791000,48821000,63822000,127986000,121134000,105486000,139528000,58474000,87774000,150170000,140250000,200237000,178720000,418688000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,23777000,-29915000,-27629000,14569000,-56904000,-31668000,38339000,33884000,-48764000,15602000,-53068000,-12526000,-282360000,92219000
90,Debt Repayment,-833000,-596000,-672000,-534000,-547000,-571000,-330000,- -,- -,- -,- -,- -,- -,-1049000
91,Common Stock Issued,48000,57000,117000,260000,57017000,64365000,- -,- -,7000000,- -,- -,73276000,325654000,- -
92,Common Stock Repurchased,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,48675000,- -,1500000,11758000,966000,2990000,2123000,2191000,1820000,7516000,24700000,21544000,30967000,2132000
95,Cash Used/Provided by Financing Activities,47890000,-1639000,945000,11484000,57436000,66784000,1793000,2191000,8820000,7516000,24700000,94820000,356621000,1083000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,48909000,-54515000,-9020000,28099000,-31695000,1798000,5817000,-3252000,-799000,27996000,-11932000,12171000,-6882000,17681000
98,Cash at the End of Period,75591000,21076000,12056000,40155000,8460000,10258000,16075000,12823000,12024000,40020000,28088000,40259000,33377000,51058000
99,Cash at the Beginning of Period,26682000,75591000,21076000,12056000,40155000,8460000,10258000,16075000,12823000,12024000,40020000,28088000,40259000,33377000
100,Free Cash Flow,-23147000,-23182000,16471000,1880000,-32699000,-33872000,-34667000,-39545000,38841000,4155000,15598000,-70913000,-96552000,-94641000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340652/000119312512143047/0001193125-12-143047-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312513107109/0001193125-13-107109-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312514099600/0001193125-14-099600-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312515090602/0001193125-15-090602-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312516503608/0001193125-16-503608-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312517082093/0001193125-17-082093-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312518079260/0001193125-18-079260-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000119312519070954/0001193125-19-070954-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000156459020009787/0001564590-20-009787-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000156459021009883/0001564590-21-009883-index.htm,https://www.sec.gov/Archives/edgar/data/1340652/000095017022002561/0000950170-22-002561-index.htm
102,false,,,,,,,,,,,,,,
