,https://roic.ai/company/ASRT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-26774637,-24467272,-39576788,49811000,-15301000,-22023000,3892000,71122000,-29872000,4580000,213108000,-123237000,-64502000,-103925000,37975000,-222484000,-45513000,-553000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-132.1754,-5.5540,-4.1436,0.7595,-0.4392,-0.3815,0.0482,0.5349,-0.3289,0.0341,0.5459,-0.3596,-0.1415,-0.2730,0.1218,-0.9694,-0.4283,-0.0050
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,99000,- -,82500,592000,1000,-15000,-4000,396000,-91000,-38733000,81346000,-47499000,24218000,-1429000,1067000,-5283000,-17369000,-728000
23,Net Income,-500000,-1200000,-2800000,-17208800,-9702870,-17600039,-13494565,-30015098,-26873637,-24467272,-39659288,49219000,-15302000,-22008000,3896000,70726000,-29781000,43313000,131762000,-75738000,-88720000,-102496000,36908000,-217201000,-28144000,175000
24,Net Income ratio,-1.6667,-2.0000,-3.5000,-149.2174,-5.4627,-4.7913,-8.1235,-30.5656,-132.6641,-5.5540,-4.1523,0.7505,-0.4392,-0.3812,0.0482,0.5319,-0.3279,0.3227,0.3375,-0.2210,-0.1946,-0.2692,0.1184,-0.9464,-0.2648,0.0016
25,EPS,-0.48,-1.36,-1.76,-10.64,-5.72,-7.24,-3.68,-4.92,-3.12,-2.56,-3.88,4.24,-1.28,-1.72,0.28,5.20,-2.12,3.04,9.04,-5.04,-5.80,-6.52,2.32,-12.28,-1.08,0.01
26,EPS Diluted,-0.48,-1.36,-1.76,-10.64,-5.72,-7.24,-3.68,-4.92,-3.12,-2.56,-3.88,4.20,-1.28,-1.72,0.28,5.04,-2.12,3.00,8.20,-5.04,-5.80,-6.52,2.28,-12.28,-1.08,0.01
27,Weighted Average Shares Outstanding,1041667,916060,1579558,1618634,1832469,2555055,3660686,6114564,8657206,9955295,10379415,11487781,12194691,12879978,13133314,13640705,13973140,14184002,14573250,15029250,15322250,15675500,15948500,17679000,26208750,26208750
28,Weighted Average Shares Outstanding Diluted,1041667,1111111,1579558,1618634,1832469,2555055,3660686,6114564,8657206,9955295,10379415,11588301,12194691,12879978,13340196,14022449,13973140,14385994,16576750,15029250,15322250,15675500,16052000,17679000,26208750,26208750
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808665/000180866521000019/0001808665-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1808665/000180866522000012/0001808665-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,11533326,20044698,953295,7565556,14574110,14374000,22127000,26821000,22526000,24043000,29076000,244674000,488668000,101084000,117709000,126884000,110949000,42107000,20786000,36810000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,8684647,24210562,17151544,51507509,16984503,39091000,59932000,42922000,47825000,62106000,37737000,27263000,70773000,108684000,59711000,1205000,- -,- -,1579000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,20217973,44255260,18104839,59073065,31558613,53465000,82059000,69743000,70351000,86149000,66813000,271937000,559441000,209768000,177420000,128089000,110949000,42107000,22365000,36810000
34,Net Receivables,- -,- -,- -,- -,- -,- -,301869,278452,- -,1956416,9081799,3623000,3675000,4933000,6347000,12555000,13692000,22275000,32108000,78045000,102589000,72482000,37211000,42744000,44350000,44361000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,864786,4483157,3263000,2849000,2565000,1571000,5395000,9587000,10145000,8456000,10494000,13033000,13042000,3396000,3412000,11712000,7489000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,534351,692191,442349,1107710,2756174,2418000,5404000,1185000,1330000,5390000,5175000,32688000,17615000,10665000,13162000,17238000,56551000,15688000,15827000,14838000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,21054193,45225903,18547188,63001977,47879743,62769000,93987000,78426000,79599000,109489000,95267000,337045000,617620000,308972000,306204000,230851000,208107000,103951000,94254000,103498000
38,PP&E,- -,- -,- -,- -,- -,- -,1833208,2140610,3941127,3146611,2541463,1621000,900000,942000,698000,1070000,8237000,8340000,7055000,14794000,15526000,13024000,13064000,3497000,2437000,1527000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25078000,82521000,72300000,1008994000,902149000,793873000,692099000,400535000,200082000,216054000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25078000,82521000,72300000,1008994000,902149000,793873000,692099000,400535000,200082000,216054000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12016000,6537000,53644000,11079000,4080000,6961000,- -,- -,- -,11784000,13064000,1579000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76342000,- -,22995000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,291876,326136,380268,228926,2195978,16255000,197000,197000,197000,169000,1992000,325000,7068000,7677000,1458000,869000,7812000,6123000,4922000,5468000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,2125084,2466746,4321395,3375537,4737441,17876000,1097000,13155000,7432000,54883000,46386000,171608000,93384000,1054460000,919133000,807766000,724759000,423219000,209020000,223049000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,23179277,47692649,22868583,66377514,52617184,80645000,95084000,91581000,87031000,164372000,141653000,508653000,711004000,1363432000,1225337000,1038617000,932866000,527170000,303274000,326547000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,4803672,2024221,1733474,1588999,4886222,1134000,559000,709000,- -,2417000,2360000,9134000,1278000,33360000,14855000,14732000,6138000,16193000,14808000,6685000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,435720,315939,105420,- -,- -,- -,3356000,3747000,2170000,- -,- -,- -,- -,563473000,466051000,82500000,120000000,82094000,11942000,12174000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61875000,- -,- -,59000,126000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,75000,3572196,4599947,1453000,4362000,12819000,11706000,12992000,3273000,3041000,- -,121058000,131536000,135828000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,3334814,1278490,1559880,2909958,12852664,11747000,14101000,14927000,19108000,24431000,31048000,144682000,56221000,-498259000,-385200000,77520000,119898000,86266000,105936000,116160000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,8574206,3618650,3473774,8071153,22338833,14334000,22378000,32202000,32984000,39840000,36681000,156857000,57499000,219632000,227242000,310580000,246036000,184553000,132686000,135019000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,385220,9485037,10280591,- -,- -,- -,5775000,2170000,- -,- -,- -,- -,229891000,806508000,718776000,544230000,446107000,271258000,72160000,61319000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41306000,30926000,17932000,15516000,12475000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32589000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,20633717,12808,710920,51545362,57566811,20791000,33778000,177000,15000,682000,5520000,201905000,26639000,22237000,28531000,14299000,20388000,13401000,42914000,27795000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,21018937,9497845,10991511,51545362,57566811,20791000,39553000,43653000,30941000,18614000,21036000,214380000,289119000,828745000,747307000,558529000,466495000,284659000,115074000,89114000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,12808,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6914000,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,29593143,13116495,14465285,59616515,79905644,35125000,61931000,75855000,63925000,58454000,57717000,371237000,346618000,1048377000,974549000,869109000,712531000,469212000,247760000,224133000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,12015000,12015000,12015000,12015000,12015000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,56679288,116540841,117070946,139640599,- -,- -,- -,- -,- -,- -,211266000,221124000,239961000,264511000,291634000,313857000,6000,8000,13000,4000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-63095890,-93110988,-119984625,-144451897,-184111185,-134892000,150194000,-172202000,-168306000,-97580000,-127361000,-84048000,47714000,-28024000,-116744000,-219508000,-182600000,-399801000,-427945000,-429226000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,2736,-868699,-698023,-442703,-12809,110000,151000,33000,69000,-13000,31000,-7000,-37000,-54000,-19000,-5000,-5000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163042789,187582000,- -,195960000,199540000,211848000,- -,347000,76809000,78622000,75917000,75164000,402934000,457751000,483446000,531636000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-6413866,34576154,8403298,6760999,-27288460,45520000,33153000,15726000,23106000,105918000,83936000,137416000,364447000,315055000,250788000,169508000,220335000,57958000,55514000,102414000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,23179277,47692649,22868583,66377514,52617184,80645000,95084000,91581000,87031000,164372000,141653000,508653000,711065000,1363432000,1225337000,1038617000,932866000,527170000,303274000,326547000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,23179277,47692649,22868583,66377514,52617184,80645000,95084000,91581000,87031000,164372000,141653000,508653000,711004000,1363432000,1225337000,1038617000,932866000,527170000,303274000,326547000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808665/000180866521000019/0001808665-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1808665/000180866522000012/0001808665-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-500000,-1200000,-2800000,-17208800,-9702870,-17600039,-13494565,-30015098,-26873637,-24467272,-39659288,49219000,-15302000,-22008000,3896000,70726000,-29781000,43313000,131762000,-75738000,-88720000,-102496000,36908000,-217201000,-28144000,175000
74,Depreciation and Amortization,- -,200000,500000,643491,561763,610811,745144,1044678,1701270,1138912,1380466,865000,1148000,808000,439000,420000,2561000,6161000,12025000,85737000,109375000,105502000,106426000,102946000,26431000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103202000,87378000,-44166000,20290000,- -,- -,-5767000,-8424000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2656000,2031000,3869000,5070000,6109000,8930000,14228000,17172000,13016000,12585000,10596000,10924000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,12479987,- -,29127266,-26533839,39857410,-29389914,22894090,23174000,-25385000,391000,23034000,-11063000,121602000,379933000,-470781000,-10378000,-158691000,41800000,-42673000,42170000,6911000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1259000,-1414000,1673000,807000,-7838000,-15453000,-44117000,-30931000,30137000,35271000,-5533000,19800000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-864786,-3581809,1220000,415000,283000,995000,-3825000,-2346000,4266000,1689000,9329000,-3718000,-1873000,9048000,-316000,-291000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10833000,15076000,53073000,5862000,-6436000,-33610000,-15146000,-28569000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,12479987,12479987,41607253,15073414,54930824,25540910,48435000,71609000,46224000,46615000,69649000,58586000,180188000,560121000,89340000,78962000,-79729000,-37929000,-80602000,-38432000,-31521000
82,Other Non-Cash Items,100000,-100000,-200000,12620441,2488802,-7889214,8312168,-33304694,28438052,12287610,39968524,-58317090,-5669000,45767000,-9138000,-40398000,2228000,-64229000,-675945000,634612000,17762000,204836000,-125222000,242574000,-108529000,-7086000
83,Cash Provided by Operating Activities,-400000,-1100000,-2500000,-3944868,-6652305,-12398455,-4437253,-33147848,-23268154,28816660,-27700212,14661000,3351000,1838000,-2381000,57651000,-30985000,9754000,-55917000,143892000,65501000,62167000,72497000,90475000,-65572000,- -
84,CAPEX,- -,-100000,-900000,-138232,-899326,-1325149,-463772,-1122950,-2672635,-791247,-774224,-156000,-257000,-629000,-179000,-698000,-6880000,-1962000,-599000,-26715000,-2860000,-666000,-5507000,-1481000,-10000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20072113,- -,- -,- -,- -,- -,-26435000,-52725000,- -,-1050011000,- -,- -,- -,- -,506811000,- -
86,Purchases of Investments,- -,- -,-4600000,-2264082,-3810600,-4438627,-11972834,-41368779,-21557673,-64197066,- -,-67476000,-101607000,-144567000,-71325000,-195162000,-38462000,-37746000,-73754000,-116209000,-68818000,-8277000,-3000000,-12065000,- -,- -
87,Sales/Maturities of Investments,100000,- -,- -,- -,4793567,7053580,- -,25779485,28315848,30166044,52610549,31646000,96741000,149322000,72016000,133672000,105109000,54397000,27046000,84884000,117214000,66557000,1200000,12065000,6000000,- -
88,Other Investing Activites,- -,- -,- -,3287380,-13518299,-3011892,- -,-5359,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,-25000000,- -,280000,225000,- -,- -,- -
89,Cash Used for Investing Activites,100000,-100000,-5500000,885066,-13434658,-1722088,-12436606,-16717603,4085540,-34822269,31764212,-35986000,-5123000,4126000,512000,-62188000,33332000,-38036000,-47307000,-1108051000,45536000,57894000,-7082000,-1481000,512801000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3312000,-3844000,-2244000,- -,- -,- -,- -,-100000000,-110000000,-82500000,-153249000,-454256000,- -
91,Common Stock Issued,- -,5600000,7500000,4998,21692515,11338400,20538506,58818046,419311,22389064,2944554,- -,441000,2042000,1417000,8298000,2686000,3727000,9803000,10398000,9951000,8940000,2020000,251000,88000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,-300000,400000,-69595,1338485,4053877,2718591,-441223,-328100,-9771194,- -,21125000,9084000,- -,- -,- -,- -,240153000,337415000,566177000,-4363000,-9826000,-870000,-4838000,-14382000,- -
95,Cash Used/Provided by Financing Activities,- -,5300000,7900000,-64597,23031000,15392277,23257097,58376823,91211,12617870,2944554,21125000,9525000,-1270000,-2427000,6054000,2686000,243880000,347218000,576575000,-94412000,-110886000,-81350000,-157836000,-468550000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,5300000,7900000,-3124399,2944037,1271734,6383238,8511372,-19091403,6612261,7008554,-200000,7753000,4694000,-4296000,1517000,5033000,215598000,243994000,-387584000,16625000,9175000,-15935000,-68842000,-21321000,- -
98,Cash at the End of Period,- -,- -,- -,934317,3878354,5150088,11533326,20044698,953295,7565556,14574110,14374000,22127000,26821000,22525000,24043000,29076000,244674000,488668000,101084000,117709000,126884000,110949000,42107000,20786000,- -
99,Cash at the Beginning of Period,300000,- -,4100000,4058716,934317,3878354,5150088,11533326,20044698,953295,7565556,14574000,14374000,22127000,26821000,22526000,24043000,29076000,244674000,488668000,101084000,117709000,126884000,110949000,42107000,20786000
100,Free Cash Flow,-400000,-1200000,-3400000,-4083100,-7551631,-13723604,-4901025,-34270798,-25940789,28025413,-28474436,14505000,3094000,1209000,-2560000,56953000,-37865000,7792000,-56516000,117177000,62641000,61501000,66990000,88994000,-65582000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808665/000180866521000019/0001808665-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1808665/000180866522000012/0001808665-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
