,https://roic.ai/company/RFIL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.10,0.10,0.13,0.14,0.20,0.13,0.06,0.12,0.21,0.07,0.24,0.17,0.23,0.11,0.21,0.12,0.38,0.50,0.18,0.12,-0.47,0.04,0.64,0.38,-0.01,0.62
26,EPS Diluted,0.09,0.10,0.10,0.12,0.17,0.11,0.04,0.10,0.17,0.06,0.21,0.15,0.21,0.10,0.19,0.11,0.34,0.46,0.16,0.11,-0.47,0.04,0.61,0.36,-0.01,0.61
27,Weighted Average Shares Outstanding,5909453,6315789,6400000,5925926,6602580,6726992,6903345,6180391,5829195,5928800,6371840,6486989,6635034,5902004,5719606,6382845,6908890,7600029,8215688,8494111,8786510,8840895,9105406,9358836,9678822,9979578
28,Weighted Average Shares Outstanding Diluted,6237756,6315789,7619048,6956522,7767741,7950082,8437422,7160188,7418976,7411000,7543070,7568153,7424919,6497808,6485610,7291848,7680743,8455631,8742025,8862217,8786510,8915764,9593066,9854604,9678822,10150396
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740664/000114420406005522/v035262_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420407003842/v063392_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420408007160/v101092_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420409004022/0001144204-09-004022-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420410004379/0001144204-10-004379-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420411001882/v207297_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420412004278/0001144204-12-004278-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420413003372/0001144204-13-003372-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420414002695/v364674_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420415004460/v398964_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420416077407/0001144204-16-077407-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420417004183/0001144204-17-004183-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420418003386/0001144204-18-003386-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420418065721/0001144204-18-065721-index.html,https://www.sec.gov/Archives/edgar/data/740664/000110465919074978/0001104659-19-074978-index.html,https://www.sec.gov/Archives/edgar/data/740664/000143774920026051/0001437749-20-026051-index.htm,https://www.sec.gov/Archives/edgar/data/740664/000143774922000928/0001437749-22-000928-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,403547,880000,1200000,1100000,557923,915538,3939299,2683896,4497322,4507219,4612935,3400566,1060838,7702908,9306454,1760816,5491768,11881000,14718000,7595000,5258000,6039000,16334000,12540000,15797000,13053000
32,Short-Term Investments,604186,640000,- -,2000000,2208558,1744851,- -,- -,- -,- -,2252589,4531680,6863711,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1007733,1520000,1200000,3100000,2766481,2660389,3939299,2683896,4497322,4507219,6865524,7932246,7924549,7702908,9306454,1760816,5491768,11881000,14718000,7595000,5258000,6039000,16334000,12540000,15797000,13053000
34,Net Receivables,703097,840000,900000,800000,1325935,1209995,1158439,1713618,1528035,2199331,2053402,1900029,2071349,2263265,2557822,2605965,5167012,3160000,2428000,3980000,4160000,3984000,4275000,12190000,5669000,13523000
35,Inventory,1861856,2250000,2500000,2400000,4165242,4746125,4143617,3455018,3789958,4180500,5250484,4955302,5949708,4984921,4607843,6189601,6984546,5995000,5259000,6928000,6022000,6109000,7113000,8245000,8586000,11179000
36,Other Current Assets,336109,330000,1400000,300000,340779,266914,331996,293679,444138,233356,404231,563695,759543,818562,1061287,5856824,1400920,1874000,1034000,1154000,1353000,661000,808000,685000,813000,2893000
37,Total Current Assets,3908795,4940000,6000000,6600000,8598437,8883423,9573351,8146211,10259453,11120406,14573641,15351272,16705149,15769656,17533406,16413206,19044246,22910000,23439000,19657000,16793000,16793000,28530000,33660000,30865000,40648000
38,PP&E,111809,120000,200000,100000,318853,557000,434823,328124,563040,465735,376146,255693,565860,565804,530327,2442738,1204298,1053000,829000,921000,828000,711000,559000,839000,2231000,2161000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200848,308479,347091,137328,- -,3076023,3076023,3076000,3076000,5913000,3219000,3219000,1340000,1340000,2467000,2467000
40,Intangible Assets,- -,- -,- -,- -,- -,163052,- -,- -,137328,314181,73333,114800,- -,27156,- -,2276171,2037213,1817000,1597000,5655000,4856000,4267000,2024000,1749000,4355000,3913000
41,Intangible Assets,- -,- -,- -,- -,- -,163052,- -,- -,137328,314181,274181,423279,347091,164484,- -,5352194,5113236,4893000,4673000,11568000,8075000,7486000,3364000,3089000,6822000,6380000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,946491,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,834000,389000
44,Other Non-Current Assets,4900,100000,100000,200000,175471,81471,137976,133755,110901,124817,95067,97914,149673,98256,99139,169808,101638,97000,88000,106000,141000,70000,49000,112000,70000,70000
45,Total Non-Current Assets,154709,220000,300000,300000,494324,801523,572799,461879,811269,904733,745394,776886,1062624,828544,1575957,7964740,6419172,6043000,5590000,12595000,9044000,8267000,3972000,4040000,9957000,9000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4063504,5160000,6300000,6900000,9092761,9684946,10146150,8608090,11070722,12025139,15319035,16128158,17767773,16598200,19109363,24377946,25463418,28953000,29029000,32252000,25837000,25060000,32502000,37700000,40822000,49648000
48,Accounts Payable,186250,150000,200000,100000,403530,107145,70806,181637,209956,334749,441203,205136,329509,224974,537850,521174,1429076,792000,861000,1493000,1138000,1356000,1342000,2406000,1475000,3504000
49,Short-Term Debt,- -,- -,500000,- -,- -,50000,44582,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2573000,832000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000,6000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,268015,300000,- -,300000,513186,278407,327271,328355,353100,377986,1323215,864564,993689,748214,1341363,2973675,2711400,1741000,1495000,2868000,2770000,2242000,3377000,3674000,2616000,5034000
53,Total Current Liabilities,454265,450000,700000,400000,916716,435552,442659,509992,563056,712735,1764418,1069700,1323198,973188,1879213,3494849,4140476,2584000,2362000,4361000,3908000,3598000,4719000,6080000,6664000,9370000
54,Long-Term Debt,- -,- -,- -,- -,- -,39163,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1724000,675000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,107800,40000,53000,106000,90618,70000,105700,50500,18800,1072202,1077157,950000,811000,1143000,409000,119000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,25700,- -,- -,- -,- -,- -,47665,217185,321030,297390,132867,15480,- -,- -,377000,128000,- -,- -,87000,370000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,64863,107800,40000,53000,106000,90618,117665,322885,371530,316190,1205069,1092637,950000,811000,1520000,537000,119000,- -,87000,2094000,675000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1509000,1507000
61,Total Liabilities,454265,450000,700000,400000,916716,500415,550459,549992,616056,818735,1855036,1187365,1646083,1344718,2195403,4699918,5233113,3534000,3173000,5881000,4445000,3717000,4719000,6167000,8758000,10045000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,27782,30000,- -,- -,34021,34410,34410,26927,29970,30825,32526,32860,32263,28483,29309,71105,69783,81000,83000,87000,88000,89000,93000,95000,98000,101000
64,Retained Earnings,166547,770000,1500000,2300000,3668867,4543376,4923060,5633805,6857936,7302596,8843268,9207571,9677617,8722552,9858686,8010701,8152999,9632000,8543000,7155000,1925000,1600000,6716000,9489000,9020000,15201000
65,Other Comprehensive Income/Loss,-377715,-1800000,-500000,-500000,-605164,-737279,-899504,-1057544,-1225680,-1441448,-1672813,-1866051,-2016951,-2224745,-2412070,-2619336,-1800371,-2206000,-2558000,-3230000,-3174000,-3462000,-3473000,-3761000,- -,- -
66,Other Total Stockholders Equity,3792625,5710000,4600000,4700000,5078321,5344024,5537725,3454910,4792440,5314431,6261018,7566413,8428761,8727192,9438035,14001941,13807894,17912000,19788000,22359000,22553000,23116000,24447000,25710000,22946000,- -
67,Total Stockholders Equity,3609239,4710000,5600000,6500000,8176045,9184531,9595691,8058098,10454666,11206404,13463999,14940793,16121690,15253482,16913960,19464411,20230305,25419000,25856000,26371000,21392000,21343000,27783000,31533000,32064000,39603000
68,Total Liabilities And Stockholders Equity,4063504,5160000,6300000,6900000,9092761,9684946,10146150,8608090,11070722,12025139,15319035,16128158,17767773,16598200,19109363,24164329,25463418,28953000,29029000,32252000,25837000,25060000,32502000,37700000,40822000,49648000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4063504,5160000,6300000,6900000,9092761,9684946,10146150,8608090,11070722,12025139,15319035,16128158,17767773,16598200,19109363,24377946,25463418,28953000,29029000,32252000,25837000,25060000,32502000,37700000,40822000,49648000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740664/000114420406005522/v035262_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420407003842/v063392_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420408007160/v101092_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420409004022/0001144204-09-004022-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420410004379/0001144204-10-004379-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420411001882/v207297_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420412004278/0001144204-12-004278-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420413003372/0001144204-13-003372-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420414002695/v364674_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420415004460/v398964_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420416077407/0001144204-16-077407-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420417004183/0001144204-17-004183-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420418003386/0001144204-18-003386-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420418065721/0001144204-18-065721-index.html,https://www.sec.gov/Archives/edgar/data/740664/000110465919074978/0001104659-19-074978-index.html,https://www.sec.gov/Archives/edgar/data/740664/000143774920026051/0001437749-20-026051-index.htm,https://www.sec.gov/Archives/edgar/data/740664/000143774922000928/0001437749-22-000928-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,561398,600000,800000,800000,1320516,874509,379684,710745,1224131,444660,1540672,1135223,1559233,655967,1220247,775738,2610574,3828000,1439000,994000,-4089000,382000,5846000,3521000,-81000,6181000
74,Depreciation and Amortization,109177,50000,400000,200000,168285,237816,185716,158040,168136,222435,271209,268707,211389,239777,214266,391633,599824,652000,592000,996000,1036000,877000,513000,563000,1014000,770000
75,Deferred Income Tax,-22000,-30000,- -,- -,-77300,124000,12700,-40800,7600,58000,-75457,-146243,-184700,8700,-166600,16940,-145311,312000,-60000,-166000,-307000,-290000,-79000,-43000,-790000,445000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153197,231000,312311,263935,232000,390000,232000,206000,214000,211000,317000,556000,769000
77,Change in Working Capital,-665772,1035470,810000,900000,1481721,766150,682821,-1494473,2060178,711274,2401552,1472349,1100379,-585483,857725,-2735836,1985413,5422230,751000,-5781000,-2411000,310000,10616000,3769000,-3379000,-8493000
78,Accounts Receivable,- -,-70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200026,-309835,750531,-2584752,1934000,732000,-400000,-107000,165000,-1360000,-6640000,6775000,-7882000
79,Inventory,-464537,-390000,-200000,100000,-752119,-540927,602508,688599,-202928,-336562,-1069984,429145,-994406,964787,129539,-1228728,-794945,-181000,517000,-205000,417000,-87000,-1570000,-657000,442000,-2592000
80,Accounts Payable,- -,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104535,312876,-302843,907902,-637000,69000,-354000,-355000,218000,306000,106000,-1040000,2030000
81,Other Working Capital,3454530,4490000,5300000,6200000,7681721,8447871,9130692,7636219,9696397,10407671,12809223,14281572,15381951,14796468,15654193,12918357,14903770,20326000,21077000,15296000,12885000,13195000,23811000,27580000,24201000,- -
82,Other Non-Cash Items,230000,-1105470,-1110000,-1000000,-3253692,-1497449,154287,1795925,-1996518,-1265087,-1956036,-996924,-1542107,1230965,146018,1362058,-2979492,-4905230,1382000,3893000,4298000,104000,-10892000,-10837000,7227000,-2794000
83,Cash Provided by Operating Activities,212803,550000,900000,900000,-360470,505026,1415208,1129437,1463527,171282,2181940,1733112,1144194,1703123,2502656,122844,2334943,5541000,4494000,168000,-1267000,1597000,6215000,-2710000,4547000,-3122000
84,CAPEX,-29414,-60000,-100000,- -,-258247,-182405,-40049,-51341,-162392,-118463,-141620,-93823,-461066,-217392,-151850,-368205,-590100,-281000,-148000,-204000,-384000,-171000,-266000,-538000,-235000,-227000
85,Acquisitions Net,- -,- -,- -,- -,- -,-147078,- -,- -,-510000,- -,- -,-166667,- -,- -,- -,-2800000,- -,- -,- -,-5132000,- -,- -,4200000,-458000,-3901000,- -
86,Purchases of Investments,-34733,- -,-500000,-900000,-236189,-1823221,-30910,- -,- -,- -,-5363610,-4832399,-11779828,-7015184,-5014406,-4647540,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2218647,1780598,- -,- -,- -,3116329,2548000,9447797,7401914,5967327,6076877,4094724,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-29414,-100000,- -,-100000,- -,- -,-56505,6921,22854,-215500,32250,- -,- -,-217392,-151850,-368205,-590100,-281000,-148000,-188000,26000,-171000,-503000,-538000,-235000,-227000
89,Cash Used for Investing Activites,-64147,-160000,-600000,-1000000,-494436,65943,1653134,-44420,-649538,-333963,-2356651,-2544889,-2793097,169338,801071,-1738868,3504624,-281000,-148000,-5320000,26000,-171000,3697000,-996000,-4136000,-227000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14446,-19500,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,312013,9375,- -,90695,999437,172578,280427,198155,190246,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,90000,- -,-100000,- -,-2358,- -,-2388248,- -,- -,- -,-600372,-532769,-1612592,- -,-102705,-1143243,- -,-104000,- -,-158000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196375,-394343,-94780,-84113,-2528971,-1386751,-2349000,-2302000,-2382000,-1141000,-707000,-730000,-748000,-388000,- -
94,Other Financing Activites,43601,- -,- -,- -,- -,-220371,-44581,-42867,- -,- -,- -,198000,46041,- -,283343,1294078,440879,3478000,897000,411000,203000,62000,1113000,660000,3234000,605000
95,Cash Used/Provided by Financing Activities,43601,90000,- -,-100000,312013,-213354,-44581,-2340420,999437,172578,280427,-400592,-690825,-1707372,199230,-1352044,-2108615,1129000,-1509000,-1971000,-1096000,-645000,383000,-88000,2846000,605000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,192257,470000,- -,-100000,-542893,357615,3023761,-1255403,1813426,9897,105716,-1212369,-2339728,165089,3502957,-2968068,3730952,6389000,2837000,-7123000,-2337000,781000,10295000,-3794000,3257000,-2744000
98,Cash at the End of Period,403547,870000,- -,1100000,557923,915538,3939299,2683896,4497322,4507219,4612935,3400566,1060838,1225927,4728884,1760816,5491768,11881000,14718000,7595000,5258000,6039000,16334000,12540000,15797000,13053000
99,Cash at the Beginning of Period,211290,400000,900000,1200000,1100816,557923,915538,3939299,2683896,4497322,4507219,4612935,3400566,1060838,1225927,4728884,1760816,5492000,11881000,14718000,7595000,5258000,6039000,16334000,12540000,15797000
100,Free Cash Flow,183389,490000,800000,900000,-618717,322621,1375159,1078096,1301135,52819,2040320,1639289,683128,1485731,2350806,-245361,1744843,5260000,4346000,-36000,-1651000,1426000,5949000,-3248000,4312000,-3349000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740664/000114420406005522/v035262_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420407003842/v063392_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420408007160/v101092_10ksb.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420409004022/0001144204-09-004022-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420410004379/0001144204-10-004379-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420411001882/v207297_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420412004278/0001144204-12-004278-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420413003372/0001144204-13-003372-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420414002695/v364674_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420415004460/v398964_10k.htm,https://www.sec.gov/Archives/edgar/data/740664/000114420416077407/0001144204-16-077407-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420417004183/0001144204-17-004183-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420418003386/0001144204-18-003386-index.html,https://www.sec.gov/Archives/edgar/data/740664/000114420418065721/0001144204-18-065721-index.html,https://www.sec.gov/Archives/edgar/data/740664/000110465919074978/0001104659-19-074978-index.html,https://www.sec.gov/Archives/edgar/data/740664/000143774920026051/0001437749-20-026051-index.htm,https://www.sec.gov/Archives/edgar/data/740664/000143774922000928/0001437749-22-000928-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
