,https://roic.ai/company/ODP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,10500000,32400000,72500000,142500000,276600000,357300000,515300000,834000000,1018400000,1205600000,1363000000,2130300000,2535000000,3082176000,2815677000,2834262000,3403889000,3726162000,4043981000,3934157000,4019297000,4058528000,3631014000,3343133000,3392692000,604513000,2560000000,3560000000,3042000000,2242000000,2022000000,2218000000,2101000000,1832000000,1558000000
11,COGS and Expenses,36000000,130700000,307200000,609900000,1262800000,1670800000,2466900000,4073200000,5069100000,5829200000,6414500000,8480100000,9816700000,11356164000,10811775000,10866780000,11888309000,13034722000,13930902000,14277298000,15043936000,14548313000,12383297000,11619090000,11455779000,8052580000,11176000000,15880000000,14025000000,10555000000,9801000000,10682000000,10284000000,9410000000,8160000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11502000,13058000,18509000,14196000,20042000,22204000,9828000,9440000,10013000,2396000,4663000,1231000,2240000,5000000,24000000,24000000,22000000,22000000,25000000,23000000,4000000,1000000
13,Interest Expense (Gain),- -,100000,100000,500000,2400000,1500000,10600000,18100000,22600000,26100000,- -,22400000,- -,33901000,44302000,46195000,54805000,61108000,32380000,40830000,63080000,68286000,65628000,58498000,33223000,68937000,69000000,89000000,93000000,80000000,62000000,121000000,89000000,42000000,28000000
14,Depreciation and Amortization,200000,1000000,2800000,6600000,15300000,20800000,30400000,49600000,64800000,82500000,97000000,140900000,168600000,205710000,199434000,200747000,248345000,269166000,268098000,279005000,281383000,254099000,224115000,208319000,211410000,203189000,209000000,313000000,283000000,181000000,159000000,192000000,204000000,189000000,146000000
15,EBITDA,-2100000,4900000,12600000,23000000,44600000,85800000,147500000,246700000,309300000,321300000,360400000,552000000,582400000,332070000,557866000,725372000,722461000,791507000,661993000,1047166000,803096000,-1255198000,-19150000,211724000,277255000,196712000,405000000,60000000,423000000,570000000,555000000,476000000,439000000,-64000000,10000000
16,EBITDA ratio,-0.0625,0.0371,0.0401,0.0368,0.0343,0.0495,0.0572,0.0578,0.0582,0.0529,0.0537,0.0613,0.0567,0.0287,0.0500,0.0639,0.0585,0.0584,0.0464,0.0698,0.0517,-0.0866,-0.0016,0.0182,0.0241,0.0184,0.0360,0.0037,0.0292,0.0517,0.0542,0.0432,0.0412,-0.0066,0.0012
17,Operating Income,-2400000,1300000,7400000,15900000,38000000,62200000,112600000,193000000,244100000,239400000,303000000,517600000,446600000,213532000,354431000,499708000,470257000,529977000,348042000,733483000,483601000,-1545041000,-265005000,-37291000,33754000,-30841000,-205000000,-275000000,115000000,531000000,341000000,254000000,191000000,-252000000,234000000
18,Operating Income ratio,-0.0714,0.0098,0.0235,0.0254,0.0292,0.0359,0.0437,0.0452,0.0459,0.0394,0.0451,0.0575,0.0435,0.0185,0.0318,0.0440,0.0381,0.0391,0.0244,0.0489,0.0311,-0.1066,-0.0218,-0.0032,0.0029,-0.0029,-0.0182,-0.0171,0.0079,0.0482,0.0333,0.0231,0.0179,-0.0260,0.0276
19,Total Other Income Expenses (Gains),100000,2500000,2300000,- -,-11100000,-100000,-6100000,-14000000,-22200000,-26700000,-39600000,-128900000,-32800000,-121073000,-40301000,-20503000,-25217000,-68744000,13473000,-6152000,-24968000,-32542000,-46147000,-19384000,-1135000,-44582000,332000000,-65000000,-68000000,-72000000,-42000000,-96000000,-45000000,-43000000,-3000000
20,Income Before Tax,- -,3800000,9700000,15900000,26900000,62100000,106500000,179000000,221900000,212700000,263400000,388700000,413800000,92459000,314130000,479205000,445040000,461233000,361515000,727331000,458633000,-1577583000,-311152000,-56675000,32619000,-75423000,127000000,-340000000,47000000,459000000,299000000,158000000,146000000,-295000000,231000000
21,Income Before Tax Ratio,- -,0.0288,0.0308,0.0254,0.0207,0.0358,0.0413,0.0420,0.0418,0.0350,0.0392,0.0432,0.0403,0.0080,0.0282,0.0422,0.0360,0.0340,0.0253,0.0485,0.0295,-0.1088,-0.0256,-0.0049,0.0028,-0.0071,0.0113,-0.0211,0.0032,0.0416,0.0292,0.0143,0.0137,-0.0304,0.0273
22,Income Tax expense (Gain),- -,700000,3800000,6200000,12500000,24300000,43100000,74000000,89500000,83700000,103700000,155500000,156200000,43127000,113087000,167722000,143016000,125729000,87723000,211196000,63018000,-98645000,287572000,-10470000,-63072000,1697000,147000000,12000000,39000000,-220000000,153000000,59000000,47000000,24000000,44000000
23,Net Income,-2300000,3100000,5900000,9700000,14400000,39200000,63400000,105000000,132400000,129000000,159700000,233200000,257600000,49332000,201043000,310708000,276295000,335504000,273792000,516135000,395615000,-1478938000,-596465000,-44623000,95694000,-77111000,-20000000,-354000000,8000000,529000000,181000000,104000000,99000000,-319000000,-208000000
24,Net Income ratio,-0.0685,0.0235,0.0188,0.0155,0.0111,0.0226,0.0246,0.0246,0.0249,0.0213,0.0238,0.0259,0.0251,0.0043,0.0180,0.0274,0.0224,0.0247,0.0192,0.0344,0.0255,-0.1020,-0.0491,-0.0038,0.0083,-0.0072,-0.0018,-0.0220,0.0006,0.0480,0.0177,0.0094,0.0093,-0.0329,-0.0246
25,EPS,-0.70,0.50,0.60,0.90,0.80,1.90,3.30,4.60,5.67,5.40,6.73,6.33,7.10,1.60,6.70,10.10,8.90,10.80,8.80,18.30,14.50,-54.20,-23.00,-3.00,2.20,-3.90,-2.90,-6.60,0.10,9.80,3.50,1.90,1.80,-6.05,-3.93
26,EPS Diluted,-0.70,0.50,0.60,0.90,0.80,1.90,3.20,4.60,5.53,5.33,6.47,6.07,6.90,1.60,6.60,9.80,8.80,10.60,8.70,17.90,14.30,-54.20,-23.00,-3.00,2.20,-3.90,-2.90,-6.60,0.10,9.60,3.40,1.90,1.80,-6.05,-3.93
27,Weighted Average Shares Outstanding,2408200,6200000,9833333,10777778,18000000,20631579,19212121,22826087,23364706,23888889,23717822,36555556,36281690,30832500,30006418,30763168,31044382,31065185,31112727,28204098,27283793,27277600,27282800,27555700,27791800,27972700,31800000,53636364,54892003,53979592,51714286,54736842,55000000,52727273,53000000
28,Weighted Average Shares Outstanding Diluted,2408200,6200000,9833333,10777778,18000000,20631579,19812500,22826087,23927711,24187500,24695876,38255814,37333333,30832500,30461061,31704898,31397159,31651321,31470345,28834358,27665385,27277600,31308200,35629300,35679700,36255500,31800000,53636364,54892003,55104167,53235294,54736842,55000000,52727273,55000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800240/000156459021008074/0001564590-21-008074-index.htm,https://www.sec.gov/Archives/edgar/data/800240/000156459022006232/0001564590-22-006232-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3100000,5100000,28400000,8100000,40200000,130200000,138500000,32400000,62000000,51400000,199600000,704500000,218800000,151500000,563400000,877100000,790900000,793700000,703197000,173600000,223000000,155700000,659900000,627500000,570681000,670800000,955000000,1071000000,860000000,763000000,622000000,658000000,698000000,729000000,514000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,- -,- -,- -,6400000,100200000,161100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3100000,5100000,28400000,8100000,40200000,130200000,138500000,32400000,62000000,51400000,199600000,714900000,218800000,151500000,563400000,883500000,891100000,954800000,703397000,173600000,223000000,155700000,659900000,627500000,570681000,670800000,955000000,1071000000,860000000,763000000,622000000,658000000,698000000,729000000,514000000
34,Net Receivables,500000,2200000,13100000,15300000,35900000,62000000,165200000,266600000,380400000,401900000,494900000,721400000,849500000,896300000,781500000,771600000,1112400000,1303900000,1232107000,1480300000,1511700000,1255700000,1121200000,963800000,862831000,803900000,1333000000,1264000000,746000000,687000000,931000000,885000000,1642000000,631000000,495000000
35,Inventory,11500000,42800000,101000000,178600000,337900000,456300000,643800000,936000000,1258400000,1324500000,1273800000,1258400000,1436900000,1420800000,1259500000,1305600000,1336300000,1408800000,1360274000,1539700000,1717700000,1331600000,1252900000,1233700000,1146974000,1050600000,1812000000,1638000000,1406000000,1279000000,1093000000,1065000000,1032000000,930000000,859000000
36,Other Current Assets,200000,800000,1600000,4800000,9200000,15500000,30700000,39200000,30200000,43800000,52300000,85700000,125900000,230500000,201800000,249000000,236900000,248700000,234284000,248900000,263300000,379400000,172300000,202900000,163646000,170900000,296000000,158000000,1048000000,244000000,225000000,75000000,75000000,65000000,521000000
37,Total Current Assets,15300000,50900000,144100000,206800000,423200000,664000000,978200000,1274200000,1731000000,1821600000,2020600000,2780400000,2631100000,2699100000,2806200000,3209700000,3576700000,3916200000,3530062000,3442500000,3715700000,3122400000,3206300000,3027900000,2744132000,2696200000,4396000000,4131000000,4060000000,2973000000,2871000000,2683000000,3447000000,2355000000,2389000000
38,PP&E,4200000,13700000,37200000,67200000,130200000,168500000,262100000,397200000,565100000,671600000,700700000,979200000,1145600000,1119300000,1110000000,1118100000,1244300000,1463000000,1311737000,1425000000,1589000000,1557300000,1277700000,1157000000,1067040000,856300000,1309000000,963000000,665000000,601000000,725000000,763000000,2092000000,1746000000,1413000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,195300000,190100000,184700000,228000000,240200000,220000000,249600000,257800000,1004100000,1049700000,- -,1198900000,1282500000,19400000,19400000,19400000,61899000,64300000,398000000,391000000,363000000,363000000,851000000,914000000,944000000,609000000,464000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,200500000,200400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,881182000,42800000,108000000,28300000,25300000,21800000,35223000,16800000,113000000,72000000,53000000,33000000,448000000,422000000,388000000,357000000,54000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,200500000,200400000,195300000,190100000,184700000,228000000,240200000,220000000,249600000,257800000,1004100000,1049700000,881182000,1241700000,1390500000,47700000,44700000,41200000,97122000,81100000,511000000,463000000,416000000,396000000,1299000000,1336000000,1332000000,966000000,518000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168600000,205800000,- -,241800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,11300000,39800000,67400000,82500000,103300000,88200000,64100000,64700000,244600000,342300000,- -,403300000,576300000,585900000,654900000,514200000,47791000,431500000,719000000,541000000,421000000,466000000,336000000,300000000,176000000,162000000,219000000
44,Other Non-Current Assets,100000,600000,900000,1100000,5900000,15900000,23100000,32200000,28500000,17200000,7700000,42900000,156000000,69700000,101700000,115500000,75500000,-3800000,375544000,44900000,-15000000,-45100000,-461900000,-376700000,294899000,-296100000,542000000,659000000,880000000,1104000000,1092000000,1084000000,264000000,329000000,326000000
45,Total Non-Current Assets,4300000,14300000,38100000,68300000,136100000,184400000,485700000,629800000,800200000,918700000,960500000,1332600000,1645100000,1497200000,1525400000,1556100000,2568500000,2851200000,2568463000,3114900000,3540800000,2145800000,1684000000,1541500000,1506852000,1314600000,3081000000,2626000000,2382000000,2567000000,3452000000,3483000000,3864000000,3203000000,2476000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19600000,65200000,182200000,275100000,559300000,848400000,1463900000,1904000000,2531200000,2740300000,2981100000,4113000000,4276200000,4196300000,4331600000,4765800000,6145200000,6767400000,6098525000,6557400000,7256500000,5268200000,4890300000,4569400000,4250984000,4010800000,7477000000,6757000000,6442000000,5540000000,6323000000,6166000000,7311000000,5558000000,4865000000
48,Accounts Payable,- -,- -,67000000,124300000,197600000,237400000,393200000,609900000,841600000,782000000,868700000,1027600000,1239300000,1137000000,1061000000,1174000000,1323200000,1650300000,1324198000,1561800000,1591200000,1251800000,1081400000,1080300000,993636000,934900000,1426000000,1340000000,987000000,893000000,892000000,1110000000,1026000000,919000000,950000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47270000,40100000,200300000,176600000,44100000,53700000,36401000,2200000,- -,1000000,- -,2000000,- -,- -,- -,24000000,20000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132085000,133266000,- -,135448000,3491000,8803000,6683000,2568000,- -,5310000,4000000,4000000,13000000,- -,5000000,2000000,8000000,12000000,11000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169542000,133282000,- -,124345000,576254000,196192000,16637000,33319000,- -,33421000,35000000,32000000,24000000,- -,305000000,52000000,52000000,- -,- -
52,Other Current Liabilities,10000000,35800000,14200000,22800000,45800000,69200000,144000000,173000000,180400000,345800000,269100000,503400000,704700000,771300000,1040500000,818000000,784558000,834818000,1097283000,1243655000,605646000,1001108000,1286063000,1176081000,1017400000,1075479000,1461000000,1517000000,1732000000,1136000000,849000000,1023000000,2016000000,1150000000,1295000000
53,Total Current Liabilities,10000000,35800000,81200000,147100000,243400000,306600000,537200000,786900000,1022000000,1127800000,1137800000,1531000000,1944000000,1908300000,2101500000,1992000000,2277300000,2618400000,2468751000,2969900000,2973400000,2625700000,2428200000,2343400000,2047437000,2046000000,2922000000,2890000000,2743000000,2031000000,2046000000,2185000000,3094000000,2093000000,2265000000
54,Long-Term Debt,200000,300000,100000,14500000,6500000,154600000,366500000,393800000,494900000,416800000,447000000,470700000,321100000,598500000,317600000,412000000,829300000,583700000,569098000,570800000,607500000,688800000,662700000,659800000,648313000,485300000,1555000000,1509000000,1447000000,1010000000,1712000000,1444000000,575000000,1345000000,981000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2300000,4000000,4800000,5500000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,244600000,342266000,321455000,403289000,576254000,585861000,654851000,514218000,452313000,34501000,719000000,621000000,459000000,361000000,336000000,300000000,176000000,197000000,159000000
57,Other Non-Current Liabilities,11900000,300000,200000,- -,- -,- -,- -,- -,11300000,39800000,67400000,82500000,103400000,88300000,64100000,64700000,- -,-66000,- -,16011000,15546000,4939000,2849000,582000,363636000,397099000,218000000,116000000,190000000,286000000,109000000,110000000,1292000000,43000000,22000000
58,Total Non-Current Liabilities,12100000,600000,300000,16800000,10500000,159400000,372000000,401800000,506200000,456600000,514400000,553200000,424500000,686800000,381700000,476700000,1073900000,925900000,890553000,990100000,1199300000,1279600000,1320400000,1174600000,1464262000,916900000,2492000000,2246000000,2096000000,1657000000,2157000000,1855000000,2044000000,1585000000,1162000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237578000,230000000,221000000,205000000,173000000,64000000,72000000,1285000000,1069000000,805000000
61,Total Liabilities,22100000,36400000,81500000,163900000,253900000,466000000,909200000,1188700000,1528200000,1584400000,1652200000,2084200000,2368500000,2595100000,2483200000,2468700000,3351200000,3544300000,3359304000,3960000000,4172700000,3905300000,3748600000,3518000000,3511699000,2962900000,5414000000,5136000000,4839000000,3688000000,4203000000,4040000000,5138000000,3678000000,3427000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386401000,- -,- -,- -,- -,18000000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1600000,1600000,2500000,3800000,3800000,3900000,3900000,4000000,4000000,4198000,4300000,4300000,2800000,2800000,2800000,2864000,2900000,5000000,6000000,6000000,6000000,6000000,6000000,6000000,1000000,1000000
64,Retained Earnings,-3300000,500000,6900000,16600000,25200000,64400000,127800000,265700000,398100000,527100000,686800000,1209700000,1467400000,1516700000,1717700000,2028400000,2304700000,2593300000,2867067000,3370500000,3783800000,6300000,-590200000,-634800000,-539124000,-616200000,-636000000,-990000000,-982000000,-453000000,-273000000,-173000000,-89000000,-409000000,-617000000
65,Other Comprehensive Income/Loss,-300000,-1200000,-4000000,-10300000,-31700000,-51500000,-77700000,-127100000,-1600000,-2200000,-11000000,-42000000,23400000,-112600000,-147800000,-200000,426800000,675200000,141000000,295000000,496000000,217000000,238000000,224000000,195000000,213000000,272000000,107000000,30000000,-129000000,-78000000,-99000000,-66000000,-32000000,-6000000
66,Other Total Stockholders Equity,1100000,29500000,97800000,104900000,311900000,369500000,504600000,576700000,604900000,629400000,651500000,858700000,413100000,193400000,274600000,265012000,58587000,-49452000,-273044000,-1059689000,-1200256000,1136850000,1135815000,1103496000,1080331000,1061741000,2422000000,2498000000,2549000000,2428000000,2465000000,2392000000,2322000000,2320000000,- -
67,Total Stockholders Equity,-2500000,28800000,100700000,111200000,305400000,382400000,554700000,715300000,1003000000,1155900000,1328900000,2028900000,1907700000,1601300000,1848400000,2297112000,2794087000,3223048000,2739221000,2610111000,3083844000,1362950000,786415000,695496000,739071000,1047842000,2063000000,1621000000,1603000000,1852000000,2138000000,2126000000,2173000000,1880000000,1438000000
68,Total Liabilities And Stockholders Equity,19600000,65200000,182200000,275100000,559300000,848400000,1463900000,1904000000,2531200000,2740300000,2981100000,4113100000,4276200000,4196400000,4331600000,4765812000,6145287000,6767348000,6098525000,6570111000,7256544000,5268250000,4535015000,4213496000,4250770000,4010742000,7477000000,6757000000,6442000000,5540000000,6341000000,6166000000,7311000000,5558000000,4865000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,- -,-12000,-87000,52000,- -,-12711000,-44000,-50000,355285000,355904000,214000,58000,- -,- -,- -,- -,-18000000,- -,- -,- -,- -
70,Total Liabilities & Equity,19600000,65200000,182200000,275100000,559300000,848400000,1463900000,1904000000,2531200000,2740300000,2981100000,4113000000,4276200000,4196300000,4331600000,4765800000,6145200000,6767400000,6098525000,6557400000,7256500000,5268200000,4890300000,4569400000,4250984000,4010800000,7477000000,6757000000,6442000000,5540000000,6323000000,6166000000,7311000000,5558000000,4865000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/800240/000156459021008074/0001564590-21-008074-index.htm,https://www.sec.gov/Archives/edgar/data/800240/000156459022006232/0001564590-22-006232-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3100000,5900000,9700000,14400000,39200000,63400000,105000000,132400000,129000000,159700000,233200000,257600000,49332000,201043000,310708000,276295000,335504000,273792000,516135000,395615000,-1478938000,-596465000,-44623000,95694000,-77111000,-20000000,-354000000,8000000,529000000,181000000,104000000,99000000,-319000000,-208000000
74,Depreciation and Amortization,- -,1000000,2800000,6600000,15300000,20800000,30400000,49600000,64800000,82500000,97000000,140900000,168600000,205710000,199434000,200747000,248345000,269166000,268098000,279005000,281383000,254099000,224115000,208319000,211410000,203189000,209000000,313000000,283000000,181000000,159000000,192000000,204000000,189000000,146000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38200000,-400000,-81814000,196000,-9994000,33052000,10889000,-109946000,-8215000,-1022000,-108099000,325886000,15551000,-14999000,667000,8000000,- -,7000000,-231000000,137000000,40000000,100000000,9000000,-6000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39561000,33316000,20840000,13895000,13579000,38000000,38000000,44000000,40000000,28000000,27000000,33000000,41000000,38000000
77,Change in Working Capital,- -,- -,9800000,47800000,-3200000,120100000,177600000,83600000,46300000,221700000,-15200000,189000000,366600000,-562300000,103700000,-86100000,513000000,81700000,-1600000,-236489000,-588711000,269700000,-245600000,281400000,-93600000,12195000,-46495000,823800000,-233000000,76000000,-375000000,-117000000,-327000000,-145000000,-57000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44052000,-2000000,-3000000,47000000,55000000,15000000,43000000,- -,- -,- -
79,Inventory,- -,- -,-58200000,-77600000,-107100000,-118400000,-150200000,-272900000,-322400000,-96100000,7400000,106200000,-250000000,-66348000,81651000,-99487000,-52419000,-114160000,-49096000,-176251000,-191685000,249849000,37583000,-87724000,53902000,52733000,-34000000,-1000000,-139000000,56000000,160000000,-2000000,19000000,84000000,35000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131547000,- -,- -,- -,- -,- -,- -,- -,- -,-312000000
81,Other Working Capital,- -,5300000,15100000,62900000,59700000,179800000,357400000,441000000,487300000,709000000,693800000,882800000,1249400000,687100000,790800000,704700000,1217700000,1299400000,1297800000,1061311000,472600000,742300000,496700000,778100000,684500000,696695000,650200000,1474000000,1241000000,1317000000,942000000,825000000,498000000,353000000,- -
82,Other Non-Cash Items,- -,-4100000,-35800000,-65700000,-68200000,-191500000,-189200000,-192100000,-217500000,-320200000,144900000,135100000,-419200000,705554000,242793000,286536000,-418952000,-51394000,205526000,276639000,324120000,1491933000,555187000,-278361000,-12733000,26813000,-295505000,-664800000,17000000,-225000000,328000000,381000000,257000000,710000000,433000000
83,Cash Provided by Operating Activities,- -,- -,-17300000,-1600000,-41700000,-11400000,82200000,46100000,26000000,113000000,386400000,660000000,373200000,316482000,747166000,701897000,651740000,645865000,635870000,827075000,411385000,468256000,296439000,203126000,199667000,179332000,-107000000,156000000,126000000,370000000,458000000,627000000,366000000,485000000,346000000
84,CAPEX,- -,- -,-24500000,-36300000,-53900000,-62500000,-102400000,-171800000,-219900000,-176900000,-94200000,-255000000,-396000000,-267728000,-207287000,-202218000,-211941000,-391222000,-260773000,-343415000,-460571000,-368612000,-130847000,-169452000,-130317000,-120260000,-137000000,-123000000,-163000000,-111000000,-183000000,-187000000,-150000000,-68000000,-73000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45604000,- -,- -,-7900000,- -,-248319000,-48036000,-102752000,- -,-10952000,-72667000,- -,1132000000,43000000,-9000000,- -,-875000000,-81000000,-22000000,-30000000,-29000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36700000,-154400000,-30112000,- -,-8586000,-100000000,-67975000,-2037015000,-961450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44300000,114100000,54006000,- -,- -,6435000,5000000,2196962000,961650000,- -,- -,- -,- -,- -,- -,35000000,43000000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-24100000,- -,- -,- -,- -,-5300000,-15200000,4469000,20947000,11338000,-874331000,35491000,48629000,106381000,136082000,-197380000,25321000,-11116000,-84491000,-29727000,-139000000,-114000000,-65000000,-154000000,-184000000,-102000000,-97000000,766000000,-50000000
