,https://roic.ai/company/PBF,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,12029000,- -,- -,39664000,5621000,2378000,- -,100200000,76000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120100000,112700000
51,Deferred Revenue,- -,66339000,189234000,237084000,31387000,25886000,24438000,22507000,25066000,25680000,21900000,51200000,46200000
52,Other Current Liabilities,- -,367765000,1184826000,1005933000,1198801000,1181668000,1155415000,1458469000,1809708000,1618025000,1885900000,1893100000,2725800000
53,Total Current Liabilities,75000,470406000,1660127000,1603074000,1644510000,1542822000,1495506000,2056547000,2418946000,2134515000,2509200000,2451500000,3759700000
54,Long-Term Debt,- -,323814000,800851000,729980000,735547000,1223790000,1808553000,2108570000,2126981000,1931316000,2017300000,5477900000,4936800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,45699000,33155000,40365000,96900000,99600000,111400000
57,Other Non-Current Liabilities,381000,21512000,52516000,197103000,318495000,736360000,705208000,840427000,635962000,650740000,923500000,268500000,300700000
58,Total Non-Current Liabilities,381000,345326000,853367000,927083000,1054042000,1960150000,2513761000,2994696000,2796098000,2622421000,3037700000,5846000000,5348900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,36559000,31802000,- -,59048000,- -,377700000,1019600000,775400000
61,Total Liabilities,456000,815732000,2513494000,2530157000,2698552000,3502972000,4009267000,5051243000,5215044000,4756936000,5546900000,8297500000,9108600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10376000,516231000,- -,24000,40000,88000,93000,94000,95000,105000,100000,100000,100000
64,Retained Earnings,-12329000,-56521000,186150000,1956000,3579000,-123271000,-83454000,-44852000,236786000,225838000,401200000,-1027100000,-796100000
65,Other Comprehensive Income/Loss,-62000,-1260000,-41228000,-106175000,-7000000,-24000000,-23000000,-24000000,-25000000,-22000000,-8000000,-9100000,17300000
66,Other Total Stockholders Equity,44000,211000,962693000,523949000,657511000,1365396000,1753658000,2093802000,2124773000,2472522000,2646300000,2678900000,2704900000
67,Total Stockholders Equity,-1971000,458661000,1107615000,419754000,654130000,1218213000,1647297000,2025044000,2336654000,2676465000,3039600000,1642800000,1926200000
68,Total Liabilities And Stockholders Equity,-1515000,1274393000,3621109000,2949911000,3352682000,4721185000,5656564000,7076287000,7551698000,7433401000,8586500000,9940300000,11034800000
69,Minority Interest,20665000,- -,- -,1303791000,1061126000,475103000,448560000,545640000,566295000,572014000,545900000,559500000,606600000
70,Total Liabilities & Equity,19150000,1274393000,3621109000,4253702000,4413808000,5196288000,6105124000,7621927000,8117993000,8005415000,9132400000,10499800000,11641400000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534504/000119312513084119/0001193125-13-084119-index.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450414000011/pbf-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450415000015/pbf-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450416000118/0001534504-16-000118-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450417000017/0001534504-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450418000016/0001534504-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450419000012/0001534504-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450420000030/0001534504-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450421000008/0001534504-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450422000007/0001534504-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,6100000,-44357000,242671000,1956000,39540000,-38237000,146401000,170811000,415517000,128315000,319400000,-1392400000,231000000
74,Depreciation and Amortization,43000,1530000,56919000,97650000,118001000,188209000,207004000,232948000,299860000,378596000,447500000,581100000,483800000
75,Deferred Income Tax,- -,- -,- -,- -,16681000,-49387000,-5607000,244758000,313833000,32741000,103700000,-371900000,60000000
76,Stock Based Compensation,- -,2300000,2516000,2954000,3753000,7181000,13497000,22656000,26848000,25969000,37300000,34200000,35600000
77,Change in Working Capital,15000,- -,90948000,176654000,418453000,-148834000,247853000,722656000,-175797000,33305000,-281596000,212083000,268600000
78,Accounts Receivable,67000,-36438000,-279315000,-187544000,-92851000,45378000,97636000,-165416000,-332377000,234345000,-116100000,322100000,-764700000
79,Inventory,- -,14126000,-512054000,-80097000,45991000,-394031000,-271892000,236602000,-54705000,-3312000,-6300000,392200000,-149300000
80,Accounts Payable,22000,23294000,249765000,73990000,42236000,-67025000,-24291000,217566000,34604000,-111667000,137500000,-206600000,480700000
81,Other Working Capital,18775000,18775000,109723000,286377000,704830000,555996000,803849000,1526505000,1350708000,1384013000,1102417000,1314500000,-79800000
82,Other Non-Cash Items,-11991000,39319000,-143772000,533219000,-305099000,497393000,-48724000,-741895000,-194400000,239012000,307196000,305317000,-601700000
83,Cash Provided by Operating Activities,-5833000,-1208000,249282000,812433000,291329000,456325000,560424000,651934000,685861000,837938000,933500000,-631600000,477300000
84,CAPEX,-70000,-501304000,-512060000,-175900000,-318394000,-476389000,-353964000,-298737000,-306681000,-317459000,-404900000,-196200000,-249100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-565000000,-1073000000,-10000000,-133000000,- -,-1176200000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1918637000,-2067286000,-1909965000,-75036000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1683708000,2067983000,2104209000,115060000,- -,- -,- -,- -
88,Other Investing Activites,-8000,-8000,-227133000,-43407000,5120000,47711000,106154000,-216442000,-410354000,-235138000,-307700000,345900000,-139400000
89,Cash Used for Investing Activites,-78000,-501312000,-739193000,-219307000,-313274000,-663607000,-812113000,-1393935000,-687011000,-685597000,-712600000,-1026500000,-388500000
90,Debt Repayment,- -,- -,-520046000,-1184597000,-1435000000,-520925000,-517738000,-492027000,-1407216000,-415241000,-1458000000,-1278900000,-272000000
91,Common Stock Issued,- -,- -,- -,579058000,- -,340957000,344000000,413678000,- -,322104000,132500000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-571160000,- -,-142731000,-8073000,-743000,-1038000,-8215000,-4900000,-1600000,- -
93,Dividends Paid,-8000,- -,- -,-160965000,-195662000,-183197000,-148800000,-172239000,-181580000,-189168000,-209200000,-82200000,-39700000
94,Other Financing Activites,- -,639206000,904666000,980256000,1443693000,1034081000,1128747000,795286000,1417731000,162444000,1536300000,3815400000,-45100000
95,Cash Used/Provided by Financing Activities,-8000,639206000,384620000,-357408000,-186969000,528185000,798136000,543955000,-172103000,-128076000,-3300000,2452700000,-356800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-5919000,136686000,-105291000,235718000,-208914000,320903000,546447000,-198046000,-173253000,24265000,217600000,794600000,-268000000
98,Cash at the End of Period,18771000,155457000,50166000,285884000,76970000,397873000,944320000,746274000,573021000,597286000,814900000,1609500000,1341500000
99,Cash at the Beginning of Period,24690000,18771000,155457000,50166000,285884000,76970000,397873000,944320000,746274000,573021000,597300000,814900000,1609500000
100,Free Cash Flow,-5903000,-502512000,-262778000,636533000,-27065000,-20064000,206460000,353197000,379180000,520479000,528600000,-827800000,228200000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534504/000119312513084119/0001193125-13-084119-index.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450414000011/pbf-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450415000015/pbf-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450416000118/0001534504-16-000118-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450417000017/0001534504-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450418000016/0001534504-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450419000012/0001534504-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450420000030/0001534504-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1534504/000153450421000008/0001534504-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1534504/000153450422000007/0001534504-22-000007-index.htm
102,false,,,,,,,,,,,,,
