,https://roic.ai/company/CSWI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1624794/000119312516616636/d179685d10k.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479417000014/q4201710-kdocument.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479418000009/fy18201810-kdocument.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479419000021/wfx-20190331.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479420000051/cswi-20200331.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479421000031/0001624794-21-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,15411000,20448000,25987000,23146000,11706000,26651000,18338000,10088000
32,Short-Term Investments,- -,- -,- -,14264000,9248000,13278000,1776000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,29675000,29696000,39265000,24922000,11706000,26651000,18338000,10088000
34,Net Receivables,- -,- -,- -,51515000,52209000,52637000,63782000,63383000,66136000,74880000,96695000
35,Inventory,- -,- -,- -,39111000,45315000,51634000,50401000,42974000,51429000,53753000,98086000
36,Other Current Assets,72400000,85700000,77200000,8651000,7789000,11985000,7178000,9504000,7051000,3074000,9684000
37,Total Current Assets,- -,- -,- -,128952000,135009000,155521000,146283000,127567000,151267000,150045000,214553000
38,PP&E,- -,- -,- -,59468000,56837000,64357000,63897000,54473000,53639000,73561000,144261000
39,Goodwill,- -,- -,- -,35318000,40645000,67757000,80863000,81764000,86295000,91686000,218795000
40,Intangible Assets,49500000,55500000,75900000,41315000,40997000,88727000,90610000,53054000,50466000,46185000,283060000
41,Intangible Assets,49500000,55500000,75900000,76633000,81642000,156484000,171473000,134818000,136761000,137871000,501855000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,2938000,- -,- -,7636000,- -,- -,1462000
44,Other Non-Current Assets,- -,- -,- -,12767000,10095000,15898000,16011000,16322000,10965000,7768000,12826000
45,Total Non-Current Assets,- -,- -,- -,148868000,151512000,236739000,251381000,213249000,201365000,219200000,660404000
46,Other Assets,166200000,196000000,236500000,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,166200000,196000000,236500000,277820000,286521000,392260000,397664000,340816000,352632000,369245000,874957000
48,Accounts Payable,- -,- -,- -,- -,- -,9912000,14419000,16826000,19024000,21978000,32444000
49,Short-Term Debt,- -,- -,9500000,13764000,13561000,561000,561000,561000,561000,3617000,8624000
50,Tax Payable,- -,- -,- -,- -,- -,517000,923000,1509000,1425000,1279000,5348000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2892000,1463000
52,Other Current Liabilities,- -,- -,- -,24304000,25057000,21090000,22756000,27467000,29587000,30659000,40217000
53,Total Current Liabilities,- -,- -,9500000,38068000,38618000,31563000,37736000,44854000,49172000,59146000,82748000
54,Long-Term Debt,- -,6100000,13800000,31333000,13143000,89121000,72646000,23459000,30898000,10337000,298485000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1478000,- -,3793000,3090000,2360000,3256000,3848000,79280000
57,Other Non-Current Liabilities,17700000,- -,- -,10755000,30159000,9773000,11754000,4378000,5620000,19173000,2431000
58,Total Non-Current Liabilities,- -,6100000,13800000,43566000,43302000,102687000,87490000,30197000,39774000,33358000,380196000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,18235000,64772000
61,Total Liabilities,- -,- -,- -,81634000,81920000,134250000,125226000,75051000,88946000,92504000,462944000
62,Preferred Stock,- -,- -,- -,1000000,1000000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,12000,12000,156000,157000,158000,158000,159000,161000
64,Retained Earnings,- -,- -,- -,187373000,208784000,233955000,245026000,233650000,277588000,315078000,347234000
65,Other Comprehensive Income/Loss,- -,- -,- -,2497000,-10293000,-7698000,-10435000,-7475000,-10729000,-11446000,-5996000
66,Other Total Stockholders Equity,148500000,160000000,176500000,5304000,5098000,31597000,37690000,39432000,-3331000,-27050000,70614000
67,Total Stockholders Equity,148500000,160000000,176500000,196186000,204601000,258010000,272438000,265765000,263686000,276741000,412013000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,277820000,286521000,392260000,397664000,340816000,352632000,369245000,874957000
69,Minority Interest,166200000,196000000,236500000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,166200000,196000000,236500000,277820000,286521000,392260000,397664000,340816000,352632000,369245000,874957000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1624794/000119312516616636/d179685d10k.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479417000014/q4201710-kdocument.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479418000009/fy18201810-kdocument.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479419000021/wfx-20190331.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479420000051/cswi-20200331.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479421000031/0001624794-21-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,21698000,24732000,29705000,25471000,11071000,-11882000,45574000,45878000,40288000
74,Depreciation and Amortization,- -,- -,6701000,9113000,10515000,14161000,15796000,14933000,13836000,14845000,23037000
75,Deferred Income Tax,- -,- -,-2792000,-1023000,-7887000,7262000,528000,1640000,10625000,537000,-1737000
76,Stock Based Compensation,- -,- -,- -,- -,- -,2231000,4641000,4161000,3949000,5074000,5086000
77,Change in Working Capital,- -,- -,-4223000,5507000,27567000,-15411000,-25834000,19382000,-11196000,40906000,20487000
78,Accounts Receivable,- -,- -,-4714000,-9964000,-37000,2522000,-5762000,-2698000,-3825000,-7997000,-7219000
79,Inventory,- -,- -,-2873000,-6764000,-6655000,5056000,-36000,992000,-5537000,-1653000,-3377000
80,Accounts Payable,- -,- -,- -,-850000,- -,910000,4706000,6263000,5704000,5884000,13856000
81,Other Working Capital,- -,- -,90884000,96391000,123958000,108547000,82713000,102095000,90899000,131805000,152292000
82,Other Non-Cash Items,- -,- -,6422000,-16700000,-24432000,7816000,32834000,14922000,-3078000,-37343000,-20907000
83,Cash Provided by Operating Activities,- -,- -,27806000,21629000,35468000,41530000,39036000,43156000,59710000,69897000,66254000
84,CAPEX,- -,- -,-2837000,-15042000,3494000,-11053000,-9369000,-5534000,-7515000,-11437000,-8833000
85,Acquisitions Net,- -,- -,-26354000,-24632000,-7193000,-97236000,-28179000,- -,-10100000,-11837000,-287238000
86,Purchases of Investments,- -,- -,-2585000,-2013000,- -,-1978000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1740000,3353000,- -,11317000,2407000,3905000,- -,6152000
88,Other Investing Activites,- -,- -,-2316000,5000,-2279000,46000,263000,92000,3295000,1292000,-8803000
89,Cash Used for Investing Activites,- -,- -,-34092000,-39942000,-2625000,-110221000,-25968000,-3035000,-10415000,-21982000,-289889000
90,Debt Repayment,- -,- -,-9500000,-15467000,-30622000,-116061000,-46476000,-49187000,-20561000,-28061000,-23561000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-206000,- -,-1011000,-2241000,-46712000,-28460000,-10489000
93,Dividends Paid,- -,- -,-6946000,-8651000,-8294000,-300000,- -,- -,- -,-8130000,-8083000
94,Other Financing Activites,- -,- -,27748000,37187000,12229000,191055000,32169000,-93000,28000000,7500000,256182000
95,Cash Used/Provided by Financing Activities,- -,- -,11302000,13069000,-26893000,74694000,-15318000,-51521000,-39273000,-57151000,214049000
96,Effect of Forex Changes on Cash,- -,- -,-9000,-704000,-913000,-464000,-591000,1470000,-2433000,-615000,1336000
97,Net Change In Cash,- -,- -,5007000,-5948000,5037000,5539000,-2841000,-11440000,14945000,-8313000,-8250000
98,Cash at the End of Period,- -,- -,21359000,15411000,20448000,25987000,23146000,11706000,26651000,18338000,10088000
99,Cash at the Beginning of Period,- -,- -,16352000,21359000,15411000,20448000,25987000,23146000,11706000,26651000,18338000
100,Free Cash Flow,- -,- -,12302000,6587000,26796000,30477000,29667000,37622000,52195000,58460000,57421000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1624794/000119312516616636/d179685d10k.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479417000014/q4201710-kdocument.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479418000009/fy18201810-kdocument.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479419000021/wfx-20190331.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479420000051/cswi-20200331.htm,https://www.sec.gov/Archives/edgar/data/1624794/000162479421000031/0001624794-21-000031-index.htm
102,false,,,,,,,,,,,
