,https://roic.ai/company/ARCE,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,-22393000,-13641000,-24347000,-57020000,-136407000,-108087000,-184472000
79,Inventory,-5129000,-8312000,-8914000,-3563000,-14637000,-18161000,-62212000
80,Accounts Payable,-1168000,211000,-1512000,10256000,8455000,3886000,52915000
81,Other Working Capital,4480000,638000,7031000,7268000,35947000,4258000,5025000
82,Other Non-Cash Items,6754000,-17652000,33772000,145599000,41614000,44092000,231965000
83,Cash Provided by Operating Activities,24371000,41237000,62650000,92124000,-7615000,92351000,24496000
84,CAPEX,-5412000,-7154000,-11361000,-36257000,-54093000,-107649000,-211396000
85,Acquisitions Net,-30559000,-39957000,-48247000,-16756000,-840738000,-236914000,-921178000
86,Purchases of Investments,-648000,-2900000,-17361000,-727951000,- -,-130113000,- -
87,Sales/Maturities of Investments,- -,25797000,- -,- -,277389000,- -,- -
88,Other Investing Activites,-864000,-6270000,-6347000,-29403000,-57102000,-101827000,-512736000
89,Cash Used for Investing Activites,-36619000,-24921000,-77269000,-780964000,-631442000,-479676000,-1493992000
90,Debt Repayment,- -,- -,- -,- -,-4970000,-309661000,-15729000
91,Common Stock Issued,- -,- -,- -,895182000,589602000,591898000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-928000,-1733000,-394705000
93,Dividends Paid,-5217000,-13487000,-75053000,-85000000,- -,- -,- -
94,Other Financing Activites,10043000,846000,86148000,-75440000,92507000,482143000,1653892000
95,Cash Used/Provided by Financing Activities,4826000,-12641000,11095000,734742000,676211000,762647000,1243458000
96,Effect of Forex Changes on Cash,- -,- -,- -,-34435000,-555000,188000,12771000
97,Net Change In Cash,-7422000,3675000,-3524000,11467000,36599000,375510000,-213267000
98,Cash at the End of Period,683000,4358000,834000,12301000,48900000,424410000,211143000
99,Cash at the Beginning of Period,8105000,683000,4358000,834000,12301000,48900000,424410000
100,Free Cash Flow,18959000,34083000,51289000,55867000,-61708000,-15298000,-186900000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1740594/000110465920041137/0001104659-20-041137-index.html,https://www.sec.gov/Archives/edgar/data/1740594/000110465921045018/0001104659-21-045018-index.htm,- -
102,Forex Rate,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
