,https://roic.ai/company/RGNX,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,1119000,1121000,54116000,24840000,46656000,75561000,69514000,338426000,345209000
32,Short-Term Investments,- -,- -,60025000,64714000,114122000,244200000,226696000,137314000,- -
33,Cash and Short-Term Investments,1119000,1121000,114141000,89554000,160778000,319761000,296210000,475740000,345209000
34,Net Receivables,1088000,1882000,2136000,1032000,473000,8587000,38148000,42999000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,28000,1871000,2785000,6746000,9565000,10674000,12458000,- -
37,Total Current Assets,2207000,3031000,118148000,93371000,167997000,337913000,345032000,531197000,- -
38,PP&E,- -,- -,538000,9324000,13977000,28702000,39051000,120282000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,303000,303000,102526000,69412000,15616000,150819000,103785000,46809000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,157000,168000,625000,1087000,26380000,10040000,9876000,- -
45,Total Non-Current Assets,303000,460000,103232000,79361000,30680000,205901000,152876000,176967000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,1113904000
47,Total Assets,2510000,3491000,221380000,172732000,198677000,543814000,497908000,708164000,1113904000
48,Accounts Payable,301000,334000,1014000,1543000,4832000,4412000,6409000,10622000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,2500000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,3135000,- -
51,Deferred Revenue,- -,153000,127000,- -,- -,600000,- -,449000,- -
52,Other Current Liabilities,4352000,8702000,3198000,8126000,9605000,17164000,27267000,67876000,- -
53,Total Current Liabilities,4653000,9189000,4339000,9669000,14437000,22176000,33676000,81447000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,70153000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,3333000,3333000,3783000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,233000,1326000,1211000,9457000,10702000,175028000,219134000
58,Total Non-Current Liabilities,- -,- -,233000,1326000,1211000,12790000,14035000,248964000,219134000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,568740000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,5854000,11295000,72653000,- -
61,Total Liabilities,4653000,9189000,4572000,10995000,15648000,34966000,47711000,330411000,349606000
62,Preferred Stock,11778000,12593000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10885000,- -,3000,3000,3000,4000,4000,4000,- -
64,Retained Earnings,-24806000,-28809000,-51620000,-114587000,-187756000,-83016000,-177822000,-289072000,- -
65,Other Comprehensive Income/Loss,- -,- -,-1000000,-624000,-1000000,-1000000,-14338000,-360000,-2569000
66,Other Total Stockholders Equity,- -,23111000,269425000,276945000,371782000,592860000,642353000,667181000,- -
67,Total Stockholders Equity,-2143000,-5698000,216808000,161737000,183029000,508848000,450197000,377753000,764298000
68,Total Liabilities And Stockholders Equity,2510000,3491000,221380000,172732000,198677000,543814000,497908000,708164000,1113904000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2510000,3491000,221380000,172732000,198677000,543814000,497908000,708164000,1113904000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590877/000156459016013941/0001564590-16-013941-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459017003576/0001564590-17-003576-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459018004532/0001564590-18-004532-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459019004920/0001564590-19-004920-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459020006826/0001564590-20-006826-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459021009855/0001564590-21-009855-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459022008055/0001564590-22-008055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-5387000,-4003000,-22811000,-62967000,-73169000,99937000,-94733000,-111250000,- -
74,Depreciation and Amortization,- -,- -,80000,544000,2686000,3982000,7152000,8407000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,319000,2921000,7031000,10605000,16641000,26854000,31949000,- -
77,Change in Working Capital,2664000,-3712000,119967000,-30107000,69858000,162177000,-4381000,138394000,- -
78,Accounts Receivable,-36000,-799000,-1342000,1073000,561000,-16803000,-8622000,-9898000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,257000,33000,590000,186000,2621000,-218000,1528000,3873000,- -
81,Other Working Capital,-2446000,-6158000,113809000,83702000,153560000,315737000,311356000,449750000,- -
82,Other Non-Cash Items,-289000,4997000,-122672000,36941000,-67972000,-178089000,-42597000,-121561000,- -
83,Cash Provided by Operating Activities,-3012000,-2399000,-22515000,-48558000,-57992000,104648000,-107705000,-54061000,- -
84,CAPEX,- -,- -,-522000,-8149000,-7160000,-13278000,-11720000,-26869000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-163278000,-45072000,-68634000,-445829000,-190735000,-123041000,- -
87,Sales/Maturities of Investments,- -,- -,- -,72609000,71004000,179749000,296014000,272669000,- -
88,Other Investing Activites,- -,- -,- -,-225000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-163800000,19163000,-4790000,-279358000,93559000,122759000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,81994000,189716000,- -,- -,216438000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1965000,2401000,239310000,119000,2604000,14727000,8376000,200214000,- -
95,Cash Used/Provided by Financing Activities,1965000,2401000,239310000,119000,84598000,204443000,8376000,200214000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1047000,2000,52995000,-29276000,21816000,29733000,-5770000,268912000,- -
98,Cash at the End of Period,1119000,1121000,54116000,24840000,46656000,76614000,70844000,339756000,- -
99,Cash at the Beginning of Period,2166000,1119000,1121000,54116000,24840000,46881000,76614000,70844000,- -
100,Free Cash Flow,-3012000,-2399000,-23037000,-56707000,-65152000,91370000,-119425000,-80930000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590877/000156459016013941/0001564590-16-013941-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459017003576/0001564590-17-003576-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459018004532/0001564590-18-004532-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459019004920/0001564590-19-004920-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459020006826/0001564590-20-006826-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459021009855/0001564590-21-009855-index.htm,https://www.sec.gov/Archives/edgar/data/1590877/000156459022008055/0001564590-22-008055-index.htm
102,false,,,,,,,,,
