,https://roic.ai/company/ONTO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),900000,500000,300000,-4000000,-3700000,2174000,2774000,2050000,1610000,- -,1388000,-43745000,-16556000,172652000,- -,15237000,-1078000,-29666000,-30204000,-10291000,-27225000,-2480000,-15990000,16440000,4446000,191000,- -
20,Income Before Tax,3500000,6700000,9400000,-13500000,1100000,24603000,18239000,-846000,2068000,- -,6766000,-22500000,-4000000,-82300000,- -,-16900000,20394000,4600000,-23600000,-11600000,5568000,49868000,43298000,67524000,-597000,26868000,- -
21,Income Before Tax Ratio,0.1535,0.2211,0.2561,-0.6716,0.0289,0.2792,0.2297,-0.0147,0.0354,- -,0.0816,-0.2334,-0.0273,-0.8061,- -,-0.2203,0.1089,0.0252,-0.1635,-0.0697,0.0297,0.2142,0.1674,0.2081,-0.0020,0.0483,- -
22,Income Tax expense (Gain),-800000,2700000,3600000,600000,-2200000,-431000,6499000,585000,298000,- -,1789000,-323000,-31000,436000,- -,-586000,-4832000,154000,-9419000,19497000,2663000,12916000,13096000,9876000,-2507000,-4157000,- -
23,Net Income,4300000,4000000,5800000,-14100000,2900000,23576000,11740000,-1431000,1770000,- -,4977000,-22100000,-4000000,-82700000,- -,-16300000,25226000,4500000,-14100000,-31100000,2905000,36952000,30202000,57648000,1910000,31025000,- -
24,Net Income ratio,0.1886,0.1320,0.1580,-0.7015,0.0761,0.2676,0.1479,-0.0249,0.0303,- -,0.0600,-0.2293,-0.0273,-0.8100,- -,-0.2125,0.1348,0.0246,-0.0977,-0.1869,0.0155,0.1587,0.1168,0.1776,0.0062,0.0558,- -
25,EPS,0.52,0.47,0.66,-4.02,0.37,1.98,0.92,-0.11,0.14,- -,0.36,0.58,0.51,-10.12,- -,-1.19,0.98,1.69,0.14,-0.17,0.71,1.48,1.30,1.76,0.06,0.63,- -
26,EPS Diluted,0.52,0.47,0.66,-4.02,0.27,1.85,0.88,-0.11,0.14,- -,0.36,0.57,0.50,-10.12,- -,-1.19,0.97,1.66,0.12,-0.17,0.69,1.44,1.26,1.74,0.06,0.63,- -
27,Weighted Average Shares Outstanding,8300000,8500000,8800000,3634994,6357061,11917173,12825998,13080345,13236387,- -,13631909,22002730,23528950,24695395,- -,24916422,25606932,25995747,26445062,26720137,25335891,25110023,25402844,25548045,29729000,49136000,- -
28,Weighted Average Shares Outstanding Diluted,8300000,8500000,8800000,3634994,8414759,12749571,13335433,13080345,13489706,- -,13666909,22243118,23645111,24695395,- -,24916422,26019947,26501529,26933097,26720137,25947347,25644039,25944120,25974774,30007000,49475000,- -
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/704532/000101287097000587/0001012870-97-000587-index.html,https://www.sec.gov/Archives/edgar/data/704532/000101287098000866/0001012870-98-000866-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/704532/000095000501000414/0000950005-01-000414-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/704532/000119312506062863/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312507055707/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312508055689/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312509065648/0001193125-09-065648-index.html,undefined,https://www.sec.gov/Archives/edgar/data/704532/000119312510068717/0001193125-10-068717-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453212000006/0000704532-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453213000004/0000704532-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453214000005/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/704532/000070453215000006/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/704532/000156459016013119/0001564590-16-013119-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459017003258/0001564590-17-003258-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459018003134/0001564590-18-003134-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459019004083/0001564590-19-004083-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459020006357/0001564590-20-006357-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459021006843/0001564590-21-006843-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3600000,1700000,3700000,400000,35100000,29736000,94642000,42047000,41220000,- -,37986000,8000000,14900000,24000000,- -,43500000,96671000,62900000,44800000,34700000,38154000,37859000,34899000,110951000,130673000,136720000,- -
32,Short-Term Investments,4500000,6700000,9600000,- -,- -,- -,- -,31223000,39342000,- -,42821000,- -,- -,- -,- -,- -,70888000,47000000,48100000,49300000,44931000,87872000,82130000,40841000,189563000,237002000,- -
33,Cash and Short-Term Investments,8100000,8400000,13300000,400000,35100000,29736000,94642000,73270000,80562000,- -,80807000,8000000,14900000,24000000,- -,43500000,167559000,109900000,92900000,84000000,83085000,125731000,117029000,151792000,320236000,373722000,- -
34,Net Receivables,7600000,11100000,10200000,4400000,9500000,27132000,14440000,17478000,11576000,- -,26046000,24900000,34900000,17100000,- -,23000000,42783000,21400000,31400000,26100000,37832000,67301000,62457000,50854000,123656000,149251000,- -
35,Inventory,4000000,5100000,7100000,9400000,11400000,23773000,22695000,30488000,28321000,- -,30073000,47800000,34100000,31800000,- -,32600000,49501000,41900000,41400000,37000000,50605000,65485000,54394000,62095000,176134000,191217000,- -
36,Other Current Assets,2400000,2500000,3200000,500000,500000,4527000,2518000,2697000,2626000,- -,3093000,3600000,2600000,2200000,- -,2800000,3258000,16100000,25100000,10700000,6592000,4113000,6234000,6140000,21638000,17471000,- -
37,Total Current Assets,22100000,27100000,33800000,14700000,56500000,85168000,134295000,123933000,123085000,- -,140019000,84300000,86500000,75100000,- -,101900000,263101000,189300000,190800000,157800000,178114000,262630000,240114000,270881000,641664000,731661000,- -
38,PP&E,2900000,2600000,2200000,2600000,3100000,3824000,5221000,7454000,6817000,- -,8599000,43300000,44400000,40100000,- -,36400000,12530000,43200000,47400000,49600000,44493000,11858000,44810000,47900000,122008000,87950000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55200000,52500000,- -,- -,- -,4492000,11400000,11700000,10500000,9415000,22495000,10232000,26372000,307148000,306632000,- -
40,Intangible Assets,- -,- -,- -,3300000,2900000,2520000,2181000,24465000,23588000,- -,21873000,27600000,21800000,6900000,- -,7100000,8376000,11000000,7900000,4300000,1867000,10273000,2206000,27326000,371953000,318357000,- -
41,Intangible Assets,- -,- -,- -,3300000,2900000,2520000,2181000,24465000,23588000,- -,21873000,82800000,74300000,6900000,- -,7100000,12868000,22400000,19600000,14800000,11282000,32768000,12438000,53698000,679101000,624989000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237002000,- -
43,Tax Assets,300000,100000,- -,- -,- -,- -,5790000,5299000,6319000,- -,- -,1800000,400000,- -,- -,- -,12240000,- -,- -,900000,521000,30850000,179000,162000,1456000,- -,- -
44,Other Non-Current Assets,-100000,200000,200000,500000,2400000,7042000,311000,812000,562000,- -,9510000,200000,1500000,1800000,- -,2100000,5172000,4600000,5000000,100000,1130000,593000,12158000,2989000,4351000,-213430000,- -
45,Total Non-Current Assets,3100000,2900000,2400000,6400000,8400000,13386000,13503000,38030000,37286000,- -,39982000,128100000,120600000,48800000,- -,45600000,42810000,70200000,72000000,65400000,57426000,76069000,69585000,104749000,806916000,736511000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25200000,30000000,36200000,21100000,64900000,98554000,147798000,161963000,160371000,- -,180001000,212400000,207100000,123900000,- -,147500000,305911000,259500000,262800000,223200000,235540000,338699000,309699000,375630000,1448580000,1468172000,- -
48,Accounts Payable,1200000,1600000,1900000,1100000,2200000,3517000,789000,2587000,3070000,- -,4751000,9300000,13900000,4800000,- -,5800000,4439000,6400000,10600000,10200000,11675000,10245000,13857000,16540000,27738000,40183000,- -
49,Short-Term Debt,- -,- -,- -,12100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695000,1101000,1187000,- -,865000,- -,424000,758000,1017000,1771000,- -,2680000,3164000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1489000,5475000,2923000,- -,2463000,10451000,2501000,350000,- -,245000,7332000,8485000,21749000,10021000,12790000,8325000,7408000,8990000,14623000,2235000,- -
52,Other Current Liabilities,2600000,2900000,3200000,2600000,5100000,11464000,3370000,9820000,5841000,- -,7511000,14849000,12999000,12050000,- -,19055000,17086000,15815000,16651000,17979000,20746000,17392000,22830000,34243000,43382000,- -,- -
53,Total Current Liabilities,3800000,4500000,5100000,15800000,7300000,14981000,5648000,17882000,11834000,- -,14725000,34600000,29400000,17200000,- -,25100000,28857000,30700000,49000000,38200000,45211000,35962000,44095000,59773000,85743000,42418000,- -
54,Long-Term Debt,3500000,3300000,2600000,25400000,- -,- -,- -,- -,- -,- -,- -,1300000,100000,13100000,- -,12700000,46524000,4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4307000,3718000,2591000,827000,1132000,1661000,1753000,2464000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,612000,- -,8593000,14516000,926000,521000,- -,179000,162000,67040000,- -,- -
57,Other Non-Current Liabilities,300000,100000,- -,100000,2400000,65000,3600000,4000000,3200000,- -,742000,1800000,1700000,800000,- -,2288000,8752000,-4300000,-11734000,1983000,1653000,7870000,1381000,1090000,29307000,27712000,- -
58,Total Non-Current Liabilities,3800000,3400000,2600000,25500000,2400000,65000,3600000,4000000,3200000,- -,742000,3100000,1800000,13900000,- -,15600000,55276000,13000000,6500000,5500000,3001000,9002000,3221000,3005000,98811000,27712000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188720000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24876000,20925000,- -
61,Total Liabilities,7600000,7900000,7700000,41300000,7300000,15046000,5648000,17882000,11834000,- -,15467000,37700000,31200000,31100000,- -,40700000,84133000,43700000,55500000,43700000,48212000,44964000,47316000,62778000,184554000,203426000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11000000,11800000,13200000,- -,- -,15000,16000,16000,17000,- -,17000,- -,- -,- -,- -,- -,32000,- -,- -,- -,24000,31000,26000,24000,50000,49000,- -
64,Retained Earnings,6400000,10400000,16100000,-30100000,-27200000,-3617000,8123000,6692000,8462000,- -,20191000,-9900000,-13900000,-96600000,- -,-112900000,-182297000,-23900000,-38000000,-69100000,-66209000,-84706000,9113000,67402000,-4863000,- -,- -
65,Other Comprehensive Income/Loss,400000,-400000,-1600000,-900000,-1400000,-2036000,-2909000,-4158000,-5317000,- -,1000000,2000000,3000000,-1000000,- -,2000000,2000000,1000000,1000000,-3000000,-5000000,-6000000,-2000000,-1000000,-1000000,5000000,- -
66,Other Total Stockholders Equity,- -,300000,800000,10800000,86200000,89146000,136920000,141531000,145375000,- -,143326000,182500000,186700000,190400000,- -,217700000,402043000,238700000,244400000,251600000,341863000,384410000,326015000,295462000,1269839000,1259697000,- -
67,Total Stockholders Equity,17600000,22100000,28500000,-20200000,57600000,83508000,142150000,144081000,148537000,- -,164534000,392876000,424478000,176088000,- -,151131000,221778000,270489000,279003000,267328000,270678000,293735000,333154000,361888000,1264026000,1264746000,- -
68,Total Liabilities And Stockholders Equity,25200000,30000000,36200000,21100000,64900000,98554000,147798000,161963000,160371000,- -,180001000,430576000,455678000,207188000,- -,191831000,305911000,314189000,334503000,311028000,318890000,338699000,380470000,424666000,1448580000,1468172000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218176000,-248578000,-83288000,- -,-44331000,- -,-54689000,-71703000,-87828000,-83350000,- -,-70771000,-49036000,- -,- -,- -
70,Total Liabilities & Equity,25200000,30000000,36200000,21100000,64900000,98554000,147798000,161963000,160371000,- -,180001000,212400000,207100000,123900000,- -,147500000,305911000,259500000,262800000,223200000,235540000,338699000,309699000,375630000,1448580000,1468172000,- -
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/704532/000101287097000587/0001012870-97-000587-index.html,https://www.sec.gov/Archives/edgar/data/704532/000101287098000866/0001012870-98-000866-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/704532/000095000501000414/0000950005-01-000414-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/704532/000119312506062863/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312507055707/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312508055689/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312509065648/0001193125-09-065648-index.html,undefined,https://www.sec.gov/Archives/edgar/data/704532/000119312510068717/0001193125-10-068717-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453212000006/0000704532-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453213000004/0000704532-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453214000005/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/704532/000070453215000006/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/704532/000156459016013119/0001564590-16-013119-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459017003258/0001564590-17-003258-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459018003134/0001564590-18-003134-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459019004083/0001564590-19-004083-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459020006357/0001564590-20-006357-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459021006843/0001564590-21-006843-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4300000,4000000,5800000,-14100000,2900000,23576000,11740000,-1431000,1770000,- -,4977000,-22100000,-4000000,-82700000,- -,-16300000,25226000,4500000,-14100000,-31100000,2905000,36952000,30202000,57648000,1910000,31025000,- -
74,Depreciation and Amortization,300000,300000,200000,5000000,2000000,1000000,1366000,1645000,2174000,- -,2649000,8672000,10200000,11743000,- -,8646000,6323000,5892000,6936000,7113000,6096000,5997000,5930000,6382000,16410000,67578000,- -
75,Deferred Income Tax,-1800000,300000,-600000,- -,- -,- -,1808000,252000,-1104000,- -,-109000,5718000,-3314000,-2449000,- -,-217000,-9018000,-20814000,-1510000,-3937000,3980000,5011000,17207000,2163000,-4116000,-11631000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3759000,4802000,4001000,4106000,6242000,7603000,4775000,5670000,6062000,10585000,17662000,- -
77,Change in Working Capital,8100000,4300000,6100000,-29800000,50300000,20987000,58460000,-22596000,5200000,- -,56694000,-75594000,7400000,800000,- -,18900000,98544000,-75644000,-16800000,-22200000,13303000,93765000,-30649000,15089000,344813000,133322000,- -
78,Accounts Receivable,-2700000,-3500000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13196000,17958000,-14743000,2631000,1147000,-4336000,-9279000,430000,706000,-9721000,-25816000,- -
79,Inventory,800000,-1100000,-2000000,900000,-2000000,-12400000,1067000,-6215000,2308000,- -,3702000,-7079000,-5395000,-4287000,- -,6922000,-35000,-6701000,-6758000,-9393000,-12529000,4003000,-4218000,-31545000,-9338000,-42409000,- -
80,Accounts Payable,-500000,-400000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3232000,-3427000,-2735000,-912000,3758000,2254000,1169000,3198000,3512000,-12138000,11403000,- -
81,Other Working Capital,18300000,22600000,28700000,-1100000,49200000,70187000,128647000,106051000,111251000,- -,125294000,49700000,57100000,57900000,- -,76800000,234244000,158600000,141800000,119600000,132903000,226668000,196019000,211108000,555921000,689243000,- -
82,Other Non-Cash Items,-8600000,-8500000,-7300000,32000000,-55900000,-50189000,-50416000,23473000,-1391000,- -,-56134000,103949000,13296000,87995000,- -,-26847000,-80433000,104132000,27452000,48172000,-94000,-99867000,36011000,-52250000,-351456000,-131972000,- -
83,Cash Provided by Operating Activities,2300000,400000,4200000,-6900000,-700000,-4626000,22958000,1343000,6649000,- -,8077000,20645000,23582000,15389000,- -,-12059000,45444000,22067000,6084000,4290000,33793000,46633000,64371000,35094000,18146000,105984000,- -
84,CAPEX,-100000,-300000,-100000,-1000000,-1000000,-1388000,-2431000,-618000,-656000,- -,-2677000,-6894000,-1719000,-2996000,- -,-587000,-1622000,-2429000,-4880000,-2084000,-6055000,-5291000,-11210000,-7542000,-6802000,-3829000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-25069000,- -,- -,-863000,-12109000,-56166000,-8474000,- -,-5011000,- -,-18580000,-3365000,- -,- -,- -,- -,- -,43882000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-30797000,-8454000,- -,-882000,-70803000,-77748000,-15541000,- -,-12161000,-81004000,-96309000,-119068000,-243656000,-237127000,-146865000,-164661000,-140018000,-127462000,-313027000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20439000,93410000,95147000,21302000,- -,19446000,11418000,102384000,97289000,217212000,234105000,175460000,143349000,186332000,94486000,265409000,- -
88,Other Investing Activites,-4000000,-2300000,-3000000,100000,100000,16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2696000,-835000,-1000000,-5000000,- -,2848000,- -
89,Cash Used for Investing Activites,-4100000,-2600000,-3100000,-900000,-900000,-1372000,-2431000,-56484000,-9110000,- -,16017000,3604000,-40486000,-5709000,- -,1687000,-71208000,-14934000,-30024000,-28528000,-9077000,24469000,-32522000,33772000,4104000,-48599000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,3000000,81100000,672000,44396000,2468000,1554000,- -,1503000,8957000,1344000,220000,- -,217000,257000,257000,1012000,362000,330000,850000,623000,624000,844000,2919000,- -
92,Common Stock Repurchased,400000,300000,600000,- -,-7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12845000,-20668000,-8044000,- -,-21069000,-744000,-52000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3800000,100000,- -,5000000,-37700000,- -,- -,- -,- -,- -,- -,1167000,148000,- -,- -,- -,50777000,211000,424000,-201000,-2631000,-10917000,-3375000,-3464000,-4298000,-4621000,- -
95,Cash Used/Provided by Financing Activities,4200000,400000,600000,8000000,36300000,672000,44396000,2468000,1554000,- -,1503000,10124000,1492000,220000,- -,217000,51034000,468000,1436000,-12684000,-22969000,-78111000,-2752000,-23909000,-4198000,-53702000,- -
96,Effect of Forex Changes on Cash,-900000,- -,200000,- -,- -,-14000,-17000,78000,80000,- -,-238000,120000,353000,415000,- -,259000,281000,-19000,-959000,-754000,-307000,314000,814000,-339000,233000,2364000,- -
97,Net Change In Cash,1500000,-1900000,1900000,200000,34600000,-5340000,64906000,-52595000,-827000,- -,25359000,34493000,-15059000,10315000,- -,-9896000,25551000,7582000,-23463000,-37676000,1440000,-6695000,29911000,44618000,18285000,6047000,- -
98,Cash at the End of Period,3600000,1700000,3600000,400000,35000000,29736000,94642000,42047000,41220000,- -,37986000,72479000,57420000,67735000,- -,57839000,96671000,104253000,80790000,43114000,44554000,37859000,67770000,112388000,130673000,136720000,- -
99,Cash at the Beginning of Period,2100000,3600000,1700000,200000,400000,35076000,29736000,94642000,42047000,- -,12627000,37986000,72479000,57420000,- -,67735000,71120000,96671000,104253000,80790000,43114000,44554000,37859000,67770000,112388000,130673000,- -
100,Free Cash Flow,2200000,100000,4100000,-7900000,-1700000,-6014000,20527000,725000,5993000,- -,5400000,13751000,21863000,12393000,- -,-12646000,43822000,19638000,1204000,2206000,27738000,41342000,53161000,27552000,11344000,102155000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/704532/000101287097000587/0001012870-97-000587-index.html,https://www.sec.gov/Archives/edgar/data/704532/000101287098000866/0001012870-98-000866-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/704532/000095000501000414/0000950005-01-000414-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/704532/000119312506062863/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312507055707/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312508055689/d10k.htm,https://www.sec.gov/Archives/edgar/data/704532/000119312509065648/0001193125-09-065648-index.html,undefined,https://www.sec.gov/Archives/edgar/data/704532/000119312510068717/0001193125-10-068717-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453212000006/0000704532-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453213000004/0000704532-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/704532/000070453214000005/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/704532/000070453215000006/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/704532/000156459016013119/0001564590-16-013119-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459017003258/0001564590-17-003258-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459018003134/0001564590-18-003134-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459019004083/0001564590-19-004083-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459020006357/0001564590-20-006357-index.html,https://www.sec.gov/Archives/edgar/data/704532/000156459021006843/0001564590-21-006843-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
