,https://roic.ai/company/AGS,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,60400000,77617000,253851000,251024000,278337000,277263000,287049000,286042000,285546000
40,Intangible Assets,98700000,101885000,290356000,232877000,232287000,196901000,230451000,187644000,160044000
41,Intangible Assets,159100000,179502000,544207000,483901000,510624000,474164000,517500000,473686000,445590000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,1863000,37000,9000,1115000,2544000,4965000,6762000,7333000
44,Other Non-Current Assets,8800000,6825000,26560000,23754000,24813000,12344000,9176000,10259000,7394000
45,Total Non-Current Assets,217400000,228959000,637503000,575590000,614534000,580599000,646782000,581510000,547736000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,254800000,256152000,711147000,634092000,697242000,731342000,762378000,740778000,732811000
48,Accounts Payable,2000000,1266000,4776000,8790000,11407000,14821000,15598000,9547000,9439000
49,Short-Term Debt,- -,- -,6919000,6537000,7359000,5959000,8213000,8898000,6877000
50,Tax Payable,- -,- -,2440000,2128000,2655000,3437000,4151000,3992000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6500000,25073000,18254000,17702000,24954000,26659000,32665000,24458000,39165000
53,Total Current Liabilities,8500000,26339000,29949000,33029000,43720000,47439000,56476000,42903000,55481000
54,Long-Term Debt,154300000,164194000,533290000,547238000,644158000,521924000,518689000,601560000,611152000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1863000,15347000,6957000,1016000,1443000,1836000,2254000,2653000
57,Other Non-Current Liabilities,200000,- -,32024000,30440000,36283000,24732000,51593000,40278000,21954000
58,Total Non-Current Liabilities,154500000,166057000,580661000,584635000,681457000,548099000,572118000,644092000,635759000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,13459000,11364000,- -
61,Total Liabilities,163000000,192396000,610610000,617664000,725177000,595538000,628594000,686995000,691240000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,100000,149000,149000,149000,353000,355000,364000,369000
64,Retained Earnings,-8200000,-36532000,-75077000,-156451000,-201557000,-222403000,-235474000,-321412000,-344889000
65,Other Comprehensive Income/Loss,-500000,576000,-1811000,-4546000,-3803000,-3774000,-2408000,-5086000,-6070000
66,Other Total Stockholders Equity,100400000,99612000,177276000,177276000,177276000,361628000,371311000,379917000,392161000
67,Total Stockholders Equity,91800000,63756000,100537000,16428000,-27935000,135804000,133784000,53783000,41571000
68,Total Liabilities And Stockholders Equity,254800000,256152000,711147000,634092000,697242000,731342000,762378000,740778000,732811000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,254800000,256152000,711147000,634092000,697242000,731342000,762378000,740778000,732811000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1593548/000144530514001224/0001445305-14-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1593548/000162828015002062/a2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354816000015/0001593548-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000159354817000004/0001593548-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000162828018003180/0001628280-18-003180-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000159354819000013/0001593548-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000143774920004337/0001437749-20-004337-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000143774921004999/0001437749-21-004999-index.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774922005866/0001437749-22-005866-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-50700000,-28376000,-38545000,-81374000,-45106000,-20846000,-11752000,-85378000,-22572000
74,Depreciation and Amortization,29900000,33463000,62158000,84883000,76329000,82087000,97852000,93143000,73938000
75,Deferred Income Tax,50000,2189000,-38645000,-7998000,-7062000,-970000,-1927000,-1671000,-175000
76,Stock Based Compensation,- -,- -,- -,- -,- -,10933000,9001000,8457000,14643000
77,Change in Working Capital,-1360000,-28046000,42841000,-18222000,13515000,64316000,-44184000,57245000,13229000
78,Accounts Receivable,400000,-973000,-342000,-3191000,-8348000,-11488000,-15033000,16469000,-8133000
79,Inventory,1500000,806000,1144000,307000,-1636000,4907000,490000,10099000,1577000
80,Accounts Payable,-1500000,- -,- -,- -,- -,- -,- -,- -,5894000
81,Other Working Capital,28900000,854000,43695000,25473000,38988000,103304000,59120000,116365000,129594000
82,Other Non-Cash Items,24370000,33252000,-18406000,57204000,6332000,-90009000,38999000,-35626000,-731000
83,Cash Provided by Operating Activities,2260000,12482000,9403000,34493000,44008000,45511000,87989000,36170000,78332000
84,CAPEX,-32420000,-24197000,-27855000,-40716000,-57475000,-66181000,-71065000,-35712000,-36102000
85,Acquisitions Net,- -,-10345000,-374347000,- -,-63850000,-4452000,-54935000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-212780000,-13766000,-12226000,-7750000,-8376000,-11060000,-22577000,-16344000,-14035000
89,Cash Used for Investing Activites,-245200000,-33922000,-401850000,-40629000,-120811000,-70114000,-127932000,-39283000,-50137000
90,Debt Repayment,- -,-2036000,-26243000,-6987000,-427969000,-123094000,-6783000,-37047000,-1321000
91,Common Stock Issued,- -,- -,77425000,- -,- -,176341000,- -,- -,- -
92,Common Stock Repurchased,100000000,- -,-1277000,-50000,- -,- -,-1320000,-560000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,157770000,11896000,367642000,-4566000,506023000,22819000,-9580000,109250000,-13584000
95,Cash Used/Provided by Financing Activities,257770000,9860000,417547000,-11603000,78054000,76066000,-17683000,71643000,-14905000
96,Effect of Forex Changes on Cash,360000,518000,-58000,-6000,14000,-1000,4000,-3000,-2000
97,Net Change In Cash,15200000,-11062000,25042000,-17745000,1265000,51462000,-57622000,68527000,13288000
98,Cash at the End of Period,21700000,10680000,35722000,17977000,19242000,70804000,13182000,81709000,94997000
99,Cash at the Beginning of Period,6500000,21742000,10680000,35722000,17977000,19342000,70804000,13182000,81709000
100,Free Cash Flow,-30160000,-11715000,-18452000,-6223000,-13467000,-20670000,16924000,458000,42230000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1593548/000144530514001224/0001445305-14-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1593548/000162828015002062/a2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1593548/000159354816000015/0001593548-16-000015-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000159354817000004/0001593548-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000162828018003180/0001628280-18-003180-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000159354819000013/0001593548-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000143774920004337/0001437749-20-004337-index.html,https://www.sec.gov/Archives/edgar/data/1593548/000143774921004999/0001437749-21-004999-index.htm,https://www.sec.gov/Archives/edgar/data/1593548/000143774922005866/0001437749-22-005866-index.htm
102,false,,,,,,,,,
