,https://roic.ai/company/SAVA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,4659474,20304909,17314710,-16919000,22251000,38961000,37797000,54471000,55815000,55013000,27317000,30512000,14998000,14787000,9754000,12433000,14202000,14957000,11949000,6662000,4959000,6446000,32868000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1777000,1680000,901000,451000,106000,47000,57000,107000,38000,105000,328000,112000,49000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1539091,6158199,1443333,349000,341000,383000,368000,-25856000,356000,452000,257000,232000,163000,122000,- -,15000,45000,58000,68000,69000,58000,22000,534000
15,EBITDA,-2959694,-11320791,-15871377,17268000,-21910000,-38578000,-30302000,-16741000,20661000,15182000,-4720000,-11791000,-2450000,-3324000,31471000,-12418000,-14157000,-14899000,-11881000,-6593000,-4901000,-6312000,-32868000
16,EBITDA ratio,-2959694.0000,-11320791.0000,-Infinity,Infinity,-Infinity,-Infinity,-5.9650,-0.3105,0.3131,0.2382,-0.2295,-0.7015,-0.2133,-0.3052,0.7654,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-4659473,-20304908,-17314710,16919000,-22251000,-38961000,-32717000,-553000,10169000,8712000,-6754000,-13703000,-3514000,-3897000,31365000,-12433000,-14202000,-14957000,-11949000,-6662000,-4959000,-6446000,-32868000
18,Operating Income ratio,-4659473.0000,-20304908.0000,-Infinity,Infinity,-Infinity,-Infinity,-6.4404,-0.0103,0.1541,0.1367,-0.3285,-0.8152,-0.3060,-0.3579,0.7628,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),160688,2825918,2978160,- -,- -,- -,- -,9668000,10136000,6018000,1777000,1680000,901000,451000,106000,47000,57000,107000,38000,105000,328000,112000,483000
20,Income Before Tax,-4498785,-17478990,-14336550,- -,- -,- -,- -,9115000,20305000,14730000,-4977000,-12023000,-2613000,-3446000,31471000,-12386000,-14145000,-14850000,-11911000,-6557000,-4631000,-6334000,-32385000
21,Income Before Tax Ratio,-4498785.0000,-17478990.0000,-Infinity,- -,- -,- -,- -,0.1691,0.3077,0.2311,-0.2420,-0.7153,-0.2275,-0.3164,0.7654,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),800,800,800,- -,- -,- -,- -,2927000,- -,-617000,-1510000,- -,- -,- -,-73000,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4499585,-17479790,-14337350,-15925000,-21617000,-37776000,-30670000,6188000,20305000,15347000,-3467000,-12023000,-2613000,-3446000,31544000,-12386000,-14145000,-14850000,-11911000,-6557000,-4631000,-6334000,-32385000
24,Net Income ratio,-4499585.0000,-17479790.0000,-Infinity,-Infinity,-Infinity,-Infinity,-6.0374,0.1148,0.3077,0.2408,-0.1686,-0.7153,-0.2275,-0.3164,0.7671,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-3.36,-16.31,-3.99,-4.13,-5.11,-7.07,-4.90,0.98,3.22,2.52,-0.56,-1.96,-0.42,-0.56,4.90,-1.89,-2.17,-2.31,-1.82,-0.61,-0.27,-0.24,-0.82
26,EPS Diluted,-3.36,-16.31,-3.99,-4.13,-5.11,-7.07,-4.90,0.98,3.08,2.45,-0.56,-1.96,-0.42,-0.56,4.90,-1.89,-2.17,-2.31,-1.82,-0.61,-0.27,-0.24,-0.82
27,Weighted Average Shares Outstanding,1331775,1947785,3618787,3862710,4211852,5323851,6256422,6306565,6307136,6035993,6023565,6091993,6308565,6393279,6429564,6466993,6536564,6519707,6537000,10682000,17412000,26105000,39405000
28,Weighted Average Shares Outstanding Diluted,1331775,1947785,3618787,3862710,4211852,5323851,6256422,6496422,6525136,6265279,6023565,6091993,6308565,6393279,6458279,6466993,6536564,6519707,6537000,10682000,17412000,26105000,39405000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1069530/000089161802001349/0000891618-02-001349-index.html,https://www.sec.gov/Archives/edgar/data/1069530/000089161803001271/0000891618-03-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312504040443/0001193125-04-040443-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312505031285/0001193125-05-031285-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312506038723/0001193125-06-038723-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312507038974/0001193125-07-038974-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312508028925/0001193125-08-028925-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312509027574/0001193125-09-027574-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312510018161/0001193125-10-018161-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312511023306/0001193125-11-023306-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312512049361/0001193125-12-049361-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312513046147/0001193125-13-046147-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953014000004/0001069530-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953015000003/0001069530-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953016000052/0001069530-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953017000008/0001069530-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953018000004/0001069530-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953019000019/0001069530-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953020000009/0001069530-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953021000020/0001069530-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953022000011/0001069530-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9339669,78926830,65274291,50091000,12027000,1379000,95651000,16386000,86567000,153158000,35794000,4798000,73144000,49355000,48588000,40590000,31299000,16615000,10479000,19807000,23081000,93506000,233437000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,117001000,188014000,118504000,36937000,139965000,86428000,24987000,6899000,1250000,- -,- -,2099000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9339669,78926830,65274291,50091000,12027000,1379000,212652000,204400000,205071000,190095000,175759000,91226000,98131000,56254000,49838000,40590000,31299000,18714000,10479000,19807000,23081000,93506000,233437000
34,Net Receivables,15362,445326,116688,55000,65402000,98018000,889000,- -,- -,- -,- -,7114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,41387,400667,323323,1101000,1321000,259000,623000,2714000,303000,541000,2712000,144000,358000,253000,265000,239000,392000,356000,184000,233000,268000,488000,11045000
37,Total Current Assets,9396418,79772823,65714302,51247000,78750000,99656000,214164000,207114000,205374000,190636000,178471000,98484000,98489000,56507000,50103000,40829000,31691000,19070000,10663000,20040000,23349000,93994000,244482000
38,PP&E,44755,1299223,2346494,2003000,1688000,1461000,1556000,1267000,1607000,774000,517000,285000,122000,- -,- -,100000,200000,300000,200000,100000,137000,11000,20826000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1075000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,75000,75000,75000,75000,75000,75000,75000,644000,2026000,3017000,426000,352000,352000,- -,-23000,12000,-68000,-32000,-1000,- -,- -,399000
45,Total Non-Current Assets,44755,1374223,2421494,2078000,1763000,1536000,1631000,1342000,2251000,2800000,3534000,711000,474000,352000,- -,77000,212000,232000,168000,99000,137000,11000,22300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9441173,81147046,68135796,53325000,80513000,101192000,215795000,208456000,207625000,193436000,182005000,99195000,98963000,56859000,50103000,40906000,31903000,19302000,10831000,20139000,23486000,94005000,266782000
48,Accounts Payable,300587,2313279,2170211,2648000,3441000,877000,998000,985000,3624000,2216000,1317000,1107000,464000,361000,445000,173000,1034000,303000,424000,294000,453000,911000,7126000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000,97000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,26200000,26200000,14348000,14348000,14348000,10897000,10897000,7832000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,139099,349260,453000,510000,6919000,5149000,9469000,2685000,3550000,2846000,2067000,1911000,1806000,1356000,677000,1517000,362000,708000,217000,934000,896000,5311000
53,Total Current Liabilities,300587,2452378,2519471,3101000,3951000,7796000,32347000,36654000,20657000,20114000,18511000,14071000,13272000,9999000,1801000,850000,2551000,665000,1132000,511000,1387000,1865000,12534000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000,139000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53805000,51760000,40863000,33287000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1437000,431000,435000,437000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,120088000,93887000,83054000,69036000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,120088000,93887000,83054000,69036000,55242000,52191000,41298000,33724000,- -,- -,- -,- -,- -,- -,- -,235000,333000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,293000,236000
61,Total Liabilities,300587,2452378,2519471,3101000,3951000,7796000,152435000,130541000,103711000,89150000,73753000,66262000,54570000,43723000,1801000,850000,2551000,665000,1132000,511000,1387000,2100000,12867000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9445,26739,26838,27000,35000,44000,44000,44000,44000,42000,42000,43000,45000,45000,45000,46000,46000,46000,7000,17000,22000,35000,461221000
64,Retained Earnings,-4888592,-22368382,-36705732,-52631000,-74248000,-112024000,-142694000,-136506000,-118129000,-114102000,-117569000,-129592000,-132205000,-135651000,-104107000,-116493000,-130638000,-145488000,-157399000,-163956000,-168587000,- -,-207306000
65,Other Comprehensive Income/Loss,-4762,-48976,-261750,-610000,-951000,-1280000,-1548000,-1859000,1000000,-556000,-813000,1000000,-1208000,-629000,- -,-600000,-700000,-700000,-800000,-900000,-900000,- -,- -
66,Other Total Stockholders Equity,14024495,101085287,102556969,103438000,151726000,206656000,207558000,216236000,220999000,218902000,226592000,161482000,177761000,149371000,152364000,157103000,160659000,164779000,167891000,184467000,191564000,92165000,- -
67,Total Stockholders Equity,9140586,78694668,65616325,50224000,76562000,93396000,63360000,77915000,103914000,104286000,108252000,32933000,44393000,13136000,48302000,40056000,29367000,18637000,9699000,19628000,22099000,92200000,253915000
68,Total Liabilities And Stockholders Equity,9441173,81147046,68135796,53325000,80513000,101192000,215795000,208456000,207625000,193436000,182005000,99195000,98963000,56859000,50103000,40906000,31918000,19302000,10831000,20139000,23486000,94300000,266782000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,- -,- -,- -,- -,-295000,- -
70,Total Liabilities & Equity,9441173,81147046,68135796,53325000,80513000,101192000,215795000,208456000,207625000,193436000,182005000,99195000,98963000,56859000,50103000,40906000,31903000,19302000,10831000,20139000,23486000,94005000,266782000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1069530/000089161802001349/0000891618-02-001349-index.html,https://www.sec.gov/Archives/edgar/data/1069530/000089161803001271/0000891618-03-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312504040443/0001193125-04-040443-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312505031285/0001193125-05-031285-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312506038723/0001193125-06-038723-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312507038974/0001193125-07-038974-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312508028925/0001193125-08-028925-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312509027574/0001193125-09-027574-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312510018161/0001193125-10-018161-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312511023306/0001193125-11-023306-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312512049361/0001193125-12-049361-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312513046147/0001193125-13-046147-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953014000004/0001069530-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953015000003/0001069530-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953016000052/0001069530-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953017000008/0001069530-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953018000004/0001069530-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953019000019/0001069530-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953020000009/0001069530-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953021000020/0001069530-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953022000011/0001069530-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4499585,-17479790,-14337350,-15925000,-21617000,-37776000,-30670000,6188000,20305000,15347000,-3467000,-12023000,-2613000,-3446000,31544000,-12386000,-14145000,-14850000,-11911000,-6557000,-4631000,-6334000,-32385000
74,Depreciation and Amortization,1539091,6158199,1443333,349000,341000,383000,368000,-25856000,356000,452000,257000,232000,163000,122000,- -,15000,45000,58000,68000,69000,58000,22000,534000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6659000,20132000,5428000,6610000,3101000,3761000,3457000,4334000,2973000,2388000,1296000,988000,1759000
77,Change in Working Capital,144364,68224614,-14125614,-15048831,26653000,17061000,89957000,-11357000,14257000,-14195000,-10562000,-75547000,804000,-38709000,1794000,-8323000,-10839000,-10735000,-8874000,9998000,2433000,70167000,139819000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-643000,-103000,84000,-272000,841000,-711000,129000,-130000,159000,458000,6215000
81,Other Working Capital,9095831,77320445,63194831,48146000,74799000,91860000,181817000,170460000,184717000,170522000,159960000,84413000,85217000,46508000,48302000,39979000,29140000,18405000,9531000,19529000,21962000,92129000,231948000
82,Other Non-Cash Items,121829,-64288338,14648373,15126831,-25884000,-12237000,53577000,19198000,-32687000,9559000,-7578000,67063000,-4042000,28252000,-43386000,7384000,12429000,8959000,9507000,-10668000,-1670000,-70225000,-139923000
83,Cash Provided by Operating Activities,-2694301,-7385315,-12371258,-15498000,-20507000,-32569000,113232000,-11827000,2231000,11163000,-14691000,-143000,-260000,-7171000,-6947000,-9549000,-9053000,-12234000,-8237000,-4770000,-2514000,-5382000,-30196000
84,CAPEX,-38545,-1302130,-1341929,-7000,-26000,-156000,-463000,-94000,-696000,-2122000,- -,- -,- -,- -,- -,-80000,-195000,-75000,- -,- -,-18000,-346000,-22214000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-68829000,-114067000,-93591000,-136119000,-138394000,- -,-154000000,-65753000,-2497000,-20768000,-6644000,-2598000,-3847000,-4141000,-399000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3532000,81341000,74773000,67071000,208181000,82358000,50772000,118216000,62400000,38390000,12300000,3850000,3850000,2050000,2500000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706000,- -
89,Cash Used for Investing Activites,-38545,-1302130,-1341929,-7000,-65323000,-32882000,-19281000,-69142000,69091000,80236000,-103228000,52463000,59903000,17622000,5656000,1172000,-192000,-2166000,2101000,- -,-18000,360000,-22214000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,9734003,78224123,60648,322000,47766000,54803000,321000,1642000,2652000,1101000,564000,2085000,9042000,- -,524000,379000,- -,- -,- -,14098000,- -,4940000,1824000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-3793000,-26207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5000,50483,- -,- -,- -,- -,- -,62000,- -,298000,-9000,-85401000,-339000,-34240000,- -,- -,-46000,-284000,- -,- -,5806000,70507000,190517000
95,Cash Used/Provided by Financing Activities,9739003,78274606,60648,322000,47766000,54803000,321000,1704000,-1141000,-24808000,555000,-83316000,8703000,-34240000,524000,379000,-46000,-284000,- -,14098000,5806000,75447000,192341000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7006157,69587161,-13652539,-15183000,-38064000,-10648000,94272000,-79265000,70181000,66591000,-117364000,-30996000,68346000,-23789000,-767000,-7998000,-9291000,-14684000,-6136000,9328000,3274000,70425000,139931000
98,Cash at the End of Period,9339669,78926830,65274291,50091000,12027000,1379000,95651000,16386000,86567000,153158000,35794000,4798000,73144000,49355000,48588000,40590000,31299000,16615000,10479000,19807000,23081000,93506000,233437000
99,Cash at the Beginning of Period,2333512,9339669,78926830,65274000,50091000,12027000,1379000,95651000,16386000,86567000,153158000,35794000,4798000,73144000,49355000,48588000,40590000,31299000,16615000,10479000,19807000,23081000,93506000
100,Free Cash Flow,-2732846,-8687445,-13713187,-15505000,-20533000,-32725000,112769000,-11921000,1535000,9041000,-14691000,-143000,-260000,-7171000,-6947000,-9629000,-9248000,-12309000,-8237000,-4770000,-2532000,-5728000,-52410000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1069530/000089161802001349/0000891618-02-001349-index.html,https://www.sec.gov/Archives/edgar/data/1069530/000089161803001271/0000891618-03-001271-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312504040443/0001193125-04-040443-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312505031285/0001193125-05-031285-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312506038723/0001193125-06-038723-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312507038974/0001193125-07-038974-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312508028925/0001193125-08-028925-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312509027574/0001193125-09-027574-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312510018161/0001193125-10-018161-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312511023306/0001193125-11-023306-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312512049361/0001193125-12-049361-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000119312513046147/0001193125-13-046147-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953014000004/0001069530-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953015000003/0001069530-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953016000052/0001069530-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953017000008/0001069530-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953018000004/0001069530-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953019000019/0001069530-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953020000009/0001069530-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953021000020/0001069530-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1069530/000106953022000011/0001069530-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
