,https://roic.ai/company/GAU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2351493,-2984000,11438000,24075000,12509000,- -,- -,- -
23,Net Income,-8,-6139,-13845,-21504,-42599,-520271,-2563921,-3797797,-4193182,-3307512,-6839990,-13283380,-38152585,-1692203,-22641634,-8306000,-13216000,6077000,-141372000,-167928000,57376000,-68883000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-3.0440,-5.7108,-169.1406,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0714,0.0237,-0.8731,-Infinity,Infinity,-Infinity
25,EPS,-7.57,-0.01,-0.01,-0.01,-0.01,-0.07,-0.27,-0.24,-0.17,-0.12,-0.18,-0.27,0.51,-0.02,-0.14,-0.04,-0.07,0.03,-0.64,-0.74,0.26,- -
26,EPS Diluted,-7.57,-0.01,-0.01,-0.01,-0.01,-0.07,-0.27,-0.24,-0.17,-0.12,-0.18,-0.27,0.51,-0.02,-0.14,-0.04,-0.07,0.03,-0.64,-0.74,0.26,- -
27,Weighted Average Shares Outstanding,4633334,4633334,3909800,4746800,4590115,6648223,9601522,15594720,24605326,28233377,38018679,49177957,75347941,85043653,164415743,194357744,198973570,203333111,220108770,225867169,223655880,- -
28,Weighted Average Shares Outstanding Diluted,4633334,4633334,3909800,4746800,4798334,6648223,9601522,15594720,24605326,28233377,38018679,49177957,75347941,85043653,164415743,194357744,198973570,204394452,220108770,225867169,224919474,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,311372,323103,557921,719514,12271598,14807202,1584793,26204014,235767704,197608106,174601438,228679552,114800000,59675000,49330000,10358000,31109000,62151000,53521000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,791954,21581322,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,311372,323103,557921,719514,12271598,14807202,2376747,47785336,235767704,197608106,174601438,228679552,114800000,59675000,49330000,10358000,31109000,62151000,53521000
34,Net Receivables,- -,- -,- -,- -,- -,- -,21521,49404,132274,38838,120335,251957,244308,127089,150211,18000,24349000,7195000,2564000,4344000,2861000,7381000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1179000,32374000,33887000,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,18246,23462,31600,18731,38883,61060,84444,252659,150306,648002,220103,227645,2923000,3320000,3468000,180000,347000,529000,766000
37,Total Current Assets,- -,- -,- -,329618,346565,589521,759766,12359886,15000536,2500029,48158330,236169967,198500416,174948630,229057408,118920000,119718000,93880000,13102000,35800000,65541000,61668000
38,PP&E,- -,- -,- -,- -,- -,475478,1275070,6271800,18682079,24202909,40652707,77558746,27807453,63408180,249107178,503553000,541244000,610823000,114000,679000,591000,2102000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627394,1000,1000,- -,- -,- -,126264000,108000000,59159000,72426000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-0,- -,- -,- -,- -,-0,- -,- -,3823128,2936146,1696000,1750000,4082000,173135000,25000,78299000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,475478,1275070,6271800,18682079,24202909,40652707,77558746,28434847,67232308,252044324,505249000,542994000,614905000,299513000,108704000,138049000,74528000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,329618,346565,1065000,2034836,18631686,33682615,26702938,88811038,313728714,226935263,242180938,481101732,624169000,662712000,708785000,312615000,144504000,203590000,136196000
48,Accounts Payable,- -,- -,- -,9730,31083,40434,223459,304873,365814,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20568000,469000,36451000,- -,83000,94000,107000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,516873,1125967,5223708,4813773,4190871,15353474,34825000,46934000,47916000,3473000,2234000,3524000,2536000
53,Total Current Liabilities,- -,- -,- -,9730,31083,40434,223459,304873,365814,516873,1125967,5223708,4813773,4190871,15353474,55393000,47403000,84367000,3473000,2317000,3618000,2643000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57447225,126526000,154503000,121877000,- -,- -,- -,312000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12083658,9100000,19007000,41781000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4899640,8737634,9385102,12638318,18741000,25374000,30790000,300000,930000,1089000,478000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4899640,8737634,9385102,82169201,154367000,198884000,194448000,300000,930000,1089000,790000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597000,515000,419000
61,Total Liabilities,- -,- -,- -,9730,31083,40434,223459,304873,365814,516873,1125967,10123348,13551407,13575973,97522675,209760000,246287000,278815000,3773000,3247000,4707000,3433000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102891148,- -,- -,334423542,505468841,540133000,556256000,561441000,578853000,578385000,578750000,579591000
64,Retained Earnings,- -,- -,- -,-43147,-90899,-618798,-3206021,-7037724,-12080793,-7944034,-23135023,-37548839,-127042141,-142280546,-164922180,-173228000,-186444000,-180367000,-319272000,-487200000,-429824000,-498707000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,76265,259278,-13764,-22147,-45774,-70380,-106725,-216861,- -,36461969,43032396,47504000,46613000,48326000,49261000,50072000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,363035,406381,1648084,5031161,25386683,45443368,34200479,8035670,341371065,- -,- -,- -,- -,- -,- -,- -,- -,49957000,51879000
67,Total Stockholders Equity,- -,- -,- -,319887,315483,1024566,1811377,18326813,33316802,26186065,87685071,303605366,213383856,228604965,383579057,414409000,416425000,429400000,308842000,141257000,198883000,132763000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,329618,346565,1065000,2034836,18631686,33682615,26702938,88811038,313728714,226935263,242180938,481101732,624169000,662712000,708215000,312615000,144504000,203590000,136196000
69,Minority Interest,- -,- -,- -,0,-0,-0,-0,-0,- -,-0,-0,- -,- -,- -,- -,- -,- -,570000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,329618,346565,1065000,2034836,18631686,33682615,26702938,88811038,313728714,226935263,242180938,481101732,624169000,662712000,708785000,312615000,144504000,203590000,136196000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8,-6139,-13845,-21504,-42599,-520271,-2563921,-3797797,-4193182,-3307512,-6839990,-13283380,-38152585,-1692203,-22641634,-8306000,-13216000,6077000,-141372000,-167928000,57376000,-68883000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,4720,8866,8238,22319,31952,63404,104921,618362,149696,153930,59000,- -,- -,- -,- -,163000,148000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2351493,-2984000,9907000,22774000,11430000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,464601,2059138,8025429,11226781,1834503,2534072,1564000,983000,2720000,1645000,1789000,2168000,3175000
77,Change in Working Capital,56,-17442,18736,-10202,17153,574,174041,31441,193948,135093,-195565,1133489,-1846106,531175,-6550387,-2467000,-18660000,9828000,-29869000,-3760000,1525000,-7185000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1313000,-711000,-6879000,-1864000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1179000,-31195000,-3759000,-17691000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41803000,-1074000,- -,- -,- -,- -
81,Other Working Capital,- -,-24077,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,0,- -,- -,161165,1505679,2228245,1662208,135985,722706,38012,4798128,-10437743,6013034,1366000,75948000,81839000,191595000,161151000,-67636000,59810000
83,Cash Provided by Operating Activities,49,-23581,4891,-31706,-25447,-353813,-875335,-1529873,-2314706,-2539881,-4190308,-3981529,-23355420,-9614572,-22842478,-10768000,54962000,123238000,33429000,-8748000,-6404000,-12935000
84,CAPEX,- -,- -,- -,- -,- -,-210180,-1630648,-5019662,-11160392,-282563,-210664,-987811,-2331250,-1443031,-64522407,-219034000,-132355000,-123815000,-53912000,-39000,-76000,-1501000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82351619,- -,- -,- -,-4795000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-791954,-20600353,-150138,-1923415,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372038,- -,- -,- -,- -,- -,- -,165000000,30000000,37500000,5000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-25754,- -,- -,- -,-8633506,-9190578,-21852747,-9225294,-13438684,2364139,-786000,26414000,464000,-23985000,210000,506000,407000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-235935,-1630648,-5019662,-11160392,-9708022,-30001595,-22618658,-13479959,-14881715,20193351,-219820000,-105941000,-123351000,82308000,30171000,37930000,3906000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-163754000,-39000,-117000,-128000
91,Common Stock Issued,1,63452,262465,- -,- -,797450,2646567,18094010,14528763,1762488,58730057,213268132,2331272,- -,1750898,34530000,5235000,3572000,17412000,- -,- -,- -
92,Common Stock Repurchased,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-958000,-2296000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,9709,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3823128,57243862,85960000,-9134000,-13623000,-8299000,332000,1893000,569000
95,Cash Used/Provided by Financing Activities,1,63451,262465,9709,- -,797450,2646567,18094010,14528763,1762488,58730057,213268132,2331272,-3823128,58994760,120490000,-3899000,-10051000,-154641000,-665000,-520000,441000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-297175,-1020491,-4217239,-1691059,-2267519,-3782000,-247000,-181000,-68000,-7000,36000,-42000
97,Net Change In Cash,1,39871,267355,-21998,-25447,207703,140583,11544475,1053666,-10485416,24240979,185647454,-38721346,-30010474,54078114,-113880000,-55125000,-10345000,-38972000,20751000,31042000,-8630000
98,Cash at the End of Period,50,39916,306799,311372,323103,557921,719514,12271598,14807202,1584793,26204014,235767704,197608106,174601438,228679552,114800000,59675000,49330000,10358000,31109000,62151000,53521000
99,Cash at the Beginning of Period,- -,46,39443,333369,348549,350218,578930,727123,13753536,12070209,1963035,50120250,236329452,204611912,174601438,228680000,114800000,59675000,49330000,10358000,31109000,62151000
100,Free Cash Flow,49,-23581,4891,-31706,-25447,-563993,-2505984,-6549535,-13475098,-2822444,-4400972,-4969340,-25686670,-11057603,-87364885,-229802000,-77393000,-577000,-20483000,-8787000,-6480000,-14436000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
