,https://roic.ai/company/TCMD,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-364000,-353000,-615000,-833000,-3820000,-9546000,-5988000,-2059000,-2355000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-79829000
86,Purchases of Investments,- -,- -,- -,-11011000,-12051000,-21680000,-22840000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2000000,17000000,26493000,22500000,- -
88,Other Investing Activites,- -,- -,- -,- -,-145000,-500000,- -,-262000,-252000
89,Cash Used for Investing Activites,-364000,-353000,-615000,-11844000,-14016000,-14726000,-2335000,20179000,-82184000
90,Debt Repayment,-32000,-9000,-13000,- -,- -,- -,- -,-1854000,- -
91,Common Stock Issued,- -,- -,- -,41200000,- -,- -,- -,1068000,- -
92,Common Stock Repurchased,-105000,- -,- -,- -,-493000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-8207000,- -,- -,- -,- -,- -
94,Other Financing Activites,-1938000,230000,914000,-4541000,3584000,1850000,2496000,2898000,59927000
95,Cash Used/Provided by Financing Activities,-2075000,221000,901000,28452000,3091000,1850000,2496000,2112000,59927000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2864000,-1123000,1644000,23641000,-6733000,-3869000,2671000,25085000,-19626000
98,Cash at the End of Period,6539000,5416000,7060000,30701000,23968000,20099000,22770000,47855000,28229000
99,Cash at the Beginning of Period,9403000,6539000,5416000,7060000,30701000,23968000,20099000,22770000,47855000
100,Free Cash Flow,-789000,-1344000,743000,6200000,372000,-539000,-3478000,735000,276000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1027838/000155837017001072/0001558370-17-001072-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837018001091/0001558370-18-001091-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837019001320/0001558370-19-001320-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837020001467/0001558370-20-001467-index.html,https://www.sec.gov/Archives/edgar/data/1027838/000155837021001465/0001558370-21-001465-index.htm,https://www.sec.gov/Archives/edgar/data/1027838/000155837022001758/0001558370-22-001758-index.htm
102,false,,,,,,,,,
