,https://roic.ai/company/AVCO,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,-14000,- -,-600000,-500000,-1410000,- -,- -
91,Common Stock Issued,- -,40000,3635000,5150000,7551013,6273744,34629,155700
92,Common Stock Repurchased,- -,- -,- -,-50625,-522500,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4300,150000,5002850,-1486296,1291166,7629652,5014432
95,Cash Used/Provided by Financing Activities,- -,30300,3785000,9502225,5042217,6154910,7664281,5170132
96,Effect of Forex Changes on Cash,- -,- -,-92047,-7241,-113126,-9468,12690,3443
97,Net Change In Cash,- -,30300,2776603,140844,-774746,-1487396,-38314,80961
98,Cash at the End of Period,- -,194,2886189,3027033,2252287,764891,726577,807538
99,Cash at the Beginning of Period,- -,- -,109586,2886189,3027033,2252287,764891,726577
100,Free Cash Flow,- -,-30106,13650,-2269591,-4509172,-7457325,-7546100,-5041981
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1630212/000161577418001839/0001615774-18-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390019004862/0001213900-19-004862-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390020008655/0001213900-20-008655-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390021018744/0001213900-21-018744-index.htm,https://www.sec.gov/Archives/edgar/data/1630212/000121390022016231/0001213900-22-016231-index.htm
102,false,,,,,,,,
