,https://roic.ai/company/JOBS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,4531007,7908125,10619542,16311853,19006812,21038630,26019000,31191000,29387000,28004000,28996000,33691000,48227000,55948000,62776000,63667000,95569000,135273000,137009000,- -
15,EBITDA,-22957650,7217592,43700420,105820808,107716548,146799634,170222974,133796000,175908000,321129000,495568000,594681000,634639000,600172000,800306000,763453000,605049000,1590322000,903481000,1422702000,1009094000
16,EBITDA ratio,-0.1882,0.0457,0.1560,0.2320,0.1808,0.2105,0.2013,0.1641,0.2273,0.3111,0.3813,0.4109,0.3945,0.3275,0.3894,0.3265,0.2124,0.4253,0.2259,0.3857,0.2283
17,Operating Income,-23282836,2270802,33781673,90388466,77020140,114585604,140885773,96782000,120314000,272164000,441196000,485545000,488647000,523613000,567706000,611839000,870760000,1150200000,1205785000,867105000,551339000
18,Operating Income ratio,-0.1909,0.0144,0.1206,0.1982,0.1293,0.1643,0.1666,0.1187,0.1555,0.2637,0.3395,0.3355,0.3038,0.2857,0.2762,0.2617,0.3057,0.3076,0.3014,0.2351,0.1247
19,Total Other Income Expenses (Gains),325186,415783,2010622,4812801,14384555,13207218,8298571,10995000,24403000,19578000,26368000,80140000,112301000,28332000,176392000,88047000,-328504000,336675000,-443693000,392740000,213290000
20,Income Before Tax,-22957650,2686585,35792295,95201266,91404695,127792822,149184344,107777000,144717000,291742000,467564000,565685000,600948000,551945000,744098000,699886000,542256000,1486875000,762092000,1259845000,764629000
21,Income Before Tax Ratio,-0.1882,0.0170,0.1278,0.2087,0.1534,0.1833,0.1765,0.1322,0.1870,0.2826,0.3598,0.3908,0.3736,0.3012,0.3621,0.2993,0.1904,0.3976,0.1905,0.3415,0.1730
22,Income Tax expense (Gain),- -,-1259187,3192013,34058205,29957279,28535489,45466818,31176000,32205000,57081000,81056000,95579000,100308000,113035000,126301000,134699000,169493000,242434000,235890000,188417000,155721000
23,Net Income,-22957650,3945772,32600282,61143062,61447417,99257333,103717526,76601000,112512000,234661000,386508000,470106000,500640000,438910000,618057000,565978000,371889000,1252319000,532318000,1097276000,640683000
24,Net Income ratio,-0.1882,0.0250,0.1164,0.1341,0.1031,0.1424,0.1227,0.0939,0.1454,0.2273,0.2974,0.3248,0.3112,0.2395,0.3007,0.2420,0.1306,0.3349,0.1331,0.2974,0.1449
25,EPS,-1.72,0.09,0.83,1.32,1.10,1.79,1.84,1.35,2.03,4.23,6.81,8.17,8.55,7.51,10.71,9.74,6.19,20.42,8.18,16.35,9.50
26,EPS Diluted,-1.72,0.07,0.75,1.26,1.07,1.76,1.83,1.35,2.02,4.13,6.54,7.92,8.33,7.35,10.41,9.68,6.08,19.82,7.98,16.12,9.40
27,Weighted Average Shares Outstanding,13347471,20458304,26594228,35593374,55607716,55422447,56279193,56581719,55559252,55485256,56754240,57510591,58551925,58475397,57714850,58132976,60087306,61318292,65049597,67101601,67429296
28,Weighted Average Shares Outstanding Diluted,13347471,24794150,29323325,37483019,57254454,56409260,56631598,56709513,55768866,56814503,59067424,59375123,60069197,59691993,62498651,58474068,61150413,63175483,66683457,68056724,68185891
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295484/000114554906000915/h00614e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000114554907001142/h01316e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000114554908001158/h02252e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000136231009006024/c84407e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000095012310035371/c99291e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000095012311034440/c15408e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465912024846/a12-2039_120f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000119312513151844/d457448d20f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000104746914003121/a2219257z20-f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465915024169/a14-25053_120f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465916108848/0001104659-16-108848-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465917020694/0001104659-17-020694-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465918021376/0001104659-18-021376-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465919018425/0001104659-19-018425-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465920049912/jobs-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30339579,68637212,115084629,848293115,830973206,867963585,1008970345,1058310000,957407000,1192888000,783699000,1122557000,1065543000,1074096000,1125352000,1921074000,2292476000,1968351000,2294904000,3292698000,10539923000
32,Short-Term Investments,- -,- -,- -,- -,10558846,- -,- -,16100000,257310000,406943000,1270343000,1408845000,2081964000,3420650000,3825547000,4159318000,4839550000,6865886000,7645686000,7469213000,47116000
33,Cash and Short-Term Investments,30339579,68637212,115084629,848293115,841532053,867963585,1008970345,1074410000,1214717000,1599831000,2054042000,2531402000,3147507000,4494746000,4950899000,6080392000,7132026000,8834237000,9940590000,10761911000,10587039000
34,Net Receivables,- -,4977816,17419256,23252479,22231949,33261913,29746286,24022000,22137000,37785000,68900000,88919000,110464000,146911000,150605000,148590000,238235000,304296000,406192000,392013000,382164000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9321502,6020027,13069568,22102056,29145165,17572508,38117907,42820000,40690000,122494000,189949000,267122000,322651000,404107000,458794000,490603000,507980000,538457000,595622000,393705000,561677000
37,Total Current Assets,39661081,79635055,145573453,893647650,892909167,918798006,1076834538,1141252000,1277544000,1760110000,2312891000,2887443000,3580622000,5045764000,5560298000,6719585000,7878241000,9676990000,10942404000,11547629000,11530880000
38,PP&E,- -,13687416,17849529,22534888,32371110,194150982,206280849,205805000,181943000,202699000,192120000,280657000,519277000,519558000,559404000,526541000,497845000,527020000,592741000,581026000,2594932000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217394000,217394000,1021454000,1036124000,1036124000,1036124000,1036124000
40,Intangible Assets,- -,7422979,7712595,6126750,11385492,9355144,6881385,4669000,5301000,4805000,4290000,3919000,3652000,7696000,56105000,73620000,162024000,244446000,203162000,163503000,126497000
41,Intangible Assets,- -,7422979,7712595,6126750,11385492,9355144,6881385,4669000,5301000,4805000,4290000,3919000,3652000,7696000,273499000,291014000,1183478000,1280570000,1239286000,1199627000,1162621000
42,Investments,- -,- -,- -,- -,- -,- -,- -,15927000,15912000,15433000,- -,- -,- -,- -,22800000,189017000,433886000,729095000,1482544000,2295439000,2220378000
43,Tax Assets,- -,- -,151366,376126,412483,504069,1198033,405000,285000,110000,86000,- -,632000,76000,683000,765000,12912000,15005000,22147000,38013000,52793000
44,Other Non-Current Assets,20509537,2915291,14117433,14697417,26735266,3853361,13843127,6311000,31531000,4853000,48649000,69343000,18808000,8626000,5578000,8988000,17370000,9736000,10420000,13946000,14065000
45,Total Non-Current Assets,20509537,24025687,39830923,43735180,70904351,207863556,228203394,233117000,234972000,227900000,245145000,353919000,542369000,535956000,861964000,1016325000,2145491000,2561426000,3347138000,4128051000,6044789000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,60170618,103660742,185404376,937382830,963813518,1126661563,1305037932,1374369000,1512516000,1988010000,2558036000,3241362000,4122991000,5581720000,6422262000,7735910000,10023732000,12238416000,14289542000,15675680000,17575669000
48,Accounts Payable,- -,4791974,11140039,9820038,7361054,9683318,9818028,10511000,9896000,15551000,20326000,17146000,22858000,22632000,24096000,32516000,35532000,49881000,48114000,83087000,136999000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,87639000,- -,- -,- -,- -,- -,- -,- -,1257709000,- -,1725182000,34817000,34952000,94593000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,13337000,15696000,39795000,54623000,65858000,78100000,110391000,114162000,155786000,230734000,191793000,267596000,172254000,212873000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,87639000,118277000,186191000,290460000,422578000,603706000,721724000,878002000,1124887000,1518775000,1935099000,2066865000,1951030000,1163615000
52,Other Current Liabilities,19806795,21233259,44956182,75744021,102223831,129273770,166548519,-38993000,59193000,129829000,139703000,133625000,159325000,219618000,233940000,287910000,488347000,499306000,683666000,741348000,1567684000
53,Total Current Liabilities,19806795,26025232,56096221,85564059,109584885,138957088,176366546,146796000,187366000,331571000,450489000,573349000,785889000,963974000,1136038000,2703022000,2042654000,4209468000,2833462000,2810417000,2962891000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1111207000,1108877000,- -,1667967000,- -,50763000,44949000,1035276000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,32078,23535,- -,- -,122655,525966,730000,1011000,1583000,1972000,1985000,5983000,12593000,34785000,57166000,121348000,210752000,214307000,232087000,224571000
57,Other Non-Current Liabilities,849621,- -,- -,8,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8450000,- -,228230000,225645000,216974000,189811000,- -
58,Total Non-Current Liabilities,849621,32078,23535,8,- -,122655,525966,730000,1011000,1583000,1972000,1985000,5983000,1123800000,1152112000,57166000,2017545000,436397000,482044000,466847000,1259847000
59,Other Liabilities,- -,64155,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85580000,79901000,79869000
61,Total Liabilities,20656416,26057310,56119756,85564068,109584885,139079742,176892512,147526000,188377000,333154000,452461000,575334000,791872000,2087774000,2288150000,2760188000,4060199000,4645865000,3315506000,3277264000,4222738000
62,Preferred Stock,- -,11333,11333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,23427,23816,46043,45470,46395,43830,47000,46000,47000,47000,48000,48000,48000,48000,49000,50000,50000,53000,54000,54000
64,Retained Earnings,- -,-71311843,-47311299,6545699,25200187,123258623,226121446,301443000,413534000,648752000,1034739000,1505233000,2004361000,2440942000,3056552000,3622402000,3993777000,5242691000,5774358000,6871090000,7511407000
65,Other Comprehensive Income/Loss,- -,-3986947,-37306253,-23899234,-19787026,5105140,6676843,8001000,8435000,8124000,8970000,8573000,9997000,12317000,15654000,45642000,150821000,271464000,272454000,295449000,295400000
66,Other Total Stockholders Equity,39514202,152867462,213867023,869126255,848770002,859171662,895303300,917352000,902124000,997933000,1061819000,1152174000,1316713000,1040639000,1052788000,1299350000,1809732000,2055036000,4901466000,5206154000,5363570000
67,Total Stockholders Equity,39514202,77603432,129284620,851818762,854228632,987581820,1128145420,1226843000,1324139000,1654856000,2105575000,2666028000,3331119000,3493946000,4125042000,4967443000,5954380000,7569241000,10948331000,12372747000,13170431000
68,Total Liabilities And Stockholders Equity,60170618,103660742,185404376,937382830,963813518,1126661563,1305037932,1374369000,1512516000,1988010000,2558036000,3241362000,4122991000,5581720000,6413192000,7727631000,10014579000,12215106000,14263837000,15650011000,17393169000
69,Minority Interest,- -,-0,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,9070000,8279000,9153000,23310000,25705000,25669000,182500000
70,Total Liabilities & Equity,60170618,103660742,185404376,937382830,963813518,1126661563,1305037932,1374369000,1512516000,1988010000,2558036000,3241362000,4122991000,5581720000,6422262000,7735910000,10023732000,12238416000,14289542000,15675680000,17575669000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295484/000114554906000915/h00614e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000114554907001142/h01316e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000114554908001158/h02252e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000136231009006024/c84407e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000095012310035371/c99291e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000095012311034440/c15408e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465912024846/a12-2039_120f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000119312513151844/d457448d20f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000104746914003121/a2219257z20-f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465915024169/a14-25053_120f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465916108848/0001104659-16-108848-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465917020694/0001104659-17-020694-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465918021376/0001104659-18-021376-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465919018425/0001104659-19-018425-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465920049912/jobs-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3945772,32600282,61143062,61447417,99257333,103717526,76601000,112512000,234661000,386508000,470106000,500640000,438910000,618057000,565978000,371889000,1252319000,532318000,1097276000,- -
74,Depreciation and Amortization,- -,4531007,7908125,10619542,16311853,19006812,21038630,26019000,31191000,29387000,28004000,28996000,33691000,48227000,55948000,62776000,63667000,95569000,135273000,137009000,- -
75,Deferred Income Tax,- -,-2187599,-38651,-3238437,1522711,1514352,-854694,3623000,-2259000,-1020000,-3880000,2498000,2252000,6667000,18129000,14419000,12787000,18531000,-3587000,-5880000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,27434000,27020000,23962000,37974000,50538000,64858000,81380000,85945000,86070000,85968000,104965000,126149000,143806000,- -
77,Change in Working Capital,- -,7156011,6795368,16712832,16650585,27067212,21593816,-32457000,44588000,50337000,22963000,15574000,136375000,57002000,92558000,266567000,396507000,368819000,133254000,71872000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,10182000,503000,-15412000,-11123000,-10555000,-10909000,-13666000,-25030000,-20071000,-74356000,-54905000,-59171000,-38570000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-63000,-817000,5657000,5357000,-3523000,6013000,-522000,750000,7474000,2565000,14958000,-1502000,34589000,- -
81,Other Working Capital,- -,-25157,-723096,-563502,227673,117602,9080214,11418000,29258000,69701000,102810000,47870000,73547000,77189000,72716000,91795000,234523000,188319000,-17782000,50086000,- -
82,Other Non-Cash Items,- -,8808854,18701574,20575466,26143261,38226869,48096647,18647000,1403000,6881000,25386000,6848000,8795000,123428000,-6187000,91067000,510885000,-47261000,838366000,-38776000,- -
83,Cash Provided by Operating Activities,- -,22254045,65966698,105812464,122075825,185072579,193591925,119867000,214455000,344208000,496955000,574560000,746611000,755614000,864450000,1086877000,1441703000,1792942000,1761773000,1405307000,- -
84,CAPEX,- -,-6347168,-8839765,-12006786,-54413573,-154825624,-32507606,-24379000,-31694000,-24817000,-59970000,-137889000,-223665000,-39898000,-92562000,-46604000,-25642000,-170713000,-34457000,-47668000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1318000,- -,- -,-231531000,-8450000,-734895000,-27923000,- -,- -,- -
86,Purchases of Investments,- -,- -,-10732348,- -,- -,- -,-8802621,-24072000,-241210000,-149633000,-863400000,-138502000,-673119000,-1338244000,-419589000,-433539000,-673719000,-2162061000,-1649905000,-739052000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,10545604,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80500000,6285000,183435000,- -
88,Other Investing Activites,- -,-3304610,-770944,-1797989,- -,- -,- -,-43000,-2947000,-1564000,-1100000,-1129000,-1557000,-6611000,-6128000,-27011000,-1987000,-83660000,-8993000,-1941000,- -
89,Cash Used for Investing Activites,- -,-9651778,-20343057,-13804775,-54413573,-144280020,-41310227,-48451000,-272904000,-174450000,-923370000,-275073000,-896784000,-1378142000,-743682000,-489328000,-1434256000,-2280197000,-1678532000,-604885000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,25819009,746226,640964646,1546657,6094050,4478014,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-75674926,- -,- -,-6248000,-47311000,-21300000,-648000,- -,- -,-153684000,-157272000,- -,- -,-75000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,2147000,5062000,93148000,26560000,39818000,99681000,784904000,83476000,160493000,424415000,145196000,281376000,161133000,- -
95,Cash Used/Provided by Financing Activities,- -,25819009,746226,640964646,-74128269,6094050,4478014,-4101000,-42249000,71848000,25912000,39818000,99681000,631220000,-73796000,160493000,424415000,145121000,281376000,161133000,- -
96,Effect of Forex Changes on Cash,- -,-123393,76962,236143,-11200326,-8854100,-17736734,-16525000,-205000,-6125000,-8686000,-447000,-6522000,-139000,4284000,37680000,-60460000,23530000,22335000,-27672000,- -
97,Net Change In Cash,- -,38297875,46446837,733208486,-17666344,38032509,139022977,50790000,-100903000,235481000,-409189000,338858000,-57014000,8553000,51256000,795722000,371402000,-318604000,386952000,933883000,- -
98,Cash at the End of Period,- -,68637212,115084629,848293115,830973206,867963585,1008970345,1058310000,957407000,1192888000,783699000,1122557000,1065543000,1074096000,1125352000,1921074000,2292476000,1974121000,2361073000,3294956000,- -
99,Cash at the Beginning of Period,- -,30339337,68637792,115084629,848639550,829931076,869947367,1007520000,1058310000,957407000,1192888000,783699000,1122557000,1065543000,1074096000,1125352000,1921074000,2292725000,1974121000,2361073000,- -
100,Free Cash Flow,- -,15906877,57126934,93805678,67662252,30246955,161084319,95488000,182761000,319391000,436985000,436671000,522946000,715716000,771888000,1040273000,1416061000,1622229000,1727316000,1357639000,- -
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295484/000114554906000915/h00614e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000114554907001142/h01316e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000114554908001158/h02252e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000136231009006024/c84407e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000095012310035371/c99291e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000095012311034440/c15408e20vf.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465912024846/a12-2039_120f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000119312513151844/d457448d20f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000104746914003121/a2219257z20-f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465915024169/a14-25053_120f.htm,https://www.sec.gov/Archives/edgar/data/1295484/000110465916108848/0001104659-16-108848-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465917020694/0001104659-17-020694-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465918021376/0001104659-18-021376-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465919018425/0001104659-19-018425-index.html,https://www.sec.gov/Archives/edgar/data/1295484/000110465920049912/jobs-20191231x20f.htm,- -,undefined
102,Forex Rate,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
