,https://roic.ai/company/NIOBF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,100584,122862,169813,19276,337688,72812,301127,453510,2231940,13188,33702,2809368,756657,4412000,238000,73000,357000,307000,7317000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22122,57026,22495,45920,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,100584,122862,169813,19276,337688,72812,301127,453510,2231940,35310,90728,2831864,802577,4412000,238000,73000,357000,307000,7317000
34,Net Receivables,- -,- -,- -,- -,1907,13576,18474,32934,9106,1467,4635,18622,69002,69369,5483,43702,13699,5000,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,-0,- -,- -,0,11668,2451,5384,43793,192053,50935,8909,25199,58089,101000,417000,492000,71000,31000,24000
37,Total Current Assets,- -,- -,- -,- -,102491,136438,188288,52210,358462,76730,311145,515924,2492995,155614,105120,2900765,874365,4518000,655000,565000,428000,338000,7341000
38,PP&E,- -,- -,- -,- -,18631,314064,5867,- -,3153,2307,3936,1580110,18506269,14111251,11726415,13649882,28792403,10631000,- -,- -,- -,- -,17078000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,23000,12000,5000,7000,16000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,29211,- -,55187,22438,- -,- -,- -,- -,63259,57858,75326,62912,66974,65000,10673000,10652000,10652000,10652000,35000
45,Total Non-Current Assets,- -,- -,- -,- -,47841,314064,61054,22438,3153,2307,3936,1580110,18569529,14169108,11801741,13712794,28859377,10728000,10696000,10664000,10657000,10659000,17129000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,150332,450502,249341,74647,361615,79037,315081,2096035,21062524,14324722,11906861,16613559,29733742,15246000,11351000,11229000,11085000,10997000,24470000
48,Accounts Payable,- -,- -,- -,- -,14069,16543,45872,80222,74536,104098,- -,- -,- -,369100,353041,978393,4461947,1256000,- -,- -,- -,2460000,163000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3336000,2236000,2280000,4914000,3510000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,59316,19659,4898,5385,5636,5895,50359,144272,785845,1006430,1220927,857100,2114661,1000000,3146000,1694000,2941000,638000,245000
53,Total Current Liabilities,- -,- -,- -,- -,73386,36202,50770,85607,80173,109993,50359,144272,785845,1375530,1573969,1835493,6576608,2256000,6482000,3930000,5221000,8012000,3918000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6466000,1896000,4106000,1012000,344000,6889000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4852765,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000,82000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4852765,- -,- -,- -,- -,6796000,1978000,4106000,1012000,344000,6889000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,4454,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000
61,Total Liabilities,- -,- -,- -,- -,73386,36202,50770,85607,80173,109993,50359,144272,5638610,1375530,1573969,1835493,6576608,9052000,8460000,8036000,6233000,8356000,10807000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27673215,33448134,42357409,58401000,68029000,74683000,82939000,84476000,113882000
64,Retained Earnings,- -,- -,- -,- -,-2121438,-2572498,-3412813,-3984588,-5399347,-6015577,-5566153,-7844162,-15863414,-18013576,-20250138,-21537111,-25629553,-60222000,-74852000,-83349000,-90685000,-94686000,-99076000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-63201,-84854,- -,-556,-1572,-1681,-5259,-10627,-13812,-16256,-22327,-4942,- -,- -,- -,- -,- -,-1143000
66,Other Total Stockholders Equity,- -,- -,- -,- -,2198385,3049998,3696238,3973629,5681345,5986193,5832555,9801183,31297955,30976579,2926071,2889369,6434220,8015000,9714000,11859000,12598000,12851000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,76946,414300,198571,-10959,281442,-30956,264722,1951763,15423914,12949192,10332892,14778066,23157134,6194000,2891000,3193000,4852000,2641000,13663000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,150332,450502,249341,74647,361615,79037,315081,2096035,21062524,14324722,11906861,16613559,29733742,15246000,11351000,11229000,11085000,10997000,24470000
69,Minority Interest,- -,- -,- -,- -,- -,- -,0,- -,- -,0,-0,- -,0,- -,0,- -,-0,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,150332,450502,249341,74647,361615,79037,315081,2096035,21062524,14324722,11906861,16613559,29733742,15246000,11351000,11229000,11085000,10997000,24470000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512228/000161577417004839/0001615774-17-004839-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000161577418009046/0001615774-18-009046-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000121390019017175/0001213900-19-017175-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000178598220000846/0001785982-20-000846-index.htm,https://www.sec.gov/Archives/edgar/data/1512228/000153949721001306/0001539497-21-001306-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-31433,-20107,-15308,-39530,-81637,-429068,-613271,-232271,-1228724,-368490,-292322,-1713790,-7326130,-2165845,-2836809,-1566556,-7118683,-11408000,-14630000,-8497000,-7336000,-4001000,-4390000
74,Depreciation and Amortization,425,48,232,403,454,63201,16075,6450,556,990,303,3408,4903,3693,2905,6295,9323,9000,9000,6000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-34204,- -,- -,-76756,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55120,636496,875277,205321,264278,381716,2330186,1049000,1471000,1295000,604000,153000,797000
77,Change in Working Capital,14390,- -,- -,- -,29105,71131,37282,-170915,311686,-311552,294049,110866,1335497,-2927067,-248932,2534121,-6767515,7964243,-8089000,2462000,-1428000,-2881000,11097000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48035,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,29105,100236,137518,-33397,278289,-33263,260786,371653,1707150,-1219916,-1468849,1065272,-5702243,2262000,-5827000,-3365000,-4793000,-7674000,3423000
82,Other Non-Cash Items,6826,18640,-11370,16926,20049,91086,360299,99167,664217,490417,-316716,-111688,3122316,3730368,2405392,-2879126,8663748,-8588243,10568000,-1361000,3805000,3680000,-12230000
83,Cash Provided by Operating Activities,-9792,-1419,-26445,-22201,-32029,-237854,-199615,-297569,-329021,-188634,-259565,-1074708,-1988136,-1153530,-413167,-1523551,-2882941,-10974000,-10671000,-6095000,-4355000,-3049000,-4726000
84,CAPEX,-443,-433,-1238,-339,-47841,-346636,- -,- -,-286808,-91736,-2216,-550453,-49090,-1161,- -,-96438,-667488,-4000,- -,- -,- -,- -,-6305000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,11369,3987,- -,1197,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1321,3617,1321,-7355,5725,- -,-72533,130138,-76062,- -,- -,-193593,-2905827,-1686151,-13518,-1270601,-12860651,- -,9000,15000,- -,- -,- -
89,Cash Used for Investing Activites,10048,7604,83,-6497,-42116,-346636,-72533,130138,-362870,-91736,-2216,-744045,-2954918,-1687312,-13518,-1367040,-13528139,-4000,9000,15000,- -,- -,-6305000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14256,-140596,- -,-1100000,- -,- -,- -,- -,-1906000
91,Common Stock Issued,- -,- -,25508,25387,168228,617630,326520,- -,1265665,- -,540936,1987477,7360566,764772,354528,5050209,13695625,9993000,5673000,1545000,3794000,470000,10677000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41862,-46865,-679155,-36078,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,4454,-11904,-18265,- -,-256261,- -,- -,- -,0,- -,107367,757108,994775,5509000,1123000,4142000,866000,2534000,9303000
95,Cash Used/Provided by Financing Activities,- -,- -,25508,25387,172683,605726,308255,- -,1009403,- -,499074,1940613,6681411,728694,447638,5666722,14690400,14402000,6796000,5687000,4660000,3004000,18074000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62721,235000,-43000,-37000,-21000,-5000,-33000
97,Net Change In Cash,256,6185,-854,-3310,98537,21236,36107,-167430,317512,-280370,237293,121859,1738357,-2112147,20953,2776132,-1657959,3659000,-3909000,-430000,284000,-50000,7010000
98,Cash at the End of Period,-63,6122,5138,1817,100584,122862,169813,19276,337688,72812,301127,453510,2231940,13188,33702,2809368,756657,4412000,503000,73000,357000,307000,7317000
99,Cash at the Beginning of Period,-320,-63,5991,5128,2046,101626,133706,186706,20176,353182,63834,331651,493583,2125336,12749,33237,2414616,753000,4412000,503000,73000,357000,307000
100,Free Cash Flow,-10235,-1853,-27684,-22540,-79871,-584490,-199615,-297569,-615829,-280370,-261781,-1625161,-2037226,-1154691,-413167,-1619989,-3550428,-10978000,-10671000,-6095000,-4355000,-3049000,-11031000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512228/000161577417004839/0001615774-17-004839-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000161577418009046/0001615774-18-009046-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000121390019017175/0001213900-19-017175-index.html,https://www.sec.gov/Archives/edgar/data/1512228/000178598220000846/0001785982-20-000846-index.htm,https://www.sec.gov/Archives/edgar/data/1512228/000153949721001306/0001539497-21-001306-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
