,https://roic.ai/company/SGBX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023994/000121390014002426/0001213900-14-002426-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390015002223/0001213900-15-002223-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390016015154/0001213900-16-015154-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390017001664/0001213900-17-001664-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390018002467/0001213900-18-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390019005149/0001213900-19-005149-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390020008003/0001213900-20-008003-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390021021736/0001213900-21-021736-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,370000,10000,949157,1888813,346107,253187,265685,215087,164334,122946,91660,61812,50288,19698,9004,5586,561759,868067,594248,884188,466997,549100,4870824,1368395,1625671,13010356
32,Short-Term Investments,- -,- -,- -,3598116,- -,- -,- -,- -,- -,- -,10500,1820,224,- -,- -,- -,- -,39110,39249,39375,39399,30003,30017,30033,- -,- -,- -
33,Cash and Short-Term Investments,- -,370000,10000,4547273,1888813,346107,253187,265685,215087,164334,133446,93480,62036,50288,19698,9004,5586,600869,907316,633623,923587,497000,579117,4900857,1368395,1625671,13010356
34,Net Receivables,- -,- -,- -,79196,3371,9507,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183828,284395,246519,165933,86035,267867,3067050,2006651,1207200,2635608
35,Inventory,- -,- -,- -,- -,37170,34727,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48011,34052,198970,158181,9445,- -,- -,- -,778144
36,Other Current Assets,- -,- -,190000,103232,103721,32092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25946,37881,15493,7717,- -,124720,183890,986687,73938,1873911
37,Total Current Assets,- -,370000,200000,4729701,2033075,422433,253187,265685,215087,164334,133446,93480,62036,50288,19698,9004,5586,810643,1277603,929687,1296207,741216,981149,8151797,4361733,2906809,18298019
38,PP&E,- -,150000,100000,128959,110053,52013,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8058,6064,11867,10957,7230,5559,6796,71337,11747,2683014
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4162173,4162173,4162173,1223520,1309330
40,Intangible Assets,- -,- -,- -,- -,447930,45491,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3587250,3028247,2443929,2298805,2218609
41,Intangible Assets,- -,- -,- -,- -,447930,45491,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7749423,7190420,6606102,3522325,3527939
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,654314,18505,18505,18505,- -,18150,- -,- -,- -,- -,- -,- -,- -,- -,103632,56830,41919,9103,- -,- -,- -,193730,- -
45,Total Non-Current Assets,- -,150000,100000,128959,1212297,116009,18505,18505,- -,18150,- -,- -,- -,- -,- -,- -,- -,8058,109696,68697,52876,16333,7754982,7197216,6677439,3727802,6210953
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,520000,300000,4858660,3245372,538442,271692,284190,215087,182484,133446,93480,62036,50288,19698,9004,5586,818701,1387299,998384,1349083,757549,8736131,15349013,11039172,6634611,24508972
48,Accounts Payable,- -,- -,- -,- -,- -,128791,72632,33831,14106,13525,7350,7000,7600,6650,- -,- -,9076,558277,343080,306144,411547,531639,350772,- -,- -,- -,3961961
49,Short-Term Debt,- -,- -,- -,- -,- -,2496,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1802612,874226,5090545,- -,- -,- -,- -,326654
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201117,379765,306927,198554,121266,- -,1334887,168957,- -
52,Other Current Liabilities,- -,- -,500000,232824,174733,- -,- -,- -,- -,- -,- -,- -,- -,- -,11650,11220,3930,444963,681307,598412,683504,216448,384461,3821139,2624218,2105505,2946066
53,Total Current Liabilities,- -,- -,500000,232824,174733,131287,72632,33831,14106,13525,7350,7000,7600,6650,11650,11220,13006,1003240,1225504,3086933,2276204,6037186,856499,3821139,3959105,2274462,7234681
54,Long-Term Debt,- -,- -,- -,- -,- -,9755,- -,- -,- -,- -,- -,- -,- -,- -,- -,22500,37500,- -,685692,- -,2402176,600000,2446337,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,9755,- -,-1,- -,- -,- -,- -,- -,- -,- -,22500,37500,- -,685692,- -,2402176,600000,2446337,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1209594
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,1536248
61,Total Liabilities,- -,- -,500000,232824,174733,141042,72632,33830,14106,13525,7350,7000,7600,6650,11650,33720,50506,1003240,1911196,3086933,4678380,6637186,3302836,3821139,3959105,2274462,8444275
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1801670,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,29725,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,31200,32700,397795,421981,432231,429189,429189,1638,42601,42601,11579,85962
64,Retained Earnings,- -,-720000,-1600000,-2813698,-5170505,-7843744,-8042084,-7990784,-8040163,-8090335,-8125548,-8156484,-8186932,-8197506,-8233096,-8265860,-8301064,-5270751,-7036776,-9200078,-10737393,-13480509,-1306576,-5819256,-10663277,-17583817,- -
65,Other Comprehensive Income/Loss,- -,-30000,-100000,- -,- -,-48081,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7865,-10848,-14826,-18553,-21617,-24571,-31335,-9000,- -
66,Other Total Stockholders Equity,- -,1270000,1500000,7409809,8209944,8258025,8209944,8209944,8209944,8228094,8220444,8211764,8210168,8209944,8209944,8209944,8223444,4688417,6098763,6690146,6993733,7190236,4958180,17329100,17732078,21941387,18167294
67,Total Stockholders Equity,- -,520000,-200000,4625836,3070639,397400,199060,250360,200981,168959,126096,86480,54436,43638,8048,-24716,-44920,-184539,-523897,-2088549,-3329297,-5879637,5433295,11527874,7080067,4360149,18253256
68,Total Liabilities And Stockholders Equity,- -,520000,300000,4858660,3245372,538442,271692,284190,215087,182484,133446,93480,62036,50288,19698,9004,5586,818701,1387299,998384,1349083,757549,8736131,15349013,11039172,6634611,26697531
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2188559
70,Total Liabilities & Equity,- -,520000,300000,4858660,3245372,538442,271692,284190,215087,182484,133446,93480,62036,50288,19698,9004,5586,818701,1387299,998384,1349083,757549,8736131,15349013,11039172,6634611,24508972
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023994/000121390014002426/0001213900-14-002426-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390015002223/0001213900-15-002223-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390016015154/0001213900-16-015154-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390017001664/0001213900-17-001664-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390018002467/0001213900-18-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390019005149/0001213900-19-005149-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390020008003/0001213900-20-008003-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390021021736/0001213900-21-021736-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-170000,-550000,-900000,-1207156,-2356807,-2673239,-198340,51300,-49379,-50172,-35213,-30936,-30448,-10574,-35590,-32764,-35204,-1909575,-1766025,-2163302,-1537315,-2743116,- -,-4512680,-4844021,-6920540,-4508162
74,Depreciation and Amortization,10000,20000,-200000,40318,117304,440946,49262,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2163,2543,2982,3978,3728,294810,590778,596383,154745,199196
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157551,508265,421305,294067,192776,192776,701402,396214,729404,1261215
77,Change in Working Capital,10000,370000,-670000,4796877,-2638535,-1567196,-110591,51299,-30873,-50172,-24713,-39616,-32044,-10798,-35590,-10264,-5204,-185177,244696,-2209345,1177249,-4315973,5420620,4206008,-3928030,229719,10430991
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10246,-265490,-33084,44487,79898,79898,-2771357,448969,699141,-890531
79,Inventory,- -,- -,- -,- -,-37170,2443,34727,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376150,-48011,13959,-164918,40789,40789,9445,- -,- -,-647345
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83753,- -,-90313,120092,-237903,- -,476127,- -,1129189
81,Other Working Capital,- -,370000,-300000,4496877,1858342,291146,180555,231854,200981,150809,126096,86480,54436,43638,8048,-2216,-7420,-192597,52099,-2157246,-979997,-5295970,124650,4330658,402628,632347,11063338
82,Other Non-Cash Items,-10000,-370000,1070000,-4691048,2513681,2414055,152681,-190101,29654,49591,13650,39266,32644,9644,40590,9834,6990,343532,-258018,2872756,-991666,5673976,-7774116,-2227615,4327220,2991051,-10271190
83,Cash Provided by Operating Activities,-160000,-530000,-700000,-1061009,-2364357,-1385434,-106988,-87502,-50598,-50753,-46276,-31286,-29848,-11728,-30590,-33194,-33418,-1591506,-1268539,-1075604,-1053687,-1188609,-1865910,-1242107,-3452234,-2815621,-2887950
84,CAPEX,-60000,-120000,- -,-36305,-129235,-60145,-900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5809,-549,-8786,-3068,- -,-1390,-4192,-76606,-2070,-1568115
85,Acquisitions Net,- -,- -,- -,- -,-124868,-39378,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,770,- -,- -,- -,- -,- -,- -,-3626,- -,-743168
86,Purchases of Investments,- -,- -,- -,-6216584,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39110,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2618468,3568116,- -,- -,- -,- -,- -,4888,- -,- -,204,- -,- -,- -,- -,- -,- -,- -,9418,- -,- -,30037,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-70000,17000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,-3900,12000,3900,- -,-5300,- -,-734440
89,Cash Used for Investing Activites,-60000,-120000,- -,-3634421,3314013,-169523,16100,100000,- -,- -,4888,- -,- -,204,- -,- -,- -,-44149,-549,-20786,-6968,21418,2510,-4192,-50195,-2070,-3045723
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41247,- -,- -,-392000,- -,- -,-1500000,- -,-480770,- -
91,Common Stock Issued,- -,- -,- -,5885000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,1200000,716433,- -,- -,- -,- -,7059614,- -,3253962,17118480
92,Common Stock Repurchased,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,300000,-249018,-10000,12251,-2032,- -,- -,- -,- -,- -,- -,- -,- -,22500,15000,- -,859534,822000,1742595,750000,1945500,8409,- -,301775,200000
95,Cash Used/Provided by Financing Activities,- -,1000000,300000,5635982,-10000,12251,-2032,- -,- -,- -,- -,- -,- -,- -,- -,22500,30000,1158753,1575967,822000,1350595,750000,1945500,5568023,- -,3074967,17318358
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-571,571,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-220000,350000,300000,940552,939656,-1542706,-92920,12498,-50598,-50753,-41388,-31286,-29848,-11524,-30590,-10694,-3418,-476902,306308,-273819,289940,-417191,82100,4321724,-3502429,257276,11384685
98,Cash at the End of Period,1148400,350000,- -,949157,1888813,346107,253187,265685,215087,164334,122946,91660,61812,50288,19698,9004,5586,561759,868067,594248,884188,466997,549100,4870824,1368395,1625671,13010356
99,Cash at the Beginning of Period,1368400,- -,400000,8605,949157,1888813,346107,253187,265685,215087,164334,122946,91660,61812,50288,19698,9004,1038661,561759,868067,594248,884188,467000,549100,4870824,1368395,1625671
100,Free Cash Flow,-220000,-650000,-700000,-1097314,-2493592,-1445579,-107888,-87502,-50598,-50753,-46276,-31286,-29848,-11728,-30590,-33194,-33418,-1597315,-1269088,-1084390,-1056755,-1188609,-1867300,-1246299,-3528840,-2817691,-4456065
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023994/000121390014002426/0001213900-14-002426-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390015002223/0001213900-15-002223-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390016015154/0001213900-16-015154-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390017001664/0001213900-17-001664-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390018002467/0001213900-18-002467-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390019005149/0001213900-19-005149-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390020008003/0001213900-20-008003-index.htm,https://www.sec.gov/Archives/edgar/data/1023994/000121390021021736/0001213900-21-021736-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
