,https://roic.ai/company/GDEN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,16400000,11935000,36600000,16900000,5000000,- -,20300000,-14643000,17900000,64300000,- -,27200000,65400000,16300000,4200000,47208000,49943000,98132000,146225000,279519000,344374000,304150000,328905000
11,COGS and Expenses,- -,16400000,11935000,36600000,17900000,7700000,- -,30500000,-4327000,17900000,93000000,- -,27200000,65400000,18000000,23700000,79123000,170812000,388464000,489966000,793751000,922886000,723117000,929243000
12,Interest Income ,- -,- -,7943000,6297000,1424000,632000,- -,775000,3411000,8552000,985000,- -,8033000,7047000,6442000,4803000,151000,82000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,97000,170000,90000,- -,- -,- -,8358000,951000,1551000,- -,2014000,2007000,940000,1244000,1209000,2810000,6454000,19598000,64028000,74220000,69110000,62853000
14,Depreciation and Amortization,- -,1800000,2910000,1329000,481000,547000,- -,598000,2050000,4000000,7192000,- -,10696000,11399000,1731000,2989000,3513000,10798000,27506000,40786000,94456000,116592000,124430000,106692000
15,EBITDA,- -,78800000,31599000,-3401000,-14729000,-2253000,- -,598000,39572000,-6249000,-68457000,- -,17810000,806000,3371000,22933000,-20123000,28159000,45935000,54634000,147209000,149391000,56990000,331757000
16,EBITDA ratio,- -,0.8537,0.5352,-0.0974,-9.8193,-0.5240,- -,0.0340,1.3247,-0.9327,-2.8172,- -,0.6798,0.0328,0.3065,0.5911,-0.3647,0.1591,0.1139,0.1072,0.1728,0.1535,0.0821,0.3025
17,Operating Income,- -,75900000,47109000,20926000,-16871000,-6935000,- -,-12922000,34199000,-18783000,-68667000,- -,-999000,-40774000,-7089000,13409000,-23951000,18363000,13035000,15378000,50967000,46117000,-67439000,166040000
18,Operating Income ratio,- -,0.8223,0.7979,0.5996,-11.2473,-1.6128,- -,-0.7342,1.1449,-2.8034,-2.8258,- -,-0.0381,-1.6575,-0.6445,0.3456,-0.4341,0.1037,0.0323,0.0302,0.0598,0.0474,-0.0972,0.1514
19,Total Other Income Expenses (Gains),- -,1100000,-18517000,-25826000,1871000,4335000,- -,12022000,-2066000,13483000,-233000,- -,6099000,28074000,7789000,5291000,-894000,-3812000,-1060000,-21128000,-62242000,-87538000,-69111000,-3828000
20,Income Before Tax,- -,77000000,28592000,-4900000,-15000000,-2600000,- -,-900000,32133000,-5300000,-68900000,- -,5100000,-12700000,700000,18700000,-24845000,14551000,11975000,-5750000,-11275000,-41421000,-136550000,162212000
21,Income Before Tax Ratio,- -,0.8342,0.4842,-0.1404,-10.0000,-0.6047,- -,-0.0511,1.0757,-0.7910,-2.8354,- -,0.1947,-0.5163,0.0636,0.4820,-0.4503,0.0822,0.0297,-0.0113,-0.0132,-0.0426,-0.1967,0.1479
22,Income Tax expense (Gain),- -,15800000,12915000,-2000000,-4400000,-1000000,- -,4000000,8217000,2400000,9100000,- -,1400000,1200000,-2500000,- -,- -,-9969000,-4325000,-7921000,9639000,-1876000,61000,436000
23,Net Income,- -,61200000,15677000,-2900000,-10900000,-1800000,- -,-4000000,20947000,-13600000,-86300000,- -,3700000,-13800000,3200000,18700000,-24845000,24520000,16300000,2171000,-20914000,-39545000,-136611000,161776000
24,Net Income ratio,- -,0.6631,0.2655,-0.0831,-7.2667,-0.4186,- -,-0.2273,0.7012,-2.0299,-3.5514,- -,0.1412,-0.5610,0.2909,0.4820,-0.4503,0.1385,0.0404,0.0043,-0.0246,-0.0406,-0.1968,0.1475
25,EPS,- -,5.80,1.47,-0.03,-1.08,-0.37,- -,-0.36,1.84,-1.26,-6.86,- -,0.28,-1.04,0.24,1.40,-1.86,1.45,0.74,0.09,-0.76,-1.43,-4.87,5.64
26,EPS Diluted,- -,5.71,1.47,-0.03,-1.08,-0.37,- -,-0.36,1.70,-1.26,-6.86,- -,0.28,-1.04,0.24,1.40,-1.86,1.43,0.73,0.09,-0.76,-1.43,-4.87,5.04
27,Weighted Average Shares Outstanding,- -,10550000,10642000,10638000,10638000,10657000,- -,11054500,11386500,11974000,12600500,- -,13163500,13185000,13219000,13241500,13379000,16878000,22135000,23105000,27553000,27746000,28080000,28709000
28,Weighted Average Shares Outstanding Diluted,- -,10712000,10642000,10638000,10638000,10657000,- -,11054500,12327000,11974000,12600500,- -,13205500,13185000,13219500,13344500,13379000,17103000,22454000,24660000,27553000,27746000,28080000,32123000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1071255/000095013702001706/0000950137-02-001706-index.html,https://www.sec.gov/Archives/edgar/data/1071255/000095013403004968/0000950134-03-004968-index.html,https://www.sec.gov/Archives/edgar/data/1071255/000095013404004234/0000950134-04-004234-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1071255/000095013707003877/0000950137-07-003877-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095013708003584/0000950137-08-003584-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095013709001785/0000950137-09-001785-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1071255/000095012310025623/0000950123-10-025623-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095012311031586/0000950123-11-031586-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774913003001/0001437749-13-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774914004229/0001437749-14-004229-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774915004902/0001437749-15-004902-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774916027532/0001437749-16-027532-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459017004528/0001564590-17-004528-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459018006007/0001564590-18-006007-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459019008099/0001564590-19-008099-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459020010818/0001564590-20-010818-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000107125521000013/0001071255-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000107125522000012/0001071255-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,56800000,10469000,42600000,14100000,25300000,- -,28700000,9759000,5400000,6200000,- -,3800000,45200000,32500000,37900000,35416000,69177000,46898000,90579000,116071000,111678000,103558000,220540000
32,Short-Term Investments,- -,- -,32477000,2000000,- -,- -,- -,28900000,59863000,30600000,26544000,- -,24300000,2367000,- -,49100000,46638000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,56800000,42946000,44600000,14100000,25300000,- -,57600000,69622000,36000000,32744000,- -,28100000,47567000,32500000,87000000,82054000,69177000,46898000,90579000,116071000,111678000,103558000,220540000
34,Net Receivables,- -,23800000,19052000,7700000,100000,1000000,- -,2000000,2963000,800000,11600000,- -,8100000,4100000,2200000,2200000,- -,5111000,9037000,14910000,12779000,16247000,13708000,18720000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2605000,5594000,6759000,8237000,5639000,6637000
36,Other Current Assets,- -,8100000,16057000,5700000,7300000,7500000,- -,2600000,15444000,32600000,-25344000,- -,2500000,-367000,1200000,1700000,1807000,9356000,11107000,21996000,21150000,24267000,17826000,18041000
37,Total Current Assets,- -,88700000,78055000,58000000,21500000,33800000,- -,62200000,88029000,69400000,19000000,- -,38700000,51300000,35900000,90900000,83861000,83644000,69647000,133079000,156759000,160429000,140731000,263938000
38,PP&E,- -,27900000,1414000,62100000,63600000,25600000,- -,22200000,17460000,13500000,7400000,- -,7100000,6100000,13300000,31700000,32739000,114309000,137581000,895241000,894953000,1250067000,1156303000,1083471000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96288000,105655000,158134000,158134000,184325000,158396000,158396000
40,Intangible Assets,- -,4800000,- -,- -,- -,38700000,- -,41100000,54279000,65900000,47600000,- -,45100000,15900000,5200000,2000000,1875000,80824000,98603000,157692000,141128000,135151000,106109000,98058000
41,Intangible Assets,- -,4800000,- -,- -,- -,38700000,- -,41100000,54279000,65900000,47600000,- -,45100000,15900000,5200000,2000000,1875000,177112000,204258000,315826000,299262000,319476000,264505000,256454000
42,Investments,- -,9600000,- -,800000,1000000,8700000,- -,6100000,10000000,53546000,26500000,- -,19154000,6797000,20161000,20997000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2700000,- -,- -,- -,- -,- -,- -,6248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7787000,- -,- -,- -,1861000
44,Other Non-Current Assets,- -,27700000,133340000,72300000,90500000,67700000,- -,77500000,185160000,53754000,64900000,- -,63646000,46503000,45139000,1703000,3554000,3719000,7592000,13242000,15595000,10945000,9410000,9840000
45,Total Non-Current Assets,- -,72700000,134754000,135200000,155100000,140700000,- -,146900000,273147000,186700000,146400000,- -,135000000,75300000,83800000,56400000,38168000,295140000,349431000,1232096000,1209810000,1580488000,1430218000,1351626000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,161400000,212809000,193200000,176600000,174500000,- -,209100000,361176000,256100000,165400000,- -,173700000,126600000,119700000,147300000,122029000,378784000,419078000,1365175000,1366569000,1740917000,1570949000,1615564000
48,Accounts Payable,- -,- -,79000,100000,200000,1900000,- -,800000,5345000,800000,500000,- -,600000,300000,400000,400000,482000,8237000,11739000,19470000,27812000,30146000,20179000,19102000
49,Short-Term Debt,- -,- -,525000,- -,- -,- -,- -,- -,- -,- -,18152000,- -,18346000,- -,- -,1251000,1368000,9180000,15752000,9759000,10480000,42380000,46867000,40151000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17069000,7822000,- -,462000,439000,831000,3024000,6664000,6540000,7495000,6152000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3280000,4740000,2870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11123000,12473000,12353000,12073000,- -
52,Other Current Liabilities,- -,26000000,35078000,15300000,15900000,10700000,- -,9820000,19264000,23830000,21448000,- -,21154000,10500000,3800000,3249000,3622000,7929000,10348000,37406000,32695000,47885000,39594000,67713000
53,Total Current Liabilities,- -,26000000,35682000,15400000,16100000,12600000,- -,13900000,29349000,27500000,40100000,- -,40100000,10800000,4200000,4900000,5472000,25346000,37839000,77758000,83460000,132764000,118713000,126966000
54,Long-Term Debt,- -,1000000,1325000,5600000,- -,- -,- -,- -,104471000,7300000,7300000,- -,10200000,5800000,3300000,10300000,8941000,136918000,167690000,963200000,960563000,1130374000,1126970000,1010469000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1861000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4471000,38000,- -,2593000,1088000,1520000,1861000
57,Other Non-Current Liabilities,- -,2700000,- -,200000,- -,- -,- -,11800000,- -,14000000,- -,- -,- -,100000,- -,- -,- -,1564000,4085000,3226000,4801000,186947000,162484000,154866000
58,Total Non-Current Liabilities,- -,3700000,1325000,5800000,- -,- -,- -,11800000,104471000,21300000,7300000,- -,10200000,5900000,3300000,10300000,8941000,142953000,171813000,966426000,967957000,1318409000,1290974000,1169057000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218184000,195973000,- -
61,Total Liabilities,- -,29700000,37007000,21200000,16100000,12600000,- -,25700000,133820000,48800000,47400000,- -,50300000,16700000,7500000,15200000,14413000,168299000,209652000,1044184000,1051417000,1451173000,1409687000,1296023000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,45000,45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,106000,100000,100000,200000,- -,200000,229000,200000,300000,- -,300000,300000,300000,300000,268000,353000,223000,264000,268000,279000,282000,288000
64,Retained Earnings,- -,- -,44504000,40400000,28900000,29300000,- -,25300000,34357000,16800000,-83300000,- -,-79600000,-93400000,-92100000,-73400000,-98245000,-73725000,-80954000,-78783000,-120361000,-172178000,-309739000,-158576000
65,Other Comprehensive Income/Loss,- -,1200000,-1350000,-200000,-1900000,-2400000,- -,-6000,-458000,14000,-3800000,- -,-4100000,-2900000,-3600000,-5500000,-22000,-13818000,-33390000,-63417000,-139296000,-255526000,- -,- -
66,Other Total Stockholders Equity,- -,130400000,132542000,131700000,133410000,130324000,- -,157898000,176419000,190239000,204850000,- -,206839000,205985000,207577000,210679000,205615000,297675000,323547000,462927000,574541000,717169000,470719000,477829000
67,Total Stockholders Equity,- -,131700000,175802000,172000000,160510000,157424000,- -,183392000,210592000,207298000,118050000,- -,123439000,109985000,112177000,132079000,107616000,210485000,209426000,320991000,315152000,289744000,161262000,319541000
68,Total Liabilities And Stockholders Equity,- -,161400000,212809000,193200000,176610000,170024000,- -,209092000,344412000,256098000,165450000,- -,173739000,126685000,119677000,147279000,122029000,378784000,419078000,1365175000,1366569000,1740917000,1570949000,1615564000
69,Minority Interest,- -,- -,- -,- -,-10000,4476000,- -,8000,16764000,2000,-50000,- -,-39000,-85000,23000,21000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,161400000,212809000,193200000,176600000,174500000,- -,209100000,361176000,256100000,165400000,- -,173700000,126600000,119700000,147300000,122029000,378784000,419078000,1365175000,1366569000,1740917000,1570949000,1615564000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1071255/000095013702001706/0000950137-02-001706-index.html,https://www.sec.gov/Archives/edgar/data/1071255/000095013403004968/0000950134-03-004968-index.html,https://www.sec.gov/Archives/edgar/data/1071255/000095013404004234/0000950134-04-004234-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1071255/000095013707003877/0000950137-07-003877-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095013708003584/0000950137-08-003584-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095013709001785/0000950137-09-001785-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1071255/000095012310025623/0000950123-10-025623-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095012311031586/0000950123-11-031586-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774913003001/0001437749-13-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774914004229/0001437749-14-004229-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774915004902/0001437749-15-004902-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774916027532/0001437749-16-027532-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459017004528/0001564590-17-004528-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459018006007/0001564590-18-006007-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459019008099/0001564590-19-008099-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459020010818/0001564590-20-010818-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000107125521000013/0001071255-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000107125522000012/0001071255-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,61200000,15677000,-2900000,-10900000,-1800000,- -,-4000000,20947000,-13600000,-86300000,- -,3700000,-13800000,3200000,18700000,-24845000,24520000,16300000,2171000,-20914000,-39545000,-136611000,161776000
74,Depreciation and Amortization,- -,1800000,2910000,1329000,481000,547000,- -,598000,2050000,4000000,7192000,- -,10696000,11399000,1731000,2989000,3513000,10798000,27506000,40786000,94456000,116592000,124430000,106692000
75,Deferred Income Tax,- -,1000000,-9480000,9192000,-2230000,-732000,- -,-555000,604000,1370000,4878000,- -,-1905000,1905000,- -,- -,- -,-10216000,-4325000,-7825000,10380000,-1505000,432000,341000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445000,505000,386000,478000,270000,809000,3878000,8754000,9641000,10045000,9525000,13844000
77,Change in Working Capital,- -,19300000,-16427000,227000,-37200000,15800000,- -,27100000,44380000,-16780000,-63000000,- -,19700000,41900000,-12500000,54300000,-7611000,-20091000,-26490000,23513000,17978000,-45634000,-5647000,114954000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,950000,-239000,- -,3983000,- -,1033000,-3151000,-1593000,1913000,-1852000,1599000,-5643000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-568000,-1034000,-1497000,8999000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,-206000,- -,221000,517000,900000,2770000,-22606000,-4915000,11569000,- -,14393000
81,Other Working Capital,- -,62700000,42373000,42600000,5400000,21200000,- -,48300000,58680000,41900000,-21100000,- -,-1400000,40500000,31700000,86000000,78389000,58298000,31808000,55321000,73299000,27665000,22018000,136972000
82,Other Non-Cash Items,- -,2500000,42432000,27097000,51008000,-21155000,- -,-15737000,-84821000,8727000,88796000,- -,-20809000,-34084000,19340000,-72937000,29958000,3522000,20526000,-45297000,-13591000,73952000,44606000,-101832000
83,Cash Provided by Operating Activities,- -,85800000,35112000,34945000,1159000,-7340000,- -,7406000,-16840000,-16283000,-48434000,- -,11827000,7825000,12157000,3530000,1285000,9342000,37395000,22102000,97950000,113905000,36735000,295775000
84,CAPEX,- -,-11200000,-4255000,-1316000,-1143000,-77000,- -,-886000,-5276000,-19745000,-142000,- -,-22000,-23000,-3795000,-20695000,-4516000,-7946000,-30634000,-29463000,-69309000,-107267000,-36502000,-29259000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-223000,-6834000,-836000,- -,25539000,-41273000,-724473000,- -,-148953000,- -,- -
86,Purchases of Investments,- -,-800000,-52795000,-12708000,- -,- -,- -,-29936000,-99441000,-120708000,-7650000,- -,-24917000,-7071000,-4455000,-57398000,-73886000,-25137000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,4800000,48080000,43618000,2130000,- -,- -,1000000,73745000,122887000,11450000,- -,6172000,66211000,- -,8253000,75932000,71357000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-3100000,-40494000,-31835000,-23639000,17777000,- -,-10195000,-38709000,13277000,15226000,- -,- -,- -,-281000,59626000,325000,26236000,787000,-2251000,-1031000,170000,648000,374000
89,Cash Used for Investing Activites,- -,-10300000,-49464000,-2241000,-22652000,17700000,- -,-40017000,-69681000,-4289000,18884000,- -,-18767000,58894000,-15365000,-11050000,-2145000,90049000,-71120000,-756187000,-69206000,-256050000,-35854000,-28885000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2598000,-30627000,- -,-191000,-1755000,-204560000,-11317000,-189944000,-9545000,-375318000,-207605000,-6179000
91,Common Stock Issued,- -,- -,79000,- -,- -,874000,- -,35988000,3689000,10103000,7133000,- -,345000,- -,- -,773000,134000,168000,1792000,169000,25608000,57000,- -,6000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19598000,- -,-950000,-10613000
93,Dividends Paid,- -,-51900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23529000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,350000,-535000,-7039000,- -,- -,- -,82679000,9958000,23191000,- -,6774000,5390000,-2869000,12355000,- -,138762000,44500000,967541000,283000,513013000,199554000,-133122000
95,Cash Used/Provided by Financing Activities,- -,-51900000,429000,-535000,-7039000,874000,- -,35988000,86368000,20061000,30324000,- -,4521000,-25237000,-2869000,12937000,-1621000,-65630000,11446000,777766000,-3252000,137752000,-9001000,-149908000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-51900000,-13923000,32169000,-28532000,11234000,- -,3377000,-153000,-511000,774000,- -,-2419000,41482000,-6077000,5417000,-2481000,33761000,-22279000,43681000,25492000,-4393000,-8120000,116982000
98,Cash at the End of Period,- -,- -,10469000,42638000,14106000,25340000,- -,28717000,9759000,9248000,6170000,- -,3751000,45233000,32480000,37897000,35416000,69177000,46898000,90579000,116071000,111678000,103558000,220540000
99,Cash at the Beginning of Period,- -,33200000,24392000,10469000,42638000,14106000,- -,25340000,9912000,9759000,5396000,- -,6170000,3751000,38557000,32480000,37897000,35416000,69177000,46898000,90579000,116071000,111678000,103558000
100,Free Cash Flow,- -,74600000,30857000,33629000,16000,-7417000,- -,6520000,-22116000,-36028000,-48576000,- -,11805000,7802000,8362000,-17165000,-3231000,1396000,6761000,-7361000,28641000,6638000,233000,266516000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1071255/000095013702001706/0000950137-02-001706-index.html,https://www.sec.gov/Archives/edgar/data/1071255/000095013403004968/0000950134-03-004968-index.html,https://www.sec.gov/Archives/edgar/data/1071255/000095013404004234/0000950134-04-004234-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1071255/000095013707003877/0000950137-07-003877-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095013708003584/0000950137-08-003584-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095013709001785/0000950137-09-001785-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1071255/000095012310025623/0000950123-10-025623-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000095012311031586/0000950123-11-031586-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774913003001/0001437749-13-003001-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774914004229/0001437749-14-004229-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774915004902/0001437749-15-004902-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000143774916027532/0001437749-16-027532-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459017004528/0001564590-17-004528-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459018006007/0001564590-18-006007-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459019008099/0001564590-19-008099-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000156459020010818/0001564590-20-010818-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000107125521000013/0001071255-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1071255/000107125522000012/0001071255-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
