,https://roic.ai/company/GRIN,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-6.71,-3.32,-4.27,-1.48,-2.51,-2.71,5.94
27,Weighted Average Shares Outstanding,19063833,19063833,19063833,19063833,19022665,18966414,19150787
28,Weighted Average Shares Outstanding Diluted,19063833,19063833,19063833,19063833,19022665,18966414,20012621
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1725293/000157587219000088/grr003_20f.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,75485000,67711000,46522000,35636000,35553000,37942000,107118000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,75485000,67711000,46522000,35636000,35553000,37942000,107118000
34,Net Receivables,60321000,81270000,76525000,69214000,38860000,24605000,35093000
35,Inventory,8463000,11617000,9078000,10841000,12236000,8700000,13909000
36,Other Current Assets,300000,225000,55077000,7258000,4850000,11364000,5370000
37,Total Current Assets,144569000,160823000,187202000,122949000,91499000,82611000,161490000
38,PP&E,319425000,303897000,238439000,249602000,360435000,524365000,469946000
39,Goodwill,14435000,16022000,8419000,7351000,944000,960000,- -
40,Intangible Assets,6028000,6590000,61000,41000,177000,405000,227000
41,Intangible Assets,20463000,22612000,8480000,7392000,1121000,1365000,227000
42,Investments,61145000,66575000,64296000,54560000,52475000,3316000,3743000
43,Tax Assets,1209000,764000,1179000,- -,- -,1138000,2123000
44,Other Non-Current Assets,31920000,35483000,7526000,13124000,13537000,9304000,7640000
45,Total Non-Current Assets,434162000,429331000,319920000,324678000,427568000,539488000,483679000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,578731000,590154000,507122000,447627000,519067000,622099000,645169000
48,Accounts Payable,40918000,38398000,28354000,7994000,7776000,27355000,33874000
49,Short-Term Debt,93883000,71390000,91992000,18323000,44996000,81514000,55395000
50,Tax Payable,2829000,3842000,3551000,3073000,3096000,3350000,786000
51,Deferred Revenue,- -,- -,- -,- -,- -,5094000,8441000
52,Other Current Liabilities,31566000,31871000,42903000,30349000,34020000,3938000,2633000
53,Total Current Liabilities,166367000,141659000,163249000,56666000,86792000,117901000,100343000
54,Long-Term Debt,8112000,78408000,20790000,96133000,178194000,225038000,223542000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2510000,3714000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2659000,3278000,3347000,2325000,2143000,25141000,1649000
58,Total Non-Current Liabilities,13281000,85400000,24137000,98458000,180337000,250179000,225191000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,57946000,51244000,33271000
61,Total Liabilities,179648000,227059000,187386000,155124000,267129000,368080000,325534000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,459101000,459101000,474101000,320683000,320683000,320683000,320683000
64,Retained Earnings,-32927000,-76636000,-139122000,-24030000,-64403000,-85368000,23020000
65,Other Comprehensive Income/Loss,-27091000,-19370000,-15243000,-21140000,-18176000,-23078000,-24068000
66,Other Total Stockholders Equity,- -,- -,- -,16990000,13834000,- -,- -
67,Total Stockholders Equity,399083000,363095000,319736000,292503000,251938000,212237000,319635000
68,Total Liabilities And Stockholders Equity,578731000,590154000,507122000,447627000,519067000,580317000,645169000
69,Minority Interest,- -,- -,- -,- -,- -,41782000,- -
70,Total Liabilities & Equity,578731000,590154000,507122000,447627000,519067000,622099000,645169000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1725293/000157587219000088/grr003_20f.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-90354000,-43709000,-60812000,-20640000,-43487000,-38795000,118925000
74,Depreciation and Amortization,27729000,21551000,19680000,14291000,48763000,51549000,61953000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-2831000
76,Stock Based Compensation,166000,-176000,33000,- -,- -,1847000,3330000
77,Change in Working Capital,73316000,-3115000,-629000,-12282000,1249000,9087000,-2927000
78,Accounts Receivable,43496000,9281000,-279000,-1689000,-3024000,5594000,-5361000
79,Inventory,5501000,-3002000,1017000,-1576000,-1395000,4019000,-5089000
80,Accounts Payable,-17851000,-5000000,-3055000,-2561000,5796000,-4085000,6729000
81,Other Working Capital,3113000,-16561000,12508000,-331000,28000,1014000,3347000
82,Other Non-Cash Items,103802000,4192000,45103000,-18729000,-62112000,46696000,26402000
83,Cash Provided by Operating Activities,114659000,-21257000,3375000,-37360000,-55587000,70384000,204852000
84,CAPEX,-2428000,-719000,-1231000,-368000,-255000,-419000,-55000
85,Acquisitions Net,-20240000,-13735000,- -,25318000,- -,-28313000,128000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-32992000,-21251000,-850000,15074000,35421000,5821000,987000
89,Cash Used for Investing Activites,-55601000,-35705000,-2062000,40024000,35166000,-22559000,1066000
90,Debt Repayment,-35933000,-28665000,-82869000,- -,- -,-102856000,-118150000
91,Common Stock Issued,- -,- -,15000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-505000,- -,-1993000,- -,-11876000
93,Dividends Paid,-4135000,- -,-1674000,- -,- -,- -,-13546000
94,Other Financing Activites,6799000,76403000,50208000,-11887000,21366000,60873000,4496000
95,Cash Used/Provided by Financing Activities,-33269000,47738000,-19840000,-11887000,19373000,-41983000,-139076000
96,Effect of Forex Changes on Cash,-4029000,1664000,1302000,-2524000,77000,-427000,-541000
97,Net Change In Cash,21760000,-7560000,-17225000,-11747000,-971000,5415000,66301000
98,Cash at the End of Period,70030000,62470000,45245000,34775000,34665000,37942000,104243000
99,Cash at the Beginning of Period,48270000,70030000,62470000,46522000,35636000,32527000,37942000
100,Free Cash Flow,112231000,-21976000,2144000,-37728000,-55842000,69965000,204797000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1725293/000157587219000088/grr003_20f.htm,- -,- -,- -
102,Forex Rate,0.7052,0.6902,0.7476,0.7336,0.7432,0.7567,0.741
