,https://roic.ai/company/XSNX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-420.9889,-383.7945,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.0987,-0.1828,-0.2769,-0.0612,-0.3042,0.1288,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),337887,- -,- -,19376,- -,-3882,1100000,28044,-6656609,-359925,149769,-745269,-1529450,-1517530,-1098426,-35009,-426823,-3767112,2136702,-6162575,186465
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2210603,-1117654,-1555194,-2522382,-1949887,-1320648,-242866,-498663,-3969406,2343982,-6991467,-2512475
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-4.9550,-1.0864,-0.3236,-0.4251,-5.9689,1.4570,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,305485,-47297,-145868,-1509068,-1400839,-3441940,-1289497,-4058952,-10634133,-2210603,-1117654,-1555194,-2522382,-1949887,-1320648,-242866,-498663,-3969406,2343982,-6770215,-2512475
24,Net Income ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-430.2425,-187.4269,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.9550,-1.0864,-0.3236,-0.4251,-5.9689,1.4570,-Infinity,-Infinity
25,EPS,397.77,-61.58,-20.00,-10.00,-20.00,-20.00,-10.00,-20.00,-60.00,-10.00,-10.00,-10.00,-10.00,-10.00,-2.03,-0.33,-0.54,-2.93,1.50,-4.22,-0.22
26,EPS Diluted,397.77,-61.58,-20.00,-10.00,-20.00,-20.00,-10.00,-24.31,-60.00,-10.00,-10.00,-10.00,-10.00,-10.00,-2.03,-0.33,-0.54,-2.93,1.50,-4.22,-0.22
27,Weighted Average Shares Outstanding,768,768,6601,114036,123854,138005,156680,166998,189455,204441,218617,247855,343568,535803,649711,733536,930964,1353970,1559482,1603492,11259782
28,Weighted Average Shares Outstanding Diluted,768,768,6601,114036,123854,138005,164951,166998,189455,204441,218617,247855,343568,535803,649711,733536,930964,1353970,5000473,1603492,11259782
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039466/000114420410068743/0001144204-10-068743-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000139160911000598/0001391609-11-000598-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000139160913000019/0001391609-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000151116414000016/0001511164-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518515000046/0001185185-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518516003424/0001185185-16-003424-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518516005947/0001185185-16-005947-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518517002648/0001185185-17-002648-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518519000013/0001185185-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518519001754/0001185185-19-001754-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518521000410/0001185185-21-000410-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518522000056/0001185185-22-000056-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2346,37344,175869,4305105,1773748,2389218,530717,200422,66576,44527,38573,50838,78770,22172,23056,41090,7964,178,180668
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,2346,37344,175869,4305105,1773748,2389218,530717,200422,66576,44527,38573,50838,78770,22172,23056,41090,7964,178,180668
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,- -,- -,- -,6661,40926,17125,106826,198083,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,20000,79984,349117,54377,1428986,118332,14061,9204,162186,16117,8698,4171,2266,6967,5399,6575,- -,27466
37,Total Current Assets,- -,- -,2346,57344,255853,4654222,1828125,3818204,949049,216983,75780,206713,54690,59536,89602,65364,47148,153315,212622,178,208134
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,3,10000,20000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,3,10000,20000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,5815,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,4770,165831,2190242,3914135,6106631,420785,308688,128243,394041,96822,9915,5265,538,1146,866,2570,- -,- -
45,Total Non-Current Assets,- -,- -,3,14770,185831,2230242,3914135,6106631,426600,308688,128243,394041,96822,9915,5265,538,1146,866,2570,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2349,72114,441684,6884464,5742260,9924835,1375649,525671,204023,600754,151512,69451,94867,65902,48294,154181,215192,178,208134
48,Accounts Payable,- -,199616,- -,89030,78377,582161,259652,465953,389293,418288,167420,143555,147629,128528,41919,46515,83870,134398,129425,88519,143074
49,Short-Term Debt,- -,195729,- -,1225,850000,- -,- -,- -,- -,456921,456921,413465,74964,251095,227418,178886,135668,75236,55417,127991,141656
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,- -,- -,141688,33138,- -,- -
52,Other Current Liabilities,- -,18858,- -,5908,45856,6538,53036,30957,42369,69622,105480,194632,721545,592612,689781,565949,747327,4274674,2067283,3238398,3685618
53,Total Current Liabilities,- -,414203,- -,96163,974233,588699,312688,496910,431662,944831,729821,751652,944138,972235,974118,791350,966865,4625996,2285263,3454908,3970348
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,456921,- -,- -,- -,- -,- -,- -,115000,125653,165868,165880,115000,165880
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4256,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,461177,- -,- -,- -,- -,- -,- -,115000,125653,165868,165880,115000,165880
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,414203,- -,96163,974233,588699,312688,496910,892839,944831,729821,751652,944138,972235,974118,906350,1092518,4791864,2451143,3569908,4136228
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50,50,50,50,50,50,50,250,250
63,Common Stock,- -,2259306,2821726,3104396,3996735,- -,- -,- -,- -,- -,25638369,- -,- -,- -,- -,- -,- -,33311674,33369424,33369424,41882535
64,Retained Earnings,- -,-2673509,-2819377,-4328445,-5729284,-9146353,-10460850,-21075069,-31709202,-33919805,-35037459,-36592653,-39115035,-41064922,-42385570,-42628436,-43127099,-47096505,-44752523,-57949086,-60461561
65,Other Comprehensive Income/Loss,- -,- -,- -,1200000,1200000,2151250,-162189,-299559,-378353,-307995,-164472,-206178,-225397,-90476,-95126,-29930,-30094,-30374,-1113,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,13290868,16052611,30802553,32570365,33808640,9037764,36647933,38547806,40252614,41601445,41817918,42112969,9177472,9148211,21009682,14650682
67,Total Stockholders Equity,- -,-414203,2349,-24049,-532549,6295765,5429572,9427925,482810,-419160,-525798,-150898,-792626,-902784,-879251,-840448,-1044224,-4637683,-2235951,-3569730,-3928094
68,Total Liabilities And Stockholders Equity,- -,- -,- -,72114,441684,6884464,5742260,9924835,1375649,525671,204023,600754,151512,69451,94867,65902,48294,154181,215192,178,208134
69,Minority Interest,- -,- -,2349,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,2349,72114,441684,6884464,5742260,9924835,1375649,525671,204023,600754,151512,69451,94867,65902,48294,154181,215192,178,208134
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039466/000114420410068743/0001144204-10-068743-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000139160911000598/0001391609-11-000598-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000139160913000019/0001391609-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000151116414000016/0001511164-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518515000046/0001185185-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518516003424/0001185185-16-003424-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518516005947/0001185185-16-005947-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518517002648/0001185185-17-002648-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518519000013/0001185185-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518519001754/0001185185-19-001754-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518521000410/0001185185-21-000410-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518522000056/0001185185-22-000056-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,305485,-47297,-145868,-1509068,-1400839,-3441940,-1289497,-4058952,-10634133,-2210603,-1117654,-1555194,-2522382,-1949887,-1320648,-242866,-498663,-3969406,2343982,-6770215,-2512475
74,Depreciation and Amortization,348,- -,- -,- -,18435,82941,77248,257222,127293,86948,38472,41706,34937,14729,4650,1604,164,280,580,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298552,- -,- -,- -,- -,- -,- -,- -,399260,962000
77,Change in Working Capital,-264999,-414203,416549,-41165,-679561,4783903,-2550086,1805857,-2803907,-1245235,73807,109102,-344509,-23251,28183,158530,-193731,-3552964,2400040,-1382089,542413
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82782,-98176,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,345211,28995,-80916,443,3414,-14968,7277,44606,39762,47584,-2395,-40784,54555
81,Other Working Capital,- -,-414203,2346,-38819,-718380,4065523,1515437,3321294,517387,-727848,-654041,-544939,-889448,-912699,-884516,-725986,-919717,-4472681,-2072641,-3454730,201383
82,Other Non-Cash Items,- -,458130,-298053,113603,1012315,-3367182,2918919,-699603,10448420,2021495,-112443,726594,2390236,1590041,1080747,-89240,647386,7398124,-4751144,7659854,325729
83,Cash Provided by Operating Activities,40834,-3370,-27372,-1436630,-1049650,-1942278,-843416,-2695476,-2862327,-1347395,-1117818,-379240,-441718,-368368,-207068,-171972,-44844,-123966,-6542,-93190,-682333
84,CAPEX,- -,- -,- -,-2270,-181995,-2099736,-179490,-5728623,-16174,-230000,-6053,-3309,-32736,- -,- -,-626,-772,- -,-2284,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-3,-9997,-10000,- -,-1643452,1500000,- -,244100,165025,- -,8000,62633,- -,16000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-3,-12267,-191995,-2099736,-1822942,-4228623,-16174,14100,158972,-3309,-24736,62633,- -,15374,-772,- -,-2284,5,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-28500,-5000,-24300,-7200,-49287
91,Common Stock Issued,- -,- -,225450,1482670,531395,3171250,135000,7544700,1020000,1003000,825000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-40836,3370,-195729,1225,848775,5000000,- -,- -,- -,- -,- -,310500,460500,318000,235000,200000,75000,147000,- -,92599,912110
95,Cash Used/Provided by Financing Activities,-40836,3370,29721,1483895,1380170,8171250,135000,7544700,1020000,1003000,825000,360500,460500,318000,235000,100000,46500,142000,-24300,85399,862823
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-40836,- -,- -,34998,138525,4129236,-2531357,620602,-1858501,-330295,-133846,-22049,-5954,12265,27932,-56598,884,18034,-33126,-7786,180490
98,Cash at the End of Period,- -,- -,2346,37344,175869,4305105,1773748,2389218,530717,200422,66576,44527,38573,50838,78770,22172,23056,41090,7964,178,180668
99,Cash at the Beginning of Period,2,- -,- -,2346,37344,175869,4305105,1768616,2389218,530717,200422,66576,44527,38573,50838,78770,22172,23056,41090,7964,178
100,Free Cash Flow,40834,-3370,-27372,-1438900,-1231645,-4042014,-1022906,-8424099,-2878501,-1577395,-1123871,-382549,-474454,-368368,-207068,-172598,-45616,-123966,-8826,-93190,-682333
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039466/000114420410068743/0001144204-10-068743-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000139160911000598/0001391609-11-000598-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000139160913000019/0001391609-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000151116414000016/0001511164-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518515000046/0001185185-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518516003424/0001185185-16-003424-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518516005947/0001185185-16-005947-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518517002648/0001185185-17-002648-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518519000013/0001185185-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518519001754/0001185185-19-001754-index.html,https://www.sec.gov/Archives/edgar/data/1039466/000118518521000410/0001185185-21-000410-index.htm,https://www.sec.gov/Archives/edgar/data/1039466/000118518522000056/0001185185-22-000056-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
