,https://roic.ai/company/RAYT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36,Other Current Assets,- -,- -,18370,309,169,379343,- -,- -,- -,195720
37,Total Current Assets,435437,420879,576230,530980,354627,869882,50515,127,99336,415056
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,844544
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5169,16000,23409,17842,12243,6802,- -,6304,1090616,- -
45,Total Non-Current Assets,5169,16000,23409,17842,12243,6802,- -,6304,1090616,844544
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,440606,436879,599639,548822,366870,876684,50515,6431,1189952,1259600
48,Accounts Payable,- -,551,4717,86000,21500,31753,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,5406,- -,- -,- -,220930,87136,2296313
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,156030,- -,- -,- -,- -
52,Other Current Liabilities,- -,1031,1382,6416,51474,40933,86158,6763,13661,40789
53,Total Current Liabilities,- -,1582,6099,97822,72974,228716,86158,227693,100797,2337102
54,Long-Term Debt,- -,- -,20689,11494,- -,- -,- -,- -,103000,- -
55,Deferred Revenue,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2992,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,2992,80000,20689,11494,- -,- -,- -,- -,103000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2992,81582,26788,109316,72974,228716,86158,227693,203797,2337102
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,440500,475325,36362,36612,36732,40732,37732,1887,12908,38872
64,Retained Earnings,-37543,-154860,-287906,-471232,-627305,-672996,-1058093,-1243712,-2506428,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-279961,-18437
66,Other Total Stockholders Equity,34657,34832,824395,874126,884469,1280232,984718,1020563,3759636,902084
67,Total Stockholders Equity,437614,355297,572851,439506,293896,647968,-35643,-221262,986155,922519
68,Total Liabilities And Stockholders Equity,440606,436879,599639,548822,366870,876684,50515,6431,1189952,3259621
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000021
70,Total Liabilities & Equity,440606,436879,599639,548822,366870,876684,50515,6431,1189952,1259600
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1539778/000147793212004063/0001477932-12-004063-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793213006066/0001477932-13-006066-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793214007374/0001477932-14-007374-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793216007985/0001477932-16-007985-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000147793217003258/0001477932-17-003258-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000147793217006352/0001477932-17-006352-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000121390018017203/0001213900-18-017203-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000121390020006669/0001213900-20-006669-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000149315220023879/0001493152-20-023879-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-37543,-117317,-133046,-183326,-156073,-45691,-385097,-185619,-1262716,-229445
74,Depreciation and Amortization,- -,- -,4081,5441,5441,5441,5441,1074,104985,101591
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,15500,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-169,-16140,150834,-136973,-151505,359513,-676809,-191923,226105,-1920585
78,Accounts Receivable,- -,- -,-124085,-65915,148200,34933,6867,- -,- -,-205329
79,Inventory,- -,-239000,236784,-243309,-34388,-89251,369164,- -,- -,- -
80,Accounts Payable,- -,551,-551,86000,-64500,10253,-31753,- -,- -,- -
81,Other Working Capital,435437,419297,570131,433158,281653,641166,-35643,-227566,-1461,-1922046
82,Other Non-Cash Items,34450,-122109,-116272,-17747,211700,-223354,935885,198686,720776,2083510
83,Cash Provided by Operating Activities,-3262,-255566,-78903,-332605,-90437,95909,-120580,-177782,-210850,35071
84,CAPEX,- -,- -,-27206,- -,- -,- -,- -,-7378,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,2994,- -,-57684,-2972
89,Cash Used for Investing Activites,- -,- -,-27206,- -,- -,- -,2994,-7378,-57684,-2972
90,Debt Repayment,- -,- -,-46884,- -,-11494,- -,-70177,-190000,-156857,- -
91,Common Stock Issued,435500,5000,335000,- -,- -,- -,- -,- -,320682,1800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2992,-2992,20689,17450,66712,-13909,123770,324772,103000,-1689477
95,Cash Used/Provided by Financing Activities,438492,2008,308805,17450,55218,-13909,53593,134772,266825,110523
96,Effect of Forex Changes on Cash,207,- -,100,-19,-1537,-237,- -,- -,2418,-8008
97,Net Change In Cash,- -,-253558,202796,-315174,-36756,81763,-63993,-50388,709,1975
98,Cash at the End of Period,435437,181879,384675,69501,32745,114508,50515,127,836,2811
99,Cash at the Beginning of Period,- -,435437,181879,384675,69501,32745,114508,50515,127,836
100,Free Cash Flow,-3262,-255566,-106109,-332605,-90437,95909,-120580,-185160,-210850,35071
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1539778/000147793212004063/0001477932-12-004063-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793213006066/0001477932-13-006066-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793214007374/0001477932-14-007374-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000147793216007985/0001477932-16-007985-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000147793217003258/0001477932-17-003258-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000147793217006352/0001477932-17-006352-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000121390018017203/0001213900-18-017203-index.html,https://www.sec.gov/Archives/edgar/data/1539778/000121390020006669/0001213900-20-006669-index.htm,https://www.sec.gov/Archives/edgar/data/1539778/000149315220023879/0001493152-20-023879-index.htm
102,false,,,,,,,,,,
