,https://roic.ai/company/IVA,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,569071,-47724,2016,-749169,-459820,-785000,403000,-2853000,-1231000
82,Other Non-Cash Items,-3685466,-449070,1523623,3023935,3445017,5000,3894000,9830000,3496000
83,Cash Provided by Operating Activities,-16009136,-14787712,-13983149,-14860581,-17002052,-34207000,-28404000,-30590000,-47629000
84,CAPEX,-1919363,-1291552,-968990,-227937,-428029,-549000,-136000,-292000,-534000
85,Acquisitions Net,20022420,19896800,20229000,17426200,6185200,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-385210,-2094,148291,- -,- -,-8265000,-1349000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,264094,-140989,-25765,7054,-162300,-420000,-826000,-292000,90000
89,Cash Used for Investing Activites,18367151,18464259,18849035,17203223,6171191,-420000,-826000,-8557000,-1793000
90,Debt Repayment,-9444,-58864,-125458,-188416,-145583,-259000,-146000,-87000,-28000
91,Common Stock Issued,75000,- -,- -,- -,45160090,32526000,8654000,101782000,25475000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,174931,-1627,717300,117556,- -,- -,-130000,9979000,- -
95,Cash Used/Provided by Financing Activities,240487,-60491,591842,-70860,45014507,32267000,8378000,111674000,25447000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-2681000,4841000
97,Net Change In Cash,2598502,3616055,5457728,2271782,34183647,-2359000,-20852000,69847000,-19134000
98,Cash at the End of Period,13522008,17138063,22595791,24867573,59051220,56692000,35840000,105687000,86553000
99,Cash at the Beginning of Period,10923506,13522008,17138063,22595791,24867573,59051000,56692000,35840000,105687000
100,Free Cash Flow,-17928499,-16079264,-14952139,-15088518,-17430081,-34756000,-28540000,-30882000,-48163000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
