,https://roic.ai/company/SURG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,10000,80000,- -,10000,- -,- -,- -,- -,- -,500000,61460,61460,66450,61458,820587
45,Total Non-Current Assets,- -,- -,10000,600000,180000,60000,- -,- -,2068,1910,2280780,1598410,87420,1024500,6411480,6074042,5607521
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,80000,10000,840000,330000,330000,10000,- -,2794,2600,2626823,2357250,3076840,4084320,9986370,7325071,19500202
48,Accounts Payable,- -,- -,- -,20000,50000,20000,90000,120000,49554,- -,355597,- -,334940,149900,998520,7343384,- -
49,Short-Term Debt,- -,- -,- -,40000,- -,510476,38678,431488,503670,538678,1405169,2178600,1378761,977340,2189144,6159449,175770
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518240,165000,130000,50000,- -,443300,276250
52,Other Current Liabilities,- -,10000,10000,690000,30000,79524,-8678,218512,280573,350552,318002,1716290,966829,3614800,3866456,1357528,9546174
53,Total Current Liabilities,- -,10000,10000,750000,80000,610000,120000,770000,833797,889230,2597008,4059890,2810530,4792040,7054120,15303661,9998194
54,Long-Term Debt,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,636562,112400,- -,680000,6642120,1737341,438903
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,883550,600510,989750,1010035,-4486410
58,Total Non-Current Liabilities,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,636562,112410,883550,1280510,7631870,2747376,-4047507
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210816,365723,- -
61,Total Liabilities,- -,10000,10000,750000,480000,610000,120000,770000,833797,889230,3233570,4172300,3694080,6072550,14685990,18051037,5950687
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67344,10000,13643,13722,13722,- -
63,Common Stock,- -,10000,10000,- -,10000,20000,20000,20000,21555,21560,36130,57340,152560,88050,102190,127131,12064
64,Retained Earnings,- -,-20000,-90000,-30000,-1130000,-2510000,-2970000,-3630000,-3690755,-3746380,-1427806,-6027980,-617240,-2423550,-10870570,-21592199,-35123343
65,Other Comprehensive Income/Loss,- -,-2000,- -,-10000,-20000,-1000,- -,- -,- -,-290,- -,-4680,- -,-13780,-41070,- -,- -
66,Other Total Stockholders Equity,- -,74547,75774,130000,987332,2204329,2836734,2841285,2838197,2838483,784929,4092927,1061733,347404,6096113,10725380,38662600
67,Total Stockholders Equity,- -,62547,-4226,90000,-152668,-286671,-113266,-768715,-831003,-886627,-606747,-1815049,607053,-1988233,-4699615,-10725966,3551321
68,Total Liabilities And Stockholders Equity,- -,72547,5774,840000,327332,323329,6734,1285,2794,2603,2626823,2357251,4301133,4084317,9986375,7325071,9502008
69,Minority Interest,- -,7453,4226,- -,2668,6671,3266,-1285,- -,-3,- -,-1,-1224293,3,-5,- -,9998194
70,Total Liabilities & Equity,- -,80000,10000,840000,330000,330000,10000,- -,2794,2600,2626823,2357250,3076840,4084320,9986370,7325071,19500202
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1392694/000114420409041231/0001144204-09-041231-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000114420410040165/0001144204-10-040165-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000137482611000074/0001374826-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000147124212000985/0001471242-12-000985-index.html,- -,https://www.sec.gov/Archives/edgar/data/1392694/000149315214002278/0001493152-14-002278-index.html,- -,https://www.sec.gov/Archives/edgar/data/1392694/000149315217014457/0001493152-17-014457-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315218005000/0001493152-18-005000-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315219004471/0001493152-19-004471-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000149315220008410/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315221007818/0001493152-21-007818-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315222007663/0001493152-22-007663-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,-20000,-70000,-30000,-1100000,-1380000,-460000,-660000,-62288,-55620,-1336103,-4600180,2767860,-1541080,-8447030,-10721626,-13531144
74,Depreciation and Amortization,- -,- -,- -,- -,5799,6943,1530,130,108,159,501091,433118,119262,149642,55608,1370750,917468
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,388258,759279,266754,- -,- -,- -,- -,- -,- -,157907,329574,182968,3575
77,Change in Working Capital,- -,9787,-80000,-500000,580000,-410000,230000,-660000,-63071,-55469,-2251426,-1050085,3479940,-1911110,-1747010,-10573402,17947119
78,Accounts Receivable,- -,- -,- -,- -,-1397,-38236,321,-367,123,-123,-86040,111711,60392,-102815,-3599534,1146611,-3094231
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178309,-4255637
80,Accounts Payable,- -,- -,- -,- -,125645,125115,24693,66756,-48062,4441,- -,- -,- -,- -,- -,- -,4056812
81,Other Working Capital,- -,70000,-10000,-510000,70000,-340000,-110000,-770000,-833071,-888540,-2250965,-3301050,178890,-1732220,-3479230,-14052632,3894487
82,Other Non-Cash Items,- -,-453,76556,670000,-137553,972833,-53201,962149,51676,65976,2861917,4575270,-6971171,2129027,3275717,15415262,-20625279
83,Cash Provided by Operating Activities,- -,-10666,-73444,140000,-263496,-50945,-14917,-357721,-73575,-44954,-224521,-641877,-604109,-1015614,-6533141,-4326048,-15288261
84,CAPEX,- -,- -,-3500,-40000,-40141,-95,-4893,- -,- -,- -,-9732,-3000,-147000,- -,-227630,-6605,-51408
85,Acquisitions Net,- -,- -,- -,- -,119830,- -,- -,- -,- -,- -,28063,- -,- -,243768,210348,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,-521803,-14959,14959,-325316
89,Cash Used for Investing Activites,- -,- -,-3500,-40000,79689,-95,-4893,- -,- -,- -,18331,-503000,-147000,-278035,-32241,8354,-376724
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299880,-526903,-338757,-2616732,-961130,-822143,- -
91,Common Stock Issued,- -,83000,6000,- -,- -,6000,- -,- -,- -,- -,300065,857500,1175000,- -,3210500,1068500,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,80000,26750,20100,17500,357321,73741,44794,237677,808500,67000,3080833,4217440,4899292,21274486
95,Cash Used/Provided by Financing Activities,- -,83000,6000,80000,26750,26100,17500,357321,73741,44794,237862,1139097,903243,464101,6466810,4645649,21274486
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,83000,-70944,180000,-157057,-24940,-2310,-400,166,-160,31672,-5780,152134,-829548,-98572,327955,5609501
98,Cash at the End of Period,- -,72334,1390,180000,27966,3026,716,316,482,322,69489,63709,215843,444612,346040,673995,6283496
99,Cash at the Beginning of Period,- -,- -,72334,- -,185023,27966,3026,716,316,482,37817,69489,63709,1274160,444612,346040,673995
100,Free Cash Flow,- -,-10666,-76944,100000,-303637,-51040,-19810,-357721,-73575,-44954,-234253,-644877,-751109,-1015614,-6760771,-4332653,-15339669
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1392694/000114420409041231/0001144204-09-041231-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000114420410040165/0001144204-10-040165-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000137482611000074/0001374826-11-000074-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000147124212000985/0001471242-12-000985-index.html,- -,https://www.sec.gov/Archives/edgar/data/1392694/000149315214002278/0001493152-14-002278-index.html,- -,https://www.sec.gov/Archives/edgar/data/1392694/000149315217014457/0001493152-17-014457-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315218005000/0001493152-18-005000-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315219004471/0001493152-19-004471-index.html,https://www.sec.gov/Archives/edgar/data/1392694/000149315220008410/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315221007818/0001493152-21-007818-index.htm,https://www.sec.gov/Archives/edgar/data/1392694/000149315222007663/0001493152-22-007663-index.htm
102,false,,,,,,,,,,,,,,,,,
