,https://roic.ai/company/TEAM,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,85262000,131231000,131231000,173612000,245306000,324394000,- -,821775000
52,Other Current Liabilities,- -,36518000,45799000,94942000,140103000,181041000,1125132000,2064115000,1056625000
53,Total Current Liabilities,- -,126529000,188154000,236500000,326867000,444886000,2329708000,3018779000,2310011000
54,Long-Term Debt,- -,- -,- -,- -,- -,819637000,- -,229825000,214103000
55,Deferred Revenue,- -,3921000,5334000,- -,- -,- -,- -,- -,84652000
56,Deferred Tax Liabilities,- -,2936000,4919000,- -,- -,- -,- -,- -,26625000
57,Other Non-Current Liabilities,- -,3323000,8700000,22810000,62943000,249985000,82083000,70162000,15039000
58,Total Non-Current Liabilities,- -,10180000,18953000,22810000,62943000,1069622000,82083000,299987000,340419000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,312000,526000,766000,688000,1420000,1613000,264568000,256549000
61,Total Liabilities,- -,136709000,207107000,259310000,389810000,1514508000,2411791000,3318766000,2650430000
62,Preferred Stock,- -,2743000,2743000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,14401000,14401000,21620000,22726000,23531000,24199000,24744000,25164000
64,Retained Earnings,- -,8127000,14902000,263610000,414117000,429084000,51023000,14526000,-1812707000
65,Other Comprehensive Income/Loss,- -,39076000,39194000,249034000,443592000,557039000,848739000,1207062000,1621441000
66,Other Total Stockholders Equity,- -,60982000,118814000,197399000,13613000,-116888000,-358494000,-671026000,461016000
67,Total Stockholders Equity,- -,125329000,190054000,731663000,894048000,892766000,565467000,575306000,294914000
68,Total Liabilities And Stockholders Equity,- -,262038000,397161000,990973000,1283858000,2407274000,2977258000,3894072000,2945344000
69,Minority Interest,- -,- -,- -,- -,- -,14554000,- -,- -,- -
70,Total Liabilities & Equity,- -,262038000,397161000,990973000,1283858000,2421828000,2977258000,3894072000,2945344000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1650372/000165037216000018/0001650372-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037217000022/0001650372-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037218000038/0001650372-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037219000020/a20-f06302019.htm,https://www.sec.gov/Archives/edgar/data/1650372/000165037220000030/0001650372-20-000030-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,10761000,18982000,6775000,4373000,-37449000,-113432000,-637621000,-350654000,-696315000
74,Depreciation and Amortization,12060000,13316000,15511000,21926000,61546000,79435000,70248000,97398000,92848000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3491000,11364000,41534000,75480000,137448000,162873000,257762000,313395000,385732000
77,Change in Working Capital,29948000,31294000,45616000,48435000,67696000,120772000,169000000,143019000,284960000
78,Accounts Receivable,- -,-1959000,- -,-3487000,-10208000,-19635000,-30211000,-29440000,-61256000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,18567000,24785000,47381000,44503000,72604000,104223000,122502000,131535000,294371000
82,Other Non-Cash Items,-1950000,324000,-11215000,-20672000,-29860000,61808000,606953000,371052000,774105000
83,Cash Provided by Operating Activities,54310000,75280000,98221000,129542000,199381000,311456000,466342000,574210000,841330000
84,CAPEX,-7246000,-10259000,-32676000,-34213000,-16054000,-30209000,-46302000,-35709000,-33320000
85,Acquisitions Net,- -,- -,-10615000,- -,-381090000,- -,-418595000,-53212000,-91584000
86,Purchases of Investments,-12191000,-45498000,-50033000,-569067000,-423540000,-347822000,-648036000,-985931000,-119431000
87,Sales/Maturities of Investments,7095000,11641000,64758000,114795000,600075000,329981000,505566000,758766000,503782000
88,Other Investing Activites,-100000,-4587000,-900000,-1025000,-4889000,-3646000,1059000,-2845000,-4603000
89,Cash Used for Investing Activites,-12442000,-46554000,-28566000,-489510000,-224573000,-51696000,-604198000,-318931000,256644000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-38127000,-1848118000
91,Common Stock Issued,- -,- -,- -,431447000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2201000,-10000000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5042000,7429000,2338000,1337000,9438000,906789000,-3187000,-4448000,193313000
95,Cash Used/Provided by Financing Activities,2841000,-2571000,2338000,432784000,9438000,906789000,-3187000,-42575000,-1654805000
96,Effect of Forex Changes on Cash,-1349000,445000,-1665000,-201000,465000,-630000,-855000,-1176000,5406000
97,Net Change In Cash,43360000,26600000,70328000,72615000,-15289000,1165919000,-141898000,211528000,-560742000
98,Cash at the End of Period,90166000,116766000,187094000,259709000,244420000,1410339000,1268441000,1479969000,919227000
99,Cash at the Beginning of Period,46806000,90166000,116766000,187094000,259709000,244420000,1410339000,1268441000,1479969000
100,Free Cash Flow,47064000,65021000,65545000,95329000,183327000,281247000,420040000,538501000,808010000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650372/000165037216000018/0001650372-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037217000022/0001650372-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037218000038/0001650372-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1650372/000165037219000020/a20-f06302019.htm,https://www.sec.gov/Archives/edgar/data/1650372/000165037220000030/0001650372-20-000030-index.htm,- -
102,false,,,,,,,,,
