,https://roic.ai/company/ACIU,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1651625/000095010317002540/0000950103-17-002540-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010318003508/0000950103-18-003508-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010319003578/0000950103-19-003578-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010320006219/0000950103-20-006219-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,3306000,76522000,152210000,124377000,156462000,193587000,160893000,82216000
32,Short-Term Investments,- -,- -,- -,- -,30000000,95000000,65000000,116000000
33,Cash and Short-Term Investments,3306000,76522000,152210000,124377000,186462000,288587000,225893000,198216000
34,Net Receivables,25988000,316000,1406000,3717000,4102000,1399000,1920000,1403000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,373000,2508000,1278000,1440000,2364000,2788000,3954000,3015000
37,Total Current Assets,29667000,79346000,154894000,129534000,192928000,292774000,231767000,202634000
38,PP&E,544000,500000,1120000,2353000,3324000,6172000,6639000,8030000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,50416000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,50416000
42,Investments,- -,85000,86000,126000,304000,304000,- -,363000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,85000,- -,- -,- -,- -,- -,334000,- -
45,Total Non-Current Assets,629000,585000,1206000,2479000,3628000,6476000,6973000,58809000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30296000,79931000,156100000,132013000,196556000,299250000,238740000,261443000
48,Accounts Payable,1584000,1719000,4035000,1092000,1979000,142000,2184000,2003000
49,Short-Term Debt,- -,- -,- -,- -,332000,1094000,443000,570000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,205000,45000,521000,355000,351000,4477000,306000,717000
52,Other Current Liabilities,2630000,4337000,5366000,8307000,10420000,11797000,11085000,16736000
53,Total Current Liabilities,4419000,6101000,9922000,9754000,13082000,17510000,14018000,20026000
54,Long-Term Debt,- -,- -,- -,395000,186000,1813000,1780000,2340000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2410000,2787000,3798000,5025000,5665000,7485000,7464000,7098000
58,Total Non-Current Liabilities,2410000,2787000,3798000,5420000,5851000,9298000,9244000,9438000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,395000,- -,2255000,2223000,2910000
61,Total Liabilities,6829000,8888000,13720000,15174000,18933000,26808000,23262000,29464000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,854000,928000,1135000,1147000,1351000,1437000,1538000,1794000
64,Retained Earnings,-60455000,-40381000,-46921000,-72607000,-121877000,-75521000,-132850000,-200942000
65,Other Comprehensive Income/Loss,-1589000,-1876000,-2154000,179352000,-3544000,-4528000,-5717000,- -
66,Other Total Stockholders Equity,84657000,112372000,190320000,8947000,301693000,351054000,352507000,431127000
67,Total Stockholders Equity,23467000,71043000,142380000,116839000,177623000,272442000,215478000,231979000
68,Total Liabilities And Stockholders Equity,30296000,79931000,156100000,132013000,196556000,299250000,238740000,261443000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30296000,79931000,156100000,132013000,196556000,299250000,238740000,261443000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1651625/000095010317002540/0000950103-17-002540-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010318003508/0000950103-18-003508-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010319003578/0000950103-19-003578-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010320006219/0000950103-20-006219-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,10744000,20270000,-7096000,-26411000,-50951000,45442000,-61921000,-72996000
74,Depreciation and Amortization,298000,287000,278000,580000,961000,1694000,1967000,2406000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,210000,540000,1317000,1579000,2518000,2834000,4088000,4126000
77,Change in Working Capital,-28866000,24584000,3298000,-1990000,1812000,5650000,-4573000,6841000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,341000,-141000,2592000,-2853000,- -,- -,- -,- -
81,Other Working Capital,-3553000,-519000,726000,396000,-71000,4126000,-4157000,425000
82,Other Non-Cash Items,-10000,-1597000,-3443000,4148000,1582000,-400000,922000,-6066000
83,Cash Provided by Operating Activities,-17624000,44084000,-5646000,-22094000,-44078000,55220000,-59517000,-65689000
84,CAPEX,-128000,-244000,-899000,-1802000,-1858000,-1885000,-1706000,-2635000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-30000000,-65000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3000,- -,- -,-40000,-178000,- -,30035000,-51029000
89,Cash Used for Investing Activites,-131000,-244000,-899000,-1842000,-32036000,-66885000,28329000,-53664000
90,Debt Repayment,- -,- -,- -,- -,-339000,-420000,-946000,-513000
91,Common Stock Issued,- -,- -,69388000,- -,111534000,- -,100000,16720000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9801000,27778000,9402000,271000,-1817000,50036000,143000,24539000
95,Cash Used/Provided by Financing Activities,9801000,27778000,78790000,271000,109378000,49616000,-803000,40746000
96,Effect of Forex Changes on Cash,9000,1598000,3443000,-4168000,-1179000,-826000,-703000,-70000
97,Net Change In Cash,-7945000,73216000,75688000,-27833000,32085000,37125000,-32694000,-78677000
98,Cash at the End of Period,3306000,76522000,152210000,124377000,156462000,193587000,160893000,82216000
99,Cash at the Beginning of Period,11251000,3306000,76522000,152210000,124377000,156462000,193587000,160893000
100,Free Cash Flow,-17752000,43840000,-6545000,-23896000,-45936000,53335000,-61223000,-68324000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1651625/000095010317002540/0000950103-17-002540-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010318003508/0000950103-18-003508-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010319003578/0000950103-19-003578-index.html,https://www.sec.gov/Archives/edgar/data/1651625/000095010320006219/0000950103-20-006219-index.html,- -,- -
102,Forex Rate,1.0056,0.9977,0.9814,1.0263,1.0185,1.0328,1.1293,1.0958
