,https://roic.ai/company/MUGH,2018,2019,2020,2021
78,Accounts Receivable,- -,-18803,-193,193
79,Inventory,- -,-43946,-7851,17549
80,Accounts Payable,- -,- -,- -,- -
81,Other Working Capital,876689,462911,-317145,-170303
82,Other Non-Cash Items,- -,299614,863682,-109925
83,Cash Provided by Operating Activities,-28670,-988000,-393131,-156580
84,CAPEX,- -,-478044,-182325,-21251
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-28138,26760
89,Cash Used for Investing Activites,- -,-478044,-210463,6795
90,Debt Repayment,- -,-8001,- -,- -
91,Common Stock Issued,906405,929841,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,-771318,823929,224836,157363
95,Cash Used/Provided by Financing Activities,135087,1745769,224836,157363
96,Effect of Forex Changes on Cash,- -,8261,-3975,983
97,Net Change In Cash,- -,287986,-382733,8561
98,Cash at the End of Period,106417,394403,11670,20231
99,Cash at the Beginning of Period,- -,106417,394403,11670
100,Free Cash Flow,-28670,-1466044,-603594,-177831
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1746119/000149315219015952/0001493152-19-015952-index.html,https://www.sec.gov/Archives/edgar/data/1746119/000149315220020195/0001493152-20-020195-index.htm,https://www.sec.gov/Archives/edgar/data/1746119/000149315221028300/0001493152-21-028300-index.htm
102,false,,,,
