,https://roic.ai/company/TEL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,470000000,936000000,1086000000,1521000000,1990000000,1219000000,1589000000,1403000000,2457000000,3329000000,647000000,1218000000,848000000,927000000,945000000,1203000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,470000000,936000000,1086000000,1521000000,1990000000,1219000000,1589000000,1403000000,2457000000,3329000000,647000000,1218000000,848000000,927000000,945000000,1203000000
34,Net Receivables,- -,- -,- -,- -,2544000000,4750000000,2726000000,1975000000,2259000000,2425000000,2343000000,2323000000,2439000000,2120000000,2046000000,2138000000,2361000000,2320000000,2377000000,2928000000
35,Inventory,- -,- -,- -,- -,1966000000,2047000000,2312000000,1435000000,1583000000,1939000000,1808000000,1762000000,1745000000,1615000000,1596000000,1647000000,1857000000,1836000000,1950000000,2511000000
36,Other Current Assets,- -,5338000000,6246000000,6339000000,1060000000,2140000000,971000000,648000000,899000000,1049000000,763000000,821000000,903000000,821000000,486000000,923000000,1133000000,471000000,512000000,621000000
37,Total Current Assets,- -,5338000000,6246000000,6339000000,6040000000,9873000000,7095000000,5579000000,6731000000,6632000000,6503000000,6309000000,7544000000,7885000000,4775000000,5926000000,6199000000,5554000000,5784000000,7263000000
38,PP&E,- -,- -,- -,- -,3133000000,3505000000,3517000000,3111000000,2867000000,3684000000,4754000000,3166000000,3126000000,2920000000,3052000000,3159000000,3497000000,3574000000,3650000000,3778000000
39,Goodwill,- -,- -,- -,- -,7135000000,7177000000,7068000000,3160000000,3211000000,3065000000,2767000000,4326000000,4595000000,4824000000,5492000000,5651000000,5684000000,5740000000,5224000000,5590000000
40,Intangible Assets,- -,- -,- -,- -,1028000000,554000000,486000000,407000000,392000000,655000000,1352000000,1244000000,1329000000,1555000000,1879000000,1841000000,1704000000,1596000000,1593000000,1549000000
41,Intangible Assets,- -,- -,- -,- -,8163000000,7731000000,7554000000,3567000000,3603000000,3720000000,4119000000,5570000000,5924000000,6379000000,7371000000,7492000000,7388000000,7336000000,6817000000,7139000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,1501000000,271000000,289000000,188000000,285000000,333000000,448000000,321000000,240000000,329000000,207000000,236000000,207000000,156000000,2178000000,2499000000
44,Other Non-Current Assets,- -,12794000000,12543000000,12134000000,254000000,2308000000,3145000000,3775000000,3506000000,3354000000,3482000000,3095000000,3318000000,3076000000,2203000000,2590000000,3095000000,3074000000,813000000,783000000
45,Total Non-Current Assets,- -,12794000000,12543000000,12134000000,13051000000,13815000000,14505000000,10641000000,10261000000,11091000000,12803000000,12152000000,12608000000,12704000000,12833000000,13477000000,14187000000,14140000000,13458000000,14199000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18132000000,18789000000,18473000000,19091000000,23688000000,21600000000,16220000000,16992000000,17723000000,19306000000,18461000000,20152000000,20589000000,17608000000,19403000000,20386000000,19694000000,19242000000,21462000000
48,Accounts Payable,- -,- -,- -,- -,1300000000,1382000000,1469000000,1068000000,1386000000,1483000000,1292000000,1383000000,1391000000,1143000000,1090000000,1387000000,1548000000,1357000000,1276000000,1911000000
49,Short-Term Debt,- -,- -,- -,- -,291000000,5000000,20000000,101000000,106000000,1000000,1015000000,711000000,667000000,500000000,331000000,710000000,963000000,570000000,810000000,621000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,48000000,297000000,296000000,224000000,112000000,160000000,198000000,149000000,121000000,109000000,94000000,113000000,146000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,204000000,161000000,164000000,145000000,121000000,68000000,179000000,185000000,208000000,75000000,2144000000,2776000000,47000000,51000000
52,Other Current Liabilities,- -,3081000000,3004000000,3188000000,1548000000,4798000000,1639000000,1285000000,1804000000,1772000000,1576000000,1762000000,1717000000,1747000000,1437000000,1675000000,-245000000,-1163000000,1557000000,2073000000
53,Total Current Liabilities,- -,3081000000,3004000000,3188000000,3139000000,6185000000,3332000000,2615000000,3460000000,3401000000,4004000000,3924000000,3954000000,3575000000,3066000000,3847000000,4410000000,3540000000,3690000000,4656000000
54,Long-Term Debt,- -,6502000000,- -,- -,3371000000,3373000000,3161000000,2316000000,2307000000,2668000000,2696000000,2303000000,3281000000,3386000000,3739000000,3634000000,3037000000,3395000000,3452000000,3589000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,380000000,- -,- -,- -,285000000,333000000,448000000,321000000,240000000,329000000,207000000,236000000,207000000,156000000,143000000,181000000
57,Other Non-Current Liabilities,- -,2255000000,7543000000,5443000000,1009000000,2753000000,4034000000,4273000000,3892000000,3847000000,4187000000,3533000000,3670000000,3714000000,2111000000,1935000000,1901000000,2033000000,2574000000,2288000000
58,Total Non-Current Liabilities,- -,8757000000,7543000000,5443000000,4760000000,6126000000,7195000000,6589000000,6484000000,6848000000,7331000000,6157000000,7191000000,7429000000,6057000000,5805000000,5145000000,5584000000,6169000000,6058000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,118000000
61,Total Liabilities,- -,11838000000,10547000000,8631000000,7899000000,12311000000,10527000000,9204000000,9944000000,10249000000,11335000000,10081000000,11145000000,11004000000,9123000000,9652000000,9555000000,9124000000,9859000000,10714000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,99000000,100000000,1049000000,599000000,593000000,193000000,189000000,184000000,182000000,168000000,157000000,157000000,154000000,149000000,148000000
64,Retained Earnings,- -,- -,- -,- -,- -,186000000,1141000000,-2274000000,-1161000000,84000000,1196000000,2472000000,4253000000,6673000000,8682000000,10175000000,12114000000,12256000000,10348000000,11709000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,670000000,1052000000,929000000,455000000,246000000,428000000,229000000,303000000,-17000000,-373000000,-542000000,-160000000,-306000000,-503000000,-445000000,-168000000
66,Other Total Stockholders Equity,- -,6294000000,8242000000,9842000000,10506000000,10040000000,8903000000,7786000000,7364000000,6369000000,6353000000,5416000000,4587000000,3103000000,177000000,-421000000,-1134000000,-1337000000,-669000000,-1055000000
67,Total Stockholders Equity,- -,6294000000,8242000000,9842000000,11160000000,11377000000,11073000000,7016000000,7048000000,7474000000,7971000000,8380000000,9007000000,9585000000,8485000000,9751000000,10831000000,10570000000,9383000000,10634000000
68,Total Liabilities And Stockholders Equity,- -,18132000000,18789000000,18473000000,19059000000,23688000000,21600000000,16220000000,16992000000,17723000000,19306000000,18461000000,20152000000,20589000000,17608000000,19403000000,20386000000,19694000000,19242000000,21348000000
69,Minority Interest,- -,- -,- -,- -,32000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000
70,Total Liabilities & Equity,- -,18132000000,18789000000,18473000000,19091000000,23688000000,21600000000,16220000000,16992000000,17723000000,19306000000,18461000000,20152000000,20589000000,17608000000,19403000000,20386000000,19694000000,19242000000,21462000000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385157/000104746907010039/0001047469-07-010039-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746908012452/0001047469-08-012452-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746909010297/0001047469-09-010297-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/0001047469-10-009566-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746911009687/0001047469-11-009687-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/0001047469-12-010439-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/0001047469-13-010572-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/0001047469-14-009088-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/0001047469-15-008508-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746916016719/0001047469-16-016719-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746917007037/0001047469-17-007037-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746918007210/0001047469-18-007210-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000155837019010758/0001558370-19-010758-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000155837020013511/0001558370-20-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837021015228/0001558370-21-015228-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-228000000,762000000,1144000000,1193000000,-554000000,1782000000,-3256000000,1103000000,1245000000,1118000000,1276000000,1781000000,2420000000,2009000000,1683000000,2565000000,1844000000,-241000000,2261000000
74,Depreciation and Amortization,- -,- -,- -,- -,531000000,535000000,559000000,515000000,520000000,574000000,609000000,607000000,617000000,616000000,585000000,635000000,667000000,690000000,711000000,769000000
75,Deferred Income Tax,- -,- -,- -,- -,-62000000,162000000,174000000,-515000000,35000000,109000000,-48000000,211000000,-299000000,92000000,810000000,-67000000,-791000000,-218000000,535000000,-354000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,63000000,73000000,68000000,78000000,84000000,89000000,91000000,99000000,95000000,75000000,74000000,94000000
77,Change in Working Capital,- -,- -,985000000,-91000000,-250000000,787000000,75000000,-799000000,307000000,-40000000,-732000000,-114000000,1205000000,720000000,-2601000000,370000000,-290000000,225000000,80000000,-193000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,651000000,-323000000,34000000,17000000,-81000000,-205000000,-210000000,116000000,-253000000,-269000000,31000000,-63000000,-518000000
79,Inventory,- -,- -,- -,- -,-353000000,-124000000,-280000000,634000000,-177000000,-209000000,123000000,-43000000,-62000000,-220000000,16000000,-211000000,-247000000,64000000,-89000000,-556000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-420000000,317000000,-48000000,-189000000,167000000,52000000,-22000000,-100000000,308000000,201000000,-178000000,-80000000,560000000
81,Other Working Capital,- -,2257000000,3242000000,3151000000,2901000000,3688000000,3763000000,2964000000,3271000000,3231000000,2499000000,2385000000,3590000000,4310000000,1709000000,2079000000,1789000000,2014000000,2094000000,167000000
82,Other Non-Cash Items,- -,228000000,-1747000000,-1053000000,258000000,588000000,-1601000000,5384000000,-349000000,-182000000,932000000,-12000000,-1305000000,-2024000000,1028000000,-399000000,205000000,-194000000,833000000,99000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1670000000,1518000000,989000000,1329000000,1679000000,1779000000,1947000000,2046000000,2083000000,1913000000,1922000000,2321000000,2451000000,2422000000,1992000000,2676000000
84,CAPEX,- -,-439000000,-384000000,-467000000,-560000000,-892000000,-619000000,-328000000,-385000000,-581000000,-533000000,-615000000,-673000000,-600000000,-628000000,-702000000,-935000000,-749000000,-560000000,-690000000
85,Acquisitions Net,- -,- -,- -,- -,-23000000,227000000,-3000000,17000000,-78000000,-746000000,-1384000000,8000000,-528000000,1232000000,-1022000000,-246000000,-153000000,14000000,-339000000,-423000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-525000000,-863000000,1517000000,374000000,-364000000,129000000,-126000000,-553000000,-547000000,-596000000,-559000000,-686000000,-941000000,-706000000,-526000000,-614000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-548000000,-1528000000,895000000,391000000,-442000000,-1043000000,-1510000000,-545000000,-1075000000,636000000,-1581000000,-932000000,-1094000000,-692000000,-865000000,-1037000000
90,Debt Repayment,- -,- -,- -,- -,-114000000,- -,- -,-1251000000,-100000000,-565000000,-342000000,-715000000,-360000000,-473000000,-501000000,- -,-708000000,-691000000,-352000000,-708000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,54000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1242000000,-152000000,-488000000,-865000000,-185000000,-844000000,-578000000,-1023000000,-2787000000,-614000000,-879000000,-1091000000,-523000000,-831000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-271000000,-294000000,-289000000,-296000000,-332000000,-384000000,-443000000,-502000000,-509000000,-546000000,-588000000,-608000000,-625000000,-647000000
94,Other Financing Activites,- -,- -,- -,- -,-821000000,431000000,-280000000,443000000,98000000,214000000,794000000,265000000,1446000000,392000000,767000000,346000000,453000000,747000000,395000000,800000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-935000000,431000000,-1739000000,-1254000000,-779000000,-1512000000,-65000000,-1678000000,65000000,-1606000000,-3030000000,-814000000,-1722000000,-1643000000,-1105000000,-1386000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1000000,46000000,1000000,-31000000,11000000,5000000,-1000000,-9000000,-19000000,-71000000,7000000,-4000000,-5000000,-8000000,-4000000,5000000
97,Net Change In Cash,- -,- -,- -,- -,186000000,467000000,144000000,431000000,469000000,-771000000,371000000,-186000000,1054000000,872000000,-2682000000,571000000,-370000000,79000000,18000000,258000000
98,Cash at the End of Period,- -,- -,- -,- -,470000000,936000000,1086000000,1521000000,1990000000,1219000000,1589000000,1403000000,2457000000,3329000000,647000000,1218000000,848000000,927000000,945000000,1203000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,284000000,469000000,942000000,1090000000,1521000000,1990000000,1218000000,1589000000,1403000000,2457000000,3329000000,647000000,1218000000,848000000,927000000,945000000
100,Free Cash Flow,- -,- -,- -,- -,1110000000,626000000,370000000,1001000000,1294000000,1198000000,1414000000,1431000000,1410000000,1313000000,1294000000,1619000000,1516000000,1673000000,1432000000,1986000000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385157/000104746907010039/0001047469-07-010039-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746908012452/0001047469-08-012452-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746909010297/0001047469-09-010297-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/0001047469-10-009566-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746911009687/0001047469-11-009687-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/0001047469-12-010439-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/0001047469-13-010572-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/0001047469-14-009088-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/0001047469-15-008508-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746916016719/0001047469-16-016719-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746917007037/0001047469-17-007037-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000104746918007210/0001047469-18-007210-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000155837019010758/0001558370-19-010758-index.html,https://www.sec.gov/Archives/edgar/data/1385157/000155837020013511/0001558370-20-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1385157/000155837021015228/0001558370-21-015228-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
