,https://roic.ai/company/MASI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.25,- -,- -,-0.93,-1.64,-1.31,0.42,3.04,0.60,- -,0.53,0.88,1.05,1.07,1.02,- -,1.30,5.65,2.36,3.45,3.44,- -,4.14
27,Weighted Average Shares Outstanding,52800000,- -,- -,9274365,9372561,9378741,9717882,16319898,16654586,- -,56320712,57856522,59659000,57445000,56690000,- -,54708000,49530000,51516000,52296000,53434000,- -,54700000
28,Weighted Average Shares Outstanding Diluted,52800000,- -,- -,9274365,9372561,9378741,13102611,20302872,38465000,- -,60190335,60486364,60845000,58374000,57480000,- -,55571000,53195000,55874000,56039000,57100000,- -,58037000
29,SEC Link,- -,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/937556/000119312508046353/0001193125-08-046353-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/937556/000119312509043860/0001193125-09-043860-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312510032590/0001193125-10-032590-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312512065799/0001193125-12-065799-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312513061008/0001193125-13-061008-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755614000017/0000937556-14-000017-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/937556/000093755615000024/0000937556-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755617000045/0000937556-17-000045-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755618000019/0000937556-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755619000039/0000937556-19-000039-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/937556/000093755621000033/0000937556-21-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14500000,- -,- -,7792000,11124000,- -,14172000,55382000,96700000,- -,146900000,132100000,129882000,71600000,95500000,- -,134453000,305970000,315302000,552490000,567687000,- -,641447000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,- -,- -,- -,- -,- -,- -,- -,- -,120000000,- -,- -
33,Cash and Short-Term Investments,14500000,- -,- -,7792000,11124000,- -,14172000,55382000,96700000,- -,146900000,189100000,129882000,71600000,95500000,- -,134453000,305970000,315302000,552490000,687687000,- -,641447000
34,Net Receivables,1300000,- -,- -,- -,- -,- -,15485000,23639000,40800000,- -,42100000,50400000,64115000,75000000,84100000,- -,78602000,109549000,129112000,119925000,166841000,- -,181384000
35,Inventory,3600000,- -,- -,- -,- -,- -,13055000,17135000,23100000,- -,27400000,31600000,45944000,47400000,56800000,- -,69718000,72542000,92259000,94732000,115871000,- -,215952000
36,Other Current Assets,300000,- -,- -,- -,- -,- -,26556000,21159000,23000000,- -,15800000,18300000,22994000,25300000,35400000,- -,14303000,19166000,23021000,22130000,25663000,- -,62382000
37,Total Current Assets,19700000,- -,- -,- -,- -,- -,69268000,117315000,183600000,- -,232200000,289400000,262935000,219300000,271800000,- -,297076000,507227000,559694000,789277000,996062000,- -,1101165000
38,PP&E,3400000,- -,- -,- -,- -,- -,7418000,10290000,11200000,- -,13000000,11700000,15239000,23900000,24900000,- -,101952000,135996000,164096000,165972000,238689000,- -,306173000
39,Goodwill,- -,- -,- -,- -,- -,- -,448000,448000,400000,- -,400000,400000,448000,22800000,22800000,- -,20979000,19780000,20617000,23297000,22350000,- -,103206000
40,Intangible Assets,900000,- -,- -,- -,- -,- -,3939000,4592000,5600000,- -,7400000,9800000,11393000,27400000,28100000,- -,27771000,29376000,27123000,27924000,27251000,- -,73923000
41,Intangible Assets,900000,- -,- -,- -,- -,- -,4387000,5040000,6000000,- -,7800000,10200000,11841000,50200000,50900000,- -,48750000,49156000,47740000,51221000,49601000,- -,177129000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234000,1200000,6475000,- -,8002000
43,Tax Assets,- -,- -,- -,- -,- -,- -,2595000,3163000,- -,- -,- -,- -,16766000,- -,- -,- -,- -,38975000,9880000,2956000,35972000,- -,39363000
44,Other Non-Current Assets,200000,- -,- -,- -,- -,- -,16921000,23265000,34700000,- -,40300000,45000000,59323000,81300000,91100000,- -,117228000,89171000,122791000,144192000,69329000,- -,80720000
45,Total Non-Current Assets,4500000,- -,- -,- -,- -,- -,31321000,41758000,51900000,- -,61100000,66900000,103169000,155400000,166900000,- -,267930000,313298000,345741000,365541000,400066000,- -,611387000
46,Other Assets,- -,- -,- -,32602000,40397000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24200000,- -,- -,32602000,40397000,- -,100589000,159073000,235500000,- -,293300000,356300000,366104000,374700000,438700000,- -,565006000,820525000,905435000,1154818000,1396128000,- -,1712552000
48,Accounts Payable,1200000,- -,- -,- -,- -,- -,9178000,10142000,14600000,- -,15900000,16700000,27302000,27000000,28000000,- -,38045000,31125000,33780000,40388000,54548000,- -,64061000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,7747000,7528000,62000,- -,70000,60000,- -,55000,111000,- -,79000,- -,- -,- -,4653000,- -,5975000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10862000,477000,- -,1504000,2406000,- -,6562000,- -,4292000,- -,16316000,- -,21957000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,7047000,13880000,16827000,- -,17233000,14641000,16019000,19278000,20755000,- -,21067000,38198000,35929000,33106000,25939000,- -,28979000
52,Other Current Liabilities,1900000,- -,- -,- -,- -,- -,11083000,55640000,30311000,- -,32397000,27999000,32632000,43167000,54934000,- -,64703000,151043000,59945000,73061000,87079000,- -,134821000
53,Total Current Liabilities,3100000,- -,- -,- -,- -,- -,35055000,87190000,61800000,- -,65600000,59400000,75953000,89500000,103800000,- -,123894000,220366000,129654000,146555000,172219000,- -,233836000
54,Long-Term Debt,1600000,- -,- -,- -,- -,- -,21313000,13514000,19500000,- -,200000,200000,- -,100000,200000,- -,125145000,- -,- -,- -,15834000,- -,28373000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,984000,576000,566000,- -,453000,25336000,237000,685000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12911000,19636000,- -,18065000,340000,- -,- -,3052000,- -,6247000
57,Other Non-Current Liabilities,400000,- -,- -,- -,- -,- -,145303000,1408000,4100000,- -,8200000,8000000,9501000,-1487000,-12002000,- -,-8550000,14247000,51520000,38513000,37149000,- -,36456000
58,Total Non-Current Liabilities,2000000,- -,- -,- -,- -,- -,166616000,14922000,23600000,- -,8400000,8200000,10485000,12100000,8400000,- -,135113000,39923000,51757000,39198000,56035000,- -,71076000
59,Other Liabilities,- -,- -,- -,132794000,155790000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,208000,- -,157000,231000,122000,2092000,1694000,- -,950000,71000,- -,- -,20487000,- -,34348000
61,Total Liabilities,5100000,- -,- -,132794000,155790000,- -,201671000,102112000,85400000,- -,74000000,67600000,86438000,101600000,112200000,- -,259007000,260289000,181411000,185753000,228254000,- -,304912000
62,Preferred Stock,- -,- -,- -,- -,127204000,- -,- -,88328000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,10000,17000,100000,- -,100000,100000,58000,100000,100000,- -,52000,50000,52000,53000,54000,- -,55000
64,Retained Earnings,-49200000,- -,- -,- -,- -,- -,-100958000,-30439000,9000000,- -,40900000,94100000,69364000,74400000,132700000,- -,205260000,589226000,737955000,931073000,1100494000,- -,1341235000
65,Other Comprehensive Income/Loss,1800000,- -,- -,- -,- -,- -,-9575000,-12220000,-1000000,- -,-21500000,1000000,1000000,4000000,4000000,- -,-5000000,-7000000,-3000000,-6000000,-6718000,- -,1413000
66,Other Total Stockholders Equity,66500000,- -,- -,- -,- -,- -,9441000,11275000,141966000,- -,199891000,193514000,206406000,194579000,189669000,- -,105687000,-22040000,-28096000,43939000,74044000,- -,64957000
67,Total Stockholders Equity,19100000,- -,- -,-100192000,-115393000,- -,-101082000,56961000,150066000,- -,219391000,288714000,276828000,273079000,326469000,- -,305999000,560236000,706911000,969065000,1167874000,- -,1407660000
68,Total Liabilities And Stockholders Equity,24200000,- -,- -,32602000,40397000,- -,100589000,159073000,235466000,- -,293391000,356314000,363266000,374679000,438669000,- -,565006000,820525000,888322000,1154818000,1396128000,- -,1712572000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,34000,- -,-91000,-14000,2838000,21000,31000,- -,- -,- -,17113000,- -,- -,- -,-20000
70,Total Liabilities & Equity,24200000,- -,- -,32602000,40397000,- -,100589000,159073000,235500000,- -,293300000,356300000,366104000,374700000,438700000,- -,565006000,820525000,905435000,1154818000,1396128000,- -,1712552000
71,SEC Link,- -,undefined,undefined,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/937556/000119312508046353/0001193125-08-046353-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/937556/000119312509043860/0001193125-09-043860-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312510032590/0001193125-10-032590-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312512065799/0001193125-12-065799-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312513061008/0001193125-13-061008-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755614000017/0000937556-14-000017-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/937556/000093755615000024/0000937556-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755617000045/0000937556-17-000045-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755618000019/0000937556-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755619000039/0000937556-19-000039-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/937556/000093755621000033/0000937556-21-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13200000,- -,- -,- -,- -,-3843000,33381000,181826000,42300000,- -,31900000,53200000,63700000,62300000,58400000,- -,72518000,300666000,124789000,193543000,196216000,- -,240302000
74,Depreciation and Amortization,1600000,- -,- -,- -,- -,2300000,2958000,3669000,5263000,- -,5745000,5979000,7342000,9369000,11421000,- -,12818000,16817000,20061000,21127000,23487000,- -,29300000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-27679000,6400000,2696000,- -,447000,-808000,-1567000,-6468000,-7920000,- -,-56000,5405000,24023000,-8274000,-5965000,- -,-4964000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13676000,14097000,11674000,- -,11005000,12503000,17187000,27417000,39233000,- -,42225000
77,Change in Working Capital,-16600000,- -,- -,- -,- -,- -,34213000,-4088000,91675000,- -,44800000,63400000,39582000,-57182000,38200000,- -,5182000,120352000,143179000,212682000,181121000,- -,43486000
78,Accounts Receivable,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8982000,-7549000,-10130000,-9576000,- -,4862000,-21243000,-19772000,10826000,-23580000,- -,-2229000
79,Inventory,-1600000,- -,- -,- -,- -,- -,-5231000,-4981000,-7021000,- -,-5588000,-3929000,-3046000,-524000,-9453000,- -,-13434000,-10831000,-22923000,-1885000,-21257000,- -,-94434000
80,Accounts Payable,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,777000,5159000,-1726000,968000,- -,-1375000,7816000,-4057000,5211000,9934000,- -,7637000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,34213000,30125000,121800000,- -,166600000,230000000,186982000,129800000,168000000,- -,173182000,286861000,430040000,642722000,823843000,- -,867329000
82,Other Non-Cash Items,15400000,- -,- -,- -,- -,-3557000,-38332000,1824000,-113111000,- -,-4714000,-74650000,-43776000,53318000,-57458000,- -,-6008000,-38901000,-273177000,-206968000,-212452000,- -,-139386000
83,Cash Provided by Operating Activities,-12800000,- -,- -,- -,- -,-5100000,4541000,189631000,28823000,- -,78178000,47121000,78957000,75434000,54317000,- -,95459000,416842000,56062000,239527000,221640000,- -,210963000
84,CAPEX,-2100000,- -,- -,- -,- -,-3300000,-6411000,-6969000,-6966000,- -,-9375000,-5487000,-7508000,-14492000,-13016000,- -,-78414000,-24351000,-46763000,-22683000,-72492000,- -,-79957000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1984000,-1326000,-187000,- -,- -,-1981000,- -,-37399000,- -,- -,- -,-763000,- -,-3922000,- -,- -,-116080000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56989000,- -,- -,- -,- -,- -,- -,-1145000,- -,-125189000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000
88,Other Investing Activites,100000,- -,- -,- -,- -,-500000,132000,6000,- -,- -,-67000,-1866000,-2451000,-3664000,-3926000,- -,-3353000,-4644000,-3079000,-5104000,-4117000,- -,-14158000
89,Cash Used for Investing Activites,-2000000,- -,- -,- -,- -,-3800000,-8263000,-8289000,-7153000,- -,-9442000,-64472000,-7508000,-51891000,-13016000,- -,-78414000,-25114000,-47908000,-26152000,-197681000,- -,-82787000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-450000,-50000,-26000,-132000,- -,-111000,-230075000,-71000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1082000,14419000,48680000,- -,9755000,2575000,5943000,1642000,3289000,- -,4680000,37290000,62205000,44748000,28339000,- -,58424000
92,Common Stock Repurchased,16800000,- -,- -,- -,- -,100000,- -,-628000,-581000,- -,-13000,- -,-36187000,-26268000,-19790000,- -,-102453000,-68218000,-66272000,-18478000,-37555000,- -,-110540000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-149703000,-37350000,- -,- -,- -,- -,-57275000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,900000,- -,- -,- -,- -,9400000,5100000,-4001000,10061000,- -,-28547000,215000,140000,-162000,-1308000,- -,124130000,44379000,- -,-490000,-123000,- -,-2191000
95,Cash Used/Provided by Financing Activities,17700000,- -,- -,- -,- -,9500000,6182000,-139913000,20810000,- -,-18805000,2340000,-30154000,-82089000,-17941000,- -,26246000,-216624000,-4138000,25780000,-9339000,- -,-54307000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-82000,-219000,-1129000,- -,246000,155000,282000,218000,552000,- -,-4304000,-1451000,3269000,-1997000,814000,- -,3060000
97,Net Change In Cash,2900000,- -,- -,- -,- -,700000,2378000,41210000,41351000,- -,50177000,-14856000,41577000,-58328000,23912000,- -,38987000,173653000,7285000,237158000,15434000,- -,76929000
98,Cash at the End of Period,14500000,- -,- -,- -,- -,553190000,14172000,55382000,96733000,- -,146910000,132054000,129882000,71554000,95466000,- -,134453000,305970000,315483000,552641000,568075000,- -,645004000
99,Cash at the Beginning of Period,11600000,- -,- -,- -,- -,552490000,11794000,14172000,55382000,- -,96733000,146910000,88305000,129882000,71554000,- -,95466000,132317000,308198000,315483000,552641000,- -,568075000
100,Free Cash Flow,-14900000,- -,- -,- -,- -,-8400000,-1870000,182662000,21857000,- -,68803000,41634000,71449000,60942000,41301000,- -,17045000,392491000,9299000,216844000,149148000,- -,131006000
101,SEC Link,- -,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/937556/000119312508046353/0001193125-08-046353-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/937556/000119312509043860/0001193125-09-043860-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312510032590/0001193125-10-032590-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312512065799/0001193125-12-065799-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000119312513061008/0001193125-13-061008-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755614000017/0000937556-14-000017-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/937556/000093755615000024/0000937556-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755617000045/0000937556-17-000045-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755618000019/0000937556-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/937556/000093755619000039/0000937556-19-000039-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/937556/000093755621000033/0000937556-21-000033-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
