,https://roic.ai/company/ELTK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1700000,378000,- -,1424000,1342000,998000,986000,1577000,2030000,2467000,1556000,1258000,1513000,892000,1935000,2514000,1129000,1038000,1234000,887000,992000,1628000,4735000,9283000
34,Net Receivables,- -,5500000,4177000,- -,6517000,5811000,5035000,5766000,5413000,7968000,8915000,7248000,6932000,7490000,8885000,6662000,9127000,8227000,8015000,5704000,6963000,6842000,7625000,9762000,7819000
35,Inventory,- -,2600000,2355000,- -,3148000,2666000,3005000,3145000,3487000,3766000,4271000,4429000,3938000,4282000,4434000,5244000,6109000,4670000,4450000,3926000,3871000,3611000,3735000,3704000,4893000
36,Other Current Assets,- -,100000,- -,- -,218000,256000,158000,132000,214000,192000,204000,410000,463000,315000,355000,417000,605000,857000,460000,456000,1781000,- -,530000,619000,586000
37,Total Current Assets,- -,9900000,6910000,- -,11307000,10075000,9196000,10029000,10691000,13956000,15857000,13643000,12591000,13600000,14566000,14258000,18355000,14883000,13963000,11320000,13502000,11445000,13518000,18820000,22581000
38,PP&E,- -,9000000,9004000,- -,11789000,11626000,9907000,7283000,7163000,8283000,10997000,10090000,9175000,8162000,7746000,9075000,10108000,10070000,10067000,8453000,8586000,6623000,9251000,16211000,16347000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,811000,903000,1009000,554000,573000,530000,518000,69000,75000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1600000,1198000,- -,- -,1070000,1135000,1074000,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000,276000,322000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,1600000,1198000,- -,- -,1070000,1135000,1074000,811000,903000,1009000,554000,573000,530000,518000,69000,75000,208000,276000,322000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,174000,151000,- -,- -,- -,- -,- -,- -,- -,2863000,1056000,1064000,- -,- -,- -,- -,- -,2550000
44,Other Non-Current Assets,- -,-100000,2000,- -,- -,- -,- -,-2000,- -,- -,1319000,1166000,1432000,1545000,39000,47000,53000,49000,49000,50000,57000,92000,60000,126000,1305000
45,Total Non-Current Assets,- -,10500000,10204000,- -,11789000,12696000,11042000,8529000,8125000,9186000,13325000,11810000,11180000,10237000,8303000,9191000,13099000,11383000,11456000,8825000,8643000,6715000,9311000,16337000,20202000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20400000,17114000,- -,23096000,22771000,20238000,18558000,18816000,23142000,29182000,25453000,23771000,23837000,22869000,23449000,31454000,26266000,25419000,20145000,22145000,18160000,22829000,35157000,42783000
48,Accounts Payable,- -,3200000,3156000,- -,4173000,4883000,5095000,5439000,5470000,5942000,7354000,9626000,5379000,4715000,6456000,6110000,9229000,7077000,6112000,4727000,5451000,4108000,4673000,4452000,4044000
49,Short-Term Debt,- -,3600000,3105000,- -,3792000,4461000,4444000,4519000,3815000,3212000,4623000,5898000,5638000,6862000,4856000,5105000,1818000,2722000,1275000,2868000,8505000,9274000,6975000,1418000,1639000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3000000,1529000,- -,1670000,1704000,1954000,2554000,2371000,2968000,3147000,- -,3558000,6087000,5041000,5755000,5311000,5156000,4594000,3818000,4111000,3377000,3118000,3831000,3577000
53,Total Current Liabilities,- -,9800000,7790000,- -,9635000,11048000,11493000,12512000,11656000,12122000,15124000,15524000,14575000,17664000,16353000,16970000,16358000,14955000,11981000,11413000,18067000,16759000,14766000,9701000,9260000
54,Long-Term Debt,- -,3300000,2165000,- -,3290000,4461000,3651000,1904000,2048000,3068000,4243000,2607000,2617000,1253000,1604000,728000,1412000,1838000,2905000,1954000,388000,308000,387000,1495000,12107000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,84000,- -
57,Other Non-Current Liabilities,- -,100000,228000,- -,181000,213000,215000,246000,60000,82000,1388000,1363000,1440000,1596000,150000,215000,337000,249000,289000,144000,231000,211000,1362000,8610000,344000
58,Total Non-Current Liabilities,- -,3400000,2393000,- -,3471000,4674000,3866000,2150000,2108000,3150000,5631000,3970000,4057000,2849000,1754000,943000,1749000,2087000,3194000,2098000,619000,519000,1794000,10189000,12451000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2477000,9014000,9117000
61,Total Liabilities,- -,13200000,10183000,- -,13106000,15722000,15359000,14662000,13764000,15272000,20755000,19494000,18632000,20513000,18107000,17913000,18107000,17042000,15175000,13511000,18686000,17278000,16560000,19890000,21711000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7000000,6654000,- -,6357000,6312000,6699000,6851000,6466000,7048000,1384000,1384000,1384000,1384000,1384000,1384000,1985000,1985000,1985000,1985000,1985000,1985000,3964000,5296000,5296000
64,Retained Earnings,- -,-16000000,-15197000,- -,-11251000,-14552000,-18412000,-19950000,-17644000,-16947000,-11196000,-12947000,-13827000,-15549000,-13703000,-13708000,-9885000,-12550000,-11507000,-15131000,-18906000,-21513000,-19720000,-17112000,-12073000
65,Other Comprehensive Income/Loss,- -,-13200000,-13918000,- -,-18784000,3708000,4271000,4446000,416000,4446000,3558000,2864000,2944000,2986000,2622000,3408000,3881000,2602000,2587000,2510000,3110000,3140000,3442000,4237000,5003000
66,Other Total Stockholders Equity,- -,29400000,29392000,- -,33668000,11185000,11871000,12111000,15479000,13013000,14328000,14328000,14328000,14328000,14328000,14328000,17270000,17270000,17270000,17270000,17270000,17270000,18583000,22846000,22846000
67,Total Stockholders Equity,- -,7200000,6931000,- -,9990000,6653000,4429000,3458000,4717000,7560000,8074000,5629000,4829000,3149000,4631000,5412000,13251000,9307000,10335000,6634000,3459000,882000,6269000,15267000,21072000
68,Total Liabilities And Stockholders Equity,- -,20400000,17114000,- -,23096000,22375000,19788000,18120000,18481000,22832000,28829000,25123000,23461000,23662000,22738000,23325000,31358000,26349000,25510000,20145000,22145000,18160000,22829000,35157000,42783000
69,Minority Interest,- -,- -,- -,- -,- -,396000,450000,438000,335000,310000,353000,330000,310000,175000,131000,124000,96000,-83000,-91000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,20400000,17114000,- -,23096000,22771000,20238000,18558000,18816000,23142000,29182000,25453000,23771000,23837000,22869000,23449000,31454000,26266000,25419000,20145000,22145000,18160000,22829000,35157000,42783000
71,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024672/000117891311001608/zk110961.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891312000947/zk1211114.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891313001260/zk1312956.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891314001425/zk1414785.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891315001168/0001178913-15-001168-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891316004807/0001178913-16-004807-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891317000898/0001178913-17-000898-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891318001342/zk1821546.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891319001176/zk1922934.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891320001233/zk2024297.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1400000,-700000,84000,-713000,614000,-3382000,-2966000,-1351000,1143000,2276000,-301000,-2446000,-880000,-1722000,1846000,690000,3823000,-2665000,1043000,-3624000,-3775000,-2607000,1793000,2608000,5039000
74,Depreciation and Amortization,1600000,1800000,1978000,3193000,2503000,3054000,3544000,3235000,2497000,2457000,2264000,2224000,2030000,2054000,2091000,2253000,1739000,1893000,1731000,1856000,2070000,1649000,1508000,1592000,1781000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-174000,- -,169000,- -,- -,- -,- -,- -,- -,-3012000,1528000,133000,1083000,- -,- -,45000,33000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,141000,121000,203000
77,Change in Working Capital,-500000,-1500000,252000,-222000,-585000,1804000,1166000,160000,-629000,-1960000,-302000,953000,-157000,1254000,-1550000,1798000,-3929000,924000,-1132000,2045000,-1743000,-90000,-893000,-1102000,-3148000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,894000,- -,-186000,-2016000,2339000,-1531000,-78000,171000,2145000,-597000,790000,-1277000,-956000,2260000
79,Inventory,300000,-300000,96000,-403000,-171000,719000,-144000,-87000,-553000,44000,-106000,-140000,510000,-138000,-487000,-670000,-451000,848000,213000,289000,471000,-30000,175000,290000,-1023000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-885000,-763000,1152000,621000,-147000,655000,-1441000,-1396000,-561000,-330000,-871000,107000,-449000,-451000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-167000,- -,-268000,- -,-91000,45000,392000,53000,-2795000,1469000,174000,933000,69000,-3000,36000,47000,-2555000
82,Other Non-Cash Items,-200000,- -,29000,44000,41000,-147000,-248000,-36000,89000,-192000,-251000,456000,-30000,-82000,27000,31000,2997000,-1601000,-55000,-1195000,4000,179000,-16000,- -,- -
83,Cash Provided by Operating Activities,2300000,-400000,2343000,2302000,2573000,1329000,1496000,1834000,3100000,2750000,1410000,1187000,963000,1504000,2414000,4772000,1618000,79000,1720000,165000,-3444000,-813000,2578000,3252000,3875000
84,CAPEX,-2200000,-2000000,-2120000,-2530000,-4345000,-1714000,-867000,-339000,-2743000,-2282000,-3257000,-797000,-600000,-489000,-882000,-1234000,-950000,-2643000,-866000,-750000,-275000,-619000,-931000,-1140000,-1535000
85,Acquisitions Net,- -,- -,- -,- -,- -,-916000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,28000,26000,2000,-471000,69000,43000,36000,8000,3000,- -,- -,38000,- -,- -,- -,-212000,-69000,-42000,- -,- -,125000,- -,-112000
89,Cash Used for Investing Activites,-2200000,-3500000,-592000,-2504000,-4343000,-3101000,-798000,-296000,-2707000,-2274000,-3254000,-797000,-600000,-451000,-882000,-1234000,-950000,-2643000,-866000,-750000,-275000,-619000,-806000,-1140000,-1647000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1599000,-2608000,-1622000,-1674000,-1149000,-3141000,-806000,-2270000,-680000,-870000,-910000,-891000,-5444000,-678000
91,Common Stock Issued,5400000,- -,- -,- -,107000,- -,- -,- -,461000,104000,- -,- -,- -,- -,- -,- -,3543000,- -,- -,- -,- -,- -,3298000,5594000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1500000,200000,-1601000,423000,2073000,1768000,-1219000,-1590000,-172000,-273000,2305000,127000,1989000,807000,-328000,-1241000,-515000,2054000,1202000,1153000,4114000,2437000,-3539000,664000,2802000
95,Cash Used/Provided by Financing Activities,3900000,200000,-1601000,423000,2180000,1634000,-1219000,-1590000,289000,-169000,2305000,-1472000,-619000,-815000,-2002000,-2390000,-113000,1248000,-1068000,473000,3244000,1527000,-1132000,814000,2124000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,66000,95000,29000,-34000,5000,-24000,171000,-42000,17000,-151000,-105000,24000,-69000,123000,37000,128000,10000,-4000,181000,196000
97,Net Change In Cash,3900000,-3800000,150000,221000,410000,-72000,-426000,-22000,648000,312000,437000,-911000,-298000,255000,-621000,1043000,579000,-1385000,-91000,196000,-347000,105000,636000,3107000,4548000
98,Cash at the End of Period,4100000,200000,378000,606000,1424000,1342000,998000,986000,1577000,2030000,2467000,1556000,1258000,1513000,892000,1935000,2514000,1129000,1038000,1234000,887000,992000,1628000,4735000,9283000
99,Cash at the Beginning of Period,- -,4000000,228000,385000,1014000,1414000,1424000,1008000,929000,1718000,2030000,2467000,1556000,1258000,1513000,892000,1935000,2514000,1129000,1038000,1234000,887000,992000,1628000,4735000
100,Free Cash Flow,100000,-2400000,223000,-228000,-1772000,-385000,629000,1495000,357000,468000,-1847000,390000,363000,1015000,1532000,3538000,668000,-2564000,854000,-585000,-3719000,-1432000,1647000,2112000,2340000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024672/000117891311001608/zk110961.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891312000947/zk1211114.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891313001260/zk1312956.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891314001425/zk1414785.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891315001168/0001178913-15-001168-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891316004807/0001178913-16-004807-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891317000898/0001178913-17-000898-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891318001342/zk1821546.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891319001176/zk1922934.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891320001233/zk2024297.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
