,https://roic.ai/company/CBAY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2150000,1744000,- -
61,Total Liabilities,336683000,13904000,23624000,14964000,15422000,19300000,16329000,19379000,11119000,69381000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,2000,2000,4000,6000,7000,7000,8000
64,Retained Earnings,-329480000,-348842000,-380759000,-396288000,-422959000,-450516000,-523064000,-625872000,-676858000,-766856000
65,Other Comprehensive Income/Loss,- -,2000,-14000,-21000,-1000,-44000,-58000,80000,8000,-13000
66,Other Total Stockholders Equity,8464000,367435000,394622000,424422000,426895000,535503000,693534000,812133000,819549000,899798000
67,Total Stockholders Equity,-328567000,18596000,13850000,28115000,3937000,84947000,170418000,186348000,142706000,132937000
68,Total Liabilities And Stockholders Equity,8116000,32500000,37474000,43079000,19359000,104247000,186747000,205727000,153825000,202318000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,50942000
70,Total Liabilities & Equity,8116000,32500000,37474000,43079000,19359000,104247000,186747000,205727000,153825000,253260000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1042074/000119312514124127/0001193125-14-124127-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312515101933/0001193125-15-101933-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312516521392/0001193125-16-521392-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312517093759/0001193125-17-093759-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000156459018005831/0001564590-18-005831-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000156459019005435/0001564590-19-005435-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312520074946/0001193125-20-074946-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312521094424/0001193125-21-094424-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312522078287/0001193125-22-078287-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-11255000,-10073000,-31917000,-15529000,-26671000,-27557000,-72548000,-102808000,-50986000,-89998000
74,Depreciation and Amortization,119000,55000,18000,22000,29000,35000,105000,572000,632000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,81000,892000,1292000,2487000,2473000,4920000,7013000,9558000,7324000,- -
77,Change in Working Capital,-298000,32711000,-5981000,19878000,-27431000,78017000,79913000,18140000,-43559000,31005000
78,Accounts Receivable,16000,-2000,-101000,211000,- -,-5000000,- -,- -,-361000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-951000,40000,1388000,-1077000,-109000,412000,662000,530000,-2272000,- -
81,Other Working Capital,-9960000,22751000,16770000,36648000,9217000,87234000,167147000,185287000,141728000,172733000
82,Other Non-Cash Items,60000,-32043000,15474000,-30182000,28247000,-75047000,-69419000,-23373000,41864000,-10438000
83,Cash Provided by Operating Activities,-11293000,-8458000,-21114000,-23324000,-23353000,-19632000,-54936000,-97911000,-44725000,-69431000
84,CAPEX,- -,- -,-103000,- -,-42000,-27000,-529000,-315000,-21000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2881000,-6933000,-27334000,-42788000,-22906000,-98385000,-276382000,-290893000,-176300000,- -
87,Sales/Maturities of Investments,13891000,44000,10499000,31705000,50076000,30884000,222800000,256861000,224278000,- -
88,Other Investing Activites,- -,658000,- -,- -,- -,- -,- -,- -,- -,48589000
89,Cash Used for Investing Activites,11010000,-6231000,-16938000,-11083000,27128000,-67528000,-54111000,-34347000,47957000,48589000
90,Debt Repayment,-12000,- -,-244000,-4756000,-986000,-3137000,-6527000,- -,- -,- -
91,Common Stock Issued,- -,26514000,- -,- -,- -,- -,135520000,107746000,92000,- -
92,Common Stock Repurchased,- -,-3000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4853000,25481000,35283000,- -,102856000,5995000,386000,- -,118455000
95,Cash Used/Provided by Financing Activities,-12000,31364000,25237000,30527000,-986000,99719000,134988000,108132000,92000,118455000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-295000,16675000,-12815000,-3880000,2789000,12559000,25941000,-24126000,3324000,97613000
98,Cash at the End of Period,7726000,24401000,11586000,7706000,10495000,23054000,48995000,24869000,28193000,- -
99,Cash at the Beginning of Period,8021000,7726000,24401000,11586000,7706000,10495000,23054000,48995000,24869000,28193000
100,Free Cash Flow,-11293000,-8458000,-21217000,-23324000,-23395000,-19659000,-55465000,-98226000,-44746000,-69431000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1042074/000119312514124127/0001193125-14-124127-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312515101933/0001193125-15-101933-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312516521392/0001193125-16-521392-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312517093759/0001193125-17-093759-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000156459018005831/0001564590-18-005831-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000156459019005435/0001564590-19-005435-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312520074946/0001193125-20-074946-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312521094424/0001193125-21-094424-index.htm,https://www.sec.gov/Archives/edgar/data/1042074/000119312522078287/0001193125-22-078287-index.htm
102,false,,,,,,,,,,
