,https://roic.ai/company/ICCT,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
68,Total Liabilities And Stockholders Equity,6689011339,8666070088,5276609175,213692,521458,1723520,- -,- -,- -,1735000,2522000,-494518
69,Minority Interest,-6616638339,-8555134088,-4707168175,-117645,- -,- -,- -,- -,- -,- -,- -,1142493
70,Total Liabilities & Equity,72373000,110936000,569441000,96047,521458,1723520,- -,- -,- -,1735000,2522000,647975
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1408057/000118518509001039/0001185185-09-001039-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518510001119/0001185185-10-001119-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518512000278/0001185185-12-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518513000586/0001185185-13-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518514000401/0001185185-14-000401-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000135448815005443/0001354488-15-005443-index.htm,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1408057/000147793220001558/0001477932-20-001558-index.html,https://www.sec.gov/Archives/edgar/data/1408057/000147793221002413/0001477932-21-002413-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-4589036,-7245421,1953054,- -,- -,-4490000,-5190000,-2983000,-3491
74,Depreciation and Amortization,2012855,2056033,2065723,1168034,14179,7876,- -,- -,262000,407000,655000,905217
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,103668,- -,895874,- -,- -,141000,2847000,610000,422175
77,Change in Working Capital,-3270770842,-2090316000,-1317080000,1969242000,4703918462,5898891,- -,- -,-3281518,-40000,907000,-1649001
78,Accounts Receivable,53907,-6786,-471780,-39200,25794,-10711,- -,- -,-64000,-110000,118000,-85472
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-703531,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-3272930000,-5363246000,-6680326000,-4711084000,-7165538,-1266647,- -,- -,-4548165,29000,-1382000,-3031001
82,Other Non-Cash Items,3266222423,2086538569,1313740928,-1966470507,-4698333716,-11219044,- -,- -,5621518,7000,-856000,-945391
83,Cash Provided by Operating Activities,-2535564,-1721398,-1273349,-545841,-1646496,-2463349,- -,- -,-1747000,-1969000,-1667000,-1270491
84,CAPEX,-745271,-230000,- -,- -,- -,-138145,- -,- -,-322000,-342000,-423000,-543000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,-374900
86,Purchases of Investments,- -,- -,-55000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-745000,-230000,- -,- -,- -,-124965,- -,- -,-317000,-337000,-423000,-543000
89,Cash Used for Investing Activites,-745271,-230000,-55000,- -,- -,-141745,- -,- -,-322000,-342000,-473000,-917900
90,Debt Repayment,-432101,-28173,-154087,- -,-150000,-271331,- -,- -,-119000,-389000,-736000,-70793
91,Common Stock Issued,1700000,341000,459000,- -,2034375,1282075,- -,- -,- -,2649000,3197000,1050488
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1852985,1672600,955000,527700,275326,1271898,- -,- -,2117000,- -,123000,771315
95,Cash Used/Provided by Financing Activities,3120884,1985427,1259913,527700,2159701,2282642,- -,- -,1998000,2260000,2584000,1751010
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-159951,34029,-68436,-18141,513205,-322452,- -,- -,-71000,-51000,444000,-437381
98,Cash at the End of Period,52615,86644,18208,67,513272,190820,- -,- -,43000,1000,445000,7619
99,Cash at the Beginning of Period,212566,52615,86644,18208,67,513272,- -,- -,114000,52000,1000,445000
100,Free Cash Flow,-3280835,-1951398,-1273349,-545841,-1646496,-2601494,- -,- -,-2069000,-2311000,-2090000,-1813491
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1408057/000118518509001039/0001185185-09-001039-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518510001119/0001185185-10-001119-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518512000278/0001185185-12-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518513000586/0001185185-13-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000118518514000401/0001185185-14-000401-index.htm,https://www.sec.gov/Archives/edgar/data/1408057/000135448815005443/0001354488-15-005443-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1408057/000147793220001558/0001477932-20-001558-index.html,https://www.sec.gov/Archives/edgar/data/1408057/000147793221002413/0001477932-21-002413-index.htm
102,false,,,,,,,,,,,,
